Table S4

A list of the species in the analysis, their geometric mean clutch size (Clutch), sources used for their
geographic distributions (Range) and for data on clutch sizes and intrinsic variables (Traits). For
details on source abbreviations see Fig. S1 and Table S5.

Order              Family          Species                       Clutch   Range Traits
Struthioniformes   Struthionidae   Struthio camelus                7.4        1   HBW1
Struthioniformes   Rheidae         Rhea americana                 19.7        1   HBW1
Struthioniformes   Rheidae         Rhea pennata                   17.3        1   HBW1
Struthioniformes   Casuariidae     Casuarius casuarius             3.9        1   HBW1
Struthioniformes   Casuariidae     Casuarius bennetti              3.9        1   HBW1
Struthioniformes   Casuariidae     Dromaius novaehollandiae        8.7        1   HBW1
Tinamiformes       Tinamidae       Tinamus tao                     4.2        1   HBW1
Tinamiformes       Tinamidae       Tinamus solitarius              9.2        1   HBW1
Tinamiformes       Tinamidae       Tinamus osgoodi                 2.0        1   HBW1
Tinamiformes       Tinamidae       Tinamus major                   4.2        1   HBW1
Tinamiformes       Tinamidae       Tinamus guttatus                5.5        1   HBW1
Tinamiformes       Tinamidae       Nothocercus bonapartei          4.5        1   HBW1
Tinamiformes       Tinamidae       Crypturellus cinereus           2.0        1   HBW1
Tinamiformes       Tinamidae       Crypturellus soui               2.0        1   HBW1
Tinamiformes       Tinamidae       Crypturellus obsoletus          4.5        1   HBW1
Tinamiformes       Tinamidae       Crypturellus cinnamomeus        3.0        1   HBW1
Tinamiformes       Tinamidae       Crypturellus undulatus          4.5        1   HBW1
Tinamiformes       Tinamidae       Crypturellus transfasciatus     2.6        1   HBW1
Tinamiformes       Tinamidae       Crypturellus strigulosus        4.0        1   HBW1
Tinamiformes       Tinamidae       Crypturellus boucardi           3.7        1   HBW1
Tinamiformes       Tinamidae       Crypturellus erythropus         3.0        1   HBW1
Tinamiformes       Tinamidae       Crypturellus noctivagus         4.0        1   HBW1
Tinamiformes       Tinamidae       Crypturellus variegatus         1.0        1   HBW1
Tinamiformes       Tinamidae       Crypturellus parvirostris       4.5        1   HBW1
Tinamiformes       Tinamidae       Crypturellus tataupa            4.5        1   HBW1
Tinamiformes       Tinamidae       Rhynchotus rufescens            2.2        1   HBW1
Tinamiformes       Tinamidae       Nothoprocta ornata              6.0        1   HBW1
Tinamiformes       Tinamidae       Nothoprocta pentlandii          6.3        1   HBW1
Tinamiformes       Tinamidae       Nothoprocta cinerascens         9.4        1   HBW1
Tinamiformes       Tinamidae       Nothoprocta perdicaria          6.3        1   HBW1
Tinamiformes       Tinamidae       Nothura darwinii                4.9        1   HBW1
Tinamiformes       Tinamidae       Nothura maculosa                4.9        1   HBW1
Tinamiformes       Tinamidae       Nothura boraquira               4.0        1   HBW1
Tinamiformes       Tinamidae       Eudromia elegans                5.5        1   HBW1
Tinamiformes       Tinamidae       Tinamotis pentlandii            5.3        1   HBW1
Tinamiformes       Tinamidae       Tinamotis ingoufi              11.0        1   HBW1
Craciformes        Cracidae        Ortalis vetula                  3.0        1   HBW2
Craciformes        Cracidae        Ortalis cinereiceps             3.0        1   HBW2
Craciformes        Cracidae        Ortalis garrula                 3.0        1   HBW2
Craciformes        Cracidae        Ortalis ruficauda               3.5        1   HBW2
Craciformes        Cracidae        Ortalis erythroptera            3.0        1   HBW2
Craciformes        Cracidae        Ortalis wagleri                 3.0        1   HBW2
Craciformes        Cracidae        Ortalis canicollis              3.5        1   HBW2
Craciformes        Cracidae        Ortalis leucogastra             2.4        1   HBW2
Craciformes        Cracidae        Ortalis motmot                  3.0        1   HBW2
Craciformes        Cracidae        Ortalis superciliaris           2.4        1   HBW2
Craciformes        Cracidae        Pipile pipile                   2.0        1   HBW2
Craciformes        Cracidae        Pipile cumanensis               3.0        1   HBW2
Craciformes        Cracidae        Pipile jacutinga                2.4        1   HBW2
Craciformes        Cracidae        Crax rubra                      2.0        1   HBW2
Craciformes        Cracidae        Crax daubentoni                 2.0        1   HBW2
Craciformes        Cracidae        Crax alector                    2.0        1   HBW2
Craciformes        Cracidae        Crax globulosa                  2.0        1   HBW2
Craciformes        Cracidae        Crax fasciolata                 2.0        1   HBW2
Craciformes        Cracidae        Crax blumenbachii               2.0        1   HBW2

Table S4                                                                                                   Page 1 of 85
Order         Family         Species                       Clutch   Range Traits
Craciformes   Megapodiidae   Alectura lathami               12.0        1   HBW2
Craciformes   Megapodiidae   Aepypodius arfakianus          20.0        1   HBW2
Craciformes   Megapodiidae   Leipoa ocellata                12.8        1   HBW2
Galliformes   Phasianidae    Lerwa lerwa                     3.2        1   HBW2
Galliformes   Phasianidae    Ammoperdix griseogularis        7.3        1   HBW2
Galliformes   Phasianidae    Ammoperdix heyi                 5.9        1   HBW2
Galliformes   Phasianidae    Alectoris barbara              11.0        1   HBW2
Galliformes   Phasianidae    Alectoris melanocephala         6.3        1   HBW2
Galliformes   Phasianidae    Alectoris chukar                9.2        1   HBW2
Galliformes   Phasianidae    Alectoris philbyi               6.3        1   HBW2
Galliformes   Phasianidae    Alectoris graeca               10.6        1   HBW2
Galliformes   Phasianidae    Alectoris rufa                 12.0        1   HBW2
Galliformes   Phasianidae    Francolinus francolinus         9.2        1   HBW2
Galliformes   Phasianidae    Francolinus pictus              4.9        1   HBW2
Galliformes   Phasianidae    Francolinus pintadeanus         4.5        1   HBW2
Galliformes   Phasianidae    Francolinus pondicerianus       7.3        1   HBW2
Galliformes   Phasianidae    Francolinus gularis             3.5        1   HBW2
Galliformes   Phasianidae    Peliperdix coqui                4.5        1   HBW2
Galliformes   Phasianidae    Peliperdix albogularis          6.0        1   HBW2
Galliformes   Phasianidae    Peliperdix schlegelii           3.2        1   HBW2
Galliformes   Phasianidae    Peliperdix lathami              2.0        1   HBW2
Galliformes   Phasianidae    Peliperdix sephaena             6.0        1   HBW2
Galliformes   Phasianidae    Scleroptila streptophorus       4.5        1   HBW2
Galliformes   Phasianidae    Scleroptila finschi             5.0        1   HBW2
Galliformes   Phasianidae    Scleroptila africanus           4.9        1   HBW2
Galliformes   Phasianidae    Scleroptila levaillantii        6.0        1   HBW2
Galliformes   Phasianidae    Scleroptila shelleyi            3.9        1   HBW2
Galliformes   Phasianidae    Scleroptila levaillantoides     6.3        1   HBW2
Galliformes   Phasianidae    Pternistis nahani               4.0        1   HBW2
Galliformes   Phasianidae    Pternistis hartlaubi            5.7        1   HBW2
Galliformes   Phasianidae    Pternistis bicalcaratus         6.0        1   HBW2
Galliformes   Phasianidae    Pternistis icterorhynchus       6.9        1   HBW2
Galliformes   Phasianidae    Pternistis adspersus            6.3        1   HBW2
Galliformes   Phasianidae    Pternistis capensis             6.9        1   HBW2
Galliformes   Phasianidae    Pternistis hildebrandti         6.0        1   HBW2
Galliformes   Phasianidae    Pternistis natalensis           5.0        1   HBW2
Galliformes   Phasianidae    Pternistis ahantensis           4.9        1   HBW2
Galliformes   Phasianidae    Pternistis squamatus            6.0        1   HBW2
Galliformes   Phasianidae    Pternistis leucoscepus          5.0        1   HBW2
Galliformes   Phasianidae    Pternistis rufopictus           4.5        1   HBW2
Galliformes   Phasianidae    Pternistis afer                 5.2        1   HBW2
Galliformes   Phasianidae    Pternistis swainsonii           5.7        1   HBW2
Galliformes   Phasianidae    Pternistis erckelii             6.3        1   HBW2
Galliformes   Phasianidae    Pternistis castaneicollis       5.5        1   HBW2
Galliformes   Phasianidae    Pternistis jacksoni             3.0        1   HBW2
Galliformes   Phasianidae    Perdix perdix                  16.0        1   HBW2
Galliformes   Phasianidae    Perdix dauurica                19.0        1   HBW2
Galliformes   Phasianidae    Perdix hodgsoniae               8.9        1   HBW2
Galliformes   Phasianidae    Rhizothera longirostris         3.2        1   HBW2
Galliformes   Phasianidae    Coturnix coturnix              10.2        1   HBW2
Galliformes   Phasianidae    Coturnix japonica               9.5        1   HBW2
Galliformes   Phasianidae    Coturnix pectoralis             7.5        1   HBW2
Galliformes   Phasianidae    Coturnix coromandelica          4.9        1   HBW2
Galliformes   Phasianidae    Coturnix delegorguei            5.7        1   HBW2
Galliformes   Phasianidae    Coturnix ypsilophora            8.8        1   HBW2
Galliformes   Phasianidae    Coturnix adansonii              5.2        1   HBW2
Galliformes   Phasianidae    Coturnix chinensis              5.3        1   HBW2
Galliformes   Phasianidae    Perdicula asiatica              5.5        1   HBW2
Galliformes   Phasianidae    Perdicula argoondah             5.5        1   HBW2
Galliformes   Phasianidae    Perdicula erythrorhyncha        5.3        1   HBW2
Galliformes   Phasianidae    Perdicula manipurensis          4.0        1   HBW2
Galliformes   Phasianidae    Arborophila torqueola           3.9        1   HBW2
Galliformes   Phasianidae    Arborophila rufogularis         4.5        1   HBW2


Table S4                                                                           Page 2 of 85
Order         Family        Species                        Clutch   Range Traits
Galliformes   Phasianidae   Arborophila atrogularis          4.5        1   HBW2
Galliformes   Phasianidae   Arborophila crudigularis         6.9        1   HBW2
Galliformes   Phasianidae   Arborophila mandellii            4.0        1   HBW2
Galliformes   Phasianidae   Arborophila rufipectus           5.5        1   HBW2
Galliformes   Phasianidae   Arborophila orientalis           2.8        1   HBW2
Galliformes   Phasianidae   Arborophila javanica             4.0        1   HBW2
Galliformes   Phasianidae   Arborophila gingica              5.9        1   HBW2
Galliformes   Phasianidae   Arborophila ardens               2.4        1   HBW2
Galliformes   Phasianidae   Arborophila chloropus            3.0        1   HBW2
Galliformes   Phasianidae   Caloperdix oculea                8.9        1   HBW2
Galliformes   Phasianidae   Rollulus rouloul                 5.5        1   HBW2
Galliformes   Phasianidae   Ptilopachus petrosus             4.9        1   HBW2
Galliformes   Phasianidae   Bambusicola fytchii              4.9        1   HBW2
Galliformes   Phasianidae   Bambusicola thoracica            4.6        1   HBW2
Galliformes   Phasianidae   Galloperdix spadicea             3.2        1   HBW2
Galliformes   Phasianidae   Galloperdix lunulata             3.5        1   HBW2
Galliformes   Phasianidae   Galloperdix bicalcarata          2.0        1   HBW2
Galliformes   Phasianidae   Ithaginis cruentus               3.7        1   HBW2
Galliformes   Phasianidae   Tragopan melanocephalus          4.2        1   HBW2
Galliformes   Phasianidae   Tragopan satyra                  2.4        1   HBW2
Galliformes   Phasianidae   Tragopan blythii                 3.2        1   HBW2
Galliformes   Phasianidae   Tragopan temminckii              3.9        1   HBW2
Galliformes   Phasianidae   Tragopan caboti                  3.9        1   HBW2
Galliformes   Phasianidae   Lophophorus impejanus            3.9        1   HBW2
Galliformes   Phasianidae   Lophophorus sclateri             5.0        1   HBW2
Galliformes   Phasianidae   Lophophorus lhuysii              3.9        1   HBW2
Galliformes   Phasianidae   Gallus gallus                    6.0        1   HBW2
Galliformes   Phasianidae   Gallus sonneratii                4.5        1   HBW2
Galliformes   Phasianidae   Gallus lafayetii                 2.0        1   HBW2
Galliformes   Phasianidae   Gallus varius                    3.5        1   HBW2
Galliformes   Phasianidae   Lophura leucomelanos             7.3        1   HBW2
Galliformes   Phasianidae   Lophura nycthemera               6.5        1   HBW2
Galliformes   Phasianidae   Lophura edwardsi                 5.3        1   HBW2
Galliformes   Phasianidae   Lophura swinhoii                 5.7        1   HBW2
Galliformes   Phasianidae   Lophura inornata                 2.0        1   HBW2
Galliformes   Phasianidae   Lophura erythrophthalma          4.2        1   HBW2
Galliformes   Phasianidae   Lophura ignita                   5.7        1   HBW2
Galliformes   Phasianidae   Lophura diardi                   5.7        1   HBW2
Galliformes   Phasianidae   Lophura bulweri                  1.0        1   HBW2
Galliformes   Phasianidae   Crossoptilon crossoptilon        6.0        1   HBW2
Galliformes   Phasianidae   Crossoptilon mantchuricum        7.5        1   HBW2
Galliformes   Phasianidae   Crossoptilon auritum             8.0        1   HBW2
Galliformes   Phasianidae   Phasianus colchicus              9.9        1   HBW2
Galliformes   Phasianidae   Chrysolophus pictus              7.7        1   HBW2
Galliformes   Phasianidae   Chrysolophus amherstiae          6.5        1   HBW2
Galliformes   Phasianidae   Polyplectron chalcurum           2.0        1   HBW2
Galliformes   Phasianidae   Polyplectron inopinatum          2.0        1   HBW2
Galliformes   Phasianidae   Polyplectron germaini            1.4        1   HBW2
Galliformes   Phasianidae   Polyplectron bicalcaratum        2.0        1   HBW2
Galliformes   Phasianidae   Polyplectron malacense           1.0        1   HBW2
Galliformes   Phasianidae   Polyplectron schleiermacheri     1.0        1   HBW2
Galliformes   Phasianidae   Polyplectron emphanum            2.0        1   HBW2
Galliformes   Phasianidae   Argusianus argus                 2.0        1   HBW2
Galliformes   Phasianidae   Afropavo congensis               2.4        1   HBW2
Galliformes   Phasianidae   Falcipennis falcipennis          7.7        1   HBW2
Galliformes   Phasianidae   Falcipennis canadensis           5.5        1   HBW2
Galliformes   Phasianidae   Dendragapus obscurus             6.9        1   HBW2
Galliformes   Phasianidae   Lagopus lagopus                  9.4        1   HBW2
Galliformes   Phasianidae   Lagopus mutus                    6.3        1   HBW2
Galliformes   Phasianidae   Lagopus leucurus                 5.5        1   HBW2
Galliformes   Phasianidae   Tetrao tetrix                    8.0        1   HBW2
Galliformes   Phasianidae   Tetrao mlokosiewiczi             6.0        1   HBW2
Galliformes   Phasianidae   Tetrao urogallus                 7.3        1   HBW2


Table S4                                                                           Page 3 of 85
Order          Family           Species                      Clutch   Range Traits
Galliformes    Phasianidae      Tetrao parvirostris            6.5        1   HBW2
Galliformes    Phasianidae      Bonasa bonasia                 8.8        1   HBW2
Galliformes    Phasianidae      Bonasa sewerzowi               6.3        1   HBW2
Galliformes    Phasianidae      Bonasa umbellus               11.0        1   HBW2
Galliformes    Phasianidae      Centrocercus urophasianus      7.5        1   HBW2
Galliformes    Phasianidae      Tympanuchus phasianellus      12.0        1   HBW2
Galliformes    Phasianidae      Tympanuchus cupido            10.2        1   HBW2
Galliformes    Phasianidae      Tympanuchus pallidicinctus    11.0        1   HBW2
Galliformes    Phasianidae      Meleagris gallopavo           11.4        1   HBW2
Galliformes    Phasianidae      Meleagris ocellata            12.0        1   HBW2
Galliformes    Numididae        Numida meleagris               8.5        1   HBW2
Galliformes    Numididae        Guttera plumifera              9.5        1   HBW2
Galliformes    Numididae        Guttera pucherani              4.5        1   HBW2
Galliformes    Numididae        Acryllium vulturinum          14.0        1   HBW2
Galliformes    Odontophoridae   Dendrortyx barbatus            3.5        1   HBW2
Galliformes    Odontophoridae   Dendrortyx macroura            4.0        1   HBW2
Galliformes    Odontophoridae   Dendrortyx leucophrys          4.5        1   HBW2
Galliformes    Odontophoridae   Oreortyx pictus                9.5        1   HBW2
Galliformes    Odontophoridae   Callipepla squamata           13.0        1   HBW2
Galliformes    Odontophoridae   Callipepla douglasii           9.8        1   HBW2
Galliformes    Odontophoridae   Callipepla californica        14.9        1   HBW2
Galliformes    Odontophoridae   Callipepla gambelii           13.0        1   HBW2
Galliformes    Odontophoridae   Philortyx fasciatus            5.5        1   HBW2
Galliformes    Odontophoridae   Colinus virginianus            8.0        1   HBW2
Galliformes    Odontophoridae   Colinus cristatus             11.3        1   HBW2
Galliformes    Odontophoridae   Odontophorus gujanensis        4.0        1   HBW2
Galliformes    Odontophoridae   Odontophorus capueira          5.0        1   HBW2
Galliformes    Odontophoridae   Odontophorus melanotis         4.0        1   HBW2
Galliformes    Odontophoridae   Odontophorus columbianus       6.0        1   HBW2
Galliformes    Odontophoridae   Odontophorus leucolaemus       5.0        1   HBW2
Galliformes    Odontophoridae   Cyrtonyx montezumae           11.0        1   HBW2
Anseriformes   Anhimidae        Anhima cornuta                 3.9        1   HBW1
Anseriformes   Anhimidae        Chauna chavaria                3.9        1   HBW1
Anseriformes   Anhimidae        Chauna torquata                3.9        1   HBW1
Anseriformes   Anseranatidae    Anseranas semipalmata          7.4        1   HBW1
Anseriformes   Dendrocygnidae   Dendrocygna guttata           11.0        1   HBW1
Anseriformes   Dendrocygnidae   Dendrocygna eytoni            10.6        1   HBW1
Anseriformes   Dendrocygnidae   Dendrocygna bicolor            9.8        1   HBW1
Anseriformes   Dendrocygnidae   Dendrocygna arcuata            9.5        1   HBW1
Anseriformes   Dendrocygnidae   Dendrocygna javanica           9.2        1   HBW1
Anseriformes   Dendrocygnidae   Dendrocygna viduata            7.2        1   HBW1
Anseriformes   Dendrocygnidae   Dendrocygna arborea            8.5        1   HBW1
Anseriformes   Dendrocygnidae   Dendrocygna autumnalis        13.9        1   HBW1
Anseriformes   Anatidae         Oxyura jamaicensis             7.7        1   HBW1
Anseriformes   Anatidae         Oxyura leucocephala            6.3        1   HBW1
Anseriformes   Anatidae         Oxyura maccoa                  5.7        1   HBW1
Anseriformes   Anatidae         Oxyura vittata                 3.9        1   HBW1
Anseriformes   Anatidae         Oxyura australis               5.5        1   HBW1
Anseriformes   Anatidae         Biziura lobata                 2.4        1   HBW1
Anseriformes   Anatidae         Stictonetta naevosa            7.1        1   HBW1
Anseriformes   Anatidae         Cygnus olor                    5.9        1   HBW1
Anseriformes   Anatidae         Cygnus atratus                 5.5        1   HBW1
Anseriformes   Anatidae         Cygnus melanocorypha           5.7        1   HBW1
Anseriformes   Anatidae         Cygnus cygnus                  4.5        1   HBW1
Anseriformes   Anatidae         Cygnus buccinator              5.7        1   HBW1
Anseriformes   Anatidae         Cygnus columbianus             3.9        1   HBW1
Anseriformes   Anatidae         Coscoroba coscoroba            5.3        1   HBW1
Anseriformes   Anatidae         Anser cygnoides                5.5        1   HBW1
Anseriformes   Anatidae         Anser brachyrhynchus           3.9        1   HBW1
Anseriformes   Anatidae         Anser fabalis                  4.9        1   HBW1
Anseriformes   Anatidae         Anser albifrons                5.5        1   HBW1
Anseriformes   Anatidae         Anser erythropus               4.9        1   HBW1
Anseriformes   Anatidae         Anser anser                    4.9        1   HBW1


Table S4                                                                             Page 4 of 85
Order          Family     Species                  Clutch     Range Traits
Anseriformes   Anatidae   Anser indicus                 4.9       1   HBW1
Anseriformes   Anatidae   Anser caerulescens            4.5       1   HBW1
Anseriformes   Anatidae   Anser rossii                  4.5       1   HBW1
Anseriformes   Anatidae   Anser canagica                5.0       1   HBW1
Anseriformes   Anatidae   Branta sandvicensis           3.9       1   HBW1
Anseriformes   Anatidae   Branta canadensis             5.3       1   HBW1
Anseriformes   Anatidae   Branta leucopsis              4.5       1   HBW1
Anseriformes   Anatidae   Branta bernicla               3.9       1   HBW1
Anseriformes   Anatidae   Branta ruficollis             6.5       1   HBW1
Anseriformes   Anatidae   Cereopsis novaehollandiae     4.2       1   HBW1
Anseriformes   Anatidae   Sarkidiornis melanotos       11.0       1   HBW1
Anseriformes   Anatidae   Tadorna ferruginea            8.5       1   HBW1
Anseriformes   Anatidae   Tadorna cana                 10.0       1   HBW1
Anseriformes   Anatidae   Tadorna tadornoides           8.9       1   HBW1
Anseriformes   Anatidae   Tadorna variegata             8.9       1   HBW1
Anseriformes   Anatidae   Tadorna tadorna               8.9       1   HBW1
Anseriformes   Anatidae   Tadorna radjah                8.5       1   HBW1
Anseriformes   Anatidae   Malacorhynchus membranaceu    6.9       1   HBW1
Anseriformes   Anatidae   Neochen jubata                7.7       1   HBW1
Anseriformes   Anatidae   Chloephaga melanoptera        7.1       1   HBW1
Anseriformes   Anatidae   Chloephaga picta              6.3       1   HBW1
Anseriformes   Anatidae   Chloephaga hybrida            4.6       1   HBW1
Anseriformes   Anatidae   Chloephaga poliocephala       4.9       1   HBW1
Anseriformes   Anatidae   Chloephaga rubidiceps         6.3       1   HBW1
Anseriformes   Anatidae   Merganetta armata             3.5       1   HBW1
Anseriformes   Anatidae   Pteronetta hartlaubii         8.8       1   HBW1
Anseriformes   Anatidae   Cairina moschata             11.0       1   HBW1
Anseriformes   Anatidae   Cairina scutulata             8.8       1   HBW1
Anseriformes   Anatidae   Aix sponsa                   11.6       1   HBW1
Anseriformes   Anatidae   Aix galericulata             10.4       1   HBW1
Anseriformes   Anatidae   Nettapus pulchellus           9.8       1   HBW1
Anseriformes   Anatidae   Nettapus coromandelianus      9.8       1   HBW1
Anseriformes   Anatidae   Nettapus auritus              8.5       1   HBW1
Anseriformes   Anatidae   Callonetta leucophrys         8.5       1   HBW1
Anseriformes   Anatidae   Chenonetta jubata             9.4       1   HBW1
Anseriformes   Anatidae   Amazonetta brasiliensis       6.9       1   HBW1
Anseriformes   Anatidae   Anas specularis               4.9       1   HBW1
Anseriformes   Anatidae   Anas capensis                 8.1       1   HBW1
Anseriformes   Anatidae   Anas strepera                 9.8       1   HBW1
Anseriformes   Anatidae   Anas falcata                  7.3       1   HBW1
Anseriformes   Anatidae   Anas penelope                 8.5       1   HBW1
