"Species" "Mass" "Temperature" "MetabolRate" "Class"
"Alopex_lagopus" "3600" "38.6" "1374" "Mammalia"
"Canis_latrans" "10000" "37" "2686.567" "Mammalia"
"Canis_mesomelas" "7720" "38" "3860" "Mammalia"
"Cerdocyon_thous" "5444" "38.2" "1524.318" "Mammalia"
"Fennecus_zerda" "1215" "38.8" "583.2" "Mammalia"
"Vulpes_macrotis" "1769" "38" "887.1403" "Mammalia"
"Vulpes_vulpes" "4440" "38.7" "2442" "Mammalia"
"Acinonyx_jubatus" "37900" "39" "8982" "Mammalia"
"Felis_concolor" "37200" "37.6" "8841.7" "Mammalia"
"Felis_pardalis" "10500" "38" "3126.3" "Mammalia"
"Felis_serval" "10100" "36.5" "3137.2" "Mammalia"
"Felis_wiedii" "3600" "38" "937.2" "Mammalia"
"Felis_yagouaroundi" "8400" "38.4" "1737" "Mammalia"
"Panthera_leo" "98000" "37.9" "16954" "Mammalia"
"Panthera_tigris" "137900" "37.5" "23994.6" "Mammalia"
"Galerella_sanguinea" "540" "38.7" "410.4" "Mammalia"
"Herpestes_javanicus" "611" "39.76" "403.26" "Mammalia"
"Suricata_suricatta" "850" "36.3" "310.2498" "Mammalia"
"Proteles_cristatus" "8100" "36.4" "2194.3" "Mammalia"
"Eira_barbara" "2950" "38.4" "1221.3" "Mammalia"
"Lutra_lutra" "10000" "38.14" "4500" "Mammalia"
"Martes_americana" "900" "37.95" "594.9" "Mammalia"
"Mustela_erminea" "75" "39.6" "165" "Mammalia"
"Mustela_frenata" "225" "39" "240.5769" "Mammalia"
"Mustela_vison" "660" "39" "488.4" "Mammalia"
"Spilogale_putorius" "624" "36.35" "299.52" "Mammalia"
"Taxidea_taxus" "9000" "38" "2700" "Mammalia"
"Ailurus_fulgens" "5740" "37.6" "878.22" "Mammalia"
"Bassariscus_sumichrasti" "1280" "38.8" "633.6" "Mammalia"
"Nasua_narica" "3670" "38.6" "1207.43" "Mammalia"
"Nasua_nasua" "4000" "36.4" "992" "Mammalia"
"Potos_flavus" "2343.3" "36.07" "795.9522" "Mammalia"
"Procyon_lotor" "5075" "38" "1598.625" "Mammalia"
"Arctictis_binturong" "14280" "36.7" "2284.8" "Mammalia"
"Arctogalidia_trivirgata" "2010" "36.2" "552.75" "Mammalia"
"Fossa_fossana" "2260" "37.9" "906.26" "Mammalia"
"Nandinia_binotata" "4270" "37.4" "862.54" "Mammalia"
"Paradoxurus_hermaphroditus" "3160" "36.45" "759.98" "Mammalia"
"Peropteryx_macrotis" "5" "34.4" "11.55" "Mammalia"
"Saccopteryx_bilineata" "7.8" "35.5" "14.508" "Mammalia"
"Hipposideros_galeritus" "8.5" "31.9" "9.35" "Mammalia"
"Rhinonycteris_aurantius" "8.27" "36.1" "16.2092" "Mammalia"
"Macroderma_gigas" "148" "37" "139.12" "Mammalia"
"Eumops_perotis" "56" "32.6" "39.76" "Mammalia"
"Molossus_molossus" "15.6" "31.4" "22.464" "Mammalia"
"Tadarida_brasiliensis" "16.9" "36" "20.28" "Mammalia"
"Mormoops_blainvilli" "8.6" "32" "7.998" "Mammalia"
"Mormoops_megalophylla" "16.5" "36.9" "24.42" "Mammalia"
"Pteronotus_davyi" "9.4" "38.8" "15.322" "Mammalia"
"Pteronotus_parnellii" "19.2" "36.4" "30.72" "Mammalia"
"Pteronotus_personatus" "14" "37.5" "22.96" "Mammalia"
"Pteronotus_quadridens" "4.9" "31" "6.125" "Mammalia"
"Natalus_tumidirostris" "5.4" "32.2" "8.316" "Mammalia"
"Noctilio_albiventris" "27" "32" "31.59" "Mammalia"
"Noctilio_leporinus" "61" "33.8" "70.76" "Mammalia"
"Anoura_caudifera" "11.5" "36.5" "42.665" "Mammalia"
"Artibeus_jamaicensis" "45.2" "36.4" "76.84" "Mammalia"
"Artibeus_lituratus" "70.1" "37.3" "107.954" "Mammalia"
"Carollia_perspicillata" "14.9" "36.4" "43.061" "Mammalia"
"Chrotopterus_auritus" "96.1" "37.2" "141.267" "Mammalia"
"Desmodus_rotundus" "29.4" "35" "34.692" "Mammalia"
"Diaemus_youngi" "36.6" "31.1" "37.332" "Mammalia"
"Diphylla_ecaudata" "27.8" "32.4" "38.642" "Mammalia"
"Erophylla_bombifrons" "16.1" "32" "17.71" "Mammalia"
"Glossophaga_soricina" "9.6" "35.5" "29.376" "Mammalia"
"Koopmania_concolor" "19.7" "35.3" "39.794" "Mammalia"
"Leptonycteris_curasoae" "22" "35.7" "44" "Mammalia"
"Macrotus_californicus" "11.7" "35" "14.625" "Mammalia"
"Monophyllus_redmani" "8.7" "34" "11.136" "Mammalia"
"Phyllostomus_discolor" "33.5" "34.6" "47.905" "Mammalia"
"Phyllostomus_hastatus" "84.2" "34.7" "100.198" "Mammalia"
"Platyrrhinus_lineatus" "21.9" "36.4" "44.895" "Mammalia"
"Rhinophylla_pumilio" "9.5" "34.7" "18.62" "Mammalia"
"Sturnira_lilium" "21.9" "36.4" "53.217" "Mammalia"
"Tonatia_bidens" "27.4" "37" "55.074" "Mammalia"
"Uroderma_bilobatum" "16.2" "35.1" "31.59" "Mammalia"
"Cynopterus_brachyotis" "37.4" "36.5" "47.5" "Mammalia"
"Dobsonia_anderseni" "241.4" "36.4" "174" "Mammalia"
"Dobsonia_minor" "73.7" "36.5" "74.4" "Mammalia"
"Dobsonia_moluccensis" "404.3" "36.8" "367.9" "Mammalia"
"Dobsonia_praedatrix" "179.5" "37.1" "142.5" "Mammalia"
"Eonycteris_spelaea" "51.6" "34" "48" "Mammalia"
"Macroglossus_minimus" "15.9" "36.2" "18.5" "Mammalia"
"Melonycteris_melanops" "53.3" "34.9" "43.3" "Mammalia"
"Nyctimene_albiventer" "30.9" "35.9" "27.3" "Mammalia"
"Nyctimene_cyclotis" "40.4" "36" "64.6" "Mammalia"
"Nyctimene_major" "13.6" "33" "20.4" "Mammalia"
"Paranyctimene_raptor" "23.6" "33.8" "24.5" "Mammalia"
"Pteropus_giganteus" "562.2" "36.7" "290.7" "Mammalia"
"Pteropus_hypomelanus" "520.8" "35.7" "290.1" "Mammalia"
"Pteropus_poliocephalus" "598" "36.5" "316.9" "Mammalia"
"Pteropus_pumilus" "194.2" "36.1" "126.4" "Mammalia"
"Pteropus_rodricensis" "254.5" "36.5" "134.9" "Mammalia"
"Pteropus_scapulatus" "362" "37" "242.54" "Mammalia"
"Pteropus_vampyrus" "1024.3" "36.9" "804.1" "Mammalia"
"Rousettus_aegyptiacus" "146" "34.8" "122.6" "Mammalia"
"Rousettus_amplexicaudatus" "91.5" "36.5" "104.3" "Mammalia"
"Syconycteris_australis" "15.9" "35.9" "21.85" "Mammalia"
