"","x"
"Meleagris_gallopavo",0
"Syrmaticus_ellioti",0
"Tragopan_caboti",0
"Gallus_lafayetii",0
"Gallus_sonneratii",0
"Francolinus_pintadeanus",0
"Pavo_muticus",0
"Pavo_cristatus",0
"Coturnix_japonica",1
"Haematortyx_sanguiniceps",0
"Polyplectron_germaini",0
"Arborophila_brunneopectus",0
"Arborophila_ardens",0
"Arborophila_rufipectus",0
"Caloperdix_oculeus",0
"Callipepla_squamata",0
"Ptilopachus_petrosus",0
"Crax_daubentoni",0
"Crax_rubra",0
"Pipile_pipile",0
"Alectura_lathami",0
"Cygnus_columbianus",1
"Cygnus_cygnus",1
"Cygnus_atratus",0
"Cygnus_olor",1
"Anser_anser",1
"Anser_cygnoides",1
"Anser_indicus",1
"Netta_rufina",1
"Aythya_ferina",1
"Aythya_americana",1
"Aythya_fuligula",1
"Anas_acuta",1
"Anas_crecca",1
"Anas_platyrhynchos",1
"Anas_poecilorhyncha",0
"Anas_clypeata",1
"Tadorna_ferruginea",1
"Cairina_moschata",0
"Aix_galericulata",1
"Anseranas_semipalmata",0
"Trugon_terrestris",0
"Didunculus_strigirostris",0
"Goura_sclaterii",0
"Caloenas_maculata",0
"Hemiphaga_novaeseelandiae",0
"Otidiphaps_nobilis",0
"Geopelia_striata",0
"Alopecoenas_salamonis",0
"Streptopelia_chinensis",0
"Columba_jouyi",0
"Ectopistes_migratorius",1
"Phalcoboenus_australis",0
"Nestor_notabilis",0
"Forpus_passerinus",0
"Ara_tricolor",0
"Ara_severus",0
"Primolius_maracana",0
"Eupsittula_pertinax",0
"Amazona_ochrocephala",0
"Amazona_ventralis",0
"Brotogeris_cyanoptera",0
"Myiopsitta_monachus",0
"Psittacus_erithacus",0
"Coracopsis_vasa",0
"Eclectus_roratus",0
"Neophema_chrysogaster",1
"Agapornis_roseicollis",0
"Psephotellus_pulcherrimus",0
"Calyptorhynchus_latirostris",0
"Calyptorhynchus_baudinii",0
"Calyptorhynchus_lathami",0
"Cacatua_moluccensis",0
"Probosciger_aterrimus",0
"Luscinia_cyanura",1
"Monticola_gularis",1
"Phoenicurus_auroreus",1
"Ficedula_zanthopygia",1
"Ficedula_albicollis",1
"Cyanoptila_cyanomelana",1
"Copsychus_saularis",0
"Turdus_hortulorum",1
"Turdus_naumanni",1
"Turdus_eunomus",1
"Zoothera_aurea",1
"Myadestes_myadestinus",0
"Gracula_religiosa",0
"Sturnus_nigricollis",0
"Acridotheres_cristatellus",0
"Sturnus_vulgaris",1
"Campylorhynchus_brunneicapillus",0
"Henicorhina_leucosticta",0
"Nesopsar_nigerrimus",0
"Macroagelaius_imthurni",0
"Gymnomystax_mexicanus",0
"Chrysomus_xanthophthalmus",0
"Chrysomus_cyanopus",0
"Pseudoleistes_guirahuro",0
"Xanthopsar_flavus",0
"Chrysomus_ruficapillus",0
"Molothrus_badius",1
"Curaeus_curaeus",0
"Euphagus_cyanocephalus",1
"Dives_dives",0
"Emberiza_pusilla",1
"Emberiza_rutila",1
"Emberiza_chrysophrys",1
"Emberiza_tristrami",1
"Emberiza_leucocephalos",1
"Piranga_ludoviciana",1
"Cardinalis_cardinalis",0
"Chlorophanes_spiza",0
"Geospiza_magnirostris",0
