"","x"
"Tetrastes_sewerzowi",1
"Meleagris_gallopavo",0
"Crossoptilon_harmani",1
"Crossoptilon_crossoptilon",1
"Crossoptilon_auritum",1
"Syrmaticus_ellioti",0
"Perdix_hodgsoniae",1
"Lophophorus_sclateri",1
"Lophophorus_lhuysii",1
"Tetraophasis_szechenyii",1
"Tetraophasis_obscurus",1
"Tragopan_caboti",0
"Ithaginis_cruentus",1
"Gallus_lafayetii",0
"Gallus_sonneratii",0
"Francolinus_pintadeanus",0
"Pavo_muticus",0
"Pavo_cristatus",0
"Tetraogallus_himalayensis",1
"Tetraogallus_tibetanus",1
"Haematortyx_sanguiniceps",0
"Polyplectron_germaini",0
"Arborophila_brunneopectus",0
"Arborophila_ardens",0
"Arborophila_rufipectus",0
"Caloperdix_oculeus",0
"Callipepla_squamata",0
"Ptilopachus_petrosus",0
"Crax_daubentoni",0
"Crax_rubra",0
"Pipile_pipile",0
"Alectura_lathami",0
"Cygnus_atratus",0
"Anas_poecilorhyncha",0
"Cairina_moschata",0
"Anseranas_semipalmata",0
"Trugon_terrestris",0
"Didunculus_strigirostris",0
"Goura_sclaterii",0
"Caloenas_maculata",0
"Hemiphaga_novaeseelandiae",0
"Otidiphaps_nobilis",0
"Geopelia_striata",0
"Alopecoenas_salamonis",0
"Streptopelia_chinensis",0
"Columba_jouyi",0
"Phalcoboenus_australis",0
"Nestor_notabilis",0
"Forpus_passerinus",0
"Ara_tricolor",0
"Ara_severus",0
"Primolius_maracana",0
"Eupsittula_pertinax",0
"Amazona_ochrocephala",0
"Amazona_ventralis",0
"Brotogeris_cyanoptera",0
"Myiopsitta_monachus",0
"Psittacus_erithacus",0
"Coracopsis_vasa",0
"Eclectus_roratus",0
"Agapornis_roseicollis",0
"Psephotellus_pulcherrimus",0
"Calyptorhynchus_latirostris",0
"Calyptorhynchus_baudinii",0
"Calyptorhynchus_lathami",0
"Cacatua_moluccensis",0
"Probosciger_aterrimus",0
"Pseudopodoces_humilis",1
"Copsychus_saularis",0
"Myadestes_myadestinus",0
"Gracula_religiosa",0
"Sturnus_nigricollis",0
"Acridotheres_cristatellus",0
"Campylorhynchus_brunneicapillus",0
"Henicorhina_leucosticta",0
"Montifringilla_nivalis",1
"Montifringilla_adamsi",1
"Montifringilla_ruficollis",1
"Pyrgilauda_blanfordi",1
"Montifringilla_taczanowskii",1
"Nesopsar_nigerrimus",0
"Macroagelaius_imthurni",0
"Gymnomystax_mexicanus",0
"Chrysomus_xanthophthalmus",0
"Chrysomus_cyanopus",0
"Pseudoleistes_guirahuro",0
"Xanthopsar_flavus",0
"Chrysomus_ruficapillus",0
"Curaeus_curaeus",0
"Dives_dives",0
"Cardinalis_cardinalis",0
"Chlorophanes_spiza",0
"Geospiza_magnirostris",0
"Sporophila_maximiliani",0
"Melamprosops_phaeosoma",0
"Pseudonestor_xanthophrys",0
"Hemignathus_parvus",0
"Hemignathus_flavus",0
"Hemignathus_stejnegeri",0
"Hemignathus_virens",0
"Loxops_caeruleirostris",0
"Loxops_coccineus",0
"Loxops_mana",0
"Himatione_sanguinea",0
"Akialoa_obscura",0
"Oreomystis_bairdi",0
"Serinus_canaria",0
"Fringilla_polatzeki",0
"Fringilla_teydea",0
"Anthus_novaeseelandiae",0
"Vidua_chalybeata",0
"Lonchura_castaneothorax",0
"Lonchura_nevermanni",0
"Lonchura_melaena",0
"Lonchura_forbesi",0
"Lonchura_hunsteini",0
"Lonchura_spectabilis",0
"Lonchura_grandis",0
"Lonchura_stygia",0
"Lonchura_caniceps",0
"Padda_oryzivora",0
"Prunella_strophiata",1
"Moho_braccatus",0
"Garrulax_perspicillatus",0
"Garrulax_poecilorhynchus",0
"Garrulax_sannio",0
"Garrulax_cineraceus",0
"Garrulax_canorus",0
"Leiothrix_argentauris",0
"Napothera_epilepidota",0
"Paradoxornis_webbianus",0
"Pycnonotus_taivanus",0
"Pycnonotus_xanthorrhous",0
"Pycnonotus_melanicterus",0
"Spizixos_semitorques",0
"Aegithalos_fuliginosus",0
"Lophophanes_dichrous",1
"Hyliota_flavigaster",0
"Eopsaltria_griseogularis",0
"Eopsaltria_georgiana",0
"Eopsaltria_australis",0
"Tregellasia_leucops",0
"Tregellasia_capito",0
"Petroica_australis",0
"Petroica_macrocephala",0
"Heteralocha_acutirostris",0
"Philesturnus_carunculatus",0
"Callaeas_cinereus",0
"Corvus_moriorum",0
"Corvus_splendens",0
"Corvus_hawaiiensis",0
"Urocissa_erythrorhyncha",0
"Urocissa_caerulea",0
"Prosthemadera_novaeseelandiae",0
"Epthianura_albifrons",0
"Gerygone_igata",0
"Malurus_melanocephalus",0
"Menura_novaehollandiae",0
"Smithornis_sharpei",0
"Mionectes_oleagineus",0
"Cnemotriccus_fuscatus",0
"Ninox_scutulata",0
"Ninox_strenua",0
