Common_name ET BodyMass Species Temp
Broadnose_sevengill_shark No 54 Notorynchus_cepedianus 16
Salmon_shark Yes 117 Lamna_ditropis 25
Porbeagle_shark Yes 105 Lamna_nasus 10
White_shark Yes 315 Carcharodon_carcharias 26
Shortfin_mako_shark Yes 56 Isurus_oxyrinchus 22
Broadnose_sevengill_shark No 50 Notorynchus_cepedianus 16
Greenland_shark No 263 Somniosus_microcephalus 2
Gummy_shark No 2.3 Mustelus_antarcticus 16
Atlantic_cod No 1.7 Gadus_morhua 5
Yellowfin_tuna Yes 17 Thunnus_albacares 28
Southern_bluefin_tuna Yes 20 Thunnus_maccoyii 17
Atlantic_bluefin_tuna Yes 244 Thunnus_thynnus 25
Pacific_bluefin_tuna Yes 23 Thunnus_orientalis 25
Albacore Yes 10  Thunnus_alalunga 18
Swordfish No 150 Xiphias_gladius 19
Striped_marlin No 75 Kajikia_audax 22.75
Blue_marlin No 105 Makaira_nigricans 28
Yellowtail No 9.5 Seriola_quinqueradiata 11
Pacific_halibut No 23 Hippoglossus_stenolepis 3.5
Plaice No 0.6 Pleuronectes_platessa 8.5
