Species Lm
Abudefduf_saxatilis 15
Abudefduf_vaigiensis 12
Acanthistius_brasilianus 29
Acanthocybium_solandri 95
Acanthocybium_solandri 101
Acanthopagrus_latus 23.7
Acanthopsetta_nadeshnyi 16
Acanthostracion_quadricornis 19.8
Acanthostracion_quadricornis 22.2
Acanthurus_leucosternon 13.8
Acanthurus_triostegus 7.5
Acanthurus_triostegus 10
Acaronia_nassa 8
Acentrogobius_pflaumii 8.9
Acestrorhynchus_lacustris 10.7
Acestrorhynchus_lacustris 13
Achoerodus_gouldii 65.3
Achondrostoma_arcasii 3.7
Achondrostoma_arcasii 5.1
Acipenser_baerii 60
Acipenser_baerii 60
Acipenser_baerii 70
Acipenser_baerii 70
Acipenser_baerii 79
Acipenser_baerii 79
Acipenser_baerii 80
Acipenser_baerii 97
Acipenser_baerii 100
Acipenser_baerii 100
Acipenser_baerii 103
Acipenser_baerii 103
Acipenser_baerii 109
Acipenser_dabryanus 106
Acipenser_fulvescens 80
Acipenser_fulvescens 90
Acipenser_fulvescens 96.5
Acipenser_fulvescens 112
Acipenser_fulvescens 114
Acipenser_medirostris 100
Acipenser_nudiventris 130
Acipenser_oxyrinchus 165
Acipenser_oxyrinchus 190
Acipenser_ruthenus 35
Acipenser_ruthenus 43
Acipenser_schrenckii 103
Acipenser_schrenckii 105
Acipenser_sturio 150
Acipenser_transmontanus 112
Acroteriobatus_variegatus 43.5
Acroteriobatus_variegatus 58.6
Alburnus_alburnus 9.9
Alepes_djedaba 13.7
Alepes_djedaba 18.9
Alepes_kleinii 12.9
Alepocephalus_rostratus 23.6
Alepocephalus_rostratus 27.7
Allocyttus_niger 34
Allocyttus_verrucosus 24
Allocyttus_verrucosus 28
Alopias_vulpinus 303
Alopias_vulpinus 303
Alosa_fallax 16.5
Alosa_fallax 28.5
Alosa_mediocris 28.7
Alosa_mediocris 32
Alosa_pseudoharengus 13.1
Alosa_pseudoharengus 15.8
Alphestes_afer 12
Alphestes_afer 18
Amblyraja_radiata 40
Amblyraja_radiata 46
Amblyraja_radiata 86.5
Amblyraja_radiata 87.5
Ammodytes_marinus 13.6
Ammodytes_marinus 14.3
Ammodytes_marinus 16.3
Amphilius_atesuensis 4
Amphilius_natalensis 6.2
Anableps_anableps 13
Anchoa_januaria 6.5
Anchoa_mitchilli 4.6
Anchoa_nasus 6
Anchoviella_lepidentostole 8.8
Anchoviella_lepidentostole 9.4
Anguilla_anguilla 60
Anoplopoma_fimbria 58
Anoplopoma_fimbria 60.2
Anoplopoma_fimbria 65
Apareiodon_affinis 7.3
Apareiodon_affinis 7.9
Aphanopus_carbo 97.6
Aphanopus_carbo 102.8
Aphanopus_carbo 109.5
Aphanopus_carbo 114.4
Aphanopus_carbo 117.5
Aphia_minuta 3.4
Aphia_minuta 3.8
Aphyocharax_anisitsi 18
Aphyocharax_anisitsi 21
Apristurus_aphyodes 49
Apristurus_aphyodes 56.9
Apristurus_longicephalus 49
Apristurus_longicephalus 51
Apteronotus_leptorhynchus 13
Arapaima_gigas 212
Arctoscopus_japonicus 16.8
Argentina_silus 26
Argentina_silus 28
Argentina_silus 35
Argentina_silus 38
Argentina_silus 38
Argyrops_filamentosus 22.2
Argyrops_filamentosus 27.5
Argyrops_spinifer 36.5
Argyrops_spinifer 37.2
Argyrosomus_inodorus 29
Argyrosomus_inodorus 31
Argyrosomus_inodorus 31
Argyrosomus_inodorus 32.5
Argyrosomus_inodorus 34
Argyrosomus_inodorus 35
Argyrosomus_inodorus 36
Argyrosomus_inodorus 37.5
Argyrosomus_japonicus 75
Argyrosomus_japonicus 95
Argyrosomus_japonicus 110
Argyrosomus_thorpei 33
Ariomma_indicum 15.1
Arnoglossus_laterna 6.8
Aspistor_luniscutis 18
Astronotus_ocellatus 12
Astyanax_altiparanae 3.6
Astyanax_altiparanae 3.7
Astyanax_altiparanae 4.2
Astyanax_bockmanni 3.6
Astyanax_bockmanni 4.2
Astyanax_schubarti 5.6
Astyanax_schubarti 6
Atheresthes_stomias 28
Atheresthes_stomias 34
Atheresthes_stomias 36.8
Atheresthes_stomias 39
Atherina_boyeri 7.8
Atherinella_brasiliensis 6.9
Atherinella_brasiliensis 7.6
Atlantoraja_castelnaui 105
Atlantoraja_cyclophora 51
Atlantoraja_cyclophora 52.8
Atlantoraja_platana 62
Atlantoraja_platana 68
Atlantoraja_platana 71.5
Atlantoraja_platana 72.6
Atrobucca_nibe 14.5
Atropus_atropos 21
Atule_mate 17.2
Auchenipterus_osteomystax 14.7
Auchenipterus_osteomystax 15.3
Austrolebias_viarius 2.5
Auxis_rochei 20.7
Auxis_rochei 23.6
Auxis_thazard 27.5
Auxis_thazard 29.7
Auxis_thazard 29.7
Auxis_thazard 30.5
Bagrus_meridionalis 33
Bagrus_meridionalis 37
Bagrus_meridionalis 43.8
Bagrus_meridionalis 44.4
Bagrus_meridionalis 47.5
Bagrus_meridionalis 52
Bairdiella_ronchus 15.4
Bairdiella_ronchus 15.8
Balistes_capriscus 17
Balistes_capriscus 20
Bathymaster_derjugini 17.8
Bathyraja_albomaculata 62.8
Bathyraja_albomaculata 65.3
Bathyraja_parmifera 92
Bathyraja_parmifera 93
Batrachoides_surinamensis 20
Batrachoides_surinamensis 25
Beringraja_binoculata 105
Beringraja_rhina 67.8
Beringraja_rhina 90
Bolinichthys_photothorax 5.4
Boops_boops 13
Boops_boops 13
Boops_boops 13.3
Boops_boops 14.3
Bothus_constellatus 10.1
Boulengerochromis_microlepis 40
Bovichtus_diacanthus 14.7
Brevitrygon_imbricata 18
Brevitrygon_imbricata 20
Brevoortia_patronus 15.1
Brevoortia_patronus 20.6
Brosme_brosme 47.1
Brosme_brosme 50.9
Brosme_brosme 53
Brosme_brosme 62
Brycinus_imberi 12
Brycinus_imberi 12
Brycinus_longipinnis 4.5
Brycinus_macrolepidotus 18.5
Brycinus_nurse 10.7
Brycon_orbignyanus 24
Brycon_orbignyanus 31.6
Bryconamericus_stramineus 2.1
Bryconamericus_stramineus 3
Buglossidium_luteum 8
Bunocephalus_coracoideus 12
Callionymus_lyra 17.4
Calotomus_spinidens 10.5
Capros_aper 6.7
Capros_aper 8.1
Capros_aper 9.7
Caranx_hippos 22
Carcharhinus_acronotus 103
Carcharhinus_acronotus 110
Carcharhinus_acronotus 110
Carcharhinus_acronotus 120
Carcharhinus_albimarginatus 200
Carcharhinus_altimus 216
Carcharhinus_altimus 226
Carcharhinus_amblyrhynchoides 115
Carcharhinus_amblyrhynchos 118
Carcharhinus_amblyrhynchos 123
Carcharhinus_amblyrhynchos 123.2
Carcharhinus_amblyrhynchos 125
Carcharhinus_amblyrhynchos 125
Carcharhinus_amblyrhynchos 126
Carcharhinus_amblyrhynchos 135
Carcharhinus_amblyrhynchos 136
Carcharhinus_amblyrhynchos 137
Carcharhinus_amboinensis 200
Carcharhinus_amboinensis 208
Carcharhinus_amboinensis 210
Carcharhinus_amboinensis 215
Carcharhinus_amboinensis 224
Carcharhinus_brachyurus 200
Carcharhinus_brachyurus 200
Carcharhinus_brachyurus 229
Carcharhinus_brachyurus 231
Carcharhinus_brevipinna 195
Carcharhinus_brevipinna 210
Carcharhinus_cautus 91
Carcharhinus_dussumieri 63.1
Carcharhinus_dussumieri 64.2
Carcharhinus_falciformis 200
Carcharhinus_falciformis 214
Carcharhinus_falciformis 218
Carcharhinus_falciformis 220
Carcharhinus_falciformis 225
Carcharhinus_falciformis 230
Carcharhinus_falciformis 234
Carcharhinus_falciformis 240
Carcharhinus_falciformis 248
Carcharhinus_fitzroyensis 88
Carcharhinus_isodon 119
Carcharhinus_isodon 123
Carcharhinus_limbatus 140
Carcharhinus_limbatus 157
Carcharhinus_limbatus 165
Carcharhinus_longimanus 187
Carcharhinus_macloti 62
Carcharhinus_plumbeus 130
Carcharhinus_porosus 70
Carcharhinus_porosus 71
Carcharhinus_sorrah 130
Catathyridium_jenynsii 10.4
Catathyridium_jenynsii 10.8
Cathorops_spixii 9.6
Centrophorus_harrissoni 84
Centrophorus_harrissoni 99
Centrophorus_squamosus 98
Centrophorus_squamosus 98.9
Centrophorus_squamosus 99.1
Centrophorus_squamosus 101
Centrophorus_squamosus 102
Centrophorus_squamosus 119
Centrophorus_squamosus 124
Centrophorus_squamosus 125
Centrophorus_squamosus 126.3
Centrophorus_squamosus 128
Centropristis_striata 19
Centropristis_striata 19.1
Centroscymnus_coelolepis 85.1
Centroscymnus_coelolepis 101.2
Centroscymnus_crepidater 57.2
Centroscymnus_crepidater 75.4
Cephalopholis_formosa 17
Cephalopholis_fulva 12.9
Cephalopholis_fulva 13.3
Cephalopholis_taeniops 18
Cepola_macrophthalma 20
Cepola_macrophthalma 22
Cepola_macrophthalma 23.8
Cepola_macrophthalma 29.9
Cetengraulis_edentulus 11.2
Cetengraulis_edentulus 11.8
Cetengraulis_edentulus 14
Cetengraulis_edentulus 14.8
Cetengraulis_edentulus 15.4
Chaenocephalus_aceratus 37.6
Chaenocephalus_aceratus 38.6
Chaenocephalus_aceratus 42.8
Chaenocephalus_aceratus 45.1
Chaenocephalus_aceratus 46.3
Chaenocephalus_aceratus 46.8
Chaetobranchus_flavescens 17
Chaetobranchus_flavescens 22
Chaetodon_auriga 13
Chaetodon_capistratus 8.8
Chaetodon_capistratus 9.2
Chaetodon_larvatus 6.6
Chaetodon_larvatus 7.1
Chaetodon_ocellatus 13.4
Chaetodon_ocellatus 13.9
Chaetodon_striatus 12.4
Chaetodon_striatus 13.2
Channa_argus 30
Channa_striata 15.4
Channa_striata 18
Channa_striata 25
Chanodichthys_erythropterus 40
Chanodichthys_mongolicus 30
Chanos_chanos 65
Chanos_chanos 65
Chanos_chanos 70
Chanos_chanos 71.5
Chanos_chanos 73
Chanos_chanos 75
Chanos_chanos 80
Chanos_chanos 82.5
Chanos_chanos 94
Chanos_chanos 110
Chanos_chanos 111
Cheilodactylus_variegatus 24.6
Cheilodactylus_variegatus 25.8
Cheilopogon_spilopterus 28.5
Cheimerius_nufar 28.3
Chelidonichthys_capensis 30.5
Chelidonichthys_capensis 34
Chelidonichthys_capensis 35
Chelidonichthys_cuculus 25
Chelidonichthys_cuculus 25
Chelidonichthys_cuculus 26.3
Chelidonichthys_cuculus 28.1
Chelidonichthys_lucerna 19.2
Chelidonichthys_lucerna 21.6
Chelidonichthys_lucerna 27.7
Chelidonichthys_lucerna 28
Chelidonichthys_lucerna 29.1
Chelidonichthys_queketti 19.5
Chelon_auratus 27
Chelon_auratus 34
Chelon_dumerili 14
Chelon_dumerili 15
Chelon_dumerili 18
Chelon_dumerili 20
Chelon_dumerili 20.2
Chelon_parsia 9.5
Chelon_ramada 25
Chelon_ramada 25
Chelon_ramada 30
Chelon_saliens 21
Chelon_saliens 22
Chimaera_lignaria 100
Chirocentrodon_bleekerianus 7.6
Chitala_chitala 62
Chitala_chitala 75.5
Chloroscombrus_chrysurus 9.8
Chloroscombrus_chrysurus 11
Chloroscombrus_chrysurus 11.5
Chloroscombrus_chrysurus 14.9
Chloroscombrus_chrysurus 15.4
Chlorurus_sordidus 15
Chromis_viridis 5.8
Cichla_kelberi 20.7
Cichla_kelberi 21.5
Cichlasoma_orientale 10
Cichlasoma_paranaense 4.7
Cichlasoma_paranaense 4.8
Cirrhigaleus_asper 110
Cirrhinus_reba 11.5
Cirrhinus_reba 13.5
Citharichthys_darwini 3
Clarias_batrachus 28
Clarias_gariepinus 18.5
Clarias_gariepinus 30.5
Clarias_gariepinus 34
Clarias_gariepinus 35
Clarias_gariepinus 37
Clarias_gariepinus 37.5
Clupea_harengus 12.5
Clupea_harengus 12.5
Clupea_harengus 13
Clupea_harengus 13.5
Clupea_harengus 14
Clupea_harengus 14
Clupea_harengus 14.5
Clupea_harengus 14.5
Clupea_harengus 14.5
Clupea_harengus 14.5
Clupea_harengus 15
Clupea_harengus 15
Clupea_harengus 15
Clupea_harengus 15
Clupea_harengus 15
Clupea_harengus 15
Clupea_harengus 16
Clupea_harengus 22
Clupea_harengus 22.1
Clupea_harengus 22.1
Clupea_harengus 23.7
Clupea_harengus 23.8
Clupea_harengus 24
Clupea_harengus 24
Clupea_harengus 24
Clupea_harengus 24
Clupea_harengus 24.1
Clupea_harengus 24.1
Clupea_harengus 24.5
Clupea_harengus 24.9
Clupea_harengus 25
Clupea_harengus 25
Clupea_harengus 25.1
Clupea_harengus 25.3
Clupea_harengus 25.3
Clupea_harengus 25.4
Clupea_harengus 25.4
Clupea_harengus 25.7
Clupea_harengus 26
Clupea_harengus 26
Clupea_harengus 26
Clupea_harengus 26.4
Clupea_harengus 26.5
Clupea_harengus 26.8
Clupea_harengus 26.8
Clupea_harengus 27
Clupea_harengus 27.5
Clupea_harengus 27.5
Clupea_harengus 28
Clupea_harengus 28.9
Clupea_harengus 29.3
Clupea_harengus 30
Clupea_harengus 30.1
Clupea_harengus 31.2
Clupea_harengus 32.5
Clupea_pallasii_pallasii 17.9
Clupea_pallasii_pallasii 20.9
Clupea_pallasii_pallasii 20.9
Clupea_pallasii_pallasii 22
Clupea_pallasii_pallasii 25
Cololabis_saira 25
Conger_conger 200
Copadichromis_mloto 10.3
Copadichromis_pleurostigmoides 13
Copadichromis_quadrimaculatus 17.7
Copadichromis_quadrimaculatus 17.7
Copadichromis_virginalis 10.6
Coptodon_guineensis 9.3
Coptodon_guineensis 12
Coptodon_guineensis 15.4
Coptodon_guineensis 15.9
Coptodon_rendalli 12
Coptodon_rendalli 15
Coptodon_rendalli 17
Coptodon_rendalli 21
Coptodon_rendalli 22.5
Coptodon_rendalli 23
Coptodon_zillii 7
Coptodon_zillii 9
Coptodon_zillii 13
Coptodon_zillii 13.5
Coregonus_artedi 27
Coregonus_clupeaformis 23
Coregonus_clupeaformis 27
Coregonus_clupeaformis 27
Coregonus_hoyi 17
Coregonus_hoyi 18.3
Coregonus_kiyi 18
Coregonus_lavaretus 25
Coregonus_lavaretus 27.1
Coregonus_lavaretus 27.9
Coregonus_pollan 27
Corica_soborna 4.4
Coryphaenoides_rupestris 45.6
Coryphaenoides_rupestris 46.5
Coryphaenoides_rupestris 48
Coryphaenoides_rupestris 54.5
Coryphaenoides_rupestris 57
Cottus_beldingii 4.8
Cottus_cognatus 7.4
Cottus_gobio 4.2
Cottus_gobio 4.6
Cottus_gobio 5
Cottus_gobio 5
Crenicichla_britskii 6.8
Crenicichla_britskii 7
Ctenochaetus_strigosus 14.5
Ctenopharyngodon_idella 70
Ctenopharynx_intermedius 15.5
Culter_alburnus 25
Cynoglossus_arel 19.1
Cynoglossus_arel 19.5
Cynoglossus_arel 21
Cynoglossus_lida 16.7
Cynoglossus_lida 17.9
Cynoglossus_macrostomus 11.5
Cynoscion_acoupa 39.9
Cynoscion_albus 72
Cynoscion_analis 20.2
Cynoscion_analis 27
Cynoscion_guatucupa 29.6
Cynoscion_guatucupa 29.6
Cynoscion_guatucupa 32.6
Cynoscion_guatucupa 34.6
Cynoscion_jamaicensis 15.4
Cynoscion_jamaicensis 19.5
Cynoscion_jamaicensis 25.1
Cynoscion_jamaicensis 25.1
Cynoscion_microlepidotus 23.5
Cynoscion_microlepidotus 32.1
Cynoscion_nothus 16
Cynoscion_othonopterus 26.8
Cynoscion_othonopterus 29.5
Cyphocharax_modestus 7.3
Cyphocharax_modestus 7.5
Cyphocharax_nagelii 7
Cyphocharax_nagelii 8.9
Cyphocottus_megalops 8
Cyphomyrus_discorhynchus 11
Cyphomyrus_discorhynchus 13
Cyprinus_carpio 19.4
Cyprinus_carpio 25.1
Cypselurus_oligolepis 22.9
Cyttus_traversi 18.3
Cyttus_traversi 21.6
Dascyllus_aruanus 5
Deania_calcea 85
Deania_calcea 105
Decapterus_russelli 11
Decapterus_russelli 12.5
Decapterus_russelli 13
Decapterus_russelli 13.5
Decapterus_russelli 13.7
Decapterus_russelli 13.9
Decapterus_russelli 16
Dentex_canariensis 20
Dentex_canariensis 21.9
Dentex_canariensis 22.3
Dentex_dentex 34.6
Dentex_dentex 50
Dentex_gibbosus 34.7
Dentex_gibbosus 38.6
Dentex_macrophthalmus 19.3
Dentex_macrophthalmus 24
Dentex_maroccanus 10
Dentex_maroccanus 13
Dentex_maroccanus 15.8
Deuterodon_langei 6.4
Diaphus_rafinesquii 5
Diaphus_rafinesquii 6.5
Dicentrarchus_labrax 20
Dicentrarchus_labrax 29
Dicentrarchus_labrax 42
Dichistius_capensis 31
Dichistius_capensis 34
Dicologlossa_cuneata 14
Dicologlossa_cuneata 16
Dicologlossa_cuneata 18.2
Diplodus_annularis 9
Diplodus_annularis 9
Diplodus_annularis 9.5
Diplodus_annularis 10
Diplodus_annularis 10
Diplodus_annularis 10
Diplodus_annularis 10.3
Diplodus_annularis 11.4
Diplodus_annularis 11.6
Diplodus_annularis 12.6
Diplodus_annularis 12.8
Diplodus_annularis 12.9
Diplodus_annularis 13.4
Diplodus_argenteus 20.3
Diplodus_cadenati 20.1
Diplodus_cadenati 21.6
Diplodus_sargus 16.7
Diplodus_sargus 17
Diplodus_vulgaris 17
Diplodus_vulgaris 18.3
Diplodus_vulgaris 20.4
Diplotaxodon_limnothrissa 13.5
Diplotaxodon_limnothrissa 14.5
Dipturus_batis 130
Dipturus_batis 160
Dipturus_innominatus 93
Dipturus_innominatus 112
Discherodontus_ashmeadi 5.5
Dissostichus_mawsoni 120.4
Dissostichus_mawsoni 133.2
Dorosoma_cepedianum 26.5
Dorosoma_cepedianum 36.1
Dules_auriga 14.1
Dules_auriga 14.1
Economidichthys_trichonis 1.8
Eigenmannia_virescens 11
Eigenmannia_virescens 13
Electrona_antarctica 7.4
Electrona_risso 5.8
Eleginus_gracilis 30
Eleginus_gracilis 30
Enchelyopus_cimbrius 25
Encrasicholina_devisi 6.2
Encrasicholina_devisi 6.8
Encrasicholina_devisi 6.8
Engraulis_capensis 9.5
Engraulis_encrasicolus 8.2
Engraulis_encrasicolus 8.2
Engraulis_encrasicolus 10.5
Engraulis_encrasicolus 11.2
Engraulis_encrasicolus 11.2
Engraulis_encrasicolus 11.5
Engraulis_encrasicolus 11.5
Engraulis_encrasicolus 12.5
Engraulis_encrasicolus 12.5
Engraulis_encrasicolus 13
Engraulis_encrasicolus 13
Engraulis_encrasicolus 13.7
Engraulis_encrasicolus 14.3
Engraulis_mordax 9.6
Engraulis_ringens 12
Eopsetta_jordani 38
Eopsetta_jordani 44
Epinephelides_armatus 25.6
Epinephelides_armatus 30.6
Epinephelus_andersoni 49.2
Epinephelus_areolatus 20
Epinephelus_bleekeri 36
Epinephelus_chlorostigma 28
Epinephelus_chlorostigma 28
Epinephelus_chlorostigma 39
Epinephelus_coioides 43.5
Epinephelus_coioides 53
Epinephelus_coioides 92
Epinephelus_hexagonatus 19
Epinephelus_itajara 113
Epinephelus_itajara 128
Epinephelus_longispinis 23
Epinephelus_malabaricus 64
Epinephelus_malabaricus 82
Epinephelus_marginatus 47
Epinephelus_marginatus 49.1
Epinephelus_marginatus 57
Epinephelus_merra 11
Epinephelus_morio 38.8
Epinephelus_tauvina 61.1
Eptatretus_deani 34
Eptatretus_deani 38
Eptatretus_nelsoni 22
Eptatretus_nelsoni 24
Eptatretus_stoutii 35
Eptatretus_stoutii 42
Esox_lucius 25.7
Esox_lucius 26.3
Esox_lucius 29.5
Esox_lucius 34
Esox_lucius 38
Esox_lucius 38
Esox_lucius 41.5
Esox_lucius 49
Esox_lucius 50.8
Esox_masquinongy 67
Esox_masquinongy 77
Esox_reichertii 40
Etelis_carbunculus 61
Ethmalosa_fimbriata 8.1
Ethmalosa_fimbriata 8.4
Ethmalosa_fimbriata 12
Ethmalosa_fimbriata 12.1
Ethmalosa_fimbriata 13.5
Ethmalosa_fimbriata 14.5
Ethmalosa_fimbriata 14.5
Ethmalosa_fimbriata 15.5
Ethmalosa_fimbriata 15.5
Ethmalosa_fimbriata 16
Ethmalosa_fimbriata 17
Ethmalosa_fimbriata 17
Ethmalosa_fimbriata 18.5
Ethmalosa_fimbriata 22
Ethmalosa_fimbriata 23
Ethmalosa_fimbriata 23.5
Ethmalosa_fimbriata 27
Ethmalosa_fimbriata 28
Ethmidium_maculatum 25.2
Ethmidium_maculatum 25.5
Etmopterus_bigelowi 45.1
Etmopterus_bigelowi 56
Etroplus_suratensis 15
Etrumeus_sadina 16.2
Etrumeus_sadina 16.4
Eubleekeria_splendens 8.9
Eubleekeria_splendens 9.4
Eugerres_mexicanus 17.3
Eugerres_mexicanus 20.5
Euthynnus_affinis 37.7
Euthynnus_affinis 37.7
Euthynnus_affinis 37.7
Euthynnus_affinis 39.4
Euthynnus_affinis 43
Euthynnus_affinis 43
Euthynnus_alletteratus 41
Eutrigla_gurnardus 18
Eutrigla_gurnardus 18
Eutrigla_gurnardus 24
Eutrigla_gurnardus 31
Eutropiichthys_vacha 13.2
Eutropiichthys_vacha 14
Eutropiichthys_vacha 14
Eutropiichthys_vacha 15
Eviota_sigillata 1
Evynnis_ehrenbergii 19.6
Evynnis_ehrenbergii 21
Favonigobius_reichei 2
Gadiculus_thori 12
Gadus_chalcogrammus 37
Gadus_chalcogrammus 39
Gadus_macrocephalus 50.2
Gadus_macrocephalus 67
Gadus_morhua 20
Gadus_morhua 29
Gadus_morhua 29
Gadus_morhua 32.1
Gadus_morhua 32.2
Gadus_morhua 32.2
Gadus_morhua 35
Gadus_morhua 35.2
Gadus_morhua 36
Gadus_morhua 37.8
Gadus_morhua 37.8
Gadus_morhua 37.8
Gadus_morhua 38
Gadus_morhua 38.8
Gadus_morhua 39
Gadus_morhua 40
Gadus_morhua 41
Gadus_morhua 51
Gadus_morhua 53
Gadus_morhua 58.3
Gadus_morhua 59
Gadus_morhua 60.9
Gadus_morhua 61
Gadus_morhua 62.7
Gadus_morhua 62.7
Gadus_morhua 63.7
Gadus_morhua 63.7
Gadus_morhua 63.9
Gadus_morhua 63.9
Gadus_morhua 64.9
Gadus_morhua 64.9
Gadus_morhua 66.5
Gadus_morhua 66.5
Gadus_morhua 66.6
Gadus_morhua 66.6
Gadus_morhua 67.6
Gadus_morhua 67.6
Gadus_morhua 68.1
Gadus_morhua 68.1
Gadus_morhua 69
Gadus_morhua 69
Gadus_morhua 69.7
Gadus_morhua 71.6
Gadus_morhua 71.6
Gadus_morhua 72.8
Gadus_morhua 72.8
Gadus_morhua 73.7
Gadus_morhua 73.7
Gadus_morhua 74.1
Gadus_morhua 74.1
Gadus_morhua 74.8
Gadus_morhua 74.8
Gadus_morhua 76.4
Gadus_morhua 76.4
Gadus_morhua 78
Gadus_morhua 78
Gadus_morhua 79.7
Gadus_morhua 79.7
Gadus_morhua 80
Gadus_morhua 81.5
Gadus_morhua 81.5
Gadus_morhua 85
Gaidropsarus_guttatus 15.1
Galaxias_occidentalis 7
Galaxias_occidentalis 7.5
Galaxiella_munda 4.3
Galaxiella_munda 4.7
Galaxiella_nigrostriata 3.3
Galaxiella_nigrostriata 3.7
Galaxiella_pusilla 2.4
Galeocerdo_cuvier 237
Galeocerdo_cuvier 316
Galeocerdo_cuvier 323
Galeocharax_knerii 14
Galeocharax_knerii 16
Galeoides_decadactylus 9
Galeoides_decadactylus 11.6
Galeorhinus_galeus 117
Galeorhinus_galeus 120
Galeorhinus_galeus 128
Galeorhinus_galeus 134
Galeorhinus_galeus 135
Galeorhinus_galeus 140
Galeorhinus_galeus 175
Galeorhinus_galeus 180
Galeus_melastomus 49.4
Galeus_melastomus 55.6
Galeus_melastomus 59.7
Galeus_melastomus 69.7
Galeus_mincaronei 34.5
Galeus_polli 28.2
Galeus_polli 30.5
Gasterosteus_aculeatus 3.6
Gasterosteus_aculeatus 4.5
Gasterosteus_aculeatus 5.5
Genidens_barbus 41.5
Genidens_barbus 43
Genidens_genidens 15.5
Genidens_genidens 18
Genypterus_blacodes 72
Geophagus_brasiliensis 8.2
Geophagus_brasiliensis 9.1
Gerres_nigri 7
Gerres_nigri 8.2
Gerres_nigri 8.2
Gerres_nigri 72
Glaucosoma_hebraicum 30.1
Glaucosoma_hebraicum 32
Glossogobius_matanensis 31.4
Glossogobius_matanensis 36.2
Glossolepis_incisus 9.9
Glossolepis_incisus 10
Glyptocephalus_cynoglossus 25.3
Glyptocephalus_cynoglossus 29
Glyptocephalus_cynoglossus 29
Glyptocephalus_cynoglossus 30.4
Gnathanodon_speciosus 32.5
Gobio_gobio 9.3
Gobio_gobio 9.7
Gobio_gobio 10.5
Gobio_gobio 13.5
Gobio_soldatovi 5
Gobiobotia_pappenheimi 4
Gobiomorphus_breviceps 3.2
Gobiomorphus_breviceps 5.2
Gobionotothen_gibberifrons 33
Gobionotothen_gibberifrons 33.7
Gobionotothen_gibberifrons 34.6
Gobionotothen_gibberifrons 36.4
Gobionotothen_gibberifrons 37.5
Gobionotothen_gibberifrons 39
Gobionotothen_gibberifrons 39.5
Gymnocephalus_cernua 10
Gymnocephalus_cernua 10.5
Gymnocharacinus_bergii 3.7
Gymnocharacinus_bergii 3.8
Gymnothorax_equatorialis 42.7
Gymnothorax_equatorialis 43.7
Gymnotus_carapo 14.1
Gymnotus_carapo 14.6
Gymnotus_carapo 24.8
Gymnotus_inaequilabiatus 18.2
Gymnotus_inaequilabiatus 19.3
Gymnura_poecilura 28
Gymnura_poecilura 40
Gymnura_poecilura 42
Halichoeres_hortulanus 12.8
Halichoeres_marginatus 7
Helicolenus_dactylopterus 26
Helicolenus_dactylopterus 32
Helicolenus_lahillei 18
Hemichromis_elongatus 10.7
Hemichromis_elongatus 11.3
Hemigrammus_marginatus 1.8
Hemigrammus_marginatus 1.9
Hemisorubim_platyrhynchos 24
Hemisorubim_platyrhynchos 31.6
Hemitrygon_akajei 40
Hemitrygon_akajei 44
Heptranchias_perlo 87.5
Hexagrammos_lagocephalus 35.5
Hippocampus_erectus 7
Hippocampus_whitei 10.7
Hippocampus_zosterae 2
Hippocampus_zosterae 2.2
Hippoglossoides_platessoides 15
Hippoglossoides_platessoides 21.3
Hippoglossoides_platessoides 22.1
Hippoglossoides_platessoides 23.2
Hippoglossoides_platessoides 25.3
Hippoglossoides_platessoides 25.5
Hippoglossoides_platessoides 25.5
Hippoglossoides_platessoides 26
Hippoglossoides_platessoides 26
Hippoglossoides_platessoides 26.8
Hippoglossoides_platessoides 28.2
Hippoglossoides_platessoides 29.8
Hippoglossoides_platessoides 33
Hippoglossoides_platessoides 39
Hippoglossoides_platessoides 41.1
Hippoglossoides_platessoides 41.5
Hippoglossoides_platessoides 42.8
Hippoglossoides_platessoides 43.7
Hippoglossus_hippoglossus 56
Hippoglossus_hippoglossus 95
Hippoglossus_hippoglossus 112
Hippoglossus_hippoglossus 132
Hirundichthys_affinis 23
Hirundichthys_affinis 23.8
Holacanthus_ciliaris 22
Holacanthus_ciliaris 24.3
Holacanthus_tricolor 15.8
Holacanthus_tricolor 19
Holocentrus_adscensionis 14.6
Hoplerythrinus_unitaeniatus 14
Hoplerythrinus_unitaeniatus 16.5
Hoplosternum_littorale 16.7
Hoplosternum_littorale 20
Hoplostethus_mediterraneus 15.5
Hoplostethus_mediterraneus 16.5
Hucho_hucho 70
