Species Tm
Abbottina_rivularis 1
Abramis_brama 5.5
Abramis_brama 5
Acanthocybium_solandri 2
Acanthopagrus_bifasciatus 2
Acanthopagrus_bifasciatus 4.6
Acanthopagrus_butcheri 3
Acanthopagrus_pacificus 1.15
Acanthopsetta_nadeshnyi 7
Acanthurus_lineatus 4
Acanthurus_nigrofuscus 2
Acanthurus_nigrofuscus 2
Acentrogobius_pflaumii 1
Acheilognathus_asmussii 3
Achoerodus_gouldii 17
Achoerodus_viridis 8
Achondrostoma_arcasii 1.2
Achondrostoma_arcasii 2
Acipenser_baerii 17
Acipenser_baerii 11
Acipenser_baerii 12
Acipenser_baerii 12
Acipenser_baerii 16
Acipenser_baerii 4
Acipenser_baerii 8
Acipenser_baerii 16
Acipenser_baerii 16
Acipenser_baerii 18
Acipenser_baerii 15
Acipenser_baerii 10
Acipenser_baerii 10
Acipenser_baerii 10
Acipenser_fulvescens 26
Acipenser_ruthenus 7
Acipenser_schrenckii 11
Acipenser_sturio 11
Albula_vulpes 1
Albula_vulpes 3.6
Albula_vulpes 3.6
Albula_vulpes 4.2
Albula_vulpes 4.2
Alburnus_alburnus 2
Alestes_baremoze 2.5
Alestes_baremoze 3
Alestes_baremoze 2
Alestes_dentex 2
Alfaro_cultratus 0.5
Allocyttus_niger 27
Alopias_pelagicus 8.6
Alopias_pelagicus 13.2
Alopias_pelagicus 10.4
Alopias_superciliosus 13.5
Alopias_vulpinus 5.8
Alopias_vulpinus 12
Alopias_vulpinus 13
Alopias_vulpinus 8
Alopias_vulpinus 5.3
Alopias_vulpinus 4.8
Alosa_aestivalis 4
Alosa_alosa 3.5
Alosa_fallax 2
Alosa_fallax 3
Alosa_pseudoharengus 2
Alosa_pseudoharengus 3
Alosa_sapidissima 4.6
Alosa_sapidissima 4.3
Amblygaster_sirm 1
Amblygaster_sirm 0.85
Amblygaster_sirm 0.96
Amblyraja_radiata 5
Amblyraja_radiata 28
Amblyraja_radiata 4
Amblyraja_radiata 4
Amblyraja_radiata 10.9
Amblyraja_radiata 11
Amia_calva 4
Ammodytes_marinus 3
Ammodytes_marinus 2
Ammodytes_marinus 1.51
Ammodytes_marinus 3.2
Ammodytes_marinus 3.2
Ammodytes_tobianus 1
Ammodytes_tobianus 2
Ammodytes_tobianus 2
Amphistichus_argenteus 2
Amphistichus_rhodoterus 3
Anablepsoides_lungi 0.4
Anarhichas_minor 7.5
Anarhichas_minor 8.5
Anguilla_anguilla 11
Anisotremus_davidsonii 2
Anoplarchus_purpurescens 2.5
Anoplopoma_fimbria 4.8
Anoplopoma_fimbria 5.1
Anoplopoma_fimbria 6
Aphia_minuta 1
Apogon_imberbis 1
Apogon_imberbis 1
Apteronotus_leptorhynchus 1
Arapaima_gigas 6
Archosargus_rhomboidalis 0.42
Argentina_silus 6
Argentina_silus 7
Argentina_silus 4
