Species Temperature
Abramis_brama 9
Abramis_brama 8
Abramis_brama 6.6
Abramis_brama 7.8
Abramis_brama 6.6
Abramis_brama 8.3
Abramis_brama 7
Abramis_brama 9
Abramis_brama 9
Abramis_brama 9
Abramis_brama 4.7
Abramis_brama 9.8
Abramis_brama 10.8
Abramis_brama 5.4
Abramis_brama 8.6
Abramis_brama 2.9
Abramis_brama 3.3
Abramis_brama 3.3
Abramis_brama 3.7
Abramis_brama 6.5
Abramis_brama 5.4
Abramis_brama 7.6
Abudefduf_vaigiensis 27
Acanthochaenus_luetkenii 12
Acanthoclinus_littoreus 12
Acanthocybium_solandri 27
Acanthogobius_flavimanus 15.2
Acanthopagrus_arabicus 22.8
Acanthopagrus_arabicus 22.8
Acanthopagrus_australis 12
Acanthopagrus_berda 26
Acanthopagrus_berda 26
Acanthopagrus_bifasciatus 29
Acanthopagrus_bifasciatus 26
Acanthopagrus_bifasciatus 27.6
Acanthopagrus_butcheri 15
Acanthopagrus_butcheri 15
Acanthopagrus_butcheri 15
Acanthopagrus_butcheri 15
Acanthopagrus_butcheri 15.3
Acanthopagrus_butcheri 15.3
Acanthopagrus_butcheri 15
Acanthopagrus_butcheri 15
Acanthopagrus_butcheri 15
Acanthopagrus_butcheri 15
Acanthopagrus_butcheri 15
Acanthopagrus_butcheri 15.3
Acanthurus_auranticavus 26
Acanthurus_bahianus 28.5
Acanthurus_blochii 26
Acanthurus_chirurgus 28.2
Acanthurus_chirurgus 27
Acanthurus_coeruleus 27
Acanthurus_coeruleus 28.2
Acanthurus_dussumieri 26
Acanthurus_leucosternon 27
Acanthurus_lineatus 26
Acanthurus_lineatus 26
Acanthurus_lineatus 28.6
Acanthurus_lineatus 27
Acanthurus_mata 26
Acanthurus_nigricans 26
Acanthurus_nigricauda 27
Acanthurus_nigrofuscus 25
Acanthurus_nigrofuscus 25
Acanthurus_nigrofuscus 25.8
Acanthurus_nigrofuscus 26
Acanthurus_nigrofuscus 28
Acanthurus_pyroferus 26
Acanthurus_triostegus 27
Acanthurus_triostegus 25.6
Acanthurus_xanthopterus 26
Achirus_mazatlanus 20.5
Achoerodus_gouldii 18.5
Achoerodus_gouldii 19
Acipenser_fulvescens 8
Acipenser_gueldenstaedtii 13.6
Acipenser_medirostris 14
Acipenser_nudiventris 12.5
Acipenser_stellatus 14.3
Acipenser_transmontanus 15
Acipenser_transmontanus 22
Acipenser_transmontanus 10
Acroteriobatus_annulatus 21
Ageneiosus_militaris 20
Agonus_cataphractus 12
Albula_vulpes 23
Albula_vulpes 24
Albula_vulpes 25.9
Albula_vulpes 25.9
Albula_vulpes 21
Alburnoides_eichwaldii 15
