Genus	Scientific_name	AdultBodyMass_g	Sources_AdultBodyMass	Max_longevity_d	Sources_Max_longevity	Rspan_d	AFR_d	Data_AFR	Calculated_GL_d	GenerationLength_d	Sources_GL
Eligmodontia	Eligmodontia typus	17.37	PanTHERIA	292	PanTHERIA	254.64	73.74	calculated	147.5856	147.5856	Rspan-AFR(SM+Gest)
Microtus	Microtus oregoni	20.35	PanTHERIA	456.25	PanTHERIA	445.85	58.06	calculated	187.3565	187.3565	Rspan-AFR(SM+Gest)
Peromyscus	Peromyscus gossypinus	27.68	PanTHERIA	471.45833335	PanTHERIA	444.87833335	72.58	calculated	201.59471667	201.5947166715	Rspan-AFR(SM+Gest)
Elephantulus	Elephantulus myurus	59.51	PanTHERIA	401.5	PanTHERIA	412.34	90.48	calculated	210.0586	210.0586	Rspan-AFR(SM+Gest)
Peromyscus	Peromyscus boylii	23.9	PanTHERIA	547.5	PanTHERIA	514.13	79.97	calculated	229.0677	229.0677	Rspan-AFR(SM+Gest)
Phodopus	Phodopus campbelli	27.06	PanTHERIA	653.95833335	PanTHERIA	628.07833335	67.06	calculated	249.20271667	249.2027166715	Rspan-AFR(SM+Gest)
Myodes	Myodes gapperi	19.83	PanTHERIA	608.33333335	PanTHERIA	531.94333335	112.39	calculated	266.65356667	266.6535666715	Rspan-AFR(SM+Gest)
Sorex	Sorex palustris	13.07	PanTHERIA	547.5	PanTHERIA	448.32	143.18	calculated	273.1928	273.1928	Rspan-AFR(SM+Gest)
Reithrodontomys	Reithrodontomys humulis	8.25	PanTHERIA	817.90416665	PanTHERIA	795.38416665	66.78	calculated	297.44140833	297.4414083285	Rspan-AFR(SM+Gest)
Oryzomys	Oryzomys palustris	53.26	PanTHERIA	866.875	PanTHERIA	841.695	74.66	calculated	318.75155	318.75155	Rspan-AFR(SM+Gest)
Neomys	Neomys anomalus	13.19	PanTHERIA	730	PanTHERIA	649.55	132.45	calculated	320.8195	320.8195	Rspan-AFR(SM+Gest)
Cryptotis	Cryptotis parva	4.97	PanTHERIA	958.125	PanTHERIA;AnAge	944.18	56.935	calculated	330.7472	330.7472	Rspan-AFR(SM+Gest)
Sorex	Sorex cinereus	4.2	PanTHERIA	699.58333335	PanTHERIA	570.57833335	166.115	calculated	331.58271667	331.5827166715	Rspan-AFR(SM+Gest)
Sorex	Sorex coronatus	9.32	PanTHERIA	410.625	PanTHERIA	155.7	301.915	calculated	347.068	347.068	Rspan-AFR(SM+Gest)
Sminthopsis	Sminthopsis murina	17	PanTHERIA	730	PanTHERIA	560.99	194.01	calculated	356.6971	356.6971	Rspan-AFR(SM+Gest)
Suncus	Suncus murinus	43.76	PanTHERIA	1040.25	PanTHERIA;AnAge	1037.905	62.535	calculated	363.52745	363.52745	Rspan-AFR(SM+Gest)
Crocidura	Crocidura suaveolens	7.35	PanTHERIA	985.5	PanTHERIA;AnAge	943.605	96.045	calculated	369.69045	369.69045	Rspan-AFR(SM+Gest)
Blarina	Blarina hylophaga	14.49	PanTHERIA	1022	AnAge	915	107	calculated	372.35	372.35	Rspan-AFR(SM+Gest)
Sorex	Sorex fumeus	7.83	PanTHERIA	473.64833335	PanTHERIA	190.48833335	325.16	calculated	380.40161667	380.4016166715	Rspan-AFR(SM+Gest)
Galea	Galea musteloides	386.64	PanTHERIA	967.25	PanTHERIA;AnAge	965.28	109.87	calculated	389.8012	389.8012	Rspan-AFR(SM+Gest)
Hemicentetes	Hemicentetes nigriceps	102.99	PanTHERIA	949	PanTHERIA	942.45	117.19	calculated	390.5005	390.5005	Rspan-AFR(SM+Gest)
Sorex	Sorex unguiculatus	14.11	PanTHERIA	547.5	PanTHERIA	297.23	306.27	calculated	392.4667	392.4667	Rspan-AFR(SM+Gest)
Hemicentetes	Hemicentetes semispinosus	134	PanTHERIA	985.5	PanTHERIA;AnAge	992.965	104.605	calculated	392.56485	392.56485	Rspan-AFR(SM+Gest)
Neotoma	Neotoma micropus	255.14	PanTHERIA	821.25	PanTHERIA	683.05	207.2	calculated	405.2845	405.2845	Rspan-AFR(SM+Gest)
Sorex	Sorex arcticus	8.19	PanTHERIA	547.5	PanTHERIA	233.6	347.9	calculated	415.644	415.644	Rspan-AFR(SM+Gest)
Didelphis	Didelphis albiventris	1030.47	PanTHERIA	620.5	PanTHERIA	316.82	327.68	calculated	419.5578	419.5578	Rspan-AFR(SM+Gest)
Sorex	Sorex ornatus	5.31	PanTHERIA	517.08333335	PanTHERIA	131.08333335	386	calculated	424.01416667	424.0141666715	Rspan-AFR(SM+Gest)
Crocidura	Crocidura leucodon	10.88	PanTHERIA	1076.75	PanTHERIA;AnAge	1000.085	137.655	calculated	427.67965	427.67965	Rspan-AFR(SM+Gest)
Microtus	Microtus pinetorum	25.95	PanTHERIA	1204.5	PanTHERIA;AnAge	1152.175	97.315	calculated	431.44575	431.44575	Rspan-AFR(SM+Gest)
Peroryctes	Peroryctes raffrayana	905.63	PanTHERIA	1186.25	PanTHERIA;AnAge	1036.25	150	calculated	450.5125	450.5125	Rspan-ASMmales
Ningaui	Ningaui ridei	9.42	PanTHERIA	730	PanTHERIA	414.945	342.545	calculated	462.87905	462.87905	Rspan-AFR(SM+Gest)
Chiropodomys	Chiropodomys gliroides	23.68	PanTHERIA	1314	AnAge	1192.935	121.065	calculated	467.01615	467.01615	Rspan-AFR(SM+Gest)
Hylaeamys	Hylaeamys megacephalus	55	Smith et al. 2003	1368.75	PanTHERIA	1342.18	81.13	calculated	470.3622	470.3622	Rspan-AFR(SM+Gest)
Lemniscomys	Lemniscomys striatus	43.65	PanTHERIA	1332.25	PanTHERIA;AnAge	1275.965	106.435	calculated	476.46485	476.46485	Rspan-AFR(SM+Gest)
Dicrostonyx	Dicrostonyx torquatus	78.77	PanTHERIA	1387	PanTHERIA	1278.46	108.54	calculated	479.2934	479.2934	Rspan-AFR(SM+Gest)
Ochotona	Ochotona pusilla	142.5	PanTHERIA	1460	PanTHERIA	1454.125	57.865	calculated	479.56125	479.56125	Rspan-AFR(SM+Gest)
Microtus	Microtus guentheri	49.99	PanTHERIA	1423.5	PanTHERIA;AnAge	1371.29	94.21	calculated	491.8841	491.8841	Rspan-AFR(SM+Gest)
Apodemus	Apodemus agrarius	21.11	PanTHERIA	1460	PanTHERIA	1404.905	96.985	calculated	504.40745	504.40745	Rspan-AFR(SM+Gest)
Antechinus	Antechinus minimus	52.56	PanTHERIA	730	PanTHERIA	396.865	390.405	calculated	505.49585	505.49585	Rspan-AFR(SM+Gest)
Apodemus	Apodemus flavicollis	31.6	PanTHERIA	1551.25	PanTHERIA;AnAge	1533.23	68.52	calculated	513.1567	513.1567	Rspan-AFR(SM+Gest)
Pseudantechinus	Pseudantechinus ningbing	20.74	PanTHERIA	730	PanTHERIA	427.235	394.475	calculated	518.37315	518.37315	Rspan-AFR(SM+Gest)
Sorex	Sorex araneus	9.18	PanTHERIA	949	PanTHERIA;AnAge	657.35	334.15	calculated	524.7815	524.7815	Rspan-AFR(SM+Gest)
Antechinus	Antechinus leo	70.09	PanTHERIA	730	PanTHERIA	364.165	427.825	calculated	533.43285	533.43285	Rspan-AFR(SM+Gest)
Sminthopsis	Sminthopsis leucopus	23.36	PanTHERIA	912.5	PanTHERIA	569.77	377.37	calculated	542.6033	542.6033	Rspan-AFR(SM+Gest)
Sorex	Sorex vagrans	5.99	PanTHERIA	760.41666665	PanTHERIA	363.12166665	437.425	calculated	542.73028333	542.7302833285	Rspan-AFR(SM+Gest)
Antechinus	Antechinus swainsonii	58.69	PanTHERIA	967.25	PanTHERIA;AnAge	676.725	348.215	calculated	544.46525	544.46525	Rspan-AFR(SM+Gest)
Phodopus	Phodopus roborovskii	18.75	Verde Arregoitia et al. 2013	1752	AnAge	1752.1	42.8	calculated	550.909	550.909	Rspan-AFR(SM+Gest)
Grammomys	Grammomys dolichurus	41.85	PanTHERIA	1606	PanTHERIA;AnAge	1546.945	107.045	calculated	555.65905	555.65905	Rspan-AFR(SM+Gest)
Condylura	Condylura cristata	48.15	PanTHERIA	1003.75	PanTHERIA;AnAge	739.59	344.16	calculated	558.6411	558.6411	Rspan-AFR(SM+Gest)
Rhombomys	Rhombomys opimus	285	Animal Diversity	1551.25	PanTHERIA;AnAge	1470.73	136.02	calculated	562.5317	562.5317	Rspan-AFR(SM+Gest)
Marmosa	Marmosa robinsoni	60.57	PanTHERIA	1277.5	PanTHERIA;AnAge	1037.595	267.735	calculated	568.63755	568.63755	Rspan-AFR(SM+Gest)
Sminthopsis	Sminthopsis virginiae	35.24	PanTHERIA	1332.25	PanTHERIA;AnAge	1117.595	245.965	calculated	570.06755	570.06755	Rspan-AFR(SM+Gest)
Apodemus	Apodemus argenteus	15	Verde Arregoitia et al. 2013	1825	AnAge	1764	61	calculated	572.56	572.56	Rspan-ASMmales
Sminthopsis	Sminthopsis ooldea	12.19	PanTHERIA	1095	PanTHERIA	791.555	345.315	calculated	574.86595	574.86595	Rspan-AFR(SM+Gest)
Neomys	Neomys fodiens	15.26	PanTHERIA	1113.25	PanTHERIA;AnAge	813.72	340.91	calculated	576.8888	576.8888	Rspan-AFR(SM+Gest)
Suncus	Suncus etruscus	2.26	PanTHERIA	1076.75	PanTHERIA;AnAge	684.5	392.25	calculated	590.755	590.755	Rspan-AFR(SM+Gest)
Thomomys	Thomomys talpoides	104.64	PanTHERIA	1368.75	PanTHERIA	1160.31	255.44	calculated	591.9299	591.9299	Rspan-AFR(SM+Gest)
Ctenomys	Ctenomys talarum	140.84	PanTHERIA	1095	PanTHERIA	984.135	315.535	calculated	600.93415	600.93415	Rspan-AFR(SM+Gest)
Scapanus	Scapanus orarius	62.13	PanTHERIA	1095	PanTHERIA	807.38	367.62	calculated	601.7602	601.7602	Rspan-AFR(SM+Gest)
Proechimys	Proechimys semispinosus	353.32	PanTHERIA	1529.9583333	PanTHERIA;AnAge	1481.4033333	178.205	calculated	607.81196666	607.811966657	Rspan-AFR(SM+Gest)
Dasykaluta	Dasykaluta rosamondae	32.17	PanTHERIA	1095	PanTHERIA	820.465	374.225	calculated	612.15985	612.15985	Rspan-AFR(SM+Gest)
Microtus	Microtus ochrogaster	42.5	PanTHERIA	1934.5	AnAge	1920.56	58.44	calculated	615.4024	615.4024	Rspan-AFR(SM+Gest)
Galea	Galea spixii	360.61	PanTHERIA	1679	PanTHERIA;AnAge	1639.36	143.3	calculated	618.7144	618.7144	Rspan-AFR(SM+Gest)
Antechinus	Antechinus bellus	38.73	PanTHERIA	1040.25	PanTHERIA;AnAge	673.42	426.83	calculated	622.1218	622.1218	Rspan-AFR(SM+Gest)
Ochotona	Ochotona alpina	150	PanTHERIA	1095	PanTHERIA	746.41	406.55	calculated	623.0089	623.0089	Rspan-AFR(SM+Gest)
Allactaga	Allactaga elater	59	PanTHERIA	1898	AnAge	1792.78	105.22	calculated	625.1262	625.1262	Rspan-AFR(SM+Gest)
Gerbilliscus	Gerbilliscus validus	121	PanTHERIA	1825	AnAge	1757.45	117.55	calculated	627.2105	627.2105	Rspan-AFR(SM+Gest)
