Taxon	Tendency	BM	Tb min	TMRmin	TMRrel	TBDmax	TBDmean	IBE	LAT	References
Tachyglossus aculeatus	HIB	2.8	4	0.03	20	648	271	25	?22.26	Augee & Ealey (1968), Grigg et al. (1989) and Nicol & Andersen (2002)
Acomys russatus	DT	0.064	25	0.25	38	10	7.5	—	22.84	Ehrhardt, Heldmaier & Exner (2005) and Levy, Dayan & Kronfeld?Schor (2011)
Aethomys namaquenesis	DT	0.046	18.9	—	—	—	—	—	?23.16	Withers, Louw & Henschel (1980)
Allactaga euphratica	HIB	0.09	—	—	—	336	96	—	33	Colak & Yigit (1998)
Allactaga williamsi	HIB	0.15	—	—	—	144	96	—	39	Colak & Yigit (1998)
Apodemus peninsulae	DT	0.026	20	—	—	6.5	2.1	—	48.26	Masaki et al. (2005)
Baiomys taylori	DT	0.0064	22	0.5	26	20	10	—	26.19	Hudson (1965)
Calomys musculinus	DT	0.017	—	0.52	32	16	13	—	?31.61	Bozinovic & Rosenmann (1988)
Calomys venustus	DT	0.05	16.4	0.96	67	8	7	—	?37	Caviedes?Vidal et al. (1990)
Cricetus cricetus	HIB	0.4	3.6	0.032	4	160	87	—	51.6	Eisentraut (1933), Kayser (1964), Wa?mer & Wollnik (1997), Siutz et al. (2012) and C. Siutz (personal communication)
Cynomys leucurus	HIB	1.5	8	—	—	199	121	—	41.59	Bakko & Nahornia (1986)
Cynomys ludovicianus	HIB	1	15	—	—	214	141	—	39.25	Lehmer et al. (2001)
Cynomys parvidens	HIB	0.8	6	—	—	418	252	—	38.49	Lehmer & Biggins (2005)
Eliomys quercinus	HIB	0.07	1	0.034	3	480	336	12	42.91	Kayser (1964) and Pajunen (1984)
Fukomys damarensis	DT	0.145	28.5	—	—	—	—	—	?18.37	Streicher (2010)
Gerbillus pusillus	DT	0.0126	16.7	0.38	43	20	9	—	0.57	Buffenstein (1985)
Glirulus japonicus	HIB	0.025	—	—	—	380	254	—	34.25	Otsu & Kimura (1993)
Glis glis	HIB	0.2	1	0.026	3	977	222	6.7	45.93	Wyss (1932), Kayser (1939, 1961), Pengelley & Fisher (1961), Bieber & Ruf (2009) and C. Bieber & T. Ruf (unpublished data)
Graphiurus murinus	HIB	0.028	1.5	—	—	192	33	—	?10.12	Mzilikazi et al. (2012)
Graphiurus ocularis	HIB	0.068	—	—	—	312	176	16	?30.24	Perrin & Ridgard (1999)
Ictidomys tridecemlineatus	HIB	0.14	1.5	—	—	456	336	14.4	41.11	Kisser & Goodwin (2012)
Jaculus orientalis	HIB	0.17	10	—	—	158	77	24	29.53	El Ouezzani et al. (2011)
Marmota broweri	HIB	3.094	—	—	—	480	334	18.4	68.5	Lee, Barnes, & Buck (2009)
Marmota flaviventris	HIB	2.5	7.5	0.022	9	360	206	15	42.67	Florant & Heller (1977), Florant, Hill & Ogilvie (2000) and French (1985)
Marmota marmota	HIB	3.1	2.4	0.013	4	353	280	27.8	46.15	Arnold (1993), Ortmann & Heldmaier (2000), Ruf & Arnold (2000), Arnold et al. (2011) and T. Ruf & W. Arnold (unpublished data)
Marmota monax	HIB	3.4	5	0.014	5	185	364	28.3	48.68	Lyman (1958), Armitage, Woods & Salsbury (2000) and Zervanos et al. (2010)
Mesocricetus auratus	HIB	0.09	4	0.07	6	264	90	—	36.76	Lyman (1948) and Pohl (1961)
Mesocricetus brandti	HIB	0.15	—	—	—	144	108	—	38.08	Goldman (1989)
Microdipodops pallidus	HIB	0.012	6	0.1	4.8	84	48	8.2	38.57	Brown & Bartholomew (1969) and Bartholomew & MacMillen (1961)
Mus musculus	DT	0.037	16	0.7	47	11	5.9	—	50	Hudson & Scott (1979)
Muscardinus avellanarius	HIB	0.0235	0	0.04	2	624	218	6	47.96	Kayser (1939, 1964), Eisentraut (1956) and Prezlaff & Dausmann (2012)
Perognathus californicus	DT	0.021	15	0.15	15	15.4	11.1	—	31.11	Tucker (1962, 1965)
Perognathus fasciatus	DT	0.04	11	0.15	12	17	9.7	—	44.7	Wang & Hudson (1970)
Perognathus longimembris	HIB	0.008	4	—	—	112	—	—	35.77	Bartholomew & Cade (1957) and French (1977)
