Tachyglossus aculeatus
Acomys russatus
Aethomys namaquenesis
Allactaga euphratica
Allactaga williamsi
Apodemus peninsulae
Baiomys taylori
Calomys musculinus
Calomys venustus
Cricetus cricetus
Cynomys leucurus
Cynomys ludovicianus
Cynomys parvidens
Eliomys quercinus
Fukomys damarensis
Gerbillus pusillus
Glirulus japonicus
Glis glis
Graphiurus murinus
Graphiurus ocularis
Ictidomys tridecemlineatus
Jaculus orientalis
Marmota broweri
Marmota flaviventris
Marmota marmota
Marmota monax
Mesocricetus auratus
Mesocricetus brandti
Microdipodops pallidus
Mus musculus
Muscardinus avellanarius
Perognathus californicus
Perognathus fasciatus
Perognathus longimembris
Perognathus parvus
Peromyscus boylii
Peromyscus crinitus
Peromyscus eremicus
Peromyscus gossypinus
Peromyscus leucopus
Peromyscus maniculatus
Petromyscus collinus
Phodopus sungorus
Phyllotis darwini
Reithrodontomys megalotis
Saccostomus campestris
Spermophilus armatus
Spermophilus beecheyi
Spermophilus beldingi
Spermophilus citellus
Spermophilus columbianus
Spermophilus dauricus
Spermophilus elegans
Spermophilus lateralis
Spermophilus mexicanus
Spermophilus parryii
Spermophilus richardsonii
Spermophilus saturatus
Spermophilus tereticaudus
Spermophilus variegatus
Spermophilus xanthoprymnus
Steatomys pratensis
Tamias amoenus
Tamias striatus
Zapus hudsonius
Zapus princeps
Cheirogaleus crossleyi
Cheirogaleus medius
Galago moholi
Microcebus griseorufus
Microcebus murinus
Microcebus myoxinus
Microcebus ravelobensis
Meles meles
Mephitis mephitis
Proteles cristata
Taxidea taxus
Ursus americanus
Ursus arctos
Barbastella barbastellus
Carollia perspicillata
Chalinolobus gouldii
Corynorhinus rafinesquii
Eptesicus fuscus
Glossophaga soricina
Hipposideros terasensis
Lasiurus borealis
Lasiurus cinereus
Macroglossus minimus
Megaloglossus woermanni
Miniopterus schreibersii
Mops condylurus
Myotis adversus
Myotis lucifugus
Myotis myotis
Myotis nattereri
Myotis velifer
Nyctalus noctula
Nycteris thebaica
Nyctimene albiventer
Nyctophilus bifax
Nyctophilus geoffroyi
Nyctophilus gouldi
Pipistrellus pipistrellus
Pipistrellus subflavus
Plecotus auritus
Rhinolophus ferrumequinum
Rhinolophus hipposideros
Rhinopoma microphyllum
Scotophilus dinganii
Scotophilus mhlanganii
Sturnira lilium
Syconycteris australis
Tadarida aegyptiaca
Tadarida brasiliensis
Tadarida teniotis
Vespadelus vulturnus
Atelerix algirus
Atelerix frontalis
Crocidura flavescens
Crocidura leucodon
Crocidura russula
Crocidura suaveolens
Erinaceus europaeus
Notiosorex crawfordi
Sorex sinuosus
Suncus etruscus
Zaedyus pichiy
Afrosoricida
Amblysomus hottentotus
Echinops telfairi
Geogale aurita
Microgale dobsoni
Setifer setosus
Tenrec ecaudatus
Elephantulus edwardii
Elephantulus myurus
Elephantulus rozeti
Elephantulus rupestris
Macroscelides proboscideus
Acrobates pygmaeus
Burramys parvus
Cercartetus concinnus
Cercartetus lepidus
Cercartetus nanus
Petaurus breviceps
Tarsipes rostratus
Dromiciops gliroides
Antechinomys laniger
Antechinus flavipes
Antechinus stuartii
Dasycercus cristica uda/blythi
Dasykaluta rosamondae
Dasyuroides byrnei
Dasyurus geoffroii
Dasyurus hallucatus
Dasyurus viverrinus
Myrmecobius fasciatus
Ningaui yvonnae
Planigale gilesi
Planigale ingrami
Planigale maculata
Planigale tenuirostris
Pseudantechinus macdonnellensis
Sminthopsis crassicaudata
Sminthopsis douglasi
Sminthopsis macroura
Sminthopsis murina
Sminthopsis ooldea
Gracilinanus agilis
Marmosa microtarsus
Thylamys elegans
