FirstName	SecondName	Temp	MR
Alopex	lagopus	38.6	1374
Canis	latrans	37	2686.567
Canis	mesomelas	38	3860
Cerdocyon	thous	38.2	1524.318
Fennecus	zerda	38.8	583.2
Vulpes	macrotis	38	887.1403
Vulpes	vulpes	38.7	2442
Acinonyx	jubatus	39	8982
Felis	concolor	37.6	8841.7
Felis	pardalis	38	3126.3
Felis	serval	36.5	3137.2
Felis	wiedii	38	937.2
Felis	yagouaroundi	38.4	1737
Panthera	leo	37.9	16954
Panthera	tigris	37.5	23994.6
Galerella	sanguinea	38.7	410.4
Herpestes	javanicus	39.76	403.26
Suricata	suricatta	36.3	310.2498
Proteles	cristatus	36.4	2194.3
Eira	barbara	38.4	1221.3
Lutra	lutra	38.14	4500
Martes	americana	37.95	594.9
Mustela	erminea	39.6	165
Mustela	frenata	39	240.5769
Mustela	vison	39	488.4
Spilogale	putorius	36.35	299.52
Taxidea	taxus	38	2700
Ailurus	fulgens	37.6	878.22
Bassariscus	sumichrasti	38.8	633.6
Nasua	narica	38.6	1207.43
Nasua	nasua	36.4	992
Potos	flavus	36.07	795.9522
Procyon	lotor	38	1598.625
Arctictis	binturong	36.7	2284.8
Arctogalidia	trivirgata	36.2	552.75
Fossa	fossana	37.9	906.26
Nandinia	binotata	37.4	862.54
Paradoxurus	hermaphroditus	36.45	759.98
Peropteryx	macrotis	34.4	11.55
Saccopteryx	bilineata	35.5	14.508
Hipposideros	galeritus	31.9	9.35
Rhinonycteris	aurantius	36.1	16.2092
Macroderma	gigas	37	139.12
Eumops	perotis	32.6	39.76
Molossus	molossus	31.4	22.464
Tadarida	brasiliensis	36	20.28
Mormoops	blainvilli	32	7.998
Mormoops	megalophylla	36.9	24.42
Pteronotus	davyi	38.8	15.322
Pteronotus	parnellii	36.4	30.72
Pteronotus	personatus	37.5	22.96
Pteronotus	quadridens	31	6.125
Natalus	tumidirostris	32.2	8.316
Noctilio	albiventris	32	31.59
Noctilio	leporinus	33.8	70.76
Anoura	caudifera	36.5	42.665
Artibeus	jamaicensis	36.4	76.84
Artibeus	lituratus	37.3	107.954
Carollia	perspicillata	36.4	43.061
Chrotopterus	auritus	37.2	141.267
Desmodus	rotundus	35	34.692
Diaemus	youngi	31.1	37.332
Diphylla	ecaudata	32.4	38.642
Erophylla	bombifrons	32	17.71
Glossophaga	soricina	35.5	29.376
Koopmania	concolor	35.3	39.794
Leptonycteris	curasoae	35.7	44
Macrotus	californicus	35	14.625
Monophyllus	redmani	34	11.136
Phyllostomus	discolor	34.6	47.905
Phyllostomus	hastatus	34.7	100.198
Platyrrhinus	lineatus	36.4	44.895
Rhinophylla	pumilio	34.7	18.62
Sturnira	lilium	36.4	53.217
Tonatia	bidens	37	55.074
Uroderma	bilobatum	35.1	31.59
Cynopterus	brachyotis	36.5	47.5
Dobsonia	anderseni	36.4	174
Dobsonia	minor	36.5	74.4
Dobsonia	moluccensis	36.8	367.9
Dobsonia	praedatrix	37.1	142.5
Eonycteris	spelaea	34	48
Macroglossus	minimus	36.2	18.5
Melonycteris	melanops	34.9	43.3
Nyctimene	albiventer	35.9	27.3
Nyctimene	cyclotis	36	64.6
Nyctimene	major	33	20.4
Paranyctimene	raptor	33.8	24.5
Pteropus	giganteus	36.7	290.7
Pteropus	hypomelanus	35.7	290.1
Pteropus	poliocephalus	36.5	316.9
Pteropus	pumilus	36.1	126.4
Pteropus	rodricensis	36.5	134.9
Pteropus	scapulatus	37	242.54
Pteropus	vampyrus	36.9	804.1
Rousettus	aegyptiacus	34.8	122.6
Rousettus	amplexicaudatus	36.5	104.3
Syconycteris	australis	35.9	21.85
Chalinolobus	gouldii	31.1	25.2
Eptesicus	fuscus	36	20.8
Histiotus	velatus	30.5	15.68
Miniopterus	gigas	35.6	94.336
Miniopterus	schreibersi	37.7	25.9658
Myotis	lucifuga	37	8.918
Nyctophilus	geoffroyi	31.6	11.2
Heterohyrax	brucei	36.7	720
Procavia	capensis	37	660
Procavia	habessinica	38	900
Procavia	johnstoni	39	1178.654
Chrysochloris	asiatica	33.95	51.48
Eremitalpa	granti	33.58	10
Atelerix	albiventris	35.2	148.5
Echinosorex	gymnura	36.3	504.84
Erinaceus	concolor	35.2	347.1794
Erinaceus	europaeus	34	337.5
Hemiechinus	auritus	33.75	152
Hylomys	suillus	37.3	60.112
Paraechinus	aethiopicus	34.19	112.5
Condylura	cristata	37.7	110.25
Neurotrichus	gibbsii	38.4	46.492
Scalopus	aquaticus	36	67.68
Geogale	aurita	30.8	7.728
Microgale	cowani	33	31.964
Microgale	dobsoni	30.9	56.4
Microgale	talazaci	30.8	43.56
Setifer	setosus	32.2	121.9
Tenrec	ecaudatus	33	130.65
Elephantulus	brachyrhynchus	37.5	43.70997
Elephantulus	edwardii	37.6	54.5
Elephantulus	intufi	37.2	51.99907
Elephantulus	myurus	36.86	66.30741
Elephantulus	rozeti	37.06	47.80205
Elephantulus	rufescens	37.3	56.869
Macroscelides	proboscideus	36.23	52.26
Petrodromus	tetradactylus	37.5	179.5218
