Species	Body mass (gram)	T (oC)	Basal metabolic rate (watts)	Tax
Acris crepitans	1.59	15	2.66E-04	amphibia
Agalychnis callidryas	5.65	20	0.00187	amphibia
Ambystoma gracile	30.39	15	0.00353	amphibia
Ambystoma jeffersonianum	8.92	15	1.76E-03	amphibia
Ambystoma macrodactylum	3.414	15	6.11E-04	amphibia
Ambystoma maculatum	15.83	15	0.00201	amphibia
Ambystoma mexicanum	21.3	22	1.77E-03	amphibia
Ambystoma opacum	4.65	14	4.79E-04	amphibia
Ambystoma talpoideum	7	15	3.11E-03	amphibia
Ambystoma tigrinum	10.78	15	7.65E-04	amphibia
Amphiuma means	352	5	0.00493	amphibia
Amphiuma tridactylum	652	15	1.37E-02	amphibia
Aneides ferreus	2.73	15	4.12E-04	amphibia
Aneides flavipunctatus	4.57	15	6.67E-04	amphibia
Aneides hardii	0.97	20	2.85E-04	amphibia
Aneides lugubris	5.58	15	8.31E-04	amphibia
Batrachoseps attenuatus	0.93	25	4.45E-04	amphibia
Bolitoglossa franklini	3.18	15	3.05E-04	amphibia
Bolitoglossa morio	2.09	15	2.47E-04	amphibia
Bolitoglossa occidentalis	0.97	15	1.13E-04	amphibia
Bolitoglossa subpalmata	1.63	5	8.80E-05	amphibia
Bombina orientalis	2.6	20	8.09E-04	amphibia
Boulengerula taitanus	5	35	0.00478	amphibia
Bufo alvaris	150.8	15	0.0659	amphibia
Bufo americanus	50	20	0.0077	amphibia
Bufo boreas	57.8	20	0.00584	amphibia
Bufo bufo	76.13	15	0.01584	amphibia
Bufo calamita	8.7	20	0.0028	amphibia
Bufo cognatus	40.2	25	1.64E-02	amphibia
Bufo debilus	0.66	15	4.69E-04	amphibia
Bufo marinus	145	15	0.00855	amphibia
Bufo terrestris	19.8	25	0.01245	amphibia
Bufo viridis	35	20	4.87E-03	amphibia
Bufo woodhousii	56.3	25	1.24E-02	amphibia
Ceratophrys calcarata	55.5	25	1.65E-02	amphibia
Chiromantis petersi	11.2	25	4.41E-03	amphibia
Chiropterotriton bromeliacia	0.59	15	8.02E-05	amphibia
Colostethus inguinalis	1.57	20	7.58E-04	amphibia
Colostethus nubicola	0.27	25	2.42E-04	amphibia
Colostethus trinitatus	1	25	0.00112	amphibia
Conraua goliath	251	25	1.05E-01	amphibia
Crinia parinsignifera	0.452	30	9.50E-04	amphibia
Crinia signifera	0.621	25	8.28E-04	amphibia
Cryptobranchus alleganiensis	423	25	7.28E-02	amphibia
Cyclorana platycephala	11	15	3.28E-03	amphibia
Dendrobates auratus	1.77	25	8.85E-04	amphibia
Desmognathus fuscus	2.09	20	4.97E-04	amphibia
Desmognathus monticola	3.43	20	8.09E-04	amphibia
Desmognathus ochrophaes	1.6	17.5	2.37E-04	amphibia
Desmognathus quadramaculatus	23.41	5	9.13E-04	amphibia
Dicamptodon ensatus	101.25	15	0.00729	amphibia
Discoglossus pictus	30.7	20	6.32E-03	amphibia
Eleutherodactylus coqui	4.06	20	9.30E-04	amphibia
Eleutherodactylus portoricensis	3.7	15	1.42E-03	amphibia
Ensatina eschscholtzi	5.3	25	1.98E-03	amphibia
Eurycea bislineata	1.14	5	8.78E-05	amphibia
Eurycea longicauda	1.57	15	2.79E-04	amphibia
Eurycea multiplicata	0.71	15	8.59E-05	amphibia
Eurycea nana	0.154	25	7.33E-05	amphibia
Eurycea neotenes	0.243	25	1.43E-04	amphibia
Eurycea pterophila?	0.196	25	9.78E-05	amphibia
Gastrophryne carolinesis	1.9	20	5.49E-04	amphibia
Geotrypetes seraphini	1.93	20	3.98E-04	amphibia
Gyrinophilus danielsi	14.44	15	0.00179	amphibia
Gyrinophilus porphyrictus	12.4	15.5	1.04E-03	amphibia
Hydromantes sp.	3.23	15	6.88E-04	amphibia
Hyla arborea	7.78	18.5	0.01358	amphibia
Hyla arenicolor	3.37	20	1.67E-03	amphibia
Hyla chrysoscelis	3.9	10	8.23E-04	amphibia
Hyla cinerea	4.5	25	0.00255	amphibia
Hyla crepitans	9.9	25	6.38E-03	amphibia
Hyla crucifer	1.15	20	7.03E-04	amphibia
Hyla gratiosa	13.9	29	0.00734	amphibia
Hyla maxima	41.4	25	2.19E-02	amphibia
Hyla regilla	2.27	21	4.95E-04	amphibia
Hyla squirella	2.2	27	2.02E-03	amphibia
Hyla versicolor	8.62	19	3.73E-03	amphibia
Hyperolius marmoratus	1	20	3.73E-04	amphibia
Hyperolius parallelus	1	20	4.25E-04	amphibia
Hyperolius tuberilinguis	1	20	3.77E-04	amphibia
Hyperolius viridiflavus	0.9	20	4.70E-04	amphibia
Kaloula pulchra	30.7	20	0.00442	amphibia
Kassina senegalensis	3.02	20	0.00127	amphibia
Kassina weali	6.25	20	0.00177	amphibia
Lepidobatrachus llanensis	88.5	25	0.0477	amphibia
Leptodactylus typhonius	5.1	25	3.26E-03	amphibia
Microhyla carolinensis	3.5	15	0.00128	amphibia
Molga torosa?	17.5	18.5	0.01517	amphibia
Necturus maculosus	125	25	1.38E-02	amphibia
Notophthalmus viridescens	3	20	7.50E-04	amphibia
Occidozyga martensii	9.3	35	0.00599	amphibia
Odontophrynus americanus	15.24	20	3.05E-03	amphibia
Osteopilus septentrionalis	5	20	1.84E-03	amphibia
Phyllomedusa sauvagei	17.5	10	2.82E-03	amphibia
Physalaemus pustulosus	2.9	25	1.89E-03	amphibia
Plethodon cinereus	0.6	17.5	9.36E-05	amphibia
Plethodon dorsalis	0.69	25	1.32E-04	amphibia
Plethodon glutinosus	5.01	20	9.27E-04	amphibia
Plethodon jordani	3.1	5	1.49E-04	amphibia
Plethodon neomexicanus	2.47	25	8.37E-04	amphibia
Plethodon spp.	3.25	22	1.03E-03	amphibia
Pseudacris nigrita	1	25	9.00E-04	amphibia
Pseudacris triseriata	0.94	5	7.80E-05	amphibia
Pseudobranchus striatus	2.19	25	6.20E-04	amphibia
Pseudoeurycea belli	24.45	25	3.99E-03	amphibia
Pseudoeurycea brunnata	3.33	15	3.65E-03	amphibia
Pseudoeurycea cephalica	1.45	15	1.97E-04	amphibia
Pseudoeurycea cochranae	2.23	15	2.54E-04	amphibia
Pseudoeurycea gadovii	2.88	15	4.72E-04	amphibia
Pseudoeurycea goebeli	3.78	5	2.00E-04	amphibia
Pseudoeurycea leprosa	2.46	15	3.10E-04	amphibia
Pseudoeurycea rex	1.86	15	2.18E-04	amphibia
Pseudoeurycea smithii	6.66	15	6.59E-04	amphibia
Pseudotriton ruber	10.81	5	3.78E-04	amphibia
Pternohyla fodiens	15.1	20	0.00269	amphibia
Pyxicephalus adspersus	562.3	20	0.07928	amphibia
Rana arvalis	17	5	0.00235	amphibia
Rana aspersa	563	18.5	1.76E-01	amphibia
Rana berlandieri	70	29	0.03906	amphibia
Rana blythi	88.7	25	0.0243	amphibia
Rana cancrivora	20.45	30	1.26E-02	amphibia
Rana catesbeiana	262	5	7.34E-03	amphibia
Rana chalconota	4.1	25	0.00217	amphibia
Rana clamitans	32.5	25	0.01502	amphibia
Rana cyanophlyctis	0.294	29	1.20E-03	amphibia
Rana erythraea	19	15	9.88E-04	amphibia
