# Table S2. Sample-specific attributes of samples analyzed in GTEx data, including proportion of mitochondrial reads. Related to Figure 4. paper: Lineage Tracing in Humans Enabled by Mitochondrial Mutations and Single-Cell Genomics
SRRID	totalReads	uniqueMappedReads	uniqueMappedReadsPercent	mitoReads	IndividualID	Tissue	percentMito
SRR1068687	40110715	36609947	91.27	5932478	GTEX-XXEK	Esophagus	14.79
SRR1068788	32135634	29162954	90.75	4014830	GTEX-TKQ2	Testis	12.49
SRR1068808	34147369	31594407	92.52	3723610	GTEX-QV44	Skin	10.9
SRR1068832	39133404	35983202	91.95	6166350	GTEX-UJMC	Blood Vessel	15.76
SRR1068855	63459957	58235609	91.77	19843078	GTEX-XOTO	Muscle	31.27
SRR1068880	60109023	54381717	90.47	5306962	GTEX-O5YT	Skin	8.83
SRR1068905	39346569	35486652	90.19	6449094	GTEX-R55E	Testis	16.39
SRR1068929	35089081	32578262	92.84	7793914	GTEX-PWN1	Esophagus	22.21
SRR1068953	34920747	24792269	71	4684666	GTEX-PWN1	Stomach	13.42
SRR1068977	44122907	39328276	89.13	4659436	GTEX-XBED	Breast	10.56
SRR1068999	48434212	43983189	90.81	10977788	GTEX-U8XE	Breast	22.67
SRR1069024	41152751	26780232	65.08	795428	GTEX-X5EB	Blood	1.93
SRR1069048	29656308	27172076	91.62	7579842	GTEX-XUJ4	Skin	25.56
SRR1069074	49833200	46040394	92.39	16569128	GTEX-UPIC	Esophagus	33.25
SRR1069097	30699576	27994705	91.19	4091826	GTEX-XV7Q	Adipose Tissue	13.33
SRR1069121	36904902	33504937	90.79	2812268	GTEX-U4B1	Skin	7.62
SRR1069141	52077130	46518354	89.33	8914524	GTEX-U8XE	Liver	17.12
SRR1069166	38870262	34947600	89.91	6816974	GTEX-XAJ8	Stomach	17.54
SRR1069188	29619857	26950514	90.99	5788802	GTEX-XLM4	Brain	19.54
SRR1069209	50047694	44853816	89.62	7887424	GTEX-RWSA	Prostate	15.76
SRR1069231	36019116	33248351	92.31	2355920	GTEX-QEG5	Esophagus	6.54
SRR1069255	43644363	39503510	90.51	2841342	GTEX-VUSG	Esophagus	6.51
SRR1069279	33459983	30669221	91.66	3890080	GTEX-X4XX	Thyroid	11.63
SRR1069303	53393918	48346621	90.55	5797228	GTEX-XPVG	Spleen	10.86
SRR1069328	35132886	32483958	92.46	2884916	GTEX-PSDG	Esophagus	8.21
SRR1069352	40616305	36582119	90.07	5002140	GTEX-PWOO	Pancreas	12.32
