Species Class
Acipenser_brevirostrum Actinopterygii
Acipenser_dabryanus Actinopterygii
Acipenser_fulvescens Actinopterygii
Acipenser_gueldenstaedtii Actinopterygii
Acipenser_oxyrinchus Actinopterygii
Acipenser_ruthenus Actinopterygii
Acipenser_schrenckii Actinopterygii
Acipenser_stellatus Actinopterygii
Acipenser_sturio Actinopterygii
Acipenser_transmontanus Actinopterygii
Huso_dauricus Actinopterygii
Huso_huso Actinopterygii
Pseudoscaphirhynchus_hermanni Actinopterygii
Polyodon_spathula Actinopterygii
Amia_calva Actinopterygii
Anguilla_anguilla Actinopterygii
Anguilla_australis Actinopterygii
Anguilla_bicolor Actinopterygii
Anguilla_dieffenbachii Actinopterygii
Anguilla_marmorata Actinopterygii
Anguilla_mossambica Actinopterygii
Anguilla_nebulosa Actinopterygii
Anguilla_reinhardtii Actinopterygii
Anguilla_rostrata Actinopterygii
Atherina_presbyter Actinopterygii
Atherinops_affinis Actinopterygii
Atherinopsis_californiensis Actinopterygii
Labidesthes_sicculus Actinopterygii
Leuresthes_tenuis Actinopterygii
Menidia_beryllina Actinopterygii
Menidia_extensa Actinopterygii
Menidia_menidia Actinopterygii
Trachinocephalus_myops Actinopterygii
Oryzias_latipes Actinopterygii
Hyporhamphus_melanochir Actinopterygii
Cololabis_saira Actinopterygii
Beryx_splendens Actinopterygii
Hoplostethus_atlanticus Actinopterygii
Hoplostethus_mediterraneus Actinopterygii
Brycinus_imberi Actinopterygii
Brycinus_macrolepidotus Actinopterygii
Hydrocynus_vittatus Actinopterygii
Micralestes_acutidens Actinopterygii
Astyanax_bimaculatus Actinopterygii
Piaractus_brachypomus Actinopterygii
Distichodus_niloticus Actinopterygii
Hepsetus_odoe Actinopterygii
Alosa_aestivalis Actinopterygii
Alosa_agone Actinopterygii
Alosa_alabamae Actinopterygii
Alosa_alosa Actinopterygii
Alosa_caspia Actinopterygii
Alosa_chrysochloris Actinopterygii
Alosa_macedonica Actinopterygii
Alosa_maeotica Actinopterygii
Alosa_pontica Actinopterygii
Alosa_pseudoharengus Actinopterygii
Alosa_sapidissima Actinopterygii
Amblygaster_sirm Actinopterygii
Clupea_harengus Actinopterygii
Clupea_pallasii Actinopterygii
Clupeonella_cultriventris Actinopterygii
Dorosoma_cepedianum Actinopterygii
Dorosoma_petenense Actinopterygii
Escualosa_thoracata Actinopterygii
Gilchristella_aestuaria Actinopterygii
Harengula_jaguana Actinopterygii
Potamalosa_richmondia Actinopterygii
Sardina_pilchardus Actinopterygii
Sardinella_aurita Actinopterygii
Sardinella_gibbosa Actinopterygii
Sardinella_longiceps Actinopterygii
Sardinops_sagax Actinopterygii
Sprattus_sprattus Actinopterygii
Tenualosa_toli Actinopterygii
Anchoa_compressa Actinopterygii
Cetengraulis_mysticetus Actinopterygii
Engraulis_australis Actinopterygii
Engraulis_encrasicolus Actinopterygii
Engraulis_japonicus Actinopterygii
Engraulis_mordax Actinopterygii
Engraulis_ringens Actinopterygii
Barbatula_barbatula Actinopterygii
Carpiodes_carpio Actinopterygii
Carpiodes_cyprinus Actinopterygii
Carpiodes_velifer Actinopterygii
Catostomus_catostomus Actinopterygii
Catostomus_commersonii Actinopterygii
Catostomus_macrocheilus Actinopterygii
Catostomus_microps Actinopterygii
Catostomus_occidentalis Actinopterygii
Catostomus_platyrhynchus Actinopterygii
Catostomus_rimiculus Actinopterygii
Catostomus_tahoensis Actinopterygii
Chasmistes_cujus Actinopterygii
Chasmistes_liorus Actinopterygii
Cycleptus_elongatus Actinopterygii
Cycleptus_meridionalis Actinopterygii
Deltistes_luxatus Actinopterygii
Erimyzon_oblongus Actinopterygii
Hypentelium_nigricans Actinopterygii
Hypentelium_roanokense Actinopterygii
Ictiobus_bubalus Actinopterygii
Ictiobus_cyprinellus Actinopterygii
Ictiobus_niger Actinopterygii
Minytrema_melanops Actinopterygii
Moxostoma_anisurum Actinopterygii
Moxostoma_breviceps Actinopterygii
Moxostoma_carinatum Actinopterygii
Moxostoma_duquesnii Actinopterygii
Moxostoma_erythrurum Actinopterygii
Moxostoma_macrolepidotum Actinopterygii
Thoburnia_atripinnis Actinopterygii
Thoburnia_hamiltoni Actinopterygii
Thoburnia_rhothoeca Actinopterygii
Misgurnus_fossilis Actinopterygii
Abramis_brama Actinopterygii
Aspius_aspius Actinopterygii
Barbus_bynni Actinopterygii
Barbus_mattozi Actinopterygii
Barbus_treurensis Actinopterygii
Campostoma_oligolepis Actinopterygii
Carassius_auratus Actinopterygii
Chondrostoma_nasus Actinopterygii
Chrosomus_cumberlandensis Actinopterygii
Chrosomus_eos Actinopterygii
Chrosomus_erythrogaster Actinopterygii
Chrosomus_neogaeus Actinopterygii
Clinostomus_elongatus Actinopterygii
Couesius_plumbeus Actinopterygii
Ctenopharyngodon_idella Actinopterygii
Cyprinella_analostana Actinopterygii
Cyprinella_galactura Actinopterygii
Cyprinella_lutrensis Actinopterygii
Cyprinella_spiloptera Actinopterygii
Cyprinella_whipplei Actinopterygii
Cyprinus_carpio Actinopterygii
Danio_rerio Actinopterygii
Exoglossum_laurae Actinopterygii
Exoglossum_maxillingua Actinopterygii
Gila_orcuttii Actinopterygii
Gila_robusta Actinopterygii
Gobio_gobio Actinopterygii
Labeo_altivelis Actinopterygii
Labeo_rohita Actinopterygii
Labeobarbus_aeneus Actinopterygii
Lepidomeda_mollispinis Actinopterygii
Leucaspius_delineatus Actinopterygii
Leuciscus_cephalus Actinopterygii
Leuciscus_idus Actinopterygii
Leuciscus_leuciscus Actinopterygii
Luxilus_chrysocephalus Actinopterygii
Luxilus_coccogenis Actinopterygii
Luxilus_cornutus Actinopterygii
Luxilus_zonatus Actinopterygii
Lythrurus_roseipinnis Actinopterygii
Lythrurus_umbratilis Actinopterygii
Macrhybopsis_aestivalis Actinopterygii
Margariscus_margarita Actinopterygii
Nocomis_biguttatus Actinopterygii
Nocomis_leptocephalus Actinopterygii
Nocomis_micropogon Actinopterygii
Nocomis_raneyi Actinopterygii
Notemigonus_crysoleucas Actinopterygii
Notropis_albizonatus Actinopterygii
Notropis_anogenus Actinopterygii
Notropis_atherinoides Actinopterygii
Notropis_baileyi Actinopterygii
Notropis_blennius Actinopterygii
Notropis_buccatus Actinopterygii
Notropis_buchanani Actinopterygii
Notropis_candidus Actinopterygii
Notropis_heterodon Actinopterygii
Notropis_heterolepis Actinopterygii
Notropis_hudsonius Actinopterygii
Notropis_maculatus Actinopterygii
Notropis_nubilus Actinopterygii
Notropis_perpallidus Actinopterygii
Notropis_petersoni Actinopterygii
Notropis_procne Actinopterygii
Notropis_rubellus Actinopterygii
Notropis_rubricroceus Actinopterygii
Notropis_semperasper Actinopterygii
Notropis_stramineus Actinopterygii
Notropis_texanus Actinopterygii
Notropis_topeka Actinopterygii
Notropis_volucellus Actinopterygii
Oreoleuciscus_humilis Actinopterygii
Oreoleuciscus_potanini Actinopterygii
Pelecus_cultratus Actinopterygii
Phenacobius_crassilabrum Actinopterygii
Phenacobius_mirabilis Actinopterygii
Phoxinus_phoxinus Actinopterygii
Pimephales_notatus Actinopterygii
Pimephales_promelas Actinopterygii
Plagopterus_argentissimus Actinopterygii
Pseudobarbus_burchelli Actinopterygii
Pteronotropis_hubbsi Actinopterygii
Ptychocheilus_lucius Actinopterygii
Relictus_solitarius Actinopterygii
Rhinichthys_atratulus Actinopterygii
Rhinichthys_cataractae Actinopterygii
Rhinichthys_cobitis Actinopterygii
Rhodeus_sericeus Actinopterygii
Richardsonius_egregius Actinopterygii
Rutilus_frisii Actinopterygii
Rutilus_rutilus Actinopterygii
Scardinius_erythrophthalmus Actinopterygii
Semotilus_atromaculatus Actinopterygii
Austrolebias_adloffi Actinopterygii
Austrolebias_bellottii Actinopterygii
Austrolebias_nigripinnis Actinopterygii
Nothobranchius_furzeri Actinopterygii
Nothobranchius_guentheri Actinopterygii
Nothobranchius_kilomberoensis Actinopterygii
Nothobranchius_korthausae Actinopterygii
Nothobranchius_kuhntae Actinopterygii
Nothobranchius_rachovii Actinopterygii
Cyprinodon_macularius Actinopterygii
Cyprinodon_radiosus Actinopterygii
Cyprinodon_tularosa Actinopterygii
Fundulus_catenatus Actinopterygii
Fundulus_parvipinnis Actinopterygii
