Order	Family	Species	Clutch	Range	Traits
Struthioniformes	Struthionidae	Struthio_camelus	7.4	1	HBW1
Struthioniformes	Rheidae	Rhea_americana	19.7	1	HBW1
Struthioniformes	Rheidae	Rhea_pennata	17.3	1	HBW1
Struthioniformes	Casuariidae	Casuarius_casuarius	3.9	1	HBW1
Struthioniformes	Casuariidae	Casuarius_bennetti	3.9	1	HBW1
Struthioniformes	Casuariidae	Dromaius_novaehollandiae	8.7	1	HBW1
Tinamiformes	Tinamidae	Tinamus_tao	4.2	1	HBW1
Tinamiformes	Tinamidae	Tinamus_solitarius	9.2	1	HBW1
Tinamiformes	Tinamidae	Tinamus_osgoodi	2.0	1	HBW1
Tinamiformes	Tinamidae	Tinamus_major	4.2	1	HBW1
Tinamiformes	Tinamidae	Tinamus_guttatus	5.5	1	HBW1
Tinamiformes	Tinamidae	Nothocercus_bonapartei	4.5	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_cinereus	2.0	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_soui	2.0	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_obsoletus	4.5	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_cinnamomeus	3.0	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_undulatus	4.5	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_transfasciatus	2.6	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_strigulosus	4.0	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_boucardi	3.7	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_erythropus	3.0	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_noctivagus	4.0	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_variegatus	1.0	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_parvirostris	4.5	1	HBW1
Tinamiformes	Tinamidae	Crypturellus_tataupa	4.5	1	HBW1
Tinamiformes	Tinamidae	Rhynchotus_rufescens	2.2	1	HBW1
Tinamiformes	Tinamidae	Nothoprocta_ornata	6.0	1	HBW1
Tinamiformes	Tinamidae	Nothoprocta_pentlandii	6.3	1	HBW1
Tinamiformes	Tinamidae	Nothoprocta_cinerascens	9.4	1	HBW1
Tinamiformes	Tinamidae	Nothoprocta_perdicaria	6.3	1	HBW1
Tinamiformes	Tinamidae	Nothura_darwinii	4.9	1	HBW1
Tinamiformes	Tinamidae	Nothura_maculosa	4.9	1	HBW1
Tinamiformes	Tinamidae	Nothura_boraquira	4.0	1	HBW1
Tinamiformes	Tinamidae	Eudromia_elegans	5.5	1	HBW1
Tinamiformes	Tinamidae	Tinamotis_pentlandii	5.3	1	HBW1
Tinamiformes	Tinamidae	Tinamotis_ingoufi	11.0	1	HBW1
Craciformes	Cracidae	Ortalis_vetula	3.0	1	HBW2
Craciformes	Cracidae	Ortalis_cinereiceps	3.0	1	HBW2
Craciformes	Cracidae	Ortalis_garrula	3.0	1	HBW2
Craciformes	Cracidae	Ortalis_ruficauda	3.5	1	HBW2
Craciformes	Cracidae	Ortalis_erythroptera	3.0	1	HBW2
Craciformes	Cracidae	Ortalis_wagleri	3.0	1	HBW2
Craciformes	Cracidae	Ortalis_canicollis	3.5	1	HBW2
Craciformes	Cracidae	Ortalis_leucogastra	2.4	1	HBW2
Craciformes	Cracidae	Ortalis_motmot	3.0	1	HBW2
Craciformes	Cracidae	Ortalis_superciliaris	2.4	1	HBW2
Craciformes	Cracidae	Pipile_pipile	2.0	1	HBW2
Craciformes	Cracidae	Pipile_cumanensis	3.0	1	HBW2
Craciformes	Cracidae	Pipile_jacutinga	2.4	1	HBW2
Craciformes	Cracidae	Crax_rubra	2.0	1	HBW2
Craciformes	Cracidae	Crax_daubentoni	2.0	1	HBW2
Craciformes	Cracidae	Crax_alector	2.0	1	HBW2
Craciformes	Cracidae	Crax_globulosa	2.0	1	HBW2
Craciformes	Cracidae	Crax_fasciolata	2.0	1	HBW2
Craciformes	Cracidae	Crax_blumenbachii	2.0	1	HBW2
Craciformes	Megapodiidae	Alectura_lathami	12.0	1	HBW2
Craciformes	Megapodiidae	Aepypodius_arfakianus	20.0	1	HBW2
Craciformes	Megapodiidae	Leipoa_ocellata	12.8	1	HBW2
Galliformes	Phasianidae	Lerwa_lerwa	3.2	1	HBW2
Galliformes	Phasianidae	Ammoperdix_griseogularis	7.3	1	HBW2
Galliformes	Phasianidae	Ammoperdix_heyi	5.9	1	HBW2
Galliformes	Phasianidae	Alectoris_barbara	11.0	1	HBW2
Galliformes	Phasianidae	Alectoris_melanocephala	6.3	1	HBW2
Galliformes	Phasianidae	Alectoris_chukar	9.2	1	HBW2
Galliformes	Phasianidae	Alectoris_philbyi	6.3	1	HBW2
Galliformes	Phasianidae	Alectoris_graeca	10.6	1	HBW2
Galliformes	Phasianidae	Alectoris_rufa	12.0	1	HBW2
Galliformes	Phasianidae	Francolinus_francolinus	9.2	1	HBW2
Galliformes	Phasianidae	Francolinus_pictus	4.9	1	HBW2
Galliformes	Phasianidae	Francolinus_pintadeanus	4.5	1	HBW2
Galliformes	Phasianidae	Francolinus_pondicerianus	7.3	1	HBW2
Galliformes	Phasianidae	Francolinus_gularis	3.5	1	HBW2
Galliformes	Phasianidae	Peliperdix_coqui	4.5	1	HBW2
Galliformes	Phasianidae	Peliperdix_albogularis	6.0	1	HBW2
Galliformes	Phasianidae	Peliperdix_schlegelii	3.2	1	HBW2
Galliformes	Phasianidae	Peliperdix_lathami	2.0	1	HBW2
Galliformes	Phasianidae	Peliperdix_sephaena	6.0	1	HBW2
Galliformes	Phasianidae	Scleroptila_streptophorus	4.5	1	HBW2
Galliformes	Phasianidae	Scleroptila_finschi	5.0	1	HBW2
Galliformes	Phasianidae	Scleroptila_africanus	4.9	1	HBW2
Galliformes	Phasianidae	Scleroptila_levaillantii	6.0	1	HBW2
Galliformes	Phasianidae	Scleroptila_shelleyi	3.9	1	HBW2
Galliformes	Phasianidae	Scleroptila_levaillantoides	6.3	1	HBW2
Galliformes	Phasianidae	Pternistis_nahani	4.0	1	HBW2
Galliformes	Phasianidae	Pternistis_hartlaubi	5.7	1	HBW2
Galliformes	Phasianidae	Pternistis_bicalcaratus	6.0	1	HBW2
Galliformes	Phasianidae	Pternistis_icterorhynchus	6.9	1	HBW2
Galliformes	Phasianidae	Pternistis_adspersus	6.3	1	HBW2
Galliformes	Phasianidae	Pternistis_capensis	6.9	1	HBW2
Galliformes	Phasianidae	Pternistis_hildebrandti	6.0	1	HBW2
Galliformes	Phasianidae	Pternistis_natalensis	5.0	1	HBW2
Galliformes	Phasianidae	Pternistis_ahantensis	4.9	1	HBW2
Galliformes	Phasianidae	Pternistis_squamatus	6.0	1	HBW2
Galliformes	Phasianidae	Pternistis_leucoscepus	5.0	1	HBW2
Galliformes	Phasianidae	Pternistis_rufopictus	4.5	1	HBW2
Galliformes	Phasianidae	Pternistis_afer	5.2	1	HBW2
Galliformes	Phasianidae	Pternistis_swainsonii	5.7	1	HBW2
Galliformes	Phasianidae	Pternistis_erckelii	6.3	1	HBW2
Galliformes	Phasianidae	Pternistis_castaneicollis	5.5	1	HBW2
Galliformes	Phasianidae	Pternistis_jacksoni	3.0	1	HBW2
Galliformes	Phasianidae	Perdix_perdix	16.0	1	HBW2
Galliformes	Phasianidae	Perdix_dauurica	19.0	1	HBW2
Galliformes	Phasianidae	Perdix_hodgsoniae	8.9	1	HBW2
Galliformes	Phasianidae	Rhizothera_longirostris	3.2	1	HBW2
Galliformes	Phasianidae	Coturnix_coturnix	10.2	1	HBW2
Galliformes	Phasianidae	Coturnix_japonica	9.5	1	HBW2
Galliformes	Phasianidae	Coturnix_pectoralis	7.5	1	HBW2
Galliformes	Phasianidae	Coturnix_coromandelica	4.9	1	HBW2
Galliformes	Phasianidae	Coturnix_delegorguei	5.7	1	HBW2
Galliformes	Phasianidae	Coturnix_ypsilophora	8.8	1	HBW2
Galliformes	Phasianidae	Coturnix_adansonii	5.2	1	HBW2
Galliformes	Phasianidae	Coturnix_chinensis	5.3	1	HBW2
Galliformes	Phasianidae	Perdicula_asiatica	5.5	1	HBW2
Galliformes	Phasianidae	Perdicula_argoondah	5.5	1	HBW2
Galliformes	Phasianidae	Perdicula_erythrorhyncha	5.3	1	HBW2
Galliformes	Phasianidae	Perdicula_manipurensis	4.0	1	HBW2
Galliformes	Phasianidae	Arborophila_torqueola	3.9	1	HBW2
Galliformes	Phasianidae	Arborophila_rufogularis	4.5	1	HBW2
Galliformes	Phasianidae	Arborophila_atrogularis	4.5	1	HBW2
Galliformes	Phasianidae	Arborophila_crudigularis	6.9	1	HBW2
Galliformes	Phasianidae	Arborophila_mandellii	4.0	1	HBW2
Galliformes	Phasianidae	Arborophila_rufipectus	5.5	1	HBW2
Galliformes	Phasianidae	Arborophila_orientalis	2.8	1	HBW2
Galliformes	Phasianidae	Arborophila_javanica	4.0	1	HBW2
Galliformes	Phasianidae	Arborophila_gingica	5.9	1	HBW2
Galliformes	Phasianidae	Arborophila_ardens	2.4	1	HBW2
Galliformes	Phasianidae	Arborophila_chloropus	3.0	1	HBW2
Galliformes	Phasianidae	Caloperdix_oculea	8.9	1	HBW2
Galliformes	Phasianidae	Rollulus_rouloul	5.5	1	HBW2
Galliformes	Phasianidae	Ptilopachus_petrosus	4.9	1	HBW2
Galliformes	Phasianidae	Bambusicola_fytchii	4.9	1	HBW2
Galliformes	Phasianidae	Bambusicola_thoracica	4.6	1	HBW2
Galliformes	Phasianidae	Galloperdix_spadicea	3.2	1	HBW2
Galliformes	Phasianidae	Galloperdix_lunulata	3.5	1	HBW2
Galliformes	Phasianidae	Galloperdix_bicalcarata	2.0	1	HBW2
Galliformes	Phasianidae	Ithaginis_cruentus	3.7	1	HBW2
Galliformes	Phasianidae	Tragopan_melanocephalus	4.2	1	HBW2
Galliformes	Phasianidae	Tragopan_satyra	2.4	1	HBW2
Galliformes	Phasianidae	Tragopan_blythii	3.2	1	HBW2
Galliformes	Phasianidae	Tragopan_temminckii	3.9	1	HBW2
Galliformes	Phasianidae	Tragopan_caboti	3.9	1	HBW2
Galliformes	Phasianidae	Lophophorus_impejanus	3.9	1	HBW2
Galliformes	Phasianidae	Lophophorus_sclateri	5.0	1	HBW2
Galliformes	Phasianidae	Lophophorus_lhuysii	3.9	1	HBW2
Galliformes	Phasianidae	Gallus_gallus	6.0	1	HBW2
Galliformes	Phasianidae	Gallus_sonneratii	4.5	1	HBW2
Galliformes	Phasianidae	Gallus_lafayetii	2.0	1	HBW2
Galliformes	Phasianidae	Gallus_varius	3.5	1	HBW2
Galliformes	Phasianidae	Lophura_leucomelanos	7.3	1	HBW2
Galliformes	Phasianidae	Lophura_nycthemera	6.5	1	HBW2
Galliformes	Phasianidae	Lophura_edwardsi	5.3	1	HBW2
Galliformes	Phasianidae	Lophura_swinhoii	5.7	1	HBW2
Galliformes	Phasianidae	Lophura_inornata	2.0	1	HBW2
Galliformes	Phasianidae	Lophura_erythrophthalma	4.2	1	HBW2
Galliformes	Phasianidae	Lophura_ignita	5.7	1	HBW2
Galliformes	Phasianidae	Lophura_diardi	5.7	1	HBW2
Galliformes	Phasianidae	Lophura_bulweri	1.0	1	HBW2
Galliformes	Phasianidae	Crossoptilon_crossoptilon	6.0	1	HBW2
Galliformes	Phasianidae	Crossoptilon_mantchuricum	7.5	1	HBW2
Galliformes	Phasianidae	Crossoptilon_auritum	8.0	1	HBW2
Galliformes	Phasianidae	Phasianus_colchicus	9.9	1	HBW2
Galliformes	Phasianidae	Chrysolophus_pictus	7.7	1	HBW2
Galliformes	Phasianidae	Chrysolophus_amherstiae	6.5	1	HBW2
Galliformes	Phasianidae	Polyplectron_chalcurum	2.0	1	HBW2
Galliformes	Phasianidae	Polyplectron_inopinatum	2.0	1	HBW2
Galliformes	Phasianidae	Polyplectron_germaini	1.4	1	HBW2
Galliformes	Phasianidae	Polyplectron_bicalcaratum	2.0	1	HBW2
Galliformes	Phasianidae	Polyplectron_malacense	1.0	1	HBW2
Galliformes	Phasianidae	Polyplectron_schleiermacheri	1.0	1	HBW2
Galliformes	Phasianidae	Polyplectron_emphanum	2.0	1	HBW2
Galliformes	Phasianidae	Argusianus_argus	2.0	1	HBW2
Galliformes	Phasianidae	Afropavo_congensis	2.4	1	HBW2
Galliformes	Phasianidae	Falcipennis_falcipennis	7.7	1	HBW2
Galliformes	Phasianidae	Falcipennis_canadensis	5.5	1	HBW2
Galliformes	Phasianidae	Dendragapus_obscurus	6.9	1	HBW2
Galliformes	Phasianidae	Lagopus_lagopus	9.4	1	HBW2
Galliformes	Phasianidae	Lagopus_mutus	6.3	1	HBW2
Galliformes	Phasianidae	Lagopus_leucurus	5.5	1	HBW2
Galliformes	Phasianidae	Tetrao_tetrix	8.0	1	HBW2
Galliformes	Phasianidae	Tetrao_mlokosiewiczi	6.0	1	HBW2
Galliformes	Phasianidae	Tetrao_urogallus	7.3	1	HBW2
Galliformes	Phasianidae	Tetrao_parvirostris	6.5	1	HBW2
Galliformes	Phasianidae	Bonasa_bonasia	8.8	1	HBW2
Galliformes	Phasianidae	Bonasa_sewerzowi	6.3	1	HBW2
Galliformes	Phasianidae	Bonasa_umbellus	11.0	1	HBW2
Galliformes	Phasianidae	Centrocercus_urophasianus	7.5	1	HBW2
Galliformes	Phasianidae	Tympanuchus_phasianellus	12.0	1	HBW2
Galliformes	Phasianidae	Tympanuchus_cupido	10.2	1	HBW2
Galliformes	Phasianidae	Tympanuchus_pallidicinctus	11.0	1	HBW2
Galliformes	Phasianidae	Meleagris_gallopavo	11.4	1	HBW2
Galliformes	Phasianidae	Meleagris_ocellata	12.0	1	HBW2
Galliformes	Numididae	Numida_meleagris	8.5	1	HBW2
Galliformes	Numididae	Guttera_plumifera	9.5	1	HBW2
Galliformes	Numididae	Guttera_pucherani	4.5	1	HBW2
Galliformes	Numididae	Acryllium_vulturinum	14.0	1	HBW2
Galliformes	Odontophoridae	Dendrortyx_barbatus	3.5	1	HBW2
Galliformes	Odontophoridae	Dendrortyx_macroura	4.0	1	HBW2
Galliformes	Odontophoridae	Dendrortyx_leucophrys	4.5	1	HBW2
Galliformes	Odontophoridae	Oreortyx_pictus	9.5	1	HBW2
Galliformes	Odontophoridae	Callipepla_squamata	13.0	1	HBW2
Galliformes	Odontophoridae	Callipepla_douglasii	9.8	1	HBW2
Galliformes	Odontophoridae	Callipepla_californica	14.9	1	HBW2
Galliformes	Odontophoridae	Callipepla_gambelii	13.0	1	HBW2
Galliformes	Odontophoridae	Philortyx_fasciatus	5.5	1	HBW2
Galliformes	Odontophoridae	Colinus_virginianus	8.0	1	HBW2
Galliformes	Odontophoridae	Colinus_cristatus	11.3	1	HBW2
Galliformes	Odontophoridae	Odontophorus_gujanensis	4.0	1	HBW2
Galliformes	Odontophoridae	Odontophorus_capueira	5.0	1	HBW2
Galliformes	Odontophoridae	Odontophorus_melanotis	4.0	1	HBW2
Galliformes	Odontophoridae	Odontophorus_columbianus	6.0	1	HBW2
Galliformes	Odontophoridae	Odontophorus_leucolaemus	5.0	1	HBW2
Galliformes	Odontophoridae	Cyrtonyx_montezumae	11.0	1	HBW2
Anseriformes	Anhimidae	Anhima_cornuta	3.9	1	HBW1
Anseriformes	Anhimidae	Chauna_chavaria	3.9	1	HBW1
Anseriformes	Anhimidae	Chauna_torquata	3.9	1	HBW1
Anseriformes	Anseranatidae	Anseranas_semipalmata	7.4	1	HBW1
Anseriformes	Dendrocygnidae	Dendrocygna_guttata	11.0	1	HBW1
Anseriformes	Dendrocygnidae	Dendrocygna_eytoni	10.6	1	HBW1
Anseriformes	Dendrocygnidae	Dendrocygna_bicolor	9.8	1	HBW1
Anseriformes	Dendrocygnidae	Dendrocygna_arcuata	9.5	1	HBW1
Anseriformes	Dendrocygnidae	Dendrocygna_javanica	9.2	1	HBW1
Anseriformes	Dendrocygnidae	Dendrocygna_viduata	7.2	1	HBW1
Anseriformes	Dendrocygnidae	Dendrocygna_arborea	8.5	1	HBW1
Anseriformes	Dendrocygnidae	Dendrocygna_autumnalis	13.9	1	HBW1
Anseriformes	Anatidae	Oxyura_jamaicensis	7.7	1	HBW1
Anseriformes	Anatidae	Oxyura_leucocephala	6.3	1	HBW1
Anseriformes	Anatidae	Oxyura_maccoa	5.7	1	HBW1
Anseriformes	Anatidae	Oxyura_vittata	3.9	1	HBW1
Anseriformes	Anatidae	Oxyura_australis	5.5	1	HBW1
Anseriformes	Anatidae	Biziura_lobata	2.4	1	HBW1
Anseriformes	Anatidae	Stictonetta_naevosa	7.1	1	HBW1
Anseriformes	Anatidae	Cygnus_olor	5.9	1	HBW1
Anseriformes	Anatidae	Cygnus_atratus	5.5	1	HBW1
Anseriformes	Anatidae	Cygnus_melanocorypha	5.7	1	HBW1
Anseriformes	Anatidae	Cygnus_cygnus	4.5	1	HBW1
Anseriformes	Anatidae	Cygnus_buccinator	5.7	1	HBW1
Anseriformes	Anatidae	Cygnus_columbianus	3.9	1	HBW1
Anseriformes	Anatidae	Coscoroba_coscoroba	5.3	1	HBW1
Anseriformes	Anatidae	Anser_cygnoides	5.5	1	HBW1
Anseriformes	Anatidae	Anser_brachyrhynchus	3.9	1	HBW1
Anseriformes	Anatidae	Anser_fabalis	4.9	1	HBW1
Anseriformes	Anatidae	Anser_albifrons	5.5	1	HBW1
Anseriformes	Anatidae	Anser_erythropus	4.9	1	HBW1
Anseriformes	Anatidae	Anser_anser	4.9	1	HBW1
Anseriformes	Anatidae	Anser_indicus	4.9	1	HBW1
Anseriformes	Anatidae	Anser_caerulescens	4.5	1	HBW1
Anseriformes	Anatidae	Anser_rossii	4.5	1	HBW1
Anseriformes	Anatidae	Anser_canagica	5.0	1	HBW1
Anseriformes	Anatidae	Branta_sandvicensis	3.9	1	HBW1
Anseriformes	Anatidae	Branta_canadensis	5.3	1	HBW1
Anseriformes	Anatidae	Branta_leucopsis	4.5	1	HBW1
Anseriformes	Anatidae	Branta_bernicla	3.9	1	HBW1
Anseriformes	Anatidae	Branta_ruficollis	6.5	1	HBW1
Anseriformes	Anatidae	Cereopsis_novaehollandiae	4.2	1	HBW1
Anseriformes	Anatidae	Sarkidiornis_melanotos	11.0	1	HBW1
Anseriformes	Anatidae	Tadorna_ferruginea	8.5	1	HBW1
Anseriformes	Anatidae	Tadorna_cana	10.0	1	HBW1
Anseriformes	Anatidae	Tadorna_tadornoides	8.9	1	HBW1
Anseriformes	Anatidae	Tadorna_variegata	8.9	1	HBW1
Anseriformes	Anatidae	Tadorna_tadorna	8.9	1	HBW1
Anseriformes	Anatidae	Tadorna_radjah	8.5	1	HBW1
Anseriformes	Anatidae	Malacorhynchus_membranaceu	6.9	1	HBW1
Anseriformes	Anatidae	Neochen_jubata	7.7	1	HBW1
Anseriformes	Anatidae	Chloephaga_melanoptera	7.1	1	HBW1
Anseriformes	Anatidae	Chloephaga_picta	6.3	1	HBW1
Anseriformes	Anatidae	Chloephaga_hybrida	4.6	1	HBW1
Anseriformes	Anatidae	Chloephaga_poliocephala	4.9	1	HBW1
Anseriformes	Anatidae	Chloephaga_rubidiceps	6.3	1	HBW1
Anseriformes	Anatidae	Merganetta_armata	3.5	1	HBW1
Anseriformes	Anatidae	Pteronetta_hartlaubii	8.8	1	HBW1
Anseriformes	Anatidae	Cairina_moschata	11.0	1	HBW1
Anseriformes	Anatidae	Cairina_scutulata	8.8	1	HBW1
Anseriformes	Anatidae	Aix_sponsa	11.6	1	HBW1
Anseriformes	Anatidae	Aix_galericulata	10.4	1	HBW1
Anseriformes	Anatidae	Nettapus_pulchellus	9.8	1	HBW1
Anseriformes	Anatidae	Nettapus_coromandelianus	9.8	1	HBW1
Anseriformes	Anatidae	Nettapus_auritus	8.5	1	HBW1
Anseriformes	Anatidae	Callonetta_leucophrys	8.5	1	HBW1
Anseriformes	Anatidae	Chenonetta_jubata	9.4	1	HBW1
Anseriformes	Anatidae	Amazonetta_brasiliensis	6.9	1	HBW1
Anseriformes	Anatidae	Anas_specularis	4.9	1	HBW1
Anseriformes	Anatidae	Anas_capensis	8.1	1	HBW1
Anseriformes	Anatidae	Anas_strepera	9.8	1	HBW1
Anseriformes	Anatidae	Anas_falcata	7.3	1	HBW1
Anseriformes	Anatidae	Anas_penelope	8.5	1	HBW1
Anseriformes	Anatidae	Anas_americana	7.9	1	HBW1
