"CancerType" "GAPDH" "ENO" "PFK" "PGM" "HK" "ADH" "ALD"
"1" "BLAD" 0.1581132883 0.1258918357 -0.04585064095 -0.02381829575 0.161795991433333 -30.1500071064857 -0.585795070909091
"2" "BRCA" 8.907734053 1.061892456 1.55421161266667 -3.076901645 2.79526031966667 -411.984188275714 -43.9893484001667
"3" "CESC" 0.2289991334 0.2070640725 -0.16176566415 0.0198342688 0.507470017833333 -34.8157919274 -0.0974234656545455
"4" "CHOL" 0.0074344768 -2.7370916563 1.15504523693333 -1.90661118545 -0.627880425133333 -16.2818491307 -2.45326573064167
"5" "COAD" 0.2732165085 1.5687789761 0.258738403266667 -7.2430672815 -1.41322271686667 -107.634124626829 0.3432743144
"6" "COADREAD" 0.1788090411 0.8144680446 0.154015596 -3.91325904505 -0.510197602666667 -59.8676933994286 0.277076397218182
"7" "ESCA" NA 0.0582868072 -0.0244462719 -0.33731268155 0.2013388715 -10.8011906593429 -1.06793740717778
"8" "GBM" NA -0.92553897935 -0.873651275666667 0.5809157509 -0.149688630233333 -0.48786677745 -0.406721397581818
"9" "HNSC" 0.0016081023 1.2195611512 -0.452590890566667 -1.1677397661 1.55320976026667 -154.740089040457 -3.5962303706
"10" "KICH" 4.2708936515 -0.4992398317 1.5913950511 0.30353103335 -0.0130038796333333 -22.5612502015714 -5.466735183375
"11" "KIRC" 15.3584874993 13.3696701050333 5.6981212776 0.14095108755 22.7267895866333 -175.605063196929 -29.95451432975
"12" "KIRP" 3.7948948755 3.2334924003 0.7258859024 -0.3129175112 7.2883377659 -102.548684982714 -22.4285182985167
"13" "LIHC" 0.2448638794 -11.3152604221667 0.175398353 -3.2294548424 -9.91845523016667 -7.94907442951429 -3.97497881928333
"14" "LUAD" 7.751597951 3.30090750183333 4.2697758383 -0.95903398 -10.9186980782 -51.7383848364571 -0.12353445655
"15" "LUNG" 9.6594379529 2.5216513343 3.7694350161 -0.9787684704 -13.1513057618 -64.6943389684429 -1.6470075951
"16" "LUSC" 29.7551642693 3.49004243026667 5.66522411653333 1.4889088207 -21.0696839060333 -115.663013626829 -13.3109078738167
"17" "PAAD" 0.0464982963 -0.101547403 0.0126815468666667 0.00542238925 -0.554597695133333 0.1073965028 0.0716319064583333
"18" "PCPG" 0.2034930316 3.25838678736667 0.2732425347 -4.71223790555 0.343984431 -16.2743235994333 -7.90741392338333
"19" "PRAD" 0.173315589 -5.297432367 -0.546611571 -1.587078883 3.40351972133333 -5.82007237285714 -5.67737869216667
"20" "READ" 0.4285624935 0.585492144433333 0.0444536106666667 -0.9830862915 -0.00226426343333333 -35.1097251517 0.485435924275
"21" "SARC" -0.0127795654 -0.0016259609 -0.0672197873 0.0113470067 0.0304008485666667 -10.6358764070429 -0.7441512425
"22" "SKCM" -2.369e-07 7.69132333333333e-05 3.70151666666667e-05 -6.08254e-05 -1.6641650108 -6.98226208977143 -0.00384545118333333
"23" "STAD" -0.0112809496 0.6052178999 0.178513642766667 -0.5798464674 5.679615731 -35.4044504300714 -2.66604744845833
"24" "TGCA" 1.5980597777 0.460753648933333 0.383705165666667 -0.29492939065 0.0108159674333332 -99.9063123930714 5.242123996575
"25" "THYM" 0.0031132254 0.00985879486666666 0.0153542864333333 -0.035323548 -0.683780059066667 -4.84546678035 -0.19423396535
"26" "UCEC" 4.4458972101 2.12953113906667 -0.299522851233333 0.09348838625 5.03114074146667 -40.9090197131143 -1.65249983578333
