allparameters.Kingdom allparameters.Phylum allparameters.Class allparameters.Order allparameters.Family allparameters.Genus allparameters.Species allparameters.Temperature allparameters.FrT allparameters.EuFish
Animalia Chordata Actinopterygii Cypriniformes Cyprinidae Abramis Abramis_brama 6.92272727272727 0.193861968729671 0
NA NA NA NA NA NA Abudefduf_vaigiensis 27 0.20505317972432 0
NA NA NA NA NA NA Acanthurus_leucosternon 27 0.215761408657622 0
NA NA NA NA NA NA Acanthurus_lineatus 26.9 0.212772494027267 0
Animalia Chordata Actinopterygii Acipenseriformes Acipenseridae Acipenser Acipenser_fulvescens 8 0.129946356674995 0
NA NA NA NA NA NA Acipenser_medirostris 14 0.133873056893045 0
Animalia Chordata Actinopterygii Acipenseriformes Acipenseridae Acipenser Acipenser_transmontanus 15.6666666666667 0.125416860917646 0
NA NA NA NA NA NA Alepes_kleinii 27 0.257856640354836 0
Animalia Chordata Actinopterygii Osmeriformes Alepocephalidae Alepocephalus Alepocephalus_bairdii 11 0.150367486551517 0
NA NA NA NA NA NA Alepocephalus_tenebrosus 4 0.159788536884857 0
Animalia Chordata Actinopterygii Zeiformes Oreosomatidae Allocyttus Allocyttus_niger 11 0.203501628093693 0
Animalia Chordata Chondrichthyes Lamniformes Alopiidae Alopias Alopias_pelagicus 22 0.231406969594829 0
Animalia Chordata Chondrichthyes Lamniformes Alopiidae Alopias Alopias_superciliosus 22 0.217316059551477 0
Animalia Chordata Actinopterygii Clupeiformes Clupeidae Alosa Alosa_pseudoharengus 20 0.212000290083895 0
Animalia Chordata Chondrichthyes Rajiformes Rajidae Amblyraja Amblyraja_radiata 12 0.226260457378954 0
Animalia Chordata Actinopterygii Perciformes Ammodytidae Ammodytes Ammodytes_hexapterus 10.0666666666667 0.24390628488595 0
NA NA NA NA NA NA Ammodytes_personatus 15 0.26034120558404 0
NA NA NA NA NA NA Amphiprion_perideraion 28.5 0.206473404271401 0
Animalia Chordata Actinopterygii Perciformes Anabantidae Anabas Anabas_testudineus 26 0.204414189679443 0
NA NA NA NA NA NA Anarhichas_lupus 6.8 0.247842875261231 0
Animalia Chordata Actinopterygii Anguilliformes Anguillidae Anguilla Anguilla_anguilla 15.0037037037037 0.161969627268182 0
NA NA NA NA NA NA Anodontostoma_chacunda 27.3 0.206034856741723 0
NA NA NA NA NA NA Anoplogaster_cornuta 4 0.174237611345035 0
Animalia Chordata Actinopterygii Scorpaeniformes Anoplopomatidae Anoplopoma Anoplopoma_fimbria 8.9 0.21014329416788 0
Animalia Chordata Actinopterygii Gasterosteiformes Gasterosteidae Apeltes Apeltes_quadracus 15 0.274896313108213 0
NA NA NA NA NA NA Aphanopus_carbo 16 0.158725973350509 0
Animalia Chordata Actinopterygii Perciformes Sciaenidae Argyrosomus Argyrosomus_japonicus 15 0.174437109753937 0
NA NA NA NA NA NA Ariomma_indicum 25.2833333333333 0.241838114935291 0
Animalia Chordata Actinopterygii Perciformes Arripidae Arripis Arripis_trutta 14.6 0.232311019137502 0
NA NA NA NA NA NA Atule_mate 28.1 0.284760040730233 0
NA NA NA NA NA NA Aulorhynchus_flavidus 18 0.372663130561498 0
NA NA NA NA NA NA Auxis_rochei 20 0.211924430609581 1
