allparameters.Kingdom allparameters.Phylum allparameters.Class allparameters.Order allparameters.Family allparameters.Genus allparameters.Species allparameters.GenerationLength_d allparameters.FrT allparameters.Hib allparameters.Mono allparameters.Mars
Animalia Chordata Mammalia Carnivora Felidae Acinonyx Acinonyx_jubatus 2190 0.200813910192471 0 0 0
Animalia Chordata Mammalia Rodentia Muridae Acomys Acomys_cahirinus 650.0125 0.143496473112993 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Addax Addax_nasomaculatus 2555 0.153339707282052 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Aepyceros Aepyceros_melampus 2674.111666657 0.176535074175713 0 0 0
Animalia Chordata Mammalia Carnivora Ursidae Ailuropoda Ailuropoda_melanoleuca 5246.699416657 0.243305403592376 0 0 0
Animalia Chordata Mammalia Carnivora Ailuridae Ailurus Ailurus_fulgens 3650 0.250030766153315 0 0 0
NA NA NA NA NA Akodon Akodon_montensis 589.388299099621 0.198517512330737 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Alcelaphus Alcelaphus_buselaphus 2863.875333343 0.1130164257362 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Alces Alces_alces 3721.7786 0.215261919059532 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Allenopithecus Allenopithecus_nigroviridis 4024.40965793651 0.211592981353971 0 0 0
Animalia Chordata Mammalia Primates Cebidae Alouatta Alouatta_caraya 3750.594 0.181103819782551 0 0 0
Animalia Chordata Mammalia Primates Cebidae Alouatta Alouatta_seniculus 3833.157 0.178201488863704 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Ammotragus Ammotragus_lervia 1825 0.144416398757037 0 0 0
NA NA NA NA NA Anoura Anoura_caudifer 2064.27635 0.218215179898609 0 0 0
NA NA NA NA NA Anourosorex Anourosorex_squamipes 379.29295625 0.249519639876459 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Antidorcas Antidorcas_marsupialis 2563.152683343 0.215438003851619 0 0 0
Animalia Chordata Mammalia Artiodactyla Antilocapridae Antilocapra Antilocapra_americana 1652.841666657 0.138104723063761 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Antilope Antilope_cervicapra 2747.350266657 0.16568137764703 0 0 0
Animalia Chordata Mammalia Primates Cebidae Aotus Aotus_lemurinus 2920 0.214583606358182 0 0 0
Animalia Chordata Mammalia Rodentia Muridae Apodemus Apodemus_agrarius 504.40745 0.245721208750528 0 0 0
NA NA NA NA NA Apodemus Apodemus_chevrieri 554.1929125 0.232764032379493 0 0 0
NA NA NA NA NA Apodemus Apodemus_draco 554.1929125 0.220920022120731 0 0 0
NA NA NA NA NA Apodemus Apodemus_latronum 554.1929125 0.215662715930468 0 0 0
Animalia Chordata Mammalia Rodentia Muridae Apodemus Apodemus_peninsulae 554.1929125 0.250570359448208 1 0 0
Animalia Chordata Mammalia Carnivora Otariidae Arctocephalus Arctocephalus_forsteri 3285 0.153650683044526 0 0 0
Animalia Chordata Mammalia Carnivora Otariidae Arctocephalus Arctocephalus_pusillus 3587.7675 0.159668806865076 0 0 0
NA NA NA NA NA Arctocephalus Arctocephalus_townsendi 3650 0.146399244166828 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Arctonyx Arctonyx_collaris 1798.679444554 0.188928155330932 0 0 0
Animalia Chordata Mammalia Chiroptera Phyllostomidae Artibeus Artibeus_jamaicensis 1920.4777 0.265959084375395 0 0 0
Animalia Chordata Mammalia Chiroptera Phyllostomidae Artibeus Artibeus_lituratus 1920.4777 0.268679623062278 0 0 0
Animalia Chordata Mammalia Primates Cebidae Ateles Ateles_belzebuth 5475 0.177008787893458 0 0 0
NA NA NA NA NA Avahi Avahi_laniger 3649.771875 0.179527388601993 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Axis Axis_axis 3650 0.196613281614476 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Axis Axis_porcinus 2555 0.189011682280551 0 0 0
Animalia Chordata Mammalia Cetacea Balaenidae Balaena Balaena_mysticetus 18980 0.156581525267319 0 0 0
Animalia Chordata Mammalia Cetacea Balaenopteridae Balaenoptera Balaenoptera_acutorostrata 8030 0.178940049406653 0 0 0
NA NA NA NA NA Balaenoptera Balaenoptera_bonaerensis 8030 0.159814357818818 0 0 0
Animalia Chordata Mammalia Cetacea Balaenopteridae Balaenoptera Balaenoptera_borealis 8504.5 0.163272773195492 0 0 0
Animalia Chordata Mammalia Cetacea Balaenopteridae Balaenoptera Balaenoptera_edeni 10042.4483 0.163786524388061 0 0 0
Animalia Chordata Mammalia Cetacea Balaenopteridae Balaenoptera Balaenoptera_musculus 11315 0.184861631790925 0 0 0
NA NA NA NA NA Balaenoptera Balaenoptera_omurai 9016.737075 0.176013967784751 0 0 0
Animalia Chordata Mammalia Cetacea Balaenopteridae Balaenoptera Balaenoptera_physalus 9490 0.182339016590206 0 0 0
NA NA NA NA NA Bandicota Bandicota_indica 639.631831820818 0.206153681809005 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Beatragus Beatragus_hunteri 2253.9745 0.133733857980343 0 0 0
Animalia Chordata Mammalia Cetacea Hyperoodontidae Berardius Berardius_bairdii 9855 0.211046132454919 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Bison Bison_bison 4288.14166657 0.169334412815435 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Bison Bison_bonasus 3595.3298 0.170876068099633 0 0 0
NA NA NA NA NA Blarinella Blarinella_quadraticauda 379.29295625 0.271808877650567 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Blastocerus Blastocerus_dichotomus 1825 0.255005984291508 0 0 0
NA NA NA NA NA Bos Bos_gaurus 3285 0.157038056404189 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Bos Bos_javanicus 3285 0.171034427582324 0 0 0
NA NA NA NA NA Bos Bos_mutus 3650 0.169201554426042 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Boselaphus Boselaphus_tragocamelus 2944.82 0.163832240961495 0 0 0
NA NA NA NA NA Brachyphylla Brachyphylla_cavernarum 2064.27635 0.1843195068167 0 0 0
NA NA NA NA NA Bradypus Bradypus_pygmaeus 3873.20485 0.117149048045537 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Bubalus Bubalus_depressicornis 2920 0.148307979275315 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Budorcas Budorcas_taxicolor 2920 0.15764402806444 0 0 0
Animalia Chordata Mammalia Cingulata Dasypodidae Cabassous Cabassous_centralis 1859.11975 0.114642542495814 0 0 0
NA NA NA NA NA Cabassous Cabassous_chacoensis 1859.11975 0.125721324404679 0 0 0
NA NA NA NA NA Cabassous Cabassous_tatouay 1859.11975 0.118864956577697 0 0 0
Animalia Chordata Mammalia Cingulata Dasypodidae Cabassous Cabassous_unicinctus 1859.11975 0.116930906113858 0 0 0
Animalia Chordata Mammalia Primates Pitheciidae Cacajao Cacajao_calvus 3650 0.216928475478331 0 0 0
NA NA NA NA NA Caenolestes Caenolestes_fuliginosus 998.676563583815 0.221954580174117 0 0 0
Animalia Chordata Mammalia Primates Callitrichidae Callimico Callimico_goeldii 2190 0.237570428228462 0 0 0
