Kingdom;Phylum;Class;Order;Family;Genus;Species;GenerationLength_d;FrT;Hib;Daily;Mars;Mono;residuals
Animalia;Chordata;Mammalia;Pholidota;Manidae;Manis;Manis_pentadactyla;1825;0.0955860983246328;0;0;0;0;-0.10428996616861
Animalia;Chordata;Mammalia;Cingulata;Dasypodidae;Priodontes;Priodontes_maximus;1979.1637;0.0983589946644283;0;0;0;0;-0.100700330109845
Animalia;Chordata;Mammalia;Cingulata;Dasypodidae;Tolypeutes;Tolypeutes_tricinctus;1095;0.111121082900079;0;0;0;0;-0.0926224289549501
NA;NA;NA;NA;NA;Dasypus;Dasypus_kappleri;1642.5;0.108958043205645;0;0;0;0;-0.0918848831280451
Animalia;Chordata;Mammalia;Chiroptera;Phyllostomidae;Desmodus;Desmodus_rotundus;2779.7975;0.1040245140238;0;0;0;0;-0.0907931544798346
Animalia;Chordata;Mammalia;Cingulata;Dasypodidae;Cabassous;Cabassous_centralis;1859.11975;0.114642542495814;0;0;0;0;-0.0850527598917826
Animalia;Chordata;Mammalia;Cingulata;Dasypodidae;Cabassous;Cabassous_unicinctus;1859.11975;0.116930906113858;0;0;0;0;-0.0827643962737385
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Alcelaphus;Alcelaphus_buselaphus;2863.875333343;0.1130164257362;0;0;0;0;-0.0813558090759997
NA;NA;NA;NA;NA;Cabassous;Cabassous_tatouay;1859.11975;0.118864956577697;0;0;0;0;-0.0808303458098996
Animalia;Chordata;Mammalia;Rodentia;Bathyergidae;Heterocephalus;Heterocephalus_glaber;2023.309775;0.118768054260954;0;0;0;0;-0.0800573902101797
Animalia;Chordata;Mammalia;Chiroptera;Pteropodidae;Pteropus;Pteropus_dasymallus;1825;0.119887836209505;0;0;0;0;-0.0799882282837381
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Damaliscus;Damaliscus_lunatus;2190;0.12170638579635;0;0;0;0;-0.0762359550160005
NA;NA;NA;NA;NA;Phalanger;Phalanger_vestitus;2000.3639125;0.124413539506658;0;0;1;0;-0.0745334692321328
NA;NA;NA;NA;NA;Dendrohyrax;Dendrohyrax_dorsalis;1675.3724;0.126525479501446;0;0;0;0;-0.0741432930286059
NA;NA;NA;NA;NA;Cabassous;Cabassous_chacoensis;1859.11975;0.125721324404679;0;0;0;0;-0.0739739779829171
NA;NA;NA;NA;NA;Vampyrum;Vampyrum_spectrum;2064.27635;0.12592816880101;0;0;0;0;-0.0726802399544998
Animalia;Chordata;Mammalia;Pilosa;Megalonychidae;Choloepus;Choloepus_didactylus;4669.36675;0.112519796286057;0;0;0;0;-0.0722871741205582
Animalia;Chordata;Mammalia;Artiodactyla;Giraffidae;Okapia;Okapia_johnstoni;4764.23571657;0.112213295131393;0;0;0;0;-0.0720910715293635
NA;NA;NA;NA;NA;Bradypus;Bradypus_pygmaeus;3873.20485;0.117149048045537;0;0;0;0;-0.0718758870730088
Animalia;Chordata;Mammalia;Chiroptera;Pteropodidae;Pteropus;Pteropus_vampyrus;2945.91840714286;0.122267790734607;0;0;0;0;-0.0716697902840041
Animalia;Chordata;Mammalia;Artiodactyla;Tayassuidae;Pecari;Pecari_tajacu;3102.921666657;0.123764512991653;0;0;0;0;-0.0693412846820268
