Kingdom	Phylum	Class	Subclass	Infraclass	Superorder	Order (or infraorder for Cetacea)	Family	Species	AdultBodyMass_g	Sources_AdultBodyMass	GenerationLength_d	Sources_GL	FrT	residuals	Hib	Hib+unconfirmedHib	Daily	Daily+unconfirmedDaily	Mars	Mono	Temperature(C)_White2003,2006	Temperature(C)_White2003,2006+other	Temperature(C)_White2003,2006+other+close species	BMR(mL O2 h−1)_White2003,2006+other	BodyMassBMR(g)_White2003,2006+other	BMR(mL O2 h−1 g-1)_White2003,2006+other	Sourses_BodyT&BMR
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Felidae	Acinonyx_jubatus	50577,92	PanTHERIA	2190	GMA	0,20081391	0,002871569	0	0	0	0	0	0	39,00	39,00	39,00	8982,00	37900,00	0,24	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Acomys_cahirinus	41,16	PanTHERIA	650,0125	Rspan-AFB	0,143496473	-0,062604526	0	0	0	0	0	0	37,50	37,50	37,50	46,20	42,00	1,10	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Addax_nasomaculatus	96077,36	PanTHERIA	2555	GMA	0,153339707	-0,04266891	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Aepyceros_melampus	52591,69	PanTHERIA	2674,111667	Rspan-AFB	0,176535074	-0,018842504	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Ursidae	Ailuropoda_melanoleuca	118000	PanTHERIA	5246,699417	Rspan-AFR(SM+Gest)	0,243305404	0,061557068	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Ailuridae	Ailurus_fulgens	5170,08	PanTHERIA	3650	GMA	0,250030766	0,05982332	0	0	0	0	0	0	37,60	37,60	37,60	878,22	5740,00	0,15	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Cricetidae	Akodon_montensis	34,65	Verde Arregoitia et al. 2013	589,3882991	Mean_family_same_body_mass	0,198517512	-0,007904666	0	0	0	0	0	0			37,70				White&Seymour2003
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Alcelaphus_buselaphus	160937,9	PanTHERIA	2863,875333	Rspan-AFB	0,113016426	-0,081355809	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Cervidae	Alces_alces	461900,8	PanTHERIA	3721,7786	Rspan-AFB	0,215261919	0,025434747	0	0	0	0	0	0	38,60	38,60	38,60	51419,00	325000,00	0,16	White&Seymour2003
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Cercopithecidae	Allenopithecus_nigroviridis	4749,96	PanTHERIA	4024,409658	Mean_family_same_body_mass	0,211592981	0,02336911	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Cebidae	Alouatta_caraya	5576,96	PanTHERIA	3750,594	Rspan-AFB	0,18110382	-0,008570692	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Cebidae	Alouatta_seniculus	6398,31	PanTHERIA	3833,157	Rspan-AFB	0,178201489	-0,011035615	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Ammotragus_lervia	94202,22	PanTHERIA	1825	GMA	0,144416399	-0,055459666	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Phyllostomidae	Anoura_caudifer	10,81	PanTHERIA	2064,27635	Mean_family_same_body_mass	0,21821518	0,019606771	0	0	0	0	0	0	36,50	36,50	36,50	42,67	11,50	3,71	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Eulipotyphla	Soricidae	Anourosorex_squamipes	20	PanTHERIA	379,2929563	Mean_family_same_body_mass	0,24951964	0,041984403	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Antidorcas_marsupialis	33571,24	PanTHERIA	2563,152683	Rspan-AFR(SM+Gest)	0,215438004	0,019472579	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Antilocapridae	Antilocapra_americana	47450,01	PanTHERIA	1652,841667	Rspan-AFB	0,138104723	-0,062683414	0	0	0	0	0	0	38,00	38,00	38,00	9318,00	37800,00	0,25	AnAge, White&Seymour2003
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Antilope_cervicapra	36301,1	PanTHERIA	2747,350267	Rspan-AFB	0,165681378	-0,029308192	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Cebidae	Aotus_lemurinus	865,96	PanTHERIA	2920	GMA	0,214583606	0,020508713	0	0	0	0	0	0			38,00				White&Seymour2003
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Apodemus_agrarius	21,11	PanTHERIA	504,40745	Rspan-AFR(SM+Gest)	0,245721209	0,038848813	0	0	0	1	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Apodemus_chevrieri	32,9	Verde Arregoitia et al. 2013	554,1929125	Mean_congenerics_same_body_mass	0,232764032	0,026155393	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Apodemus_draco	22,25	Verde Arregoitia et al. 2013	554,1929125	Mean_congenerics_same_body_mass	0,220920022	0,014311383	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Apodemus_latronum	35,2	Verde Arregoitia et al. 2013	554,1929125	Mean_congenerics_same_body_mass	0,215662716	0,009054077	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Apodemus_peninsulae	32,9	Verde Arregoitia et al. 2013	554,1929125	Mean_congenerics_same_body_mass	0,250570359	0,04396172	0	0	1	1	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Otariidae	Arctocephalus_forsteri	101250	PanTHERIA	3285	GMA	0,153650683	-0,038490487	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Otariidae	Arctocephalus_pusillus	178500	PanTHERIA	3587,7675	Rspan-AFB	0,159668807	-0,030868339	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Otariidae	Arctocephalus_townsendi	101063,7	PanTHERIA	3650	GMA	0,146399244	-0,043808202	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Mustelidae	Arctonyx_collaris	8166,52	PanTHERIA	1798,679445	Rspan-ASMmales	0,188928155	-0,011087352	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Phyllostomidae	Artibeus_jamaicensis	43,63	PanTHERIA	1920,4777	Rspan-AFR(SM+Gest)	0,265959084	0,066588849	0	0	0	0	0	0	36,40	36,40	36,40	76,84	45,20	1,70	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Phyllostomidae	Artibeus_lituratus	59,3	PanTHERIA	1920,4777	Mean_congenerics_same_body_mass	0,268679623	0,069309387	0	0	0	0	0	0	37,30	37,30	37,30	107,95	70,10	1,54	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Cebidae	Ateles_belzebuth	6692,42	PanTHERIA	5475	GMA	0,177008788	-0,00353004	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Indriidae	Avahi_laniger	1092,28	PanTHERIA	3649,771875	Mean_family_same_body_mass	0,179527389	-0,010681266	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Cervidae	Axis_axis	69499,99	PanTHERIA	3650	GMA	0,196613282	0,006405836	0	0	0	0	0	0		39,20	39,20				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Cervidae	Axis_porcinus	37448,29	PanTHERIA	2555	GMA	0,189011682	-0,006996935	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Balaenidae	Balaena_mysticetus	79691178,99	PanTHERIA	18980	GMA	0,156581525	0,047590474	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera_acutorostrata	5587093,59	PanTHERIA	8030	GMA	0,178940049	0,011937287	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera_bonaerensis	49904131,65	Mean_congenerics	8030	GMA	0,159814358	-0,007188404	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera_borealis	22106251,95	PanTHERIA	8504,5	GMA	0,163272773	-0,001216148	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera_edeni	19999999,97	PanTHERIA	10042,4483	Rspan-AFR(SM+Gest)	0,163786524	0,007445458	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera_musculus	154321304,5	PanTHERIA	11315	GMA	0,184861632	0,035262383	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera_omurai	49904131,65	Mean_congenerics	9016,737075	Mean_congenerics_same_body_mass	0,176013968	0,014238814	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera_physalus	47506008,23	PanTHERIA	9490	GMA	0,182339017	0,023071149	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Bandicota_indica	583,09	PanTHERIA	639,6318318	Mean_family_same_body_mass	0,206153682	-2,31E-06	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Beatragus_hunteri	79132,17	PanTHERIA	2253,9745	Rspan-ASMmales	0,133733858	-0,063869554	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Hyperoodontidae	Berardius_bairdii	11380000,04	PanTHERIA	9855	GMA	0,211046132	0,053711989	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Bison_bison	624577,1	PanTHERIA	4288,141667	Rspan-AFB	0,169334413	-0,01749224	0	0	0	0	0	0		38,70	38,70				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Bison_bonasus	675876,7	PanTHERIA	3595,3298	Rspan-AFB	0,170876068	-0,019621014	0	0	0	0	0	0		38,35	38,35				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Eulipotyphla	Soricidae	Blarinella_quadraticauda	12,5	PanTHERIA	379,2929563	Mean_family_same_body_mass	0,271808878	0,064273641	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Cervidae	Blastocerus_dichotomus	112518,5	PanTHERIA	1825	GMA	0,255005984	0,05512992	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Bos_gaurus	721000	Smith et al. 2003	3285	GMA	0,157038056	-0,035103113	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Bos_javanicus	635974,3	PanTHERIA	3285	GMA	0,171034428	-0,021106742	0	0	0	0	0	0		38,80	38,80				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Bos_mutus	650000	Animal Diversity	3650	GMA	0,169201554	-0,021005892	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Boselaphus_tragocamelus	182253	PanTHERIA	2944,82	Rspan-AFB	0,163832241	-0,030111159	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Phyllostomidae	Brachyphylla_cavernarum	45,5	PanTHERIA	2064,27635	Mean_family_same_body_mass	0,184319507	-0,014288902	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Xenarthra	Pilosa	Bradypodidae	Bradypus_pygmaeus	2900	Animal Diversity	3873,20485	Mean_order_same_mass	0,117149048	-0,071875887	0	0	0	0	0	0			33,00				White&Seymour2003
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Bubalus_depressicornis	256989,3	PanTHERIA	2920	GMA	0,148307979	-0,045766914	0	0	0	0	0	0			38,10				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Budorcas_taxicolor	294515,3	PanTHERIA	2920	GMA	0,157644028	-0,036430865	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Xenarthra	Cingulata	Chlamyphoridae	Cabassous_centralis	3669,69	PanTHERIA	1859,11975	Mean_family_same_body_mass	0,114642542	-0,08505276	0	0	0	0	0	0	33,60	33,60	33,60	916,80	4330,00	0,21	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Xenarthra	Cingulata	Chlamyphoridae	Cabassous_chacoensis	1490,01	PanTHERIA	1859,11975	Mean_family_same_body_mass	0,125721324	-0,073973978	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Xenarthra	Cingulata	Chlamyphoridae	Cabassous_tatouay	5349,95	PanTHERIA	1859,11975	Mean_family_same_body_mass	0,118864957	-0,080830346	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Xenarthra	Cingulata	Chlamyphoridae	Cabassous_unicinctus	3987,97	PanTHERIA	1859,11975	Mean_family_same_body_mass	0,116930906	-0,082764396	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Pitheciidae	Cacajao_calvus	3421,04	PanTHERIA	3650	GMA	0,216928475	0,026721029	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Metatheria	Ameridelphia	Paucituberculata	Caenolestidae	Caenolestes_fuliginosus	28,64	PanTHERIA	998,6765636	Mean_all_orders_same_body_mass	0,22195458	0,017700759	0	0	0	0	1	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Callitrichidae	Callimico_goeldii	558	PanTHERIA	2190	GMA	0,237570428	0,039628087	0	0	0	0	0	0		36,00	36,00				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Callitrichidae	Callithrix_geoffroyi	342	PanTHERIA	2110,588375	Mean_congenerics_same_body_mass	0,170149752	-0,028213302	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Callitrichidae	Callithrix_jacchus	290,21	PanTHERIA	2156,5235	Rspan-AFB	0,174573681	-0,023546014	0	0	0	0	0	0	36,00	36,00	36,00	152,00	190,00	0,80	AnAge, White&Seymour2003
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Callitrichidae	Callithrix_kuhlii	374,99	PanTHERIA	2190	GMA	0,176188421	-0,02175392	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Callitrichidae	Callithrix_penicillata	339,98	PanTHERIA	2110,588375	Mean_congenerics_same_body_mass	0,169272267	-0,029090787	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Otariidae	Callorhinus_ursinus	55464,82	PanTHERIA	4745	GMA	0,145924639	-0,038481636	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Sciuridae	Callosciurus_erythraeus	283,23	PanTHERIA	1585,1964	Mean_congenerics_same_body_mass	0,2392913	0,038144786	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Camelidae	Camelus_ferus	268000	Smith et al. 2003	5840	GMA	0,182671808	0,004066704	0	0	0	0	0	0			37,50				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Canidae	Canis_latrans	11989,1	PanTHERIA	2569,032222	Rspan-AFB	0,230789958	0,034855682	0	0	0	0	0	0	37,00	37,00	37,00	2686,57	10000,00	0,27	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Canidae	Canis_lupus	31756,51	PanTHERIA	2883,256667	Rspan-AFB	0,230252446	0,035982891	0	0	0	0	0	0		38,30	38,30				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Cetotheriidae	Caperea_marginata	31999999,98	PanTHERIA	10278,51578	Mean_order_same_mass	0,206280738	0,051190327	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Capra_aegagrus	71350,77625	Mean_congenerics	2097,005	Rspan-ASMmales	0,169367889	-0,029067127	0	0	0	0	0	0			39,30				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Capra_caucasica	58149,52	PanTHERIA	2555	GMA	0,165996515	-0,030012102	0	0	0	0	0	0			39,30				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Capra_ibex	69546,83	PanTHERIA	2958,933333	Rspan-AFB	0,159411157	-0,034457473	0	0	0	0	0	0			39,30				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Capra_pyrenaica	60898,77	PanTHERIA	2471,76	Rspan-ASMmales	0,162357557	-0,034092055	0	0	0	0	0	0			39,30				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Cervidae	Capreolus_pygargus	41371,03	PanTHERIA	3063,8029	Rspan-AFR(SM+Gest)	0,230597565	0,037284521	0	0	0	0	0	0			38,00				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Cervidae	Capricornis_crispus	43030,64	PanTHERIA	3135,631967	Rspan-AFR(SM+Gest)	0,150807226	-0,042125276	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Cervidae	Capricornis_milneedwardsii	112000	Verde Arregoitia et al. 2013	2555	GMA	0,164180762	-0,031827855	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Capricornis_sumatraensis	110942,2	PanTHERIA	2555	GMA	0,165934285	-0,030074332	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Cervidae	Capricornis_swinhoei	20500	Verde Arregoitia et al. 2013	2421,9825	Rspan-ASMmales	0,153022866	-0,043690461	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Felidae	Caracal_caracal	11964,38	PanTHERIA	2239,8225	Rspan-AFB	0,194348748	-0,00332964	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Phyllostomidae	Carollia_perspicillata	19,23	PanTHERIA	1847,5352	Rspan-AFB	0,201345162	0,001588486	0	0	1	1	0	0	36,40	36,40	36,40	43,06	14,90	2,89	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Cebidae	Cebus_albifrons	2509,68	PanTHERIA	5508,653	Rspan-AFB	0,195301238	0,014940699	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Cephalophus_adersi	9249,95	PanTHERIA	703,088	Rspan-ASMmales	0,151897135	-0,053922677	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Cephalophus_callipygus	19079,23	PanTHERIA	1936,42625	Rspan-ASMmales	0,150309439	-0,048976303	0	0	0	0	0	0							
