Spece;OxyCon(mg/kg/h);OnyCon(at20C);Weight;Temp;Salinity;Activity;Applied_stress
Leiostomus_xanthurus;56;36.8;11.10;25.0;19;routine;none_specified
Leiostomus_xanthurus;61;40.4;14.50;25.0;19;routine;none_specified
Leiostomus_xanthurus;64;42.3;14.50;25.0;19;routine;none_specified
Leiostomus_xanthurus;70;46.0;11.10;25.0;19;routine;none_specified
Leiostomus_xanthurus;72;47.3;14.50;25.0;19;routine;none_specified
Leiostomus_xanthurus;79;52.3;18.00;25.0;19;routine;none_specified
Leiostomus_xanthurus;90;59.3;14.50;25.0;19;routine;none_specified
Leiostomus_xanthurus;98;64.6;11.10;25.0;19;routine;none_specified
Leiostomus_xanthurus;104;68.8;18.00;25.0;19;routine;none_specified
Leiostomus_xanthurus;126;83.4;14.50;25.0;19;routine;none_specified
Leiostomus_xanthurus;128;84.7;11.10;25.0;19;routine;none_specified
Leiostomus_xanthurus;130;86.0;18.00;25.0;19;routine;none_specified
Leiostomus_xanthurus;131;86.7;18.00;25.0;19;routine;none_specified
Leiostomus_xanthurus;164;163.9;44.28;20.0;9;active;none_specified
Leiostomus_xanthurus;181;181.3;47.53;20.0;9;active;none_specified
Leiostomus_xanthurus;182;182.2;70.68;20.0;9;active;none_specified
Leiostomus_xanthurus;188;187.7;79.17;20.0;9;active;none_specified
Leiostomus_xanthurus;201;201.4;25.12;20.0;9;active;none_specified
Leiostomus_xanthurus;213;213.2;69.69;20.0;9;active;none_specified
Leiostomus_xanthurus;223;222.5;66.79;20.0;9;active;none_specified
Leiostomus_xanthurus;228;227.7;41.25;20.0;9;active;none_specified
Leiostomus_xanthurus;231;231.3;46.86;20.0;9;active;none_specified
Leiostomus_xanthurus;237;236.6;93.85;20.0;9;active;none_specified
Leiostomus_xanthurus;243;242.9;76.96;20.0;9;active;none_specified
Leiostomus_xanthurus;243;243.3;89.94;20.0;9;active;none_specified
Leiostomus_xanthurus;244;243.7;29.35;20.0;9;active;none_specified
Leiostomus_xanthurus;280;280.4;79.17;20.0;9;active;none_specified
Leiostomus_xanthurus;281;281.1;99.32;20.0;9;active;none_specified
Leiostomus_xanthurus;285;284.7;84.98;20.0;9;active;none_specified
Leiostomus_xanthurus;286;285.7;117.73;20.0;9;active;none_specified
Leiostomus_xanthurus;289;289.3;99.32;20.0;9;active;none_specified
Leiostomus_xanthurus;290;289.7;111.24;20.0;9;active;none_specified
Leiostomus_xanthurus;295;295.1;46.20;20.0;9;active;none_specified
Leiostomus_xanthurus;297;297.4;91.22;20.0;9;active;none_specified
Leiostomus_xanthurus;324;323.5;76.96;20.0;9;active;none_specified
Leiostomus_xanthurus;340;339.8;131.87;20.0;9;active;none_specified
Leiostomus_xanthurus;340;340.4;43.66;20.0;9;active;none_specified
Leiostomus_xanthurus;352;352.2;70.68;20.0;9;active;none_specified
Leiostomus_xanthurus;361;361.2;51.75;20.0;9;active;none_specified
Leiostomus_xanthurus;364;363.9;100.74;20.0;9;active;none_specified
Leiostomus_xanthurus;369;368.6;25.12;20.0;9;active;none_specified
Leiostomus_xanthurus;369;369.3;29.35;20.0;9;active;none_specified
Leiostomus_xanthurus;373;373.4;76.96;20.0;9;active;none_specified
Leiostomus_xanthurus;374;373.7;83.79;20.0;9;active;none_specified
Leiostomus_xanthurus;384;383.6;66.79;20.0;9;active;none_specified
Leiostomus_xanthurus;386;385.8;31.51;20.0;9;active;none_specified
Leiostomus_xanthurus;395;394.9;68.71;20.0;9;active;none_specified
Leiostomus_xanthurus;397;397.2;32.42;20.0;9;active;none_specified
Leiostomus_xanthurus;402;401.7;87.43;20.0;9;active;none_specified
Leiostomus_xanthurus;406;406.4;68.71;20.0;9;active;none_specified
Leiostomus_xanthurus;419;419.2;83.79;20.0;9;active;none_specified
Leiostomus_xanthurus;421;420.5;111.24;20.0;9;active;none_specified
Leiostomus_xanthurus;421;421.1;35.80;20.0;9;active;none_specified
Leiostomus_xanthurus;432;431.6;88.67;20.0;9;active;none_specified
Leiostomus_xanthurus;433;433.0;117.73;20.0;9;active;none_specified
Leiostomus_xanthurus;435;434.7;47.53;20.0;9;active;none_specified
Leiostomus_xanthurus;465;464.9;31.96;20.0;9;active;none_specified
Leiostomus_xanthurus;466;465.9;133.75;20.0;9;active;none_specified
Leiostomus_xanthurus;477;476.9;83.79;20.0;9;active;none_specified
Leiostomus_xanthurus;485;485.3;111.24;20.0;9;active;none_specified
Leiostomus_xanthurus;501;500.9;41.25;20.0;9;active;none_specified
Leiostomus_xanthurus;506;505.7;93.85;20.0;9;active;none_specified
Leiostomus_xanthurus;534;533.7;69.69;20.0;9;active;none_specified
Leiostomus_xanthurus;535;535.2;88.67;20.0;9;active;none_specified
Leiostomus_xanthurus;554;553.8;41.25;20.0;9;active;none_specified
Leiostomus_xanthurus;578;578.1;41.25;20.0;9;active;none_specified
Leiostomus_xanthurus;608;607.8;75.87;20.0;9;active;none_specified
Leiostomus_xanthurus;635;634.6;76.96;20.0;9;active;none_specified
Leiostomus_xanthurus;644;643.8;78.05;20.0;9;active;none_specified
Leiostomus_xanthurus;647;646.8;116.08;20.0;9;active;none_specified
Leiostomus_xanthurus;707;707.2;44.28;20.0;9;active;none_specified
Leiostomus_xanthurus;745;745.2;100.74;20.0;9;active;none_specified
Leiostomus_xanthurus;749;749.4;46.86;20.0;9;active;none_specified
Leiostomus_xanthurus;754;753.7;22.11;20.0;9;active;none_specified
Leiostomus_xanthurus;839;839.1;40.67;20.0;9;active;none_specified
Leiostomus_xanthurus;909;909.4;25.12;20.0;9;active;none_specified
Leiostomus_xanthurus;914;914.5;40.67;20.0;9;active;none_specified
Leiostomus_xanthurus;952;952.0;31.96;20.0;9;active;none_specified
Leiostomus_xanthurus;967;966.7;34.80;20.0;9;active;none_specified
Leiostomus_xanthurus;1,004;1,003.9;22.11;20.0;9;active;none_specified
Leiostomus_xanthurus;1,039;1,039.0;36.31;20.0;9;active;none_specified
Leiostomus_xanthurus;1,061;1,061.4;19.19;20.0;9;active;none_specified
Leiostomus_xanthurus;1,225;1,225.0;19.19;20.0;9;active;none_specified
Leiostomus_xanthurus;1,227;1,226.5;74.81;20.0;9;active;none_specified
Leiostomus_xanthurus;1,275;843.6;121.00;25.0;;active;otherstress
Leiostomus_xanthurus;1,297;1,297.3;19.19;20.0;9;active;none_specified
Lepidogalaxias_salamandroides;52;51.7;1.20;20.0;0;routine;hypoxia
Lepidogalaxias_salamandroides;53;53.4;0.93;20.0;0;routine;hypoxia
Lepidogalaxias_salamandroides;53;53.4;0.62;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;61;60.6;1.05;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;64;64.1;1.20;20.0;0;routine;hypoxia
Lepidogalaxias_salamandroides;64;64.1;1.14;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;68;67.7;1.15;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;73;73.0;1.24;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;75;74.8;0.62;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;75;74.8;0.33;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;77;76.6;1.20;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;87;87.3;0.43;20.0;0;routine;hypoxia
Lepidogalaxias_salamandroides;93;92.6;0.40;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;94;94.4;0.82;20.0;0;routine;hypoxia
Lepidogalaxias_salamandroides;95;95.3;0.36;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;96;96.2;0.86;20.0;0;routine;hypoxia
Lepidogalaxias_salamandroides;98;98.0;0.87;20.0;0;routine;hypoxia
Lepidogalaxias_salamandroides;103;103.0;0.41;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;105;105.0;0.37;20.0;0;routine;hypoxia
Lepidogalaxias_salamandroides;110;110.0;0.37;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;112;112.0;0.72;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;114;114.0;0.43;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;119;119.0;0.26;20.0;0;routine;hypoxia
Lepidogalaxias_salamandroides;119;119.0;0.53;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;123;123.0;0.48;20.0;0;routine;hypoxia
Lepidogalaxias_salamandroides;132;132.0;0.37;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;139;139.0;0.30;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;159;159.0;0.35;20.0;0;routine;hypoxia
Lepidogalaxias_salamandroides;171;171.0;0.33;20.0;0;routine;hypoxia
Lepidogalaxias_salamandroides;176;176.0;0.32;20.0;0;routine;starvation
Lepidogalaxias_salamandroides;308;308.0;0.22;20.0;0;routine;hypoxia
Lepomis_gibbosus;23;122.2;30.00;5.0;0;routine;none_specified
Lepomis_gibbosus;45;45.0;44.92;20.0;0;standard;none_specified
Lepomis_gibbosus;49;131.0;30.00;10.0;0;routine;none_specified
Lepomis_gibbosus;73;115.1;30.00;15.0;0;routine;none_specified
Lepomis_gibbosus;86;85.7;30.00;20.0;0;routine;none_specified
Lepomis_gibbosus;120;79.4;30.00;25.0;0;routine;none_specified
Lepomis_gibbosus;180;119.1;10.00;25.0;0;routine;none_specified
Lepomis_gibbosus;290;128.6;10.00;30.0;0;routine;none_specified
Lepomis_gibbosus;408;408.0;44.92;20.0;0;active;none_specified
Leporinus_fasciatus;139;92.0;3.95;25.0;0;standard;none_specified
Leporinus_fasciatus;159;70.5;7.60;30.0;0;standard;none_specified
Leporinus_fasciatus;;327;6.88;35.0;0;standard;temperature
Leuciscus_idus;19;103.5;600.00;5.0;0;standard;none_specified
Leuciscus_idus;38;102.2;600.00;10.0;0;standard;none_specified
Leuciscus_idus;40;107.9;650.00;10.0;0;routine;none_specified
Leuciscus_idus;62;98.3;600.00;15.0;0;standard;other
Leuciscus_idus;70;110.5;815.00;15.0;0;routine;none_specified
Leuciscus_idus;98;98.1;600.00;20.0;0;standard;other
Leuciscus_idus;120;189.4;118.00;15.0;0;routine;none_specified
Leuciscus_idus;141;141.0;900.00;20.0;0;routine;none_specified
Leuciscus_idus;151;806.6;650.00;5.0;0;routine;hypercapnia
Leuciscus_idus;200;315.7;20.00;15.0;0;routine;none_specified
Leuciscus_idus;222;222.0;120.00;20.0;0;routine;none_specified
Leuciscus_idus;223;601.8;650.00;10.0;0;routine;hypercapnia
Leuciscus_idus;308;486.8;650.00;15.0;0;routine;hypercapnia
Leuciscus_idus;353;353.0;15.00;20.0;0;routine;none_specified
Leuciscus_idus;408;408.0;650.00;20.0;0;routine;hypercapnia
Leuroglossus_stilbius;34;183.0;8.55;5.0;35;routine;none_specified
Lindbergichthys_nudifrons;73;;47.00;3.0;;standard;none_specified
Liparis_fabricii;12;;47.00;-1.5;;standard;none_specified
Lipophrys_pholis;89;128.2;20.20;16.0;7;standard;none_specified
Lipophrys_pholis;95;136.2;14.30;16.0;7;standard;none_specified
Lipophrys_pholis;100;143.1;22.60;16.0;7;standard;none_specified
Lipophrys_pholis;106;138.4;35.45;17.0;34;routine;none_specified
Lipophrys_pholis;114;163.4;6.08;16.0;7;standard;none_specified
Lipophrys_pholis;121;173.5;22.80;16.0;35;standard;none_specified
Lipophrys_pholis;127;182.1;7.64;16.0;7;standard;none_specified
Lipophrys_pholis;127;182.1;7.22;16.0;7;standard;none_specified
Lipophrys_pholis;127;182.1;5.74;16.0;7;standard;none_specified
Lipophrys_pholis;134;192.1;9.60;16.0;7;standard;none_specified
Lipophrys_pholis;136;195.0;21.60;16.0;35;standard;none_specified
Lipophrys_pholis;136;195.0;20.40;16.0;35;standard;none_specified
Lipophrys_pholis;137;196.4;18.70;16.0;14;standard;none_specified
Lipophrys_pholis;138;197.8;5.95;16.0;35;standard;none_specified
Lipophrys_pholis;143;205.0;4.57;16.0;7;standard;none_specified
Lipophrys_pholis;144;206.4;13.00;16.0;35;standard;none_specified
Lipophrys_pholis;147;191.9;20.00;17.0;34;routine;none_specified
Lipophrys_pholis;149;213.6;7.44;16.0;14;standard;none_specified
Lipophrys_pholis;150;215.0;7.64;16.0;7;standard;none_specified
Lipophrys_pholis;150;215.0;7.22;16.0;7;standard;none_specified
Lipophrys_pholis;154;220.8;18.70;16.0;14;standard;none_specified
Lipophrys_pholis;160;229.4;5.12;16.0;7;standard;none_specified
Lipophrys_pholis;161;230.8;12.30;16.0;35;standard;none_specified
Lipophrys_pholis;161;230.8;13.00;16.0;35;standard;none_specified
Lipophrys_pholis;162;232.2;6.29;16.0;35;standard;none_specified
Lipophrys_pholis;163;233.7;1.54;16.0;7;standard;none_specified
Lipophrys_pholis;164;214.1;22.05;17.0;34;routine;none_specified
Lipophrys_pholis;171;245.1;8.32;16.0;35;standard;none_specified
Lipophrys_pholis;171;245.1;9.31;16.0;35;standard;none_specified
Lipophrys_pholis;174;249.4;16.60;16.0;14;standard;none_specified
Lipophrys_pholis;180;258.0;3.06;16.0;7;standard;none_specified
Lipophrys_pholis;181;259.5;6.29;16.0;35;standard;none_specified
Lipophrys_pholis;182;260.9;5.62;16.0;35;standard;none_specified
Lipophrys_pholis;192;275.3;6.29;16.0;35;standard;none_specified
Lipophrys_pholis;199;259.8;12.12;17.0;34;routine;none_specified
Lipophrys_pholis;203;291.0;1.73;16.0;7;standard;none_specified
Lipophrys_pholis;205;293.9;1.63;16.0;35;standard;none_specified
Lipophrys_pholis;206;295.3;3.92;16.0;14;standard;none_specified
Lipophrys_pholis;214;306.8;6.29;16.0;35;standard;none_specified
Lipophrys_pholis;214;306.8;6.59;16.0;14;standard;none_specified
Lipophrys_pholis;215;308.2;2.84;16.0;14;standard;none_specified
Lipophrys_pholis;216;309.7;3.03;16.0;35;standard;none_specified
Lipophrys_pholis;218;312.5;0.73;16.0;7;standard;none_specified
Lipophrys_pholis;221;288.5;5.17;17.0;34;routine;none_specified
Lipophrys_pholis;226;324.0;7.87;16.0;35;standard;none_specified
Lipophrys_pholis;227;325.4;4.75;16.0;35;standard;none_specified
Lipophrys_pholis;228;326.9;3.03;16.0;35;standard;none_specified
Lipophrys_pholis;229;328.3;0.98;16.0;7;standard;none_specified
Lipophrys_pholis;233;334.0;2.84;16.0;14;standard;none_specified
Lipophrys_pholis;239;342.6;6.29;16.0;35;standard;none_specified
Lipophrys_pholis;240;344.1;5.95;16.0;35;standard;none_specified
Lipophrys_pholis;240;344.1;4.49;16.0;35;standard;none_specified
Lipophrys_pholis;241;345.5;5.85;16.0;14;standard;none_specified
Lipophrys_pholis;241;345.5;2.71;16.0;35;standard;none_specified
Lipophrys_pholis;241;345.5;1.63;16.0;7;standard;none_specified
Lipophrys_pholis;243;348.4;0.82;16.0;7;standard;none_specified
Lipophrys_pholis;254;364.1;4.75;16.0;35;standard;none_specified
Lipophrys_pholis;255;365.6;1.63;16.0;7;standard;none_specified
Lipophrys_pholis;261;374.2;6.86;16.0;14;standard;none_specified
Lipophrys_pholis;273;391.4;0.79;16.0;35;standard;none_specified
