"Species" "Temperature" "Longevity" "LongevityDummy" "AC_TGSkew" "Ectothermy"
"Abbottina_rivularis" NA 365 0 0.438524590163934 1
"Abramis_brama" 7.3 1918 1 0.453798767967146 1
"Acanthurus_lineatus" 26.5 1461 1 0.492886178861789 1
"Acentrogobius_pflaumii" NA 365 0 0.365994236311239 1
"Acipenser_baerii" NA 4383 1 0.578784757981462 1
"Acipenser_fulvescens" 8 9496 1 0.563430919363123 1
"Acipenser_ruthenus" NA 2557 1 0.581874356333677 1
"Acipenser_schrenckii" NA 4018 1 0.592820512820513 1
"Acipenser_sturio" NA 4018 1 0.563206577595067 1
"Alburnus_alburnus" NA 730 0 0.364133134624938 1
"Allocyttus_niger" 11 9862 1 0.464717741935484 1
"Alopias_pelagicus" 22 3799 1 0.506681514476615 1
"Alopias_superciliosus" 22 4931 1 0.520088057237204 1
"Alosa_pseudoharengus" 20 913 0 0.400686611083865 1
"Alosa_sapidissima" NA 1625 1 0.449657869012708 1
"Amblyraja_radiata" 12 2904 1 0.429175475687104 1
"Amia_calva" NA 1461 1 0.541622760800843 1
"Anguilla_anguilla" 15 4018 1 0.556873315363882 1
"Anoplopoma_fimbria" 8.5 1863 1 0.356578335657834 1
"Arapaima_gigas" NA 2192 1 0.458937198067633 1
"Arripis_trutta" 15 1461 1 0.371868978805395 1
"Aulorhynchus_flavidus" 18 365 0 0.18572167615106 1
"Auxis_thazard" 27 913 0 0.424375917767988 1
"Beryx_splendens" 18 2155 1 0.533135509396637 1
"Branchiostegus_japonicus" 15 913 0 0.509081983308787 1
"Callorhinchus_capensis" 15 1370 1 0.137731481481481 1
"Capros_aper" NA 1461 1 0.295465869456901 1
"Caranx_ignobilis" 25 1278 1 0.461803844258255 1
"Caranx_melampygus" 25 730 0 0.473112974839665 1
"Carassius_auratus" 22.4 365 0 0.528421052631579 1
"Carassius_carassius" NA 730 0 0.538054968287526 1
"Carcharhinus_acronotus" 21.5 1096 0 0.402936378466558 1
"Carcharhinus_leucas" 23.75 7305 1 0.359340659340659 1
"Carcharhinus_longimanus" 27.25 2257 1 0.436988543371522 1
"Carcharhinus_obscurus" 18 6940 1 0.423118865866957 1
"Carcharhinus_plumbeus" 12 4566 1 0.432608695652174 1
"Carcharodon_carcharias" 18 3287 1 0.476775226908703 1
"Cephalopholis_boenak" 27 694 0 0.381671701913394 1
"Cetorhinus_maximus" 10 6574 1 0.481882098431585 1
"Chaenocephalus_aceratus" 1 3470 1 0.394673123486683 1
"Chanodichthys_mongolicus" 20 1826 1 0.555902236089444 1
"Chanos_chanos" NA 1918 1 0.5341796875 1
"Chelon_labrosus" 14 1096 0 0.4291206150889 1
"Cirrhinus_molitorella" NA 1096 0 0.672609400324149 1
"Clarias_batrachus" NA 365 0 0.62035010940919 1
"Clarias_gariepinus" 22 730 0 0.673087506879472 1
"Clupea_harengus" 9 1096 0 0.285226718673818 1
"Cololabis_saira" 15 365 0 0.349459598558929 1
"Copadichromis_quadrimaculatus" 28 1096 0 0.420192307692308 1
"Copadichromis_virginalis" 28 1096 0 0.441389290882779 1
"Coptodon_zillii" 20.5 73 0 0.467495219885277 1
"Coregonus_lavaretus" 8.5 730 0 0.381800674049109 1
"Coregonus_oxyrinchus" NA 1096 0 0.379210779595765 1
"Ctenopharyngodon_idella" NA 2118 1 0.533333333333333 1
"Culter_alburnus" NA 1461 1 0.549354005167959 1
"Cymatogaster_aggregata" NA 365 0 0.3115234375 1
"Cyprinus_carpio" 16.5 730 0 0.58067940552017 1
"Danio_rerio" 25 73 0 0.372380440623321 1
"Decapterus_macrosoma" 28.2 1096 0 0.425733207190161 1
"Dicentrarchus_labrax" 19 1096 0 0.355932203389831 1
"Dorosoma_cepedianum" NA 730 0 0.435033686236766 1
"Elopichthys_bambusa" NA 2484 1 0.371517027863777 1
"Elops_saurus" 27.2 730 0 0.534465534465534 1
"Embiotoca_jacksoni" NA 548 0 0.316836487142164 1
"Engraulis_encrasicolus" 14.15 365 0 0.228751821272462 1
"Engraulis_japonicus" 18.9 548 0 0.218900675024108 1
"Epinephelus_coioides" 23.5 986 0 0.491254372813593 1
"Esox_lucius" 9 1096 0 0.406296851574213 1
"Ethmalosa_fimbriata" 16 365 0 0.441263573543929 1
"Euthynnus_affinis" 21 1936 1 0.4296913277805 1
"Euthynnus_alletteratus" 19 730 0 0.425073457394711 1
"Gadus_chalcogrammus" 3.5 1461 1 0.258225324027916 1
"Gadus_morhua" 5.5 2276 1 0.21608040201005 1
"Galeocerdo_cuvier" 22 3287 1 0.341436464088398 1
"Gambusia_affinis" NA 1096 0 0.393225331369661 1
"Gobio_gobio" NA 913 0 0.399796541200407 1
"Gymnocephalus_cernua" 9 548 0 0.347235693501455 1
"Hemibarbus_maculatus" NA 1461 1 0.464916708732963 1
"Hemiculter_leucisculus" NA 730 0 0.476018566271274 1
"Heterotis_niloticus" 27 730 0 0.586723768736617 1
"Hexagrammos_lagocephalus" NA 1278 1 0.366968110423608 1
"Hippocampus_abdominalis" NA 365 0 0.277509393451422 1
"Hippoglossus_hippoglossus" 9 2155 1 0.354527938342967 1
"Hippoglossus_stenolepis" 3.5 4748 1 0.369942196531792 1
"Hucho_hucho" NA 1826 1 0.39990210474792 1
"Hypomesus_nipponensis" NA 548 0 0.176361098185202 1
"Ichthyomyzon_fossor" NA 2192 1 0.379073756432247 1
"Ichthyomyzon_unicuspis" NA 2192 1 0.376430205949657 1
"Istiophorus_albicans" 22.5 1278 1 0.446153846153846 1
"Isurus_oxyrinchus" 20.5 4748 1 0.446058091286307 1
"Jenkinsia_lamprotaenia" 27.2 73 0 0.327231121281464 1
"Kajikia_audax" 23 730 0 0.437349975996159 1
"Katsuwonus_pelamis" 25 1096 0 0.497779970399605 1
"Kryptolebias_marmoratus" NA 183 0 0.322826639552618 1
"Labeo_rohita" NA 1030 0 0.63743948359333 1
"Ladislavia_taczanowskii" NA 1096 0 0.365927419354839 1
