"Species" "TemperatureC" "SAG_STC" "LongevityDAYS" "DummyCOLDER"
"Acinonyx_jubatus" 39 0.507146941109205 2190 0
"Acomys_cahirinus" 37.5 0.621621621621622 650.0125 0
"Addax_nasomaculatus" NA 0.585100286532951 2555 0
"Aepyceros_melampus" NA 0.596736596736597 2674.111667 0
"Ailuropoda_melanoleuca" NA 0.369491525423729 5246.699417 0
"Ailurus_fulgens" 37.6 0.398126463700234 3650 0
"Akodon_montensis" 37.7 0.508015478164732 589.3882991 0
"Alcelaphus_buselaphus" NA 0.601571268237935 2863.875333 0
"Alces_alces" 38.6 0.509632224168126 3721.7786 0
"Allenopithecus_nigroviridis" NA 0.494915254237288 4024.409658 0
"Alouatta_caraya" NA 0.562822719449225 3750.594 0
"Alouatta_seniculus" NA 0.55045871559633 3833.157 0
"Ammotragus_lervia" NA 0.643101482326112 1825 0
"Anoura_caudifer" 36.5 0.477426636568849 2064.27635 1
"Anourosorex_squamipes" NA 0.457922228670923 379.2929563 0
"Antidorcas_marsupialis" NA 0.494492753623188 2563.152683 0
"Antilocapra_americana" 38 0.655172413793103 1652.841667 0
"Antilope_cervicapra" NA 0.598860398860399 2747.350267 0
"Aotus_lemurinus" 38 0.464530892448513 2920 0
"Apodemus_agrarius" NA 0.460739030023095 504.40745 1
"Apodemus_chevrieri" NA 0.473074696004632 554.1929125 0
"Apodemus_draco" NA 0.555295494441194 554.1929125 0
"Apodemus_latronum" NA 0.542352941176471 554.1929125 0
"Apodemus_peninsulae" NA 0.464098073555166 554.1929125 1
"Arctocephalus_forsteri" NA 0.534883720930233 3285 0
"Arctocephalus_pusillus" NA 0.531285551763367 3587.7675 0
"Arctocephalus_townsendi" NA 0.52058657642414 3650 0
"Arctonyx_collaris" NA 0.536940081442699 1798.679445 0
"Artibeus_jamaicensis" 36.4 0.429533969679955 1920.4777 1
"Artibeus_lituratus" 37.3 0.397536394176932 1920.4777 0
"Ateles_belzebuth" NA 0.552708211997671 5475 0
"Avahi_laniger" NA 0.460021905805038 3649.771875 0
"Axis_axis" 39.2 0.52168815943728 3650 0
"Axis_porcinus" NA 0.522041763341067 2555 0
"Balaena_mysticetus" NA 0.632975719932242 18980 0
"Balaenoptera_acutorostrata" NA 0.609783845278726 8030 0
"Balaenoptera_bonaerensis" NA 0.646127755794234 8030 0
"Balaenoptera_borealis" NA 0.618510158013544 8504.5 0
"Balaenoptera_edeni" NA 0.626546681664792 10042.4483 0
"Balaenoptera_musculus" NA 0.614173228346457 11315 0
"Balaenoptera_omurai" NA 0.580246913580247 9016.737075 0
"Balaenoptera_physalus" NA 0.601804850535815 9490 0
"Bandicota_indica" NA 0.518753606462781 639.6318318 0
"Beatragus_hunteri" NA 0.5954802259887 2253.9745 0
"Berardius_bairdii" NA 0.548821548821549 9855 0
"Bison_bison" 38.7 0.587521663778163 4288.141667 0
"Bison_bonasus" 38.35 0.576923076923077 3595.3298 0
"Blarinella_quadraticauda" NA 0.406032482598608 379.2929563 0
"Blastocerus_dichotomus" NA 0.423668639053254 1825 0
"Bos_gaurus" NA 0.592422502870264 3285 0
