"Species" "Domain" "Kingdom" "Phylum" "Clade" "Subphylum" "Clade2" "Class" "Clade3" "Superorder" "Clade4" "Order" "Suborder" "Superfamily" "Family" "Subfamily" "Genus" "Subgenus"
"Ornithorhynchus_anatinus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" NA NA NA "Monotremata" NA NA "Ornithorhynchidae" NA "Ornithorhynchus" NA
"Tachyglossus_aculeatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" NA NA NA "Monotremata" NA NA "Tachyglossidae" NA "Tachyglossus" NA
"Zaglossus_bruijni" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" NA NA NA "Monotremata" NA NA "Tachyglossidae" NA "Zaglossus" NA
"Didelphis_virginiana" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Didelphimorphia" NA NA "Didelphidae" NA "Didelphis" NA
"Osphranter_robustus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Macropodidae" NA "Osphranter" NA
"Isoodon_macrourus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Peramelemorphia" NA NA "Peramelidae" NA "Isoodon" NA
"Trichosurus_vulpecula" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Phalangeridae" NA "Trichosurus" NA
"Vombatus_ursinus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Vombatidae" NA "Vombatus" NA
"Thylamys_elegans" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Didelphimorphia" NA NA "Didelphidae" NA "Thylamys" NA
"Dromiciops_gliroides" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Microbiotheria" NA NA "Microbiotheriidae" NA "Dromiciops" NA
"Caenolestes_fuliginosus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Paucituberculata" NA NA "Caenolestidae" NA "Caenolestes" NA
"Rhyncholestes_raphanurus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Paucituberculata" NA NA "Caenolestidae" NA "Rhyncholestes" NA
"Monodelphis_domestica" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Didelphimorphia" NA NA "Didelphidae" NA "Monodelphis" NA
"Metachirus_nudicaudatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Didelphimorphia" NA NA "Didelphidae" NA "Metachirus" NA
"Sminthopsis_douglasi" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Dasyuromorphia" NA NA "Dasyuridae" NA "Sminthopsis" NA
"Tarsipes_rostratus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Tarsipedidae" NA "Tarsipes" NA
"Pseudocheirus_peregrinus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Pseudocheiridae" NA "Pseudocheirus" NA
"Macrotis_lagotis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Peramelemorphia" NA NA "Peramelidae" NA "Macrotis" NA
"Perameles_gunnii" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Peramelemorphia" NA NA "Peramelidae" NA "Perameles" NA
"Notoryctes_typhlops" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Notoryctemorphia" NA NA "Notoryctidae" NA "Notoryctes" NA
"Phascogale_tapoatafa" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Dasyuromorphia" NA NA "Dasyuridae" NA "Phascogale" NA
"Potorous_tridactylus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Potoroidae" NA "Potorous" NA
"Dasyurus_hallucatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Dasyuromorphia" NA NA "Dasyuridae" NA "Dasyurus" NA
"Sminthopsis_crassicaudata" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Dasyuromorphia" NA NA "Dasyuridae" NA "Sminthopsis" NA
"Echymipera_rufescens_australis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Peramelemorphia" NA NA "Peroryctidae" NA "Echymipera" NA
"Phascolarctos_cinereus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Phascolarctidae" NA "Phascolarctos" NA
"Dactylopsila_trivirgata" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Petauridae" NA "Dactylopsila" NA
"Petaurus_breviceps" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Petauridae" NA "Petaurus" NA
"Lagorchestes_hirsutus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Macropodidae" NA "Lagorchestes" NA
"Phalanger_vestitus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Phalangeridae" NA "Phalanger" NA
"Distoechurus_pennatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Acrobatidae" NA "Distoechurus" NA
"Lagostrophus_fasciatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Macropodidae" NA "Lagostrophus" NA
"Thylacinus_cynocephalus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Dasyuromorphia" NA NA "Thylacinidae" NA "Thylacinus" NA
"Myrmecobius_fasciatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Dasyuromorphia" NA NA "Myrmecobiidae" NA "Myrmecobius" NA
"Sarcophilus_harrisii" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Dasyuromorphia" NA NA "Dasyuridae" NA "Sarcophilus" NA
"Macropus_giganteus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Macropodidae" NA "Macropus" NA
"Tlacuatzin_canescens" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Didelphimorphia" NA NA "Didelphidae" NA "Tlacuatzin" NA
"Macropus_fuliginosus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Diprotodontia" NA NA "Macropodidae" NA "Macropus" NA
"Murexia_melanurus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Metatheria" NA NA "Dasyuromorphia" NA NA "Dasyuridae" NA "Murexia" NA
"Hippopotamus_amphibius" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Hippopotamidae" NA "Hippopotamus" NA
"Loxodonta_africana" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Elephantidae" NA "Loxodonta" NA
"Equus_caballus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Equidae" NA "Equus" NA
"Rhinoceros_unicornis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Rhinocerotidae" NA "Rhinoceros" NA
"Equus_asinus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Equidae" NA "Equus" NA
"Ceratotherium_simum" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Rhinocerotidae" NA "Ceratotherium" NA
"Dasypus_novemcinctus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Dasypodidae" NA "Dasypus" NA
"Orycteropus_afer" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Orycteropodidae" NA "Orycteropus" NA
"Talpa_europaea" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Talpa" NA
"Tupaia_belangeri" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Euarchontoglires" NA NA "Tupaiidae" NA "Tupaia" NA
"Echinops_telfairi" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Tenrecinae" NA "Echinops" NA
"Dugong_dugon" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Dugongidae" NA "Dugong" NA
"Macroscelides_proboscideus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Macroscelididae" NA "Macroscelides" NA
"Manis_tetradactyla" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Manidae" NA "Manis" NA
"Galeopterus_variegatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Euarchontoglires" NA NA "Cynocephalidae" NA "Galeopterus" NA
"Procavia_capensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Procaviidae" NA "Procavia" NA
"Chrysochloris_asiatica" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Chrysochlorinae" NA "Chrysochloris" NA
"Elephantulus_sp._VB001" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Macroscelididae" NA "Elephantulus" NA
"Urotrichus_talpoides" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Urotrichus" NA
"Mogera_wogura" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Mogera" NA
"Elephas_maximus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Elephantidae" NA "Elephas" NA
"Mammuthus_primigenius" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Elephantidae" NA "Mammuthus" NA
"Galemys_pyrenaicus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Galemys" NA
"Dendrohyrax_dorsalis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Procaviidae" NA "Dendrohyrax" NA
"Trichechus_manatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Trichechidae" NA "Trichechus" NA
"Eremitalpa_granti" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Chrysochlorinae" NA "Eremitalpa" NA
"Coelodonta_antiquitatis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Rhinocerotidae" NA "Coelodonta" NA
"Diceros_bicornis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Rhinocerotidae" NA "Diceros" NA
"Rhinoceros_sondaicus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Rhinocerotidae" NA "Rhinoceros" NA
"Dicerorhinus_sumatrensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Rhinocerotidae" NA "Dicerorhinus" NA
"Mammuthus_columbi" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Elephantidae" NA "Mammuthus" NA
"Manis_pentadactyla" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Manidae" NA "Manis" NA
"Equus_hemionus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Equidae" NA "Equus" NA
"Uropsilus_sp._1_FT-2014" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Uropsilus" NA
"Equus_zebra_hartmannae" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Equidae" NA "Equus" NA
"Equus_burchellii_chapmani" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Equidae" NA "Equus" NA
"Equus_hemionus_kulan" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Equidae" NA "Equus" NA
"Equus_ovodovi" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Equidae" NA "Equus" NA
"Equus_grevyi" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Equidae" NA "Equus" NA
"Equus_kiang" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Equidae" NA "Equus" NA
"Equus_zebra" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Equidae" NA "Equus" NA
"Hexaprotodon_liberiensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Hippopotamidae" NA "Hexaprotodon" NA
"Loxodonta_cyclotis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Elephantidae" NA "Loxodonta" NA
"Uropsilus_soricipes" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Uropsilus" NA
"Tapirus_indicus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Tapiridae" NA "Tapirus" NA
"Equus_przewalskii" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Equidae" NA "Equus" NA
"Manis_temminckii" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Manidae" NA "Manis" NA
"Scapanulus_oweni" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Scapanulus" NA
"Manis_tricuspis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Manidae" NA "Manis" NA
"Manis_javanica" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Manidae" NA "Manis" NA
"Uropsilus_sp._4_FT-2015" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Uropsilus" NA
"Cabassous_centralis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Chlamyphoridae" NA "Cabassous" NA
"Cabassous_chacoensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Chlamyphoridae" NA "Cabassous" NA
"Cabassous_tatouay" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Xenarthra" NA NA "Chlamyphoridae" NA "Cabassous" NA
