"Species" "A_T" "A_G" "A_C" "T_A" "T_G" "T_C" "G_A" "G_T" "G_C" "C_A" "C_T" "C_G" "Temperature" "Tm" "AGdivTC"
"Hippoglossus_hippoglossus" 0 0.213046225966873 0.0292556423927881 0 0 0.0363509009551646 0.638760990180533 0 0 0.0266652990559266 0.0559209414487147 0 9 5.9 0.170624477341443
"Sprattus_sprattus" 0.045907352747453 0.183629410989812 0.045907352747453 0.0429063420554817 0 0.0429063420554817 0.468657694100753 0 0.0426052449182502 0.0637401301926578 0.0637401301926578 0 9 2 0.233657243816254
"Salvelinus_malma" 0 0.168539032668792 0 0.0448346552924747 0.0224173276462373 0.0448346552924747 0.501953205991836 0.0717076008559766 0.0717076008559766 0.0317168234555281 0.0317168234555281 0.010572274485176 NA 4 0.266019417475728
"Catostomus_platyrhynchus" 0 0.211827350769849 0 0 0 0.0607501538105955 0.529686305633746 0.0190610865071491 0.0714383245431556 0.0107236778735504 0.0587988055486041 0.0377142953133495 12 NA 0.28679088696436
"Alburnus_alburnus" 0.0113305211792492 0.169957817688737 0.0113305211792492 0.0300488483976709 0 0.0600976967953419 0.58156078898877 0 0.06841891635162 0 0.0672548894193618 0 NA 2 0.353603603603605
"Trachurus_trachurus" 0 0.038511412522798 0 0 0 0.0143551982830034 0.659022130349991 0.146449362299998 0.073224681149999 0.0128319778864146 0.0556052375077966 0 14.4 2.5 0.372751798561151
"Coregonus_oxyrinchus" 0.00949042556789801 0.196785903990484 0 0 0.0162877390005164 0.0790591312650727 0.628796175889193 0.0289138932644827 0 0.0259587973458244 0.0147079336765296 0 NA 3 0.40175200388792
"Oncorhynchus_mykiss" 0.0615894912273845 0.0709966428242811 0.0194956868051458 0.048429893054357 0.0117359785788091 0.0334914536660478 0.367911078788181 0.0650381255158302 0.195081846986878 0.043087531607036 0.0260117431469842 0.0571305277990648 15 NA 0.471732920512033
"Clupea_harengus" 0.00543749383511759 0.210918097856335 0.0041580886595611 0.0100277693505831 0.00252712259973892 0.10392136695807 0.524862802843851 0.0124632350033334 0.0461891947534086 0.0143625358138393 0.0476568168306013 0.0174754754955603 9 3 0.492709577861143
"Gadus_morhua" 0 0.0908310181376413 0.00448680358904766 0.0100912677931531 0.0070256207864098 0.0467928973713208 0.686096985009121 0.0221525058893517 0.0443200208019445 0.00509932084868359 0.0768465728453593 0.00625698692796719 5.5 6.23 0.515164294430928
"Engraulis_encrasicolus" 0.0237896994432747 0.166527896102923 0 0.0146910811421928 0 0.0881464868531566 0.483944163674763 0 0.0744529482576559 0 0.111335793394525 0.0371119311315085 14.15 1 0.52931964503219
"Rhodeus_amarus" 0 0.131774975032701 0.0109812479193917 0 0.0235025489006494 0.0705076467019481 0.532518279038398 0.0380370199313141 0.0760740398626283 0.0291510606532424 0.0728776516331061 0.0145755303266212 NA 2 0.535060975609755
"Trachidermus_fasciatus" 0.00694916897273373 0.208475069182012 0 0 0 0.111607865319663 0.535802465386617 0.0214320986154647 0.0428641972309294 0.0104098764703686 0.0572543205870271 0.00520493823518428 NA 1 0.535353535353535
"Thunnus_orientalis" 0.0318451363804316 0.261668463814553 0.0676709148084171 0.00569554005759677 0.21073498213108 0.142685057442636 0.0320498342267704 0.00534163903779507 0.0160249171133852 0 0.0612609642877923 0.165022550699541 NA 4 0.545289468064284
"Etheostoma_caeruleum" 0.00927741602142303 0.162354780374903 0 0.00355073306083079 0.0177536653041539 0.0958697926424313 0.512161414744415 0.0276844007969954 0.0830532023909863 0.00882945946638609 0.0735788288865507 0.00588630631092406 12 NA 0.590495656617272
"Squalius_pyrenaicus" 0 0.168826694890037 0.00527583421531367 0 0 0.102209050636983 0.626749664653189 0 0 0.0138483936577824 0.0761661651178033 0.00692419682889121 15.85 3 0.605408112168253
"Hippoglossoides_robustus" 0 0.0543220084721941 0 0.061706375054532 0 0.0329915376241502 0.761753697875978 0 0 0.025278238318504 0.0386699043361381 0.025278238318504 1 NA 0.607332802155827
"Boops_boops" 0 0.115189327901319 0.0143986659876649 0 0.0236654245459177 0.0709962736377531 0.478459200966583 0 0.136702628847595 0.0229412111590239 0.126176661374631 0.0114706055795119 19 2 0.61634419551935
"Gobio_gobio" 0.017696992059442 0.102642553944764 0.0106181952356652 0.0135613509043323 0.00678067545216613 0.0678067545216613 0.537180177488272 0.0116778299453972 0.0934226395631778 0.0410704684104065 0.082140936820813 0.0154014256539024 NA 2.5 0.660610554937582
"Pseudopleuronectes_yokohamae" 0 0.114075777820428 0.00816518520796822 0.0283534183597796 0 0.0802696647200766 0.449264216683764 0.0261908695018303 0.187355521665462 0.0295757182198115 0.05756222086566 0.01918740695522 15 NA 0.703652135919974
"Oncorhynchus_nerka" 0.0226229302615418 0.141811213265639 0.0594548417917143 0.0199536505943693 0 0.10071661729388 0.529335674092185 0.0367073796940338 0 0.0379463991676437 0.0514512938389925 0 NA 2 0.710216173845286
"Neosalanx_taihuensis" 0.0383935732834981 0.153574293133992 0 0.0563876320396371 0 0.112775264079274 0.570373660713696 0 0 0 0.0342477883749513 0.0342477883749513 NA 1 0.73433685923515
"Aphanius_iberus" 0.0165936736885031 0.116155715819521 0 0.0179589759540128 0 0.089794879770064 0.61909488016015 0 0.116080290030028 0.0243215845777202 0 0 16.5 NA 0.773056057866187
"Reinhardtius_hippoglossoides" 0.00688648912483827 0.111825046907333 0 0.0205429458695919 0.0217405721188443 0.0896536183080835 0.594982243444722 0 0.0841868686700276 0.0166821221704003 0.0388438302128815 0.0146562631732773 2 9.3 0.801731103966158
"Rhabdosargus_sarba" 0 0.0352234579295531 0.0176117289647766 0 0.00584858914435776 0.0292429457217888 0.512755412447127 0.151495917313924 0.0699211926064264 0.00790670026097986 0.162087355350087 0.00790670026097986 NA 2.05 0.830212234706617
"Cetorhinus_maximus" 0.0561784815191834 0.0352156748674318 0.0307005634835079 0.0746578299180669 0 0.029900644834038 0.402504968876178 0.104265405379451 0.0391425347584023 0.0580508954249522 0.162487159796565 0.00689584114222361 10 18 0.849072038136368
"Serranus_cabrilla" 0.0227595753308515 0.159317027315961 0.0682787259925546 0.0456766563733352 0 0.137029969120006 0.306989620741718 0.0511649367902864 0.0511649367902864 0.0591069568293756 0.098511594715626 0 16 NA 0.860108749382106
"Phoxinus_phoxinus" 0.00904013013014488 0.0987689015442357 0.0203524488906046 0.0141194044893882 0.00987907192789751 0.092095484693981 0.508108299026981 0.0399429311989692 0.069913159409631 0.0319904755672908 0.0910718480740422 0.0147178450468342 9 1 0.932434027857788
"Tribolodon_brandtii" 0.0184199545416611 0.101309749979136 0.00920997727083057 0.049119878777763 0 0.0982397575555261 0.626783110705291 0 0.0272514395958822 0.0232220438579697 0.0348330657869545 0.0116110219289848 NA 3 0.969696969696972
"Xiphias_gladius" 0.00236092876780551 0.128887330650499 0.00745148036830428 0.00937716563827527 0.00468858281913764 0.126679365270804 0.643479707968068 0.00895927021309127 0.00895927021309127 0.0190929897163627 0.0369575141862983 0.00310639418826278 19 NA 0.982869027013351
"Squalius_cephalus" 0 0.0863736344410279 0.0136379422801623 0.0123066193432893 0 0.0861463354030252 0.71164364028586 0 0.0374549284360979 0.0149819713744392 0.0374549284360979 0 3.7 4 0.997368421052632
"Coryphaena_hippurus" 0.012279219099152 0.0941406797601653 0.00409307303305067 0.0177142832905799 0.00442857082264498 0.0974285580981896 0.586353520507776 0 0.0338280877216025 0.0128343435143005 0.119787206133471 0.0171124580190673 26.5 NA 1.03492516037063
"Gadus_chalcogrammus" 0.0140439334910903 0.0846559533950596 0.00957256037176968 0.00538276555118963 0 0.0890792795816896 0.664157640636703 0.0185496954861485 0 0.017044603574663 0.0865100064608243 0.0110035614508629 3.5 4 1.05225062159525
"Coregonus_clupeaformis" 0 0.169493036784947 0 0 0 0.18317396286408 0.628022620543789 0 0 0.019310379807184 0 0 5 NA 1.08071674411316
"Oncorhynchus_keta" 0 0.106435092894297 0.013948699306477 0.0459322948041277 0 0.115511980194934 0.44675313728926 0.0909951589775414 0.0909951589775414 0.0360972729656434 0.0240648486437623 0.0292663559464155 7.5 NA 1.08528096376682
"Cleisthenes_herzensteini" 0.0310082292289679 0.0620164584579359 0.0544641282208479 0.0360872457966807 0 0.0683194840741605 0.422185797073466 0 0.204137509090706 0.0304452870143088 0.0608905740286176 0.0304452870143088 16 NA 1.1016347236355
"Ladislavia_taczanowskii" 0 0.113600057182581 0 0 0 0.125346847458712 0.600259108764898 0 0.0285837670840428 0.0132210219509766 0.105768175607812 0.0132210219509766 NA 3 1.10340479192938
"Perca_fluviatilis" 0.0251621534907392 0.0754864604722175 0 0.0292309272466885 0 0.0876927817400655 0.358396586242007 0 0.238931057494671 0.020566670368179 0.123400022209074 0.0411333407363581 9 2 1.16170212765958
"Platichthys_stellatus" 0.0673084198914417 0.0576398930152686 0.0128294911279358 0.0230436038992125 0.0212822607571527 0.0673694685555777 0.483622650263018 0.0568891201008504 0.0426776949766028 0.0475274330421258 0.103967486690105 0.0158424776807086 18 NA 1.16879933378315
"Coregonus_lavaretus" 0.00685971723107744 0.0759427980440352 0.0105664954077876 0.0397333372289221 0.00649855017055868 0.0888430554836456 0.556152787727362 0.046547714446984 0.057803820517145 0.030272072082534 0.0657297563751689 0.0150498952847792 8.5 2 1.16986808192306
"Sardinella_maderensis" 0 0.175603415864238 0 0 0 0.206340695657826 0.585778308228605 0 0 0 0.0322775802493313 0 26.6 3 1.17503805175038
"Zeus_faber" 0.0113013474263502 0.0904107794108013 0.0678080845581009 0 0.0357876001834422 0.107362800550327 0.252069183900767 0.0840230613002555 0.0840230613002555 0.0763468803913433 0.190867200978358 0 11 4 1.1875
"Salmo_trutta" 0 0.0816401449640177 0.00782769497313612 0.012017887406881 0 0.0976172392378985 0.696964712903817 0 0.0287393391462866 0.0107252847676934 0.0608165733876949 0.00365112321257515 9.15 2 1.19570144419663
"Lepidorhombus_whiffiagonis" 0.0448851876918852 0.157098156921598 0.0224425938459426 0 0 0.188721811886335 0.431156754848012 0 0 0 0.155695494806227 0 9 2.5 1.2012987012987
"Scomber_colias" 0 0.0772986963710532 0.00858463319337342 0.00886562005861928 0.0177312401172386 0.09550913516722 0.636416355774512 0.0681866990812208 0 0.0137444258476582 0.059918768541446 0.0137444258476582 NA 1.05 1.23558532874542
"Culter_alburnus" 0.00540620336510155 0.0818638322515004 0.00299540477706063 0.0228139049681169 0 0.101878634452466 0.712918207314329 0 0 0.00984044982811077 0.0622833630433154 0 NA 4 1.24448894768909
"Hippoglossus_stenolepis" 0.0141956195843934 0.112473353362599 0 0.0228218565027565 0 0.144918362489388 0.487242792549111 0.133986383338764 0 0 0.0843616321729882 0 3.5 13 1.28846840746528
"Campostoma_anomalum" 0.00772884461238122 0.109491965342067 0.00644070384365101 0.0291570523894007 0.0116628209557603 0.145785261947004 0.490073696699023 0.0136131582416395 0.0726035106220775 0.0259298252221705 0.0648245630554263 0.0226885970693992 12 NA 1.331469952992
"Scaphirhynchus_platorynchus" 0.0245464290135377 0.0850571016207993 0 0 0 0.113798500534265 0.63921515221177 0 0.118824941947556 0 0 0.0185578746720712 21 NA 1.33790710435444
"Perca_flavescens" 0 0.0350598073831306 0 0.023526170922886 0.023526170922886 0.0470523418457721 0.608142673931445 0.101357112321908 0 0.0179261914079969 0.107557148447982 0.0358523828159939 NA 3 1.34205933682373
"Micropterus_dolomieu" 0.0270296262788082 0.136933413291647 0 0 0.0271915330678836 0.186169780789206 0.33851178442789 0 0.0846279461069724 0.0847898470697351 0.0864827866112798 0.0282632823565784 9.3 NA 1.35956430438708
"Sardina_pilchardus" 0 0.113100467107262 0.0565502335536311 0 0 0.156857369135646 0.441808025203962 0.0631154321719946 0.126230864343989 0 0.042337608483515 0 19 2 1.38688524590165
"Auxis_rochei" 0.00599315793814163 0.107981950553717 0.00241688031987851 0.0413977555382496 0 0.158010822622303 0.522302786356084 0.00939503747865811 0.016341101854546 0.00939307262751379 0.124070727364976 0.00269670734593295 19 NA 1.46330772700479
"Pomatomus_saltatrix" 0 0.0917914676132823 0.0229478669033206 0 0 0.138409337091706 0.565501005831828 0.113100201166366 0 0 0.0455000809289977 0.0227500404644988 24 2.15 1.50786713286713
"Anguilla_anguilla" 0.00398904225776802 0.0506120787501872 0.00378146382430185 0.0374902688856292 0 0.0777334042769625 0.644988191316066 0.054737056676128 0.041313903274462 0.0446388490730011 0.0407157416654942 0 15 11 1.53586665864174
"Sebastiscus_marmoratus" 0 0.0564738975551909 0.0112947795110382 0.0435849599750272 0 0.0869834790397496 0.747405509192369 0 0 0.0274103714290539 0.0268470032975715 0 22 NA 1.54024217922523
"Tropheus_moorii" 0.0183999266433798 0.0735997065735194 0.0183999266433798 0.019094263497847 0 0.114565580987082 0.7105503586752 0 0 0.0113475592448979 0.0340426777346936 0 26 NA 1.5566037735849
"Lithognathus_mormyrus" 0.0112034147660925 0.0784239033626474 0.022406829532185 0.0407396900585181 0 0.122219070175554 0.647908323822216 0 0 0.0192746920706967 0.0481867301767419 0.00963734603534837 20 2 1.55844155844155
"Channa_striata" 0 0.0569228497489239 0.0189742832496413 0 0.0298453842235373 0.0895361526706118 0.622802944311756 0 0 0.054575515738659 0.109151031477318 0.018191838579553 NA 1.75 1.57293868921776
"Hucho_taimen" 0.0467739830410282 0.11884742449199 0 0.0625367398727175 0 0.195202136763397 0.460397549652363 0 0 0 0.100022061876441 0.0162201043020633 13 NA 1.64245996577362
