"Species" "A_T" "A_G" "A_C" "T_A" "T_G" "T_C" "G_A" "G_T" "G_C" "C_A" "C_T" "C_G" "Class"
"Abramis_brama" 0.0146981849227791 0.0734909246138956 0 0.0447642562396391 0 0 0.622379833390309 0 0 0.133121055669863 0.111545745163515 0 "Actinopterygii"
"Chondrostoma_nasus" 0 0.222420418456638 0 0 0 0 0.675657257920925 0 0 0.0339741078741458 0.0679482157482915 0 "Actinopterygii"
"Coregonus_ussuriensis" 0 0.214921054488485 0 0 0 0 0.670874186313399 0 0.0609885623921271 0.0266080984029946 0 0.0266080984029946 "Actinopterygii"
"Ctenogobiops_feroculus" 0 0.272098581336326 0.0219949388953315 0.0380739976739876 0 0 0.472043882121374 0 0.181007529925515 0.0147810700474651 0 0 "Actinopterygii"
"Galaxiella_nigrostriata" 0 0.0590950400611105 0.0118190080122221 0 0.0362816059910074 0 0.691983856199455 0.125815246581719 0 0.0750052431544864 0 0 "Actinopterygii"
"Gobiomorphus_australis" 0 0.0581478168634539 0 0 0.0331859552417919 0 0.735955200181425 0.0669050181983114 0.0669050181983114 0.0194504956583532 0 0.0194504956583532 "Actinopterygii"
"Liobagrus_marginatus" 0 0.00914728986315497 0 0 0 0 0.707009279006353 0.106051391850953 0.0530256959254765 0.0187149515031093 0.0873364403478436 0.0187149515031093 "Actinopterygii"
"Pangasianodon_gigas" 0 0 0 0.0680501299719725 0 0 0.525841913419788 0.175280637806596 0 0.0543123103062691 0.176515008495375 0 "Actinopterygii"
"Pseudobagrus_ondon" 0 0.0474782035634228 0.0067826005090604 0 0.0273533044003891 0 0.70195829364854 0.140391658729708 0 0.00950449239360993 0.0570269543616596 0.00950449239360993 "Actinopterygii"
"Salangichthys_microdon" 0 0.374844836771639 0 0 0 0 0.546389276191217 0 0 0.019691471759286 0.0393829435185719 0.019691471759286 "Actinopterygii"
"Hippocampus_erectus" 0 0.00660562778920667 0 0 0 0.0133161068131627 0.576753876345108 0 0.209728682307312 0 0.179767441977696 0.0138282647675151 "Actinopterygii"
"Trachurus_trachurus" 0 0.038511412522798 0 0 0 0.0143551982830034 0.659022130349991 0.146449362299998 0.073224681149999 0.0128319778864146 0.0556052375077966 0 "Actinopterygii"
"Schizothorax_richardsonii" 0 0.156732943967694 0.0161521175696853 0 0.128324558371312 0.0183885208996189 0.475388476237269 0.0382858435140783 0.0765716870281566 0 0.0176478033012365 0.0725080491109495 "Actinopterygii"
"Xenotoca_eiseni" 0 0.0169971747757074 0 0.0212026613181504 0 0.0212026613181504 0.560906767598344 0 0 0.0189845367494824 0.322737124741201 0.0379690734989648 "Actinopterygii"
"Sarcocheilichthys_parvus" 0.0159844586543996 0.0239766879815995 0 0 0 0.021535546806346 0.679791883151261 0 0 0 0.258711423406394 0 "Actinopterygii"
"Pseudopungtungia_tenuicorpus" 0 0.100908323320731 0.0100908323320731 0.0266292913683509 0 0.0266292913683509 0.689467087384911 0 0.04055688749323 0.0302052247806723 0.0604104495613446 0.0151026123903361 "Actinopterygii"
"Schizopygopsis_thermalis" 0.0103510211748958 0.196669402323019 0.0207020423497915 0 0 0.0267780076248116 0.52090065927097 0 0.0801385629647647 0 0.144460304291747 0 "Actinopterygii"
"Nannoperca_vittata" 0.0232669936471096 0 0 0 0 0.0270869478279783 0.567132970148296 0.0567132970148296 0.113426594029659 0.0193066543029207 0.193066543029207 0 "Actinopterygii"
"Etheostoma_uniporum" 0 0.0882522683200419 0 0.00486227041520483 0 0.029173622491229 0.633606028964404 0.018103029398983 0.162927264590847 0.00420503438795273 0.0336402751036219 0.0252302063277164 "Actinopterygii"
"Rhabdosargus_sarba" 0 0.0352234579295531 0.0176117289647766 0 0.00584858914435776 0.0292429457217888 0.512755412447127 0.151495917313924 0.0699211926064264 0.00790670026097986 0.162087355350087 0.00790670026097986 "Actinopterygii"
"Hemibagrus_guttatus" 0.0170740956416085 0.0398395564970866 0 0.0292977189639776 0 0.0292977189639776 0.677235383152662 0 0.0752483759058513 0 0.118806435787353 0.0132007150874836 "Actinopterygii"
"Hypoplectrus_indigo" 0.03503496138663 0 0 0 0 0.0298445967367589 0.548279086442313 0 0.0913798477403855 0 0.253252720880497 0.0422087868134161 "Actinopterygii"
"Pseudobagrus_truncatus" 0.000960102822559033 0.0028803084676771 0 0.00288451944496902 0.00288451944496902 0.0317297138946593 0.55802339808128 0.119576442445989 0.259082291966309 0 0.0219787034315892 0 "Actinopterygii"
"Elassoma_evergladei" 0.0505149163710999 0.0168383054570333 0.00841915272851665 0.0377782494228311 0 0.0323813566481409 0.348378733593792 0.07257890283204 0.21773670849612 0.0881074122751742 0.114213312208559 0.0130529499666925 "Actinopterygii"
"Channa_asiatica" 0.034710090609426 0.00495858437277515 0.00495858437277515 0.0762260813383473 0 0.0326683205735774 0.749737957163602 0 0 0.032246793856499 0.064493587712998 0 "Actinopterygii"
"Hippoglossoides_robustus" 0 0.0543220084721941 0 0.061706375054532 0 0.0329915376241502 0.761753697875978 0 0 0.025278238318504 0.0386699043361381 0.025278238318504 "Actinopterygii"
"Oncorhynchus_mykiss" 0.0615894912273845 0.0709966428242811 0.0194956868051458 0.048429893054357 0.0117359785788091 0.0334914536660478 0.367911078788181 0.0650381255158302 0.195081846986878 0.043087531607036 0.0260117431469842 0.0571305277990648 "Actinopterygii"
"Comephorus_dybowskii" 0.0103283675363708 0.092955307827337 0.0206567350727415 0 0.0172353629339438 0.0344707258678875 0.755613979535853 0 0 0.0305508983226074 0.0381886229032593 0 "Actinopterygii"
"Sicydium_buscki" 0.00492471315792746 0.0492471315792746 0.00492471315792746 0 0 0.0346628910704509 0.727700630631402 0 0.085611838897812 0.0278784244515618 0.0557568489031236 0.0092928081505206 "Actinopterygii"
"Proterorhinus_semilunaris" 0 0.14249810628439 0 0.0351868551902455 0.0351868551902455 0.0351868551902455 0.611267162460624 0 0 0.0401926187669286 0.0803852375338572 0.0200963093834643 "Actinopterygii"
"Microphysogobio_alticorpus" 0.0252855487502069 0.113784969375931 0.0126427743751035 0.035983280913756 0 0.035983280913756 0.776320145671247 0 0 0 0 0 "Actinopterygii"
"Hippoglossus_hippoglossus" 0 0.213046225966873 0.0292556423927881 0 0 0.0363509009551646 0.638760990180533 0 0 0.0266652990559266 0.0559209414487147 0 "Actinopterygii"
"Melanotaenia_praecox" 0.019316184600023 0.115897107600138 0 0 0 0.0366512220615821 0.751216288678267 0 0.0626013573898556 0 0.0143178396701339 0 "Actinopterygii"
"Myxocyprinus_asiaticus" 0.0495112423225956 0.144186133423933 0.0165037474408652 0.0403872193471579 0 0.0403872193471579 0.319303814634685 0.0709661139957204 0.118269573601858 0.140333543251573 0.0601513926344548 0 "Actinopterygii"
