Species,A_T,A_G,A_C,T_A,T_G,T_C,G_A,G_T,G_C,C_A,C_T,C_G,Class
Uragus_sibiricus,0.0204154242019228,0.0173076430822606,0,0,0,0,0.724872546173497,0,0,0.0215386028796985,0.215865783662621,0,Aves
Vireo_cassinii,0,0.0200491752669223,0.00501229381673057,0,0,0,0.773727812833612,0,0.110532544690516,0.0226695433480549,0.0566738583701372,0.0113347716740274,Aves
Apteryx_australis,0,0.00871500194324204,0,0,0.00439794181590521,0.0263876508954312,0.78979705110631,0.157959410221262,0,0,0.0127429440178497,0,Aves
Carpodacus_pulcherrimus,0,0,0.00482795553576049,0,0,0.0380690818258952,0.790768296172981,0,0.0329486790072075,0.0160063184949787,0.117379668963177,0,Aves
Zosterops_luteus,0,0.0212211198540662,0,0.0134309607825783,0,0.0402928823477349,0.775776319059635,0.0352625599572561,0,0.0175409473844199,0.0964752106143095,0,Aves
Loxia_curvirostra,0,0.0599708931144977,0.00999514885241628,0,0.0510922236551704,0.0510922236551704,0.533629891509558,0.266814945754779,0,0.0137023367292041,0.0137023367292041,0,Aves
Synallaxis_albescens,0,0.00440766528211192,0.00440766528211192,0,0,0.0513807838600476,0.899163717550832,0,0,0.0152400630093361,0.0254001050155602,0,Aves
Cinclodes_fuscus,0.00512886936292701,0.025644346814635,0.010257738725854,0.00758924002833112,0,0.0531246801983178,0.805627018392073,0,0,0.00617520709852414,0.086452899379338,0,Aves
Xenops_minutus,0,0,0,0,0,0.0569517266317122,0.720971308568488,0.0600809423807073,0,0.0347134333755198,0.127282589043573,0,Aves
Automolus_ochrolaemus,0,0.0139207251337122,0.0139207251337122,0.0194227260198937,0,0.0582681780596812,0.67979541069628,0,0,0,0.21467223495672,0,Aves
Mionectes_macconnelli,0,0.0141863576600703,0.0141863576600703,0.0366039788132038,0,0.0610066313553396,0.740367269580272,0,0,0.00890996032873625,0.124739444602307,0,Aves
Zosterops_montanus,0.00177109286384535,0.0230242072299896,0,0,0,0.0628122632286423,0.871236001582807,0,0,0.00685940584911931,0.0342970292455965,0,Aves
Seiurus_aurocapilla,0,0.0415686053643406,0.00692810089405677,0.0157241581051187,0,0.0628966324204749,0.720120863944568,0.0600100719953807,0,0.0265004477931601,0.0662511194829002,0,Aves
Alectoris_rufa,0,0.0127315508687485,0.00212192514479142,0,0,0.0642220961375702,0.789871761841518,0.112838823120217,0,0.00607128096238512,0.0121425619247702,0,Aves
Automolus_rubiginosus,0.00320942418912979,0.0224659693239086,0.00641884837825959,0.00870193730580382,0,0.0696154984464305,0.799490489970726,0.0532993659980484,0,0,0.0367984663876937,0,Aves
Pica_pica,0.00326034387944134,0.0232655595649246,0.00298450292902197,0.0127137704624939,0,0.0721392973738666,0.78624550462232,0.0232617132459521,0,0.012876991145358,0.060112554869799,0.00313976190682245,Aves
Lophura_nycthemera,0.00354155735412826,0.0247909014788978,0,0,0,0.0734679270104562,0.873643920471537,0,0,0,0.0245556936849804,0,Aves
Eremophila_alpestris,0.00145308388219963,0.0639356908167839,0.00290616776439927,0.0190252059356187,0.00475630148390467,0.0808571252263795,0.696034888241435,0.0116005814706906,0.0348017444120717,0.0177448345155601,0.0655193889805296,0.0013649872704277,Aves
Eumyias_panayensis,0.00511554288917883,0.0204621715567153,0.00511554288917883,0.0115532188439184,0,0.0808725319074286,0.720336235147922,0.0864403482177507,0,0.0254925121992389,0.0446118963486681,0,Aves
Sittasomus_griseicapillus,0,0.0220162929044217,0,0,0.0107574433238996,0.0860595465911972,0.577316125049281,0.14432903126232,0,0.01139439720492,0.14812716366396,0,Aves
Agelaius_phoeniceus,0.00320934027481014,0.0416450811614216,0.0114401174354333,0.0175872271985476,0,0.0879361359927379,0.771778675710727,0,0,0.0124483510920942,0.0539550711342285,0,Aves
