Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche
Abeillia_abeillei,"-4,147189403","-0,486051901","0,7179439519","-0,50053266","-0,443798493","-0,0870932124","-0,4699086938","-0,3211755484","-0,07507121831","-1,860982565","0,9876273999","-0,4092488446","0,165533946",Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Abroscopus_albogularis,"-3,120944891","0,3241006693","-0,1590789223","-0,04310623644","0,2756850282","-0,0599446857","0,1749172123","-0,08851387753","0,03576673323","-1,717088632","-0,1216988652","0,1498359356","-0,04766208028",Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal
Abroscopus_schisticeps,"-3,149217627","0,4226659551","-0,21505026","-0,1070477234","0,2939130596","-0,02742924954","0,1026004087","-0,07594076455","0,01284759206","-1,817145284","-0,1396738001","0,08010667607","-0,02330595303",Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal
Abroscopus_superciliaris,"-2,60841506","-0,006795471829","-0,02031312961","-0,02983998728","0,2834988509","0,08884916362","0,1168981603","0,008324283143","0,0002938038506","-1,221006983","0,05747985586","0,1047136815","0,0362134171",Indo_Malay,Carnivore,Invertivore,Invertivore glean arboreal
Aburria_aburri,"4,039849011","1,154167899","-0,1527615623","-0,508403725","-0,2037676617","-0,1570203108","0,1169977335","0,2082617851","0,006971019307","0,8914598212","-0,1274957977","0,08431581634","-0,2343104823",Neotropic,Herbivore,Frugivore,Fugivore glean
Acanthagenys_rufogularis,"-0,04469712318","0,2477536938","-0,05538588403","-0,5393631513","0,01980739828","-0,1897232389","-0,103727451","0,04633420356","0,1585230023","-0,3065324007","0,2713039745","-0,1368220129","-0,2079520201",Australian,Herbivore,Omnivore,NA
Acanthidops_bairdii,"-1,360040819","-0,1577769226","-0,02798054571","0,07774177376","0,2817961779","0,005223349189","-0,1385699887","-0,01215642052","-0,03632731645","-0,4736725409","-0,003395863611","-0,1499407664","0,08743244782",Neotropic,Omnivore,Invertivore,Invertivore glean arboreal
Acanthisitta_chloris,"-2,844999672","0,1931151282","0,5087036846","0,2178193202","0,3629703718","0,2406711734","0,09952225653","-0,03707976237","0,05906500421","-1,503506669","0,1575064634","0,07666391055","-0,05774477236",Australian,Carnivore,Invertivore,Invertivore bark
Acanthiza_apicalis,"-2,611429","0,3756268181","0,01767436875","-0,1007737676","0,2846511642","-0,05422056486","-0,08087397104","-0,01512483035","-0,0245199202","-1,557312301","0,01550763419","-0,1066248938","0,009298527061",Australian,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_chrysorrhoa,"-2,418803789","0,3992333251","0,2048508217","-0,09843769915","0,2079854649","0,1437221183","-0,09107660401","0,05344695465","0,03151316866","-1,516765654","0,12824551","-0,1070562634","-0,03531640237",Australian,Carnivore,Invertivore,Invertivore ground
