"MusYoungAhGhDownSampledSlopes" "MusYoungChThDownSampledSlopes" "MusOldAhGhDownSampledSlopes" "MusOldChThDownSampledSlopes" "HumanAhGhDownSampledSlopes" "HumanChThDownSampledSlopes"
"1" 3.87303436225975e-09 2.61793826441468e-08 1.34828188701223e-08 9.35352358765289e-08 1.72704081632653e-07 6.72448979591837e-07
"2" 1.42690739662201e-09 2.20442632498544e-08 1.57251019219569e-08 8.81188118811882e-08 8.92857142857143e-08 4.16326530612245e-07
"3" -1.10658124635993e-09 3.98951659871869e-08 1.24344787419918e-08 1.09813628421666e-07 2.01785714285714e-07 5.59693877551021e-07
"4" 2.70821199767035e-09 3.53523587652883e-08 1.62783925451369e-08 4.16715200931858e-08 8.39285714285716e-08 5.51020408163266e-07
"5" 3.90215492137448e-09 2.80139778683751e-08 1.41817122888759e-08 5.00582411182295e-08 1.41836734693878e-07 5.03316326530612e-07
"6" 2.64997087944088e-09 4.96214327315085e-08 1.63948747815958e-08 7.61502620850321e-08 1.10204081632653e-07 4.72448979591837e-07
"7" 3.05765870704717e-09 3.1100757134537e-08 1.36866627839254e-08 4.67967384973792e-08 2.29081632653061e-07 5.58418367346939e-07
"8" 5.50378567268492e-09 2.60920209668025e-08 1.04542807221899e-08 7.46068724519511e-08 1.68622448979592e-07 5.96428571428571e-07
"9" 4.65928945835759e-10 3.28188701223063e-08 7.94991263832265e-09 8.36633663366337e-08 9.54081632653063e-08 6.18622448979592e-07
"10" 5.79499126383226e-09 1.91613278974957e-08 1.21723937099592e-08 4.49912638322656e-08 2.0484693877551e-07 4.29591836734694e-07
"11" -1.74723354688409e-10 4.3739079790332e-08 9.84274898078042e-09 7.25684333139197e-08 1.44897959183673e-07 4.74744897959183e-07
"12" 5.50378567268491e-09 3.70704717530576e-08 2.71986022131625e-08 6.61910308677927e-08 1.96428571428572e-07 4.37244897959184e-07
"13" 2.62085032032615e-09 5.36983110075713e-08 1.12405358182877e-08 8.01397786837508e-08 1.24489795918367e-07 5.17857142857143e-07
"14" -5.53290623179961e-10 3.46825859056494e-08 1.00174723354688e-08 4.89225393127548e-08 1.74234693877551e-07 4.53061224489796e-07
"15" -1.60163075131042e-09 4.92719860221316e-08 1.82585905649388e-08 1.00524170064065e-07 2.28316326530612e-07 5.8545918367347e-07
"16" 3.46534653465346e-09 4.62725684333139e-08 7.13453698311007e-09 6.00757134536983e-08 1.78571428571429e-07 5.64795918367347e-07
"17" 3.87303436225975e-09 4.46418171228888e-08 1.26965637740244e-08 4.01863715783343e-08 8.08673469387754e-08 5.67602040816327e-07
"18" 4.48456610366918e-09 5.16307513104251e-08 1.26965637740244e-08 6.43855562026792e-08 7.16836734693879e-08 6.3469387755102e-07
"19" 1.04834012813046e-09 1.68025626092021e-08 1.57251019219569e-08 7.39370995923123e-08 1.89285714285715e-07 4.9591836734694e-07
"20" 1.42690739662201e-09 3.76528829353524e-08 8.03727431566685e-09 7.57716948165405e-08 1.38520408163265e-07 4.54081632653062e-07
"21" 4.89225393127547e-09 2.48398369248689e-08 1.15608619685498e-08 8.11298776936518e-08 1.11989795918367e-07 4.94387755102041e-07
"22" 3.17414094350611e-09 2.89749563191613e-08 1.90157251019219e-08 9.48747815958068e-08 1.65561224489796e-07 5.84438775510205e-07
"23" -1.48514851485148e-09 3.71287128712871e-08 9.14385556202678e-09 8.13919627256844e-08 1.36479591836735e-07 3.19132653061225e-07
