Species Class
1 Abbottina_obtusirostris Actinopterygii
2 Abbottina_rivularis Actinopterygii
3 Abramis_brama Actinopterygii
4 Abrothrix_longipilis Mammalia
5 Abrothrix_olivaceus Mammalia
6 Abudefduf_sparoides Actinopterygii
7 Acanthocybium_solandri Actinopterygii
8 Acanthogobius_hasta Actinopterygii
9 Acanthopagrus_berda Actinopterygii
10 Acanthopagrus_latus Actinopterygii
11 Acanthopagrus_schlegelii Actinopterygii
12 Acanthorhodeus_chankaensis Actinopterygii
13 Acanthosaura_lepidogaster Reptilia
14 Acentrogobius_janthinopterus Actinopterygii
15 Acheilognathus_barbatus Actinopterygii
16 Acheilognathus_cyanostigma Actinopterygii
17 Acheilognathus_macropterus Actinopterygii
18 Acheilognathus_rhombeus Actinopterygii
19 Acheilognathus_signifer Actinopterygii
20 Acheilognathus_somjinensis Actinopterygii
21 Acheilognathus_tabira Actinopterygii
22 Acheilognathus_typus Actinopterygii
23 Acheilognathus_yamatsutae Actinopterygii
24 Achondrostoma_oligolepis Actinopterygii
25 Acipenser_gueldenstaedtii Actinopterygii
26 Acipenser_schrenckii Actinopterygii
27 Acipenser_stellatus Actinopterygii
28 Acomys_cahirinus Mammalia
29 Acomys_dimidiatus Mammalia
30 Acomys_minous Mammalia
31 Acritillas_indica Aves
32 Acrocephalus_brevipennis Aves
33 Acrocephalus_orientalis Aves
34 Acrossocheilus_beijiangensis Actinopterygii
35 Acrossocheilus_parallens Actinopterygii
36 Acrossocheilus_yunnanensis Actinopterygii
37 Adelomyia_melanogenys Aves
38 Aegithalos_caudatus Aves
39 Aegithalos_concinnus Aves
40 Aerodramus_fuciphagus Aves
41 Aerodramus_maximus Aves
42 Agelaius_phoeniceus Aves
43 Agkistrodon_contortrix Reptilia
44 Agkistrodon_piscivorus Reptilia
45 Agonostomus_monticola Actinopterygii
46 Ailuropoda_melanoleuca Mammalia
47 Akodon_montensis Mammalia
48 Akodon_spegazzinii Mammalia
49 Alburnus_alburnus Actinopterygii
50 Alcelaphus_buselaphus Mammalia
51 Alces_alces Mammalia
52 Alectoris_chukar Aves
53 Alectoris_rufa Aves
54 Alethe_poliocephala Aves
55 Algansea_tincella Actinopterygii
56 Alligator_mississippiensis Reptilia
57 Alosa_fallax Actinopterygii
58 Alouatta_belzebul Mammalia
59 Alouatta_caraya Mammalia
60 Alouatta_guariba Mammalia
61 Alouatta_seniculus Mammalia
62 Alticola_semicanus Mammalia
63 Amatitlania_nigrofasciata Actinopterygii
64 Amazona_farinosa Aves
65 Amazona_ochrocephala Aves
66 Ambloplites_ariommus Actinopterygii
67 Ambloplites_rupestris Actinopterygii
68 Amblyrhynchus_cristatus Reptilia
69 Ambystoma_barbouri Amphibia
70 Amolops_mantzorum Amphibia
71 Amphilophus_citrinellus Actinopterygii
72 Amphiprion_akallopisos Actinopterygii
73 Amphiprion_clarkii Actinopterygii
74 Amphiprion_frenatus Actinopterygii
75 Amphiprion_ocellaris Actinopterygii
76 Amyda_cartilaginea Reptilia
77 Anabas_testudineus Actinopterygii
78 Anaecypris_hispanica Actinopterygii
79 Anarhichas_lupus Actinopterygii
80 Anas_platyrhynchos Aves
81 Andrias_davidianus Amphibia
82 Anguilla_anguilla Actinopterygii
83 Anguilla_celebesensis Actinopterygii
84 Anguilla_japonica Actinopterygii
85 Anguilla_luzonensis Actinopterygii
86 Anguilla_malgumora Actinopterygii
87 Anguilla_marmorata Actinopterygii
88 Anguilla_mossambica Actinopterygii
89 Anguilla_rostrata Actinopterygii
90 Anodorhynchus_hyacinthinus Aves
91 Anourosorex_squamipes Mammalia
92 Anourosorex_yamashinai Mammalia
93 Anser_cygnoides Aves
94 Antidorcas_marsupialis Mammalia
95 Antilope_cervicapra Mammalia
96 Aotus_azarai Mammalia
97 Aotus_lemurinus Mammalia
98 Aotus_nancymaae Mammalia
99 Aphanopus_carbo Actinopterygii
100 Apodemus_agrarius Mammalia
101 Apodemus_argenteus Mammalia
102 Apodemus_chejuensis Mammalia
103 Apodemus_chevrieri Mammalia
104 Apodemus_draco Mammalia
105 Apodemus_flavicollis Mammalia
106 Apodemus_ilex Mammalia
107 Apodemus_latronum Mammalia
108 Apodemus_peninsulae Mammalia
109 Apodemus_speciosus Mammalia
110 Apodemus_sylvaticus Mammalia
111 Apteronotus_albifrons Actinopterygii
112 Arachnothera_longirostra Aves
113 Arborophila_ardens Aves
114 Arctocephalus_forsteri Mammalia
115 Arius_arius Actinopterygii
116 Artibeus_cinereus Mammalia
117 Artibeus_fimbriatus Mammalia
118 Artibeus_glaucus Mammalia
119 Artibeus_intermedius Mammalia
120 Artibeus_jamaicensis Mammalia
121 Artibeus_lituratus Mammalia
122 Artibeus_obscurus Mammalia
123 Artibeus_phaeotis Mammalia
124 Artibeus_planirostris Mammalia
125 Aspidomorphus_lineaticollis Reptilia
126 Astyanax_aeneus Actinopterygii
127 Asymmetron_lucayanum Branchiostomidae
128 Ateles_belzebuth Mammalia
129 Ateles_geoffroyi Mammalia
130 Atherinomorus_endrachtensis Actinopterygii
131 Auxis_rochei Actinopterygii
132 Auxis_thazard Actinopterygii
133 Avahi_laniger Mammalia
134 Axis_porcinus Mammalia
135 Bagarius_yarrelli Actinopterygii
136 Balaena_mysticetus Mammalia
137 Balaenoptera_physalus Mammalia
138 Balistes_capriscus Actinopterygii
139 Bambusicola_fytchii Aves
140 Bambusicola_thoracicus Aves
141 Bandicota_indica Mammalia
142 Barbatula_barbatula Actinopterygii
143 Barbatula_nuda Actinopterygii
144 Barbatula_toni Actinopterygii
145 Barbatula_vardarensis Actinopterygii
146 Barbus_balcanicus Actinopterygii
147 Barbus_barbus Actinopterygii
148 Barbus_carpathicus Actinopterygii
149 Barbus_cyclolepis Actinopterygii
150 Barbus_plebejus Actinopterygii
151 Barbus_rebeli Actinopterygii
152 Basileuterus_rivularis Aves
153 Bathygobius_geminatus Actinopterygii
154 Bathygobius_soporator Actinopterygii
155 Beaufortia_kweichowensis Actinopterygii
156 Belonesox_belizanus Actinopterygii
157 Beryx_splendens Actinopterygii
158 Bison_bison Mammalia
159 Bison_bonasus Mammalia
160 Bison_priscus Mammalia
161 Biwia_zezera Actinopterygii
162 Blarina_brevicauda Mammalia
163 Blarinella_griselda Mammalia
164 Blarinella_quadraticauda Mammalia
165 Boa_constrictor Reptilia
166 Boleophthalmus_pectinirostris Actinopterygii
167 Bolomys_lasiurus Mammalia
168 Bombina_bombina Amphibia
169 Bombina_maxima Amphibia
170 Bombina_orientalis Amphibia
171 Bombina_variegata Amphibia
172 Boops_boops Actinopterygii
173 Boreogadus_saida Actinopterygii
174 Bos_frontalis Mammalia
175 Bos_gaurus Mammalia
176 Bos_grunniens Mammalia
177 Bos_indicus Mammalia
178 Bos_javanicus Mammalia
179 Bos_primigenius Mammalia
180 Bos_taurus Mammalia
181 Botia_lohachata Actinopterygii
182 Brachyhypopomus_occidentalis Actinopterygii
183 Brachymystax_lenok Actinopterygii
184 Brachyphylla_cavernarum Mammalia
185 Brachyrhaphis_rhabdophora Actinopterygii
186 Brama_brama Actinopterygii
187 Branchiostoma_belcheri Branchiostomidae
188 Branchiostoma_floridae Branchiostomidae
189 Branchiostoma_lanceolatum Branchiostomidae
190 Brienomyrus_sp. Actinopterygii
191 Brotogeris_cyanoptera Aves
192 Bubalus_bubalis Mammalia
193 Bubalus_depressicornis Mammalia
194 Budorcas_taxicolor Mammalia
195 Bungarus_candidus Reptilia
196 Bungarus_fasciatus Reptilia
197 Bungarus_multicinctus Reptilia
198 Cacajao_calvus Mammalia
199 Caiman_crocodilus Reptilia
200 Calliope_calliope Aves
201 Callithrix_geoffroyi Mammalia
202 Callithrix_jacchus Mammalia
203 Callosciurus_erythraeus Mammalia
204 Calomys_callosus Mammalia
205 Calomys_expulsus Mammalia
206 Camelus_bactrianus Mammalia
207 Camelus_dromedarius Mammalia
208 Campostoma_anomalum Actinopterygii
209 Campostoma_oligolepis Actinopterygii
210 Campostoma_ornatum Actinopterygii
211 Campylomormyrus_compressirostris Actinopterygii
212 Campylomormyrus_numenius Actinopterygii
213 Candidia_barbatus Actinopterygii
214 Canis_aureus Mammalia
215 Canis_latrans Mammalia
216 Canis_lupus Mammalia
217 Capoeta_damascina Actinopterygii
218 Capra_aegagrus Mammalia
219 Capra_caucasica Mammalia
220 Capra_cylindricornis Mammalia
221 Capra_falconeri Mammalia
222 Capra_hircus Mammalia
223 Capra_sibirica Mammalia
224 Capreolus_capreolus Mammalia
225 Capreolus_pygargus Mammalia
226 Capricornis_milneedwardsii Mammalia
227 Carasobarbus_fritschii Actinopterygii
228 Carasobarbus_luteus Actinopterygii
229 Carassius_auratus Actinopterygii
230 Carassius_cuvieri Actinopterygii
231 Carassius_gibelio Actinopterygii
232 Carcharodon_carcharias Chondrichthyes
233 Cardinalis_cardinalis Aves
234 Caretta_caretta Reptilia
235 Carollia_brevicauda Mammalia
236 Carollia_castanea Mammalia
237 Carollia_perspicillata Mammalia
238 Carollia_sowelli Mammalia
239 Carpiodes_carpio Actinopterygii
240 Carpiodes_cyprinus Actinopterygii
241 Carpodacus_erythrinus Aves
242 Catharus_guttatus Aves
243 Catharus_minimus Aves
244 Catharus_ustulatus Aves
245 Cathorops_mapale Actinopterygii
246 Cathorops_wayuu Actinopterygii
247 Catla_catla Actinopterygii
248 Catopuma_temminckii Mammalia
249 Catostomus_commersonii Actinopterygii
250 Cavia_aperea Mammalia
251 Cavia_porcellus Mammalia
252 Cebus_albifrons Mammalia
253 Cephalophus_callipygus Mammalia
254 Cercopithecus_albogularis Mammalia
255 Cercopithecus_mitis Mammalia
256 Cervus_elaphus Mammalia
257 Cetorhinus_maximus Chondrichthyes
258 Chaenocephalus_aceratus Actinopterygii
259 Chamaeleo_chamaeleon Reptilia
260 Champsocephalus_gunnari Actinopterygii
261 Channa_argus Actinopterygii
262 Channa_asiatica Actinopterygii
263 Channa_maculata Actinopterygii
264 Chasmistes_brevirostris Actinopterygii
265 Chelon_labrosus Actinopterygii
266 Chelonia_mydas Reptilia
267 Chilabothrus_inornatus Reptilia
268 Chilabothrus_monensis Reptilia
269 Chilatherina_fasciata Actinopterygii
270 Chiloscyllium_plagiosum Chondrichthyes
271 Chimarrogale_himalayica Mammalia
272 Chionomys_nivalis Mammalia
273 Chionomys_roberti Mammalia
274 Chiropotes_israelita Mammalia
275 Chlamydotis_undulata Aves
276 Chlorocebus_aethiops Mammalia
277 Chlorocebus_cynosuros Mammalia
278 Chlorocebus_pygerythrus Mammalia
279 Chlorocebus_sabaeus Mammalia
280 Chlorocebus_tantalus Mammalia
281 Chlorocharis_emiliae Aves
282 Chlorophanes_spiza Aves
283 Chodsigoa_parca Mammalia
284 Chondrostoma_nasus Actinopterygii
285 Chrysemys_picta Reptilia
286 Chrysolophus_amherstiae Aves
287 Chrysolophus_pictus Aves
288 Chuanchia_labiosa Actinopterygii
289 Cirrhinus_mrigala Actinopterygii
290 Cirrhinus_reba Actinopterygii
291 Clarias_fuscus Actinopterygii
292 Clarias_gariepinus Actinopterygii
293 Cleisthenes_herzensteini Actinopterygii
294 Clupea_harengus Actinopterygii
295 Clupea_pallasii Actinopterygii
296 Cobitis_choii Actinopterygii
297 Cobitis_elongatoides Actinopterygii
298 Cobitis_lutheri Actinopterygii
299 Cobitis_paludica Actinopterygii
300 Cobitis_sinensis Actinopterygii
301 Cobitis_taenia Actinopterygii
302 Codoma_ornata Actinopterygii
303 Coelodonta_antiquitatis Mammalia
304 Coilia_grayii Actinopterygii
305 Coilia_mystus Actinopterygii
306 Collocalia_esculenta Aves
307 Colobus_angolensis Mammalia
308 Coluber_constrictor Reptilia
309 Columba_livia Aves
310 Comephorus_baicalensis Actinopterygii
311 Comephorus_dybowskii Actinopterygii
312 Condylura_cristata Mammalia
313 Conolophus_subcristatus Reptilia
314 Contia_tenuis Reptilia
315 Copsychus_saularis Aves
316 Corallus_hortulanus Reptilia
317 Coregonus_autumnalis Actinopterygii
318 Coregonus_clupeaformis Actinopterygii
319 Coregonus_lavaretus Actinopterygii
320 Coregonus_muksun Actinopterygii
321 Coregonus_nasus Actinopterygii
322 Coregonus_oxyrinchus Actinopterygii
323 Coreoleuciscus_splendidus Actinopterygii
324 Coreoperca_kawamebari Actinopterygii
325 Corvus_corax Aves
326 Corvus_corone Aves
327 Corvus_macrorhynchos Aves
328 Corvus_splendens Aves
329 Corydoras_nattereri Actinopterygii
330 Corydoras_sp. Actinopterygii
331 Cottus_pollux Actinopterygii
332 Cottus_reinii Actinopterygii
333 Coturnix_coturnix Aves
334 Cricetulus_kamensis Mammalia
335 Cricetus_cricetus Mammalia
336 Crocidura_attenuata Mammalia
337 Crocidura_beatus Mammalia
338 Crocidura_dsinezumi Mammalia
339 Crocidura_fuliginosa Mammalia
340 Crocidura_grayi Mammalia
341 Crocidura_lasiura Mammalia
342 Crocidura_mindorus Mammalia
343 Crocidura_monticola Mammalia
344 Crocidura_negrina Mammalia
345 Crocidura_olivieri Mammalia
346 Crocidura_orientalis Mammalia
347 Crocidura_palawanensis Mammalia
348 Crocidura_panayensis Mammalia
349 Crocidura_paradoxura Mammalia
350 Crocidura_shantungensis Mammalia
351 Crocidura_sibirica Mammalia
352 Crocidura_suaveolens Mammalia
353 Crocidura_tanakae Mammalia
354 Crocodylus_acutus Reptilia
355 Crocodylus_johnsoni Reptilia
356 Crocodylus_moreletii Reptilia
357 Crocodylus_niloticus Reptilia
358 Crocodylus_palustris Reptilia
359 Crocuta_crocuta Mammalia
360 Crossoptilon_crossoptilon Aves
361 Cryptomys_hottentotus Mammalia
