Species A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
Abbottina_rivularis 0.0348082392361123 0.171916879952116 0.0445992050413832 0.0256517493574005 0.00318854673427818 0.160435655075346 0.154530352065021 0.0124320535257688 0.0171268037665113 0.109358807932856 0.251826133068746 0.0141255742444619
Abrothrix_longipilis 0.0355812680455526 0.259743256732534 0.0213487608273316 0.0172807968486696 0.00345615936973392 0.267852351154379 0.0559036461408009 0 0.000433361597990705 0.023981130657851 0.309090128478968 0.0053291401461891
Abudefduf_vaigiensis 0 0.13558457047041 0.031288747031633 0.00700841361324264 0.00700841361324264 0.37860790670975 0.0606177954699897 0.00242471181879959 0.00484942363759917 0.0232506612761604 0.349359356359173 0
Acanthogobius_hasta 0.0328331204629004 0.317399918967489 0.0965933104349571 0 0.02005360142227 0.121396179170317 0.146083011888632 0.00948772540408471 0 0.122571233551536 0.103774052207105 0.029807846490709
Acanthopagrus_berda 0 0.0433762603573924 0.00867525207147849 0.0672057502246181 0.0122192273135669 0.244384546271339 0.0467904562244185 0.00108815014475392 0.00435260057901567 0.0346610761705101 0.528581411600279 0.00866526904262753
Acanthopagrus_schlegelii 0.101498625873107 0.0304263716184358 0.0806439250654988 0.0531516662561501 0.00517925832194352 0.276871894056146 0.0225478578129082 0.00528790074289888 0.00533034626037773 0.048141206102465 0.3598114387895 0.0111095091005689
Acanthorhodeus_chankaensis 0.0200185422485724 0.226876812150487 0.00667284741619081 0.0316340208925081 0 0.258823807302339 0.0923569323798445 0.00108655214564523 0.00869241716516183 0.0221148792687032 0.318454261469326 0.0132689275612219
Acanthosaura_lepidogaster 0.024132730015083 0.255806938159879 0.101357466063348 0.00135327635327635 0.00541310541310541 0.116381766381766 0.0631598793363499 0.00282805429864253 0.00471342383107089 0.0715099715099715 0.33231104407575 0.0210323445617563
Acheilognathus_barbatus 0.0142312691384134 0.135197056814927 0.0284625382768268 0.0495450840437953 0 0.247725420218977 0.112880840658251 0.00925252792280748 0.018505055845615 0.0672350362390677 0.283347652721785 0.0336175181195338
Acheilognathus_macropterus 0.0213996882003313 0.342395011205301 0.0213996882003313 0.0103405437006723 0.00172342395011205 0.153384731559973 0.0706573370359544 0.000831262788658287 0.00249378836597486 0.0275504238526747 0.344380298158433 0.00344380298158433
Acheilognathus_signifer 0 0.0922694824973836 0.0167762695449788 0.00802886643027851 0.0120432996454178 0.148534028960152 0.185226260953779 0.0189006388728346 0.0302410221965354 0.0621065621143723 0.390384104718912 0.0354894640653556
Acheilognathus_tabira 0.0221059126401566 0.265270951681879 0.0221059126401566 0.0117822552238841 0.0050495379530932 0.141387062686609 0.0594691838707924 0.00234746778437338 0.00234746778437338 0.0262996768390271 0.431314700160044 0.0105198707356108
Acipenser_schrenckii 0.0143374436088794 0.155055363475918 0.0348499928466159 0.00702062884693419 0 0.137085834181416 0.137807528513648 0.00126323600650085 0.0010377447117782 0.0610688369228355 0.43351868045584 0.0169547104296343
Acomys_cahirinus 0.0270874932449309 0.269201373485171 0.0135437466224655 0.0106024866263421 0 0.251921658356599 0.0300767634205253 0 0 0.0662190392803118 0.322632129812842 0.00871530915081227
Acrocephalus_scirpaceus 0 0.197541703248464 0.0987708516242318 0 0 0 0.139815627743635 0 0 0 0.56387181738367 0
Acrossocheilus_beijiangensis 0 0 0.20810874150457 0.0290602296695571 0 0.464963674712913 0.235059760956175 0 0.013827044762128 0 0.0489805483946567 0
Acrossocheilus_parallens 0.0232719530112539 0.483802767337697 0.00914787970313101 0.0138751445052433 0.00136271370439212 0.115870810941792 0.146828150901872 0.000665782981288722 0.00297858151684907 0.014647559431474 0.187548655965007 0
Acrossocheilus_yunnanensis 0.00689220410277135 0.38900174151662 0.00689220410277135 0.0165669182284411 0.00169877442052256 0.148287224186695 0.0543936964030851 0 0.000896993362644878 0.05427722863246 0.317415040957537 0.00367797408645197
Adelomyia_melanogenys 0.0240861449243858 0.180732312139464 0.007241633601993 0.00552651943226358 0.00253025506176343 0.188202402436625 0.0240124004211211 0.0010479684928969 0.0024071759812657 0.0334263081133766 0.496712076884079 0.034074802510766
