Species A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
Abbottina_rivularis 0.0575746373523098 0.16590197441708 0.0737694038196267 0.0424293270534769 0.00527402206878941 0.102940988894105 0.161538366135505 0.0205632628653062 0.0283286238402444 0.180885153808151 0.137429805566435 0.0233644341789709
Abrothrix_longipilis 0.0711037707520055 0.298635837158423 0.0426622624512033 0.0345330530650766 0.00690661061301531 0.214104929003475 0.0649505598215435 0 0.000866007464287246 0.0479226545407747 0.207664836343357 0.0106494787868388
Abudefduf_vaigiensis 0 0.172548540725363 0.0575161802417878 0.012883135914031 0.012883135914031 0.347844669678837 0.0624007815362071 0.00445719868115765 0.0089143973623153 0.0427402613261693 0.2778116986201 0
Acanthogobius_hasta 0.0460273951803593 0.310655814203316 0.135410171451494 0 0.0281123153827303 0.098095871879087 0.122671336477197 0.0133004502886036 0 0.171827548672853 0.0321127078859864 0.0417863885783749
Acanthopagrus_berda 0 0.066887315270936 0.016721828817734 0.129541256157635 0.0235529556650246 0.247306034482759 0.0545335591133005 0.00209744458128079 0.00838977832512315 0.0668103448275862 0.367456896551724 0.0167025862068966
Acanthopagrus_schlegelii 0.148812475541565 0.0288556158644031 0.118236301458787 0.0779284543677009 0.00759358312221133 0.235556583676958 0.0164981845219926 0.00775286949157961 0.0078151010979421 0.0705823551209544 0.264080239938762 0.0162882357971433
Acanthorhodeus_chankaensis 0.0444636814354293 0.251960861467433 0.0148212271451431 0.0702631095721518 0 0.146913774559954 0.115841662076021 0.00241336795991711 0.0193069436793369 0.0491199076624433 0.255423519844705 0.029471944597466
Acanthosaura_lepidogaster 0.0405182965432828 0.226902460642384 0.170176845481788 0.00227211975407645 0.0090884790163058 0.0772520716385993 0.0585616004727135 0.00474823787616596 0.00791372979360993 0.120063591215408 0.247189746619958 0.0353128209457083
Acheilognathus_barbatus 0.0275950448526271 0.0965826569841948 0.0551900897052542 0.096070055531824 0 0.162580093976933 0.154293037163605 0.0179410508329774 0.0358821016659547 0.130371636052969 0.158308415207176 0.0651858180264844
Acheilognathus_macropterus 0.0421287360180312 0.452883912193835 0.0421287360180312 0.0203570272506024 0.00339283787510041 0.0746424332522089 0.0867331646905085 0.00163647480548129 0.00490942441644387 0.0542374506959514 0.210170121446812 0.00677968133699392
Acheilognathus_signifer 0 0.085292249047014 0.028430749682338 0.0136065226598899 0.0204097839898348 0.102048919949174 0.185779330792037 0.0320309191020754 0.0512494705633206 0.105252011859382 0.315756035578145 0.0601440067767895
Acheilognathus_tabira 0.0398297089334659 0.338552525934461 0.0398297089334659 0.0212288813308089 0.00909809199891811 0.100079011988099 0.0733129023807952 0.00422959052196895 0.00422959052196895 0.0473858958276985 0.30326973329727 0.0189543583310794
Acipenser_schrenckii 0.0279872834404149 0.179045585351309 0.0680286286943521 0.0137045581366689 0 0.0918735139869975 0.149760205298772 0.00246588897787757 0.00202572063609309 0.11920889769201 0.312803421166039 0.0330962966194656
Acomys_cahirinus 0.0523410488263087 0.287344700749314 0.0261705244131544 0.0204871401414565 0 0.190597157181873 0.0383489098461369 0 0 0.127954770006289 0.239915193761793 0.0168405550736743
Acrossocheilus_beijiangensis 0 0 0.357487922705314 0.0499194847020934 0 0.199677938808374 0.285024154589372 0 0.0237520128824477 0 0.0841384863123994 0
Acrossocheilus_parallens 0.0380001127806767 0.528744648714805 0.0149373136090013 0.022656330381574 0.00222513660240002 0.0782695294608823 0.16502610753337 0.00108713816860115 0.00486364137603618 0.0239175848322017 0.120272456540451 0
Acrossocheilus_yunnanensis 0.0126108303146724 0.514293631734521 0.0126108303146724 0.0303128856169416 0.00310828809487835 0.09435494307844 0.0667787041313216 0 0.00164125016047529 0.0993123404397445 0.158246619161301 0.00672967695303129
Adelomyia_melanogenys 0.0407692049108472 0.21504674558647 0.0122574884912372 0.00935441532404042 0.0042828143488127 0.16325308884077 0.0298579539907456 0.00177383480673859 0.00407448560758809 0.0565787513595688 0.405074796940009 0.0576764197931727
Aegithalos_concinnus 0.0396820244069117 0.183246386942569 0.0484080428327483 0.0166346369463641 0.00404903344756128 0.219860810594176 0.047333498303693 0.000449892605284587 0.00139948652498015 0.105382442066365 0.333553745329347 0
Aerodramus_fuciphagus 0 0.18363508111921 0.091817540559605 0.0109334587350106 0 0.0218669174700212 0.0305666588290618 0 0.00611333176581237 0.187162003291794 0.467905008229485 0
Aethopyga_pulcherrima 0.0149535345938977 0.299070691877954 0.0448606037816932 0.00396164589600344 0 0.146580898152127 0.0688923506660937 0.00229641168886979 0 0.123348195100988 0.283700848732273 0.0123348195100988
Agelaius_phoeniceus 0.03105925312499 0.293785518090662 0.0795016832937621 0.0236522362567097 0 0.118261181283548 0.0694508567840482 0 0 0.0720674797238181 0.312221791442461 0
Agkistrodon_contortrix 0.0794849635374145 0.157687625124004 0.051738573438496 0.00706833415733969 0 0.148144857161991 0.0198974099980007 0 0 0.093169723401902 0.442808513180852 0
Agkistrodon_piscivorus 0.0356216472518404 0.176470861699015 0.0353528036502428 0.0122804673036973 0 0.088236563313423 0.0608849991850163 0 0.00296499056844158 0.082840112021483 0.505347555006841 0
Agonostomus_monticola 0.0628130233435807 0.136094883911092 0.0314065116717904 0.15730381249656 0.0242005865379323 0.296457185089671 0.0163538726442168 0.00102211704026355 0.00511058520131775 0.0582134966623947 0.189193864152783 0.021830061248398
Ailuropoda_melanoleuca 0 0.180955766002186 0.160173626141501 0.0111394282632185 0.0356103449762101 0.287578885846483 0.0542426299823599 0.00493114818021454 0 0.0990423658082683 0.166325804799559 0
Alauda_arvensis 0 0.0897290203877322 0.0538374122326393 0.00733931301324459 0.00733931301324459 0.278893894503294 0.0843243096987161 0 0.00366627433472679 0.151095147259764 0.25902025244531 0.0647550631113276
Alburnus_alburnus 0.036873502747898 0.55310254121847 0.036873502747898 0.0139038940297806 0 0.0278077880595613 0.2076189581474 0 0.0244257597820471 0 0.0993940532669454 0
