Species A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
Abbottina_rivularis 0.0448249783923941 0.209183232497839 0.0597666378565255 0.0139152981849611 0.00347882454624028 0.0208729472774417 0.191432584269663 0.0366573033707865 0.0448033707865169 0.161959809853068 0.204580812445981 0.00852420051858254
Abrothrix_longipilis 0.0711037707520055 0.298635837158423 0.0426622624512033 0.0345330530650766 0.00690661061301531 0.214104929003475 0.0649505598215435 0 0.000866007464287246 0.0479226545407747 0.207664836343357 0.0106494787868388
Acanthopagrus_berda 0 0.066887315270936 0.016721828817734 0.129541256157635 0.0235529556650246 0.247306034482759 0.0545335591133005 0.00209744458128079 0.00838977832512315 0.0668103448275862 0.367456896551724 0.0167025862068966
Acanthopagrus_schlegelii 0.106256553652569 0.0590314186958717 0.129869121130918 0.0854402112703406 0.0155345838673347 0.194182298341683 0.011417919142491 0.00570895957124549 0.00380597304749699 0.144393957046876 0.211037321837741 0.0333216823954328
Acanthorhodeus_chankaensis 0.0444636814354293 0.251960861467433 0.0148212271451431 0.0702631095721518 0 0.146913774559954 0.115841662076021 0.00241336795991711 0.0193069436793369 0.0491199076624433 0.255423519844705 0.029471944597466
Acanthosaura_lepidogaster 0.0405182965432828 0.226902460642384 0.170176845481788 0.00227211975407645 0.0090884790163058 0.0772520716385993 0.0585616004727135 0.00474823787616596 0.00791372979360993 0.120063591215408 0.247189746619958 0.0353128209457083
Acheilognathus_barbatus 0.0275950448526271 0.0965826569841948 0.0551900897052542 0.096070055531824 0 0.162580093976933 0.154293037163605 0.0179410508329774 0.0358821016659547 0.130371636052969 0.158308415207176 0.0651858180264844
Acheilognathus_macropterus 0.0421287360180312 0.452883912193835 0.0421287360180312 0.0203570272506024 0.00339283787510041 0.0746424332522089 0.0867331646905085 0.00163647480548129 0.00490942441644387 0.0542374506959514 0.210170121446812 0.00677968133699392
Acheilognathus_signifer 0 0.085292249047014 0.028430749682338 0.0136065226598899 0.0204097839898348 0.102048919949174 0.185779330792037 0.0320309191020754 0.0512494705633206 0.105252011859382 0.315756035578145 0.0601440067767895
Acheilognathus_tabira 0.0398297089334659 0.338552525934461 0.0398297089334659 0.0212288813308089 0.00909809199891811 0.100079011988099 0.0733129023807952 0.00422959052196895 0.00422959052196895 0.0473858958276985 0.30326973329727 0.0189543583310794
