Species A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
Abbottina_rivularis 0.026459615445936 0.2204967953828 0.035279487261248 0.00821402378750678 0.00205350594687669 0.0205350594687669 0.165893944708396 0.0216383406141386 0.0264468607506138 0.0956028187876662 0.372347820541437 0.00503172730461401
Abrothrix_longipilis 0.0355812680455526 0.259743256732534 0.0213487608273316 0.0172807968486696 0.00345615936973392 0.267852351154379 0.0559036461408009 0 0.000433361597990705 0.023981130657851 0.309090128478968 0.0053291401461891
Acanthopagrus_berda 0 0.0433762603573924 0.00867525207147849 0.0672057502246181 0.0122192273135669 0.244384546271339 0.0467904562244185 0.00108815014475392 0.00435260057901567 0.0346610761705101 0.528581411600279 0.00866526904262753
Acanthopagrus_schlegelii 0.0667610170318677 0.0519252354692304 0.0815967985945049 0.0536821043384901 0.00976038260699819 0.263530330388951 0.0131521155629301 0.00358694060807184 0.00239129373871456 0.0907227563320482 0.341955004636182 0.0209360206920111
Acanthorhodeus_chankaensis 0.0200185422485724 0.226876812150487 0.00667284741619081 0.0316340208925081 0 0.258823807302339 0.0923569323798445 0.00108655214564523 0.00869241716516183 0.0221148792687032 0.318454261469326 0.0132689275612219
Acanthosaura_lepidogaster 0.024132730015083 0.255806938159879 0.101357466063348 0.00135327635327635 0.00541310541310541 0.116381766381766 0.0631598793363499 0.00282805429864253 0.00471342383107089 0.0715099715099715 0.33231104407575 0.0210323445617563
Acheilognathus_barbatus 0.0142312691384134 0.135197056814927 0.0284625382768268 0.0495450840437953 0 0.247725420218977 0.112880840658251 0.00925252792280748 0.018505055845615 0.0672350362390677 0.283347652721785 0.0336175181195338
Acheilognathus_macropterus 0.0213996882003313 0.342395011205301 0.0213996882003313 0.0103405437006723 0.00172342395011205 0.153384731559973 0.0706573370359544 0.000831262788658287 0.00249378836597486 0.0275504238526747 0.344380298158433 0.00344380298158433
Acheilognathus_signifer 0 0.0922694824973836 0.0167762695449788 0.00802886643027851 0.0120432996454178 0.148534028960152 0.185226260953779 0.0189006388728346 0.0302410221965354 0.0621065621143723 0.390384104718912 0.0354894640653556
Acheilognathus_tabira 0.0221059126401566 0.265270951681879 0.0221059126401566 0.0117822552238841 0.0050495379530932 0.141387062686609 0.0594691838707924 0.00234746778437338 0.00234746778437338 0.0262996768390271 0.431314700160044 0.0105198707356108
Acomys_cahirinus 0.0288106042807859 0.259295438527073 0.014405302140393 0.0112769403880158 0 0.251851668665686 0.0293793973266727 0 0 0.0704314171602389 0.334549231511135 0
