Species A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
1 Abbottina_rivularis 0.011369349052242 0.0283495234180014 0.0138389384228147 0.0590716721189704 0.00798085296227168 0.12859117014869 0.47356757076442 0.0512209703810743 0.0795424227665674 0.07520459573014 0.0602179631607286 0.0110449710740803
2 Abrothrix_longipilis 0.0110971308072706 0.0466079493905366 0.00665827848436237 0.0228490612584485 0.0045698122516897 0.141664179802381 0.683349633921401 0 0.00911132845228534 0.0133366726136926 0.0577922479926679 0.00296370502526502
3 Abudefduf_vaigiensis 0 0.0634979637037494 0.0211659879012498 0.0104994000015678 0.0104994000015678 0.283483800042332 0.424866131570293 0.0303475808264495 0.060695161652899 0.0126592765733189 0.0822852977265731 0
4 Acanthogobius_hasta 0.0146260407667558 0.106742173172186 0.0447872625765613 0 0.0239467489294413 0.0624242766229966 0.596687601310455 0.0506147193281373 0 0.0630970840019548 0.0209636185364888 0.0161104747550236
5 Acanthopagrus_berda 0 0.0122153938158805 0.00305384845397012 0.0476989172736935 0.00867253041339881 0.0910615693406875 0.633015155678908 0.0243467367568811 0.0973869470275243 0.0122294668502306 0.0672620676762682 0.00305736671255765
6 Acanthopagrus_schlegelii 0.0901696879304976 0.011127962843046 0.0641255014098834 0.0659804330580889 0.00676580140857195 0.196450116038595 0.225207868233458 0.106132965008848 0.105267145247933 0.0307536427662361 0.0909218815703254 0.00709699448451603
7 Acanthorhodeus_chankaensis 0.00598514990536257 0.0339158494637212 0.00199504996845419 0.0509208852317979 0 0.106470941848305 0.588106034179105 0.012252209045398 0.0980176723631841 0.0150494423521578 0.0782571002312204 0.00902966541129466
8 Acanthosaura_lepidogaster 0.0102270744823279 0.057271617101036 0.042953712825777 0.00729510204559857 0.0291804081823943 0.248033469550351 0.387483397986438 0.0314175728097112 0.0523626213495186 0.0398978140760774 0.0821425583919241 0.0117346511988463
9 Acheilognathus_barbatus 0.00559169369918627 0.0195709279471519 0.0111833873983725 0.0678598897193154 0 0.114839813371149 0.462279963023798 0.0537534840725347 0.107506968145069 0.0579945846507346 0.0704219956473206 0.0289972923253673
10 Acheilognathus_macropterus 0.00701743525652702 0.0754374290076655 0.00701743525652702 0.0326757078066731 0.00544595130111218 0.119810928624468 0.598416289856276 0.0112908733935146 0.0338726201805439 0.0218030658633386 0.0844868802204371 0.00272538323291733
11 Acheilognathus_signifer 0 0.0346336835546664 0.0115445611848888 0.0241222932151178 0.0361834398226767 0.180917199113384 0.371453411843539 0.064043691697162 0.102469906715459 0.038200709061617 0.114602127184851 0.0218289766066383
12 Acheilognathus_tabira 0.0111217459705416 0.0945348407496032 0.0111217459705416 0.0284018463636758 0.0121722198701468 0.133894418571615 0.453841156568292 0.0261831436481707 0.0261831436481707 0.0259674023896465 0.166191375293737 0.0103869609558586
13 Acipenser_schrenckii 0.00332706197622754 0.0296765077461494 0.0085556725908869 0.0272319562250728 0 0.171882918135201 0.650036848952107 0.00943233164238884 0.0114818806790216 0.0236106187829092 0.058438967436315 0.00632523583372086
14 Acomys_cahirinus 0.00444697364625779 0.0245044099401679 0.0022234868231289 0.0255627843645904 0 0.240789686603334 0.615339891279698 0 0 0.0291051926847771 0.0545722362839571 0.00345533837408875
15 Acrossocheilus_beijiangensis 0 0 0.0166863932937165 0.0298740267032667 0 0.119496106813067 0.753433080245099 0 0.0627860900204249 0 0.0177243029244262 0
16 Acrossocheilus_parallens 0.00419413199247685 0.0591739283466178 0.00170723199800114 0.0237579150207729 0.0028639865588946 0.102876002668888 0.725719396105865 0.00586196079305912 0.0212210193449074 0.00962270230352226 0.0430017248669947 0
17 Acrossocheilus_yunnanensis 0.00177165147925152 0.0766779435429066 0.00177165147925152 0.0737046167887511 0.0071878781823323 0.227571394562414 0.462421752993194 0 0.0136127914681265 0.0506266415859557 0.081333756866998 0.00331992105081889
18 Adelomyia_melanogenys 0.00301316598333941 0.0154490288037634 0.000902024932636897 0.0143418218036315 0.00509329271659221 0.215863014424856 0.586463668776785 0.0172981645040605 0.102119705985757 0.00433327805219783 0.030877018338076 0.00424581567830451
19 Aegithalos_concinnus 0.00505015845896453 0.0297056940620625 0.00646471531906275 0.0118753275857142 0.00304849277870131 0.157746394922077 0.667326070803252 0.0274364350083118 0.00881998433374395 0.0199225496581896 0.062604177069921 0
20 Aerodramus_fuciphagus 0 0.0159773730418114 0.0079886865209057 0.0670877868045952 0 0.13417557360919 0.59991963200263 0 0.119983926400526 0.015676291891526 0.039190729728815 0
21 Aethopyga_pulcherrima 0.00243596599278085 0.0487193198556171 0.00730789797834256 0.00919473943376773 0 0.340205359049406 0.475868093502014 0.0158622697834005 0 0.0295312807072562 0.0679219456266892 0.00295312807072562
22 Agelaius_phoeniceus 0.00320934027481014 0.0416450811614216 0.0114401174354333 0.0175872271985476 0 0.0879361359927379 0.771778675710727 0 0 0.0124483510920942 0.0539550711342285 0
23 Agkistrodon_contortrix 0.0123630348396973 0.0248836912865617 0.00841157219004455 0.0153845539217335 0 0.293668449123861 0.485418176701337 0 0 0.0293557193710763 0.130514802565689 0
24 Agkistrodon_piscivorus 0.0026803031549538 0.0137059587821081 0.00270068576337944 0.00777468895544504 0 0.0926109601917155 0.679782892628594 0 0.128805554432428 0.010433490692367 0.0615054653990092 0
25 Agonostomus_monticola 0.0137218381646818 0.0297306493568106 0.0068609190823409 0.102888524024934 0.0158290036961437 0.19390529527776 0.374782102897924 0.0234238814311203 0.117119407155601 0.0263218116567964 0.0855458878845884 0.00987067937129866
26 Ailuropoda_melanoleuca 0 0.0298428899725077 0.0232507228407963 0.0133728679778593 0.0379197398243855 0.260086557279378 0.332301338097308 0.0302092125543008 0 0.0965526744427606 0.176463997010704 0
27 Alauda_arvensis 0 0.0206976529483387 0.0124185917690032 0.0101218199579617 0.0101218199579617 0.384629158402546 0.466033241791394 0 0.0202623148604954 0.0240912637357316 0.0412993092612541 0.0103248273153135
28 Alburnus_alburnus 0.0113305211792492 0.169957817688737 0.0113305211792492 0.0300488483976709 0 0.0600976967953419 0.58156078898877 0 0.06841891635162 0 0.0672548894193618 0
29 Alectoris_chukar 0.00323132880965013 0.0129253152386005 0.025850630477201 0.0473421350307956 0 0.288512708313455 0.4920626485857 0 0.0422106448701149 0.0436045980546801 0.0442599906198025 0
30 Alectoris_rufa 0 0.0127315508687485 0.00212192514479142 0 0 0.0642220961375702 0.789871761841518 0.112838823120217 0 0.00607128096238512 0.0121425619247702 0
31 Alethe_poliocephala 0.00155037425971987 0.0186044911166385 0.00775187129859937 0.0458844807504329 0 0.176982997180241 0.690940093630305 0 0 0.0145714229410158 0.0412856983328782 0.00242857049016931
32 Alophoixus_pallidus 0.00954217440212592 0.0286265232063778 0.00954217440212592 0 0 0.251850832580701 0.61451603149691 0 0 0.0490984365210059 0.0368238273907544 0
33 Alouatta_seniculus 0.0102096082382588 0.030360847916619 0.00501547851974359 0.0354477598032345 0.0100538587678878 0.207400375319836 0.514126608134035 0.0852109610654675 0 0.00780778393676396 0.0943667182981536 0
34 Amblyeleotris_wheeleri 0.00565531290459809 0.0622084419505789 0.0282765645229904 0.0583628291754523 0.0194542763918174 0.320995560464987 0.270022829789024 0 0.09948209518543 0.0837171729975749 0.027905724332525 0.0239191922850214
35 Amblysomus_hottentotus 0.00142876083493629 0.0171451300192355 0.0114300866794903 0.0131189036577303 0 0.122443100805483 0.658979487133881 0.0549149572611568 0 0.0292217148140816 0.091317858794005 0
36 Amphiprion_percula 0 0.0670118399752363 0.0223372799917454 0.0516823340985483 0.0516823340985483 0.258411670492741 0.301234175888681 0.150617087944341 0 0.0970232775101581 0 0
37 Anaecypris_hispanica 0.0077638486934331 0.0465830921605986 0.0077638486934331 0 0 0.103891963730044 0.57444960865358 0 0.07833403754367 0.0319788706809249 0.149234729844316 0
38 Anas_platyrhynchos 0.0176497335678925 0.025061828245782 0.0117664890452617 0.131911771787908 0 0.486393003495209 0.14251717598304 0.031787303529076 0.0931529684243018 0 0.0531664346461672 0.00659329127536216
39 Anas_poecilorhyncha 0 0 0.0818835833797603 0 0 0.470708024218982 0.33308576290072 0 0 0.0457290518002152 0.0457290518002152 0.0228645259001076
