"","species_name","med_c","med_a","realm"
"1","Acanthisitta chloris",0.79820832671222,0.888034476930877,"Australian"
"2","Acanthorhynchus tenuirostris",0.766073871409029,0.896495396495397,"Australian"
"3","Accipiter gentilis",0.777245901639344,0.956595365418895,"Palearctic"
"4","Accipiter nisus",0.717142857142857,0.948317307692308,"Palearctic"
"5","Accipiter trivirgatus",0.795161290322581,0.938412326545323,"Indo_Malay"
"6","Accipiter virgatus",0.799913068675746,0.957655866183179,"Indo_Malay"
"7","Aceros waldeni",0.833333333333333,0.896216568819309,"Indo_Malay"
"8","Acridotheres cristatellus",0.838634882438462,0.885982814178303,"Palearctic"
"9","Acridotheres tristis",0.824808184143222,0.876026964398568,"Indo_Malay"
"10","Acrocephalus scirpaceus",0.826505016722408,0.854963740935234,"Palearctic"
"11","Acryllium vulturinum",0.771599090564608,0.911603985856638,"Afrotropic"
"12","Aegithalos fuliginosus",0.768770032051282,0.936046511627907,"Palearctic"
"13","Aegotheles bennettii",0.693023255813954,0.947017543859649,"Australian"
"14","Aegotheles cristatus",0.718424008987322,0.903127221037669,"Australian"
"15","Aethia cristatella",0.759711431742508,0.913025210084034,"Nearctic"
"16","Aethopyga gouldiae",0.801114023591088,0.92313154624534,"Palearctic"
"17","Agapornis lilianae",0.85896164021164,0.897283755274262,"Afrotropic"
"18","Agapornis nigrigenis",0.857744107744108,0.886217948717949,"Afrotropic"
"19","Agapornis pullarius",0.85896164021164,0.897283755274262,"Afrotropic"
"20","Agapornis roseicollis",0.850074892342258,0.875841317602344,"Afrotropic"
"21","Agelaioides badius",0.790816326530612,0.9203013481364,"Neotropic"
"22","Agelaius phoeniceus",0.808263305322129,0.927473763118441,"Nearctic"
"23","Agelasticus cyanopus",0.782108945527236,0.943958333333333,"Neotropic"
"24","Agelasticus thilius",0.786921850079745,0.937225877192982,"Neotropic"
"25","Agelasticus xanthophthalmus",0.780839231547017,0.954887854422344,"Neotropic"
"26","Aix galericulata",0.836604222420458,0.861372549019608,"Palearctic"
"27","Alauda arvensis",0.829351293867423,0.920212765957447,"Palearctic"
"28","Alcedo atthis",0.738715472715024,0.916666666666667,"Palearctic"
"29","Aleadryas rufinucha",0.74668498797664,0.860421315290674,"Australian"
"30","Alectoris chukar",0.73368850302552,0.922517626321974,"Palearctic"
"31","Alectura lathami",0.75974025974026,0.842550707719247,"Australian"
"32","Amaurornis akool",0.73005733005733,0.931536658855038,"Indo_Malay"
"33","Amaurornis phoenicurus",0.704950563988302,0.943137433009356,"Indo_Malay"
"34","Amazilia brevirostris",0.783625730994152,0.889855072463768,"Neotropic"
"35","Amazilia versicolor",0.787044534412956,0.893923895253683,"Neotropic"
"36","Amazona aestiva",0.821434426229508,0.891223155929038,"Neotropic"
"37","Amazona guildingii",0.810665712240515,0.909601964331869,"Neotropic"
"38","Amazona ochrocephala",0.813237704918033,0.895570798932274,"Neotropic"
"39","Amazona ventralis",0.824956293706294,0.925429553264605,"Neotropic"
"40","Amblyramphus holosericeus",0.769097222222222,0.928188131313131,"Neotropic"
"41","Anas acuta",0.865536723163842,0.801960784313726,"Palearctic"
"42","Anas crecca",0.838103448275862,0.818518518518518,"Palearctic"
"43","Anas platyrhynchos",0.832917068740421,0.799507735583685,"Palearctic"
"44","Anas poecilorhyncha",0.830674916274053,0.798582995951417,"Indo_Malay"
"45","Anhinga melanogaster",0.798112999337895,0.874672815654992,"Indo_Malay"
"46","Anser albifrons",0.837656261696235,0.899802078179119,"Palearctic"
"47","Anser anser",0.842138599105812,0.885925487876996,"Palearctic"
"48","Anser cygnoides",0.855707762557078,0.882844614963004,"Palearctic"
"49","Anser indicus",0.853565365025467,0.890528735632184,"Palearctic"
"50","Anseranas semipalmata",0.759708737864078,0.907204550242258,"Australian"
"51","Anthoscopus minutus",0.888259925558313,0.921338383838384,"Afrotropic"
"52","Anthracoceros coronatus",0.812361440256861,0.870829120323559,"Indo_Malay"
"53","Anthus novaeseelandiae",0.853944562899787,0.908427200667501,"Australian"
"54","Aphelocoma coerulescens",0.700543478260869,0.906101694915254,"Nearctic"
"55","Aptenodytes forsteri",0.829285714285714,0.912994772218073,"Antarctic"
"56","Aptenodytes patagonicus",0.828386832119783,0.930614973262032,"Neotropic"
"57","Apteryx haastii",0.653342366757001,0.941462021701885,"Australian"
"58","Apus apus",0.75,0.958923042901371,"Palearctic"
"59","Aquila chrysaetos",0.789596273291925,0.884042033235582,"Palearctic"
"60","Aquila heliaca",0.78781512605042,0.885304659498208,"Palearctic"
"61","Aquila nipalensis",0.774966828836798,0.915343915343915,"Palearctic"
"62","Ara ararauna",0.75164035996506,0.873806998939555,"Neotropic"
"63","Ara chloropterus",0.758422197464056,0.884138162307176,"Neotropic"
"64","Ara glaucogularis",0.732410635527366,0.879482948294829,"Neotropic"
"65","Ara macao",0.753641456582633,0.886335403726708,"Neotropic"
"66","Ara militaris",0.763157894736842,0.889165487977369,"Neotropic"
"67","Aramus guarauna",0.817347789824854,0.937906753440734,"Neotropic"
