"","species_name","ability_to_fly","GhAhSkew","fAn","fGn"
"Acanthisitta_chloris","Acanthisitta_chloris","Flying","0.52877782840357","0.128264755500151","0.41572208171675"
"Acanthorhynchus_tenuirostris","Acanthorhynchus_tenuirostris","Flying","0.434836602294101","0.154052126600878","0.388431595983286"
"Accipiter_gentilis","Accipiter_gentilis","Flying","0.524645387858872","0.122143837259183","0.388405577499037"
"Accipiter_nisus","Accipiter_nisus","Flying","0.431311464490703","0.14559531702954","0.360971472863488"
"Accipiter_trivirgatus","Accipiter_trivirgatus","Flying","0.489543878424423","0.138766043571655","0.401455910186278"
"Accipiter_virgatus","Accipiter_virgatus","Flying","0.597351499888493","0.102518616073401","0.410364847186137"
"Aceros_waldeni","Aceros_waldeni","Flying","0.594925443987107","0.104747082425633","0.409772333403031"
"Acridotheres_cristatellus","Acridotheres_cristatellus","Flying","0.657272218064666","0.0826130984682742","0.400567183055348"
"Acridotheres_tristis","Acridotheres_tristis","Flying","0.640157112190407","0.0884028381918262","0.402591457561995"
"Acrocephalus_scirpaceus","Acrocephalus_scirpaceus","Flying","0.661235333948303","0.0787806199447127","0.384088827732441"
"Aegithalos_fuliginosus","Aegithalos_fuliginosus","Flying","0.415851954102812","0.15320560532552","0.375508508397806"
"Aegotheles_bennettii","Aegotheles_bennettii","Flying","0.39370825254329","0.151724026872759","0.350087469377988"
"Aegotheles_cristatus","Aegotheles_cristatus","Flying","0.408340401923011","0.151184552754425","0.359332244919903"
"Aethia_cristatella","Aethia_cristatella","Flying","0.391137330176681","0.150303843942795","0.338365351065145"
"Aethopyga_gouldiae","Aethopyga_gouldiae","Flying","0.547267581714157","0.10280875937876","0.346827628670166"
"Agapornis_lilianae","Agapornis_lilianae","Flying","0.67555382174425","0.088678691549692","0.460438295642164"
"Agapornis_nigrigenis","Agapornis_nigrigenis","Flying","0.673376837467012","0.0893492479382881","0.460295868564827"
"Agapornis_roseicollis","Agapornis_roseicollis","Flying","0.668822865661875","0.0930754430039083","0.468166441060716"
"Agelaioides_badius","Agelaioides_badius","Flying","0.467913555579975","0.141116084636511","0.374923547082091"
"Agelaius_phoeniceus","Agelaius_phoeniceus","Flying","0.448669014778645","0.14426808822484","0.373903057003115"
"Agelasticus_cyanopus","Agelasticus_cyanopus","Flying","0.520853096189947","0.123064140287021","0.384253000261475"
"Agelasticus_thilius","Agelasticus_thilius","Flying","0.47662415036211","0.133253975454149","0.372324205997417"
