"","SVL","HL","HLL","FLL","LAM","TL"
"ahli",4.03913,2.88266,3.96202,3.34498,2.8662,4.504
"alayoni",3.8157,2.70212,3.2795,2.80245,3.07527,4.07265
"alfaroi",3.52665,2.37816,3.30542,2.48366,2.73387,4.41601
"aliniger",4.03656,2.89884,3.64623,3.15908,3.15677,4.54173
"allisoni",4.37539,3.35896,3.96069,3.4462,3.23921,5.05911
"allogus",4.04014,2.86103,3.94018,3.33829,2.80827,4.52189
"altitudinalis",3.84299,2.85273,3.25665,2.88466,3.19846,4.16762
"alumina",3.58894,2.41783,3.44101,2.63466,2.69425,4.66676
"alutaceus",3.55489,2.43405,3.3511,2.56994,2.78245,4.55473
"angusticeps",3.7886,2.69018,3.23424,2.74548,2.86502,4.17223
"argenteolus",3.97131,2.75342,3.85752,3.26076,3.25025,4.75503
"argillaceus",3.75787,2.61359,3.35404,2.89988,3.02318,4.37048
"armouri",4.12168,3.06894,3.98845,3.37523,2.86689,4.71407
"bahorucoensis",3.82745,2.7754,3.69687,2.91831,2.80896,4.76335
"baleatus",5.05306,3.87847,4.73633,4.24528,3.44588,5.70632
"baracoae",5.04278,3.92857,4.72552,4.19824,3.69051,5.78458
"barahonae",5.07696,3.88092,4.76629,4.25025,3.4395,5.69561
"barbatus",5.00395,4.07397,4.51634,4.19162,3.3941,5.03053
"barbouri",3.66393,2.46801,3.4581,2.84025,2.41364,4.55342
"bartschi",4.28055,3.09878,4.18102,3.56553,3.28801,5.06832
"bremeri",4.11337,2.86044,3.90039,3.30585,2.97009,4.72996
"breslini",4.05111,3.00184,3.94958,3.3355,2.74677,4.8287
"brevirostris",3.87415,2.6392,3.66806,3.19585,3.03143,4.34161
"caudalis",3.91174,2.69233,3.64868,3.19965,2.94333,4.3626
"centralis",3.69794,2.52205,3.27249,2.80047,2.87894,4.38583
"chamaeleonides",5.04235,4.12856,4.52661,4.18213,3.51925,5.03155
"chlorocyanus",4.27545,3.07128,3.92347,3.37616,3.32593,4.97128
"christophei",3.88465,2.69607,3.74315,3.24156,2.98497,4.52612
"clivicola",3.75873,2.62919,3.59003,2.91615,2.85538,4.60138
"coelestinus",4.29797,3.12764,3.96332,3.41641,3.20854,5.04332
"confusus",3.93844,2.75838,3.7697,3.18221,2.85608,4.42371
"cooki",4.09154,2.93022,3.92244,3.30786,3.01479,4.89025
"cristatellus",4.18982,3.0245,4.01065,3.45393,3.08046,4.76218
"cupeyalensis",3.46201,2.31221,3.17127,2.43147,2.56376,4.52332
"cuvieri",4.87501,3.78908,4.69174,4.13141,3.39324,5.65807
"cyanopleurus",3.63016,2.46678,3.48687,2.67912,2.72007,4.74826
"cybotes",4.21098,3.16044,4.08094,3.50367,2.91083,4.85735
"darlingtoni",4.30204,3.21286,3.80977,3.33861,3.13549,4.49981
"distichus",3.9288,2.71507,3.74769,3.28819,3.03557,4.33953
"dolichocephalus",3.90855,2.88824,3.71678,2.89803,2.94351,4.87903
"equestris",5.11399,3.97656,4.75764,4.26757,3.72262,5.75012
