Genus_species,Group,Skull_length,Optic_foramen_area,Orbit_area,Activity_pattern,Activity_pattern_code
Allenopithecus_nigroviridis,Anthropoid,98.5,7,298.7,Diurnal,0
Alouatta_palliata,Anthropoid,109.8,5.3,382.3,Diurnal,0
Alouatta_seniculus,Anthropoid,108,8,359.4,Diurnal,0
Aotus_trivirgatus,Anthropoid,60.5,3.1,297.4,Nocturnal,2
Arctocebus_aureus,Prosimian,49.5,1.2,134.8,Nocturnal,2
Arctocebus_calabarensis,Prosimian,53.8,1.6,156.6,Nocturnal,2
Ateles_fusciceps,Anthropoid,115,9.7,469.4,Cathemeral,1
Ateles_geoffroyi,Anthropoid,107.6,9.7,409.4,Cathemeral,1
Ateles_paniscus,Anthropoid,107.7,6.9,385.9,Cathemeral,1
Avahi_laniger,Prosimian,53.4,1.7,219.3,Nocturnal,2
Cacajao_melanocephalus,Anthropoid,91.8,6.9,372.1,Diurnal,0
Callicebus_moloch,Anthropoid,59.7,3.5,163.9,Diurnal,0
Callicebus_torquatus,Anthropoid,65.8,3.8,192,Diurnal,0
Callimico_goeldii,Anthropoid,52.3,3.9,121.2,Diurnal,0
Callithrix_argentata,Anthropoid,45.2,2.8,77.3,Diurnal,0
Callithrix_jacchus,Anthropoid,43.7,3.2,72.4,Diurnal,0
Callithrix_pygmaea,Anthropoid,34.1,2.1,56.3,Diurnal,0
Cebus_albifrons,Anthropoid,87.5,7.5,328.7,Diurnal,0
Cebus_capucinus,Anthropoid,95.1,7.8,337,Diurnal,0
Cercopithecus_cephus,Anthropoid,95.9,9.3,344,Diurnal,0
Cercopithecus_mitis,Anthropoid,108.9,8.5,409.9,Diurnal,0
Cercopithecus_petaurista,Anthropoid,92.7,7.8,324.4,Diurnal,0
Cheirogaleus_major,Prosimian,55.3,1.5,169.8,Nocturnal,2
Cheirogaleus_medius,Prosimian,43.3,1.1,117.9,Nocturnal,2
Chiropotes_satanas,Anthropoid,83.4,6.8,295.3,Diurnal,0
Chlorocebus_aethiops,Anthropoid,102.9,7.8,327.8,Diurnal,0
Colobus_guereza,Anthropoid,111.6,9.8,376.8,Diurnal,0
Colobus_polykomos,Anthropoid,111.1,8.5,391.2,Diurnal,0
Daubentonia_madagascariensis,Prosimian,86.7,2.9,364.9,Nocturnal,2
Erythrocebus_patas,Anthropoid,125.7,9.8,400.6,Diurnal,0
Eulemur_fulvus,Prosimian,90.4,3.4,306.4,Cathemeral,1
Eulemur_macaco,Prosimian,89.5,3.1,295.8,Cathemeral,1
Eulemur_mongoz,Prosimian,79,3,251.7,Cathemeral,1
Eulemur_rubriventer,Prosimian,86.2,3,317.7,Cathemeral,1
Euoticus_elegantulus,Prosimian,48.6,2.9,240,Nocturnal,2
Galago_alleni,Prosimian,49.6,2.3,211,Nocturnal,2
Galago_matschiei,Prosimian,45.2,3,201.1,Nocturnal,2
Galago_moholi,Prosimian,38.3,2.2,147.9,Nocturnal,2
Galago_senegalensis,Prosimian,43.9,2.6,183.9,Nocturnal,2
Galagoides_demidoff,Prosimian,37.3,1.5,109.2,Nocturnal,2
Galagoides_zanzibaricus,Prosimian,40.8,2.1,125.8,Nocturnal,2
Gorilla_gorilla,Anthropoid,268.1,15,1236,Diurnal,0
Hapalemur_griseus,Prosimian,65.5,2.4,200.4,Diurnal,0
Hapalemur_simus,Prosimian,81.9,3,340.4,Cathemeral,1
Homo_sapiens,Anthropoid,186,14,721.1,Diurnal,0
Hylobates_klossii,Anthropoid,96.4,7.8,355.3,Diurnal,0
Hylobates_lar,Anthropoid,103.8,8.5,434.8,Diurnal,0
Symphalangus_syndactylus,Anthropoid,123.7,9.7,447.6,Diurnal,0
Indri_indri,Prosimian,103.3,4.5,427.6,Diurnal,0
Lagothrix_lagotricha,Anthropoid,105.9,7,424.4,Diurnal,0
Lemur_catta,Prosimian,83.5,3.2,258.9,Diurnal,0
Leontopithecus_chrysomelas,Anthropoid,57.3,3.1,112.5,Diurnal,0
Leontopithecus_rosalia,Anthropoid,55.1,2.9,110.3,Diurnal,0
Lepilemur_leucopus,Prosimian,50.6,2.2,146,Nocturnal,2
Lepilemur_mustelinus,Prosimian,58.9,2.3,218.6,Nocturnal,2
Loris_tardigradus,Prosimian,48.7,1.8,216.8,Nocturnal,2
Macaca_fascicularis,Anthropoid,109.7,8.1,392.7,Diurnal,0
Macaca_mulatta,Anthropoid,118.7,8.8,372.5,Diurnal,0
Macaca_nemestrina,Anthropoid,138.2,9,504.2,Diurnal,0
Microcebus_murinus,Prosimian,32.8,1.4,77.6,Nocturnal,2
Microcebus_rufus,Prosimian,31.1,1.2,72.4,Nocturnal,2
Miopithecus_talapoin,Anthropoid,72.8,6.7,227.1,Diurnal,0
Mirza_coquereli,Prosimian,50.7,2.4,157,Nocturnal,2
Nasalis_larvatus,Anthropoid,119.1,10,426.7,Diurnal,0
Nycticebus_coucang,Prosimian,57.9,2.4,239.2,Nocturnal,2
Nycticebus_pygmaeus,Prosimian,52.4,2.6,212.9,Nocturnal,2
Otolemur_crassicaudatus,Prosimian,64.9,3.1,252.5,Nocturnal,2
Otolemur_garnettii,Prosimian,67.5,4.4,272.3,Nocturnal,2
Pan_troglodytes,Anthropoid,187.1,14,899.6,Diurnal,0
Perodicticus_potto,Prosimian,61.7,2.4,193.2,Nocturnal,2
Phaner_furcifer,Prosimian,52.4,2.7,166.9,Nocturnal,2
Pithecia_pithecia,Anthropoid,75.9,5,215.3,Diurnal,0
Pongo_pygmaeus,Anthropoid,213.5,17,1189,Diurnal,0
Presbytis_comata,Anthropoid,92.8,8.8,396.1,Diurnal,0
Presbytis_melalophos,Anthropoid,91.8,7.9,401.4,Diurnal,0
Piliocolobus_badius,Anthropoid,102.8,8.2,408.8,Diurnal,0
Propithecus_diadema,Prosimian,89.4,4.3,392.5,Diurnal,0
Propithecus_verreauxi,Prosimian,81.3,3.4,302.9,Diurnal,0
Pygathrix_nemaeus,Anthropoid,109.2,8,491.7,Diurnal,0
Rhinopithecus_roxellana,Anthropoid,113.2,9.4,454,Diurnal,0
Saguinus_fuscicollis,Anthropoid,45.2,3,80.2,Diurnal,0
Saguinus_leucopus,Anthropoid,47.8,3.2,78.4,Diurnal,0
Saguinus_midas,Anthropoid,49.4,3.6,77.3,Diurnal,0
Saimiri_oerstedii,Anthropoid,61.1,5.4,166.5,Diurnal,0
Saimiri_sciureus,Anthropoid,64.1,6.1,181.9,Diurnal,0
Semnopithecus_entellus,Anthropoid,117.8,9.9,413.6,Diurnal,0
Tarsius_bancanus,Prosimian,38.6,3.1,271.3,Nocturnal,2
Tarsius_syrichta,Prosimian,38.9,2.6,248.6,Nocturnal,2
Trachypithecus_cristatus,Anthropoid,92.9,7,403.4,Diurnal,0
Varecia_variegata,Prosimian,104.6,4,360.3,Diurnal,0
