"","Ecology1","Ecology2","p_value","mult_r_squared","effect_size","p_adj_bon","p_adj_holm","p_adj_hochberg","p_adj_hommel","p_adj_bh","p_adj_fdr","p_adj_by","p_adj_none"
"1","med_c","med_a",0.00738537819475593,0.009380231628263,-0.127135373136644,1,1,0.999956867492758,0.999956867492758,0.0561517108869862,0.0561517108869862,0.484266124129858,0.00738537819475593
"57","med_a","med_c",0.0029358376457389,0.0115505201888895,-0.0736088668290638,1,1,0.999956867492758,0.999956867492758,0.0257628000148548,0.0257628000148548,0.222184704844281,0.0029358376457389
"63","med_a","Wing_length",0.0020363674203856,0.0124192218550044,-3.60226786213001e-05,1,1,0.999956867492758,0.999956867492758,0.018933368515728,0.018933368515728,0.163286012892599,0.0020363674203856
"115","Beak_length_Culmen","Beak_length_Nares",0,0.897390745550553,1.27874927048081,0,0,0,0,0,0,0,0
"116","Beak_length_Culmen","Beak_width",0,0.369544789696512,3.22875479554818,0,0,0,0,0,0,0,0
"117","Beak_length_Culmen","Beak_depth",0,0.324548272062849,1.97588685651372,0,0,0,0,0,0,0,0
"118","Beak_length_Culmen","Tarsus_length",0,0.303243615428783,0.428016747969968,0,0,0,0,0,0,0,0
"119","Beak_length_Culmen","Wing_length",0,0.361393864900027,0.17892576727457,0,0,0,0,0,0,0,0
"120","Beak_length_Culmen","Kipps_distance",0,0.223573198564048,0.290199095135006,0,0,0,0,0,0,0,0
"122","Beak_length_Culmen","Tail_length",0,0.125741055428305,0.116254668004921,0,0,0,0,0,0,0,0
"123","Beak_length_Culmen","Mass",3.29929260622919e-06,0.0280100675301914,0.000967509334225745,0.01030699010186,0.00964383228800792,0.00964383228800792,0.00952505775418367,5.10247034745544e-05,5.10247034745544e-05,0.000440049554967781,3.29929260622919e-06
"125","Beak_length_Culmen","grassland1",0.00297726255810016,0.011517328510864,-5.11770582711039,1,1,0.999956867492758,0.999956867492758,0.0259079895027992,0.0259079895027992,0.223436854591467,0.00297726255810016
"127","Beak_length_Culmen","wetland1",7.30420482319971e-06,0.0260650975643415,8.12831800156078,0.0228183358676759,0.021284452854804,0.021284452854804,0.020992284661876,0.00010814377188472,0.00010814377188472,0.000932658407591535,7.30420482319971e-06
"136","Beak_length_Culmen","herbivore1",0.000583529124326354,0.0154122190317522,-6.77660646928199,1,1,0.999956867492758,0.999956867492758,0.00619972500763098,0.00619972500763098,0.0534679487533163,0.000583529124326354
"150","Beak_length_Culmen","aquatic_predator1",0.00173487465835587,0.0128009055223976,9.29378118176949,1,1,0.999956867492758,0.999956867492758,0.0161783535304589,0.0161783535304589,0.139526088078889,0.00173487465835587
"171","Beak_length_Nares","Beak_length_Culmen",0,0.894063802158109,0.695940366633015,0,0,0,0,0,0,0,0
"172","Beak_length_Nares","Beak_width",0,0.415438585658912,2.4401059839006,0,0,0,0,0,0,0,0
"173","Beak_length_Nares","Beak_depth",0,0.333492990026463,1.41689536545191,0,0,0,0,0,0,0,0
"174","Beak_length_Nares","Tarsus_length",0,0.259091447881273,0.287956328925685,0,0,0,0,0,0,0,0
"175","Beak_length_Nares","Wing_length",0,0.336266247446397,0.126284543264473,0,0,0,0,0,0,0,0
"176","Beak_length_Nares","Kipps_distance",0,0.198432143134198,0.198656884237133,0,0,0,0,0,0,0,0
"178","Beak_length_Nares","Tail_length",0,0.116015962077887,0.0793545274300762,0,0,0,0,0,0,0,0
"183","Beak_length_Nares","wetland1",7.12652521124291e-05,0.0205050849402085,4.52500604865909,0.222632647599228,0.204460008310559,0.204460008310559,0.199400175410577,0.000869658779684486,0.000869658779684486,0.00750015057245413,7.12652521124291e-05
"211","Beak_length_Nares","herbivore_aquatic1",0.0029340643517437,0.0115519516121179,7.80610102264001,1,1,0.999956867492758,0.999956867492758,0.0257628000148548,0.0257628000148548,0.222184704844281,0.0029340643517437
"227","Beak_width","Beak_length_Culmen",0,0.368352100770102,0.114142168251074,0,0,0,0,0,0,0,0
"228","Beak_width","Beak_length_Nares",0,0.410597517053221,0.166354175647492,0,0,0,0,0,0,0,0
"231","Beak_width","Wing_length",0,0.470035805669625,0.0382897905266732,0,0,0,0,0,0,0,0
"232","Beak_width","Kipps_distance",0,0.219669246785907,0.0542237547384728,0,0,0,0,0,0,0,0
"234","Beak_width","Tail_length",0,0.237932619822347,0.0301871939044226,0,0,0,0,0,0,0,0
"235","Beak_width","Mass",0,0.12324321520451,0.00038179971208154,0,0,0,0,0,0,0,0
"260","Beak_width","invertivore1",0.00985247355815799,0.00870954910345693,-0.988253375931007,1,1,0.999956867492758,0.999956867492758,0.0702719803554465,0.0702719803554465,0.606042790577705,0.00985247355815799
"263","Beak_width","omnivoretn1",0.00619119630495679,0.00979256327752301,0.723343010021819,1,1,0.999956867492758,0.999956867492758,0.0487186328883754,0.0487186328883754,0.420161436741313,0.00619119630495679
"283","Beak_depth","Beak_length_Culmen",0,0.326169637460199,0.163878338242453,0,0,0,0,0,0,0,0
"284","Beak_depth","Beak_length_Nares",0,0.334169570821347,0.227172985190948,0,0,0,0,0,0,0,0
"285","Beak_depth","Beak_width",0,0.584552459980556,1.15641083057309,0,0,0,0,0,0,0,0
"286","Beak_depth","Tarsus_length",0,0.181139446611015,0.0942263015918652,0,0,0,0,0,0,0,0
"287","Beak_depth","Wing_length",0,0.380646820706938,0.0523413987443935,0,0,0,0,0,0,0,0
"288","Beak_depth","Kipps_distance",0,0.19487251064046,0.077423270495398,0,0,0,0,0,0,0,0
"290","Beak_depth","Tail_length",0,0.211071799329473,0.0435259255502674,0,0,0,0,0,0,0,0
"291","Beak_depth","Mass",1.23999078427417e-06,0.0304067783457984,0.000286588014398785,0.00387373121007251,0.00363689297027614,0.00363689297027614,0.00360961317302211,2.01756833857943e-05,2.01756833857943e-05,0.000174000040970687,1.23999078427417e-06
"316","Beak_depth","invertivore1",0.00465543801363211,0.0104618249249284,-1.7179353253836,1,1,0.999956867492758,0.999956867492758,0.0378739280067362,0.0378739280067362,0.326634042519374,0.00465543801363211
"339","Tarsus_length","Beak_length_Culmen",0,0.298403693696816,0.690189278451015,0,0,0,0,0,0,0,0
"341","Tarsus_length","Beak_width",0,0.284635792421312,3.62704648766494,0,0,0,0,0,0,0,0
"342","Tarsus_length","Beak_depth",0,0.173289177023176,1.79132886590084,0,0,0,0,0,0,0,0
"343","Tarsus_length","Wing_length",0,0.411882872158015,0.244556748988623,0,0,0,0,0,0,0,0
"346","Tarsus_length","Tail_length",0,0.13551733203841,0.148378555282566,0,0,0,0,0,0,0,0
"347","Tarsus_length","Mass",0,0.249291203170501,0.00375538392279551,0,0,0,0,0,0,0,0
"360","Tarsus_length","herbivore1",3.80624662765783e-06,0.0276601432958834,-8.73552063312369,0.0118907144648031,0.0111142401527609,0.0111142401527609,0.0109772152741652,5.80034851941613e-05,5.80034851941613e-05,0.000500236279844326,3.80624662765783e-06
"369","Tarsus_length","afrotropic1",1.21142518976214e-05,0.0248279634002048,12.3829899851923,0.0378449229281693,0.0351797875106925,0.0351797875106925,0.0347194459385829,0.000171243995150087,0.000171243995150087,0.0014768502063766,1.21142518976214e-05
"379","Tarsus_length","herbivore_aquatic1",0.000442357922991299,0.0160796797225911,-10.3038738474285,1,1,0.999956867492758,0.999956867492758,0.00476526259112006,0.00476526259112006,0.0410967931165485,0.000442357922991299
"383","Tarsus_length","terrestrial1",0.00232064781992647,0.0121084573857487,7.9787871711544,1,1,0.999956867492758,0.999956867492758,0.0211361626514586,0.0211361626514586,0.182283449685098,0.00232064781992647
"394","Wing_length","med_a",0.00356104020934156,0.0110937427604283,-320.862002281227,1,1,0.999956867492758,0.999956867492758,0.0300667286864406,0.0300667286864406,0.259302841111136,0.00356104020934156
"395","Wing_length","Beak_length_Culmen",0,0.352821687480306,1.97480192819475,0,0,0,0,0,0,0,0
"396","Wing_length","Beak_length_Nares",0,0.335175157549993,2.65799176703135,0,0,0,0,0,0,0,0
"397","Wing_length","Beak_width",0,0.460016261582043,12.066698170282,0,0,0,0,0,0,0,0
"398","Wing_length","Beak_depth",0,0.369689317373109,6.95653492652104,0,0,0,0,0,0,0,0
"399","Wing_length","Tarsus_length",0,0.409798739824794,1.66552891390187,0,0,0,0,0,0,0,0
"400","Wing_length","Kipps_distance",0,0.624355299715406,1.63097596723918,0,0,0,0,0,0,0,0
"401","Wing_length","Hand_wing_index",0.000216672915391403,0.0178049903803576,1.11755756735738,0.676886187682743,0.61773448178089,0.61773448178089,0.58523354447218,0.00247038754628738,0.00247038754628738,0.0213052279840065,0.000216672915391403
"402","Wing_length","Tail_length",0,0.307902811015414,0.599283700844144,0,0,0,0,0,0,0,0
"403","Wing_length","Mass",0,0.0944261562212627,0.00598898460825536,0,0,0,0,0,0,0,0
"418","Wing_length","scavenger1",0.00125805109945221,0.0135683986447841,248.891666489493,1,1,0.999956867492758,0.999956867492758,0.0122739541191726,0.0122739541191726,0.105853590124837,0.00125805109945221
"430","Wing_length","aquatic_predator1",0.00219272271064508,0.0122432408633916,24.2193152202563,1,1,0.999956867492758,0.999956867492758,0.0201944499999655,0.0201944499999655,0.174161888853222,0.00219272271064508
"437","Wing_length","scavengertn1",0.00125805109945221,0.0135683986447841,248.891666489493,1,1,0.999956867492758,0.999956867492758,0.0122739541191726,0.0122739541191726,0.105853590124837,0.00125805109945221
"442","Wing_length","aquatic1",6.18689295350805e-07,0.0321101495117572,-48.2071841091766,0.00193278535867591,0.00181956521762672,0.00181956521762672,0.00180781012101505,1.05042682536734e-05,1.05042682536734e-05,9.05913852609911e-05,6.18689295350805e-07
"451","Kipps_distance","Beak_length_Culmen",0,0.219659791127838,0.76248610606582,0,0,0,0,0,0,0,0
"452","Kipps_distance","Beak_length_Nares",0,0.204834679093058,1.01085059901132,0,0,0,0,0,0,0,0
"453","Kipps_distance","Beak_width",0,0.217102370639561,4.02582131245772,0,0,0,0,0,0,0,0
"454","Kipps_distance","Beak_depth",0,0.187054729735164,2.44008652697069,0,0,0,0,0,0,0,0
"455","Kipps_distance","Tarsus_length",0,0.140982058231057,0.475667652271108,0,0,0,0,0,0,0,0
"456","Kipps_distance","Wing_length",0,0.630146905571312,0.383483022892224,0,0,0,0,0,0,0,0
"457","Kipps_distance","Hand_wing_index",0,0.342123331547558,2.44971129674425,0,0,0,0,0,0,0,0
"458","Kipps_distance","Tail_length",0,0.113674656726545,0.178743682849427,0,0,0,0,0,0,0,0
"460","Kipps_distance","forest1",0.00378799194452162,0.0109478278112933,-6.77544291681479,1,1,0.999956867492758,0.999956867492758,0.0313060498272104,0.0313060498272104,0.269991050533654,0.00378799194452162
