species_name,higher_altitude,far_migration,wintering,diving,flying
Abrornis_proregulus,1700,Y,N,N,Y
Acanthis_flammea,2100,M,Y,N,Y
Acanthisitta_chloris,1500,N,N,N,Y
Accipiter_gentilis,,,,,
Accipiter_nisus,,,,,
Accipiter_soloensis,,,,,
Accipiter_virgatus,,,,,
Aceros_corrugatus,200,N,N,N,Y
Aceros_waldeni,1200,N,N,N,Y
Acridotheres_cristatellus,200,N,N,N,Y
Acrocephalus_arundinaceus,2000,Y,N,N,Y
Acrocephalus_scirpaceus,2000,M,N,N,Y
Acryllium_vulturinum,1900,N,N,N,M
Aegithalos_bonvaloti,4000,N,N,N,Y
Aegithalos_caudatus,2000,M,Y,N,Y
Aegithalos_concinnus,4000,N,N,N,Y
Aegithalos_fuliginosus,2500,N,N,N,Y
Aegithalos_glaucogularis,3000,N,N,N,Y
Aegotheles_cristatus,1000,N,N,N,Y
Aegypius_monachus,4500,M,M,N,Y
Aepyornis_sp.,200,N,N,N,N
Aethopyga_gouldiae,4300,N,N,N,Y
Agapornis_roseicollis,1500,N,N,N,Y
Agelaius_phoeniceus,3000,M,N,N,Y
Aix_galericulata,2000,Y,N,N,Y
Akialoa_obscura,2500,N,N,N,Y
Alauda_arvensis,3500,Y,N,N,Y
Alcedo_atthis,2000,M,N,N,Y
Alcippe_morrisonia,3000,N,N,N,Y
Alectoris_chukar,5000,N,M,N,Y
Alectura_lathami,500,N,N,N,Y
Alopecoenas_salamonis,500,N,N,N,Y
Amaurornis_akool,800,M,N,N,Y
Amaurornis_phoenicurus,2000,M,N,N,Y
Amazilia_brevirostris,500,N,N,N,Y
Amazilia_millerii,,,,,
Amazilia_rondoniae,100,N,N,N,Y
Amazilia_versicolor,1700,N,N,N,Y
Amazona_aestiva,500,M,N,N,Y
Amazona_barbadensis,500,M,N,N,Y
Amazona_ochrocephala,500,N,N,N,Y
Amazona_ventralis,1500,N,N,N,Y
Amblyramphus_holosericeus,600,M,N,N,Y
Anas_acuta,4000,Y,N,M,Y
Anas_chathamica,300,N,N,M,Y
Anas_clypeata,4000,Y,N,M,Y
Anas_crecca,3400,Y,N,M,Y
Anas_falcata,1000,Y,N,M,Y
Anas_formosa,2500,Y,N,M,Y
Anas_platyrhynchos,3300,Y,N,M,Y
Anas_poecilorhyncha,1000,N,N,M,Y
Anhinga_rufa,500,N,N,M,Y
Anomalopteryx_didiformis,500,N,N,N,N
Anser_albifrons,2000,Y,N,M,Y
Anser_anser,2300,Y,N,M,Y
Anser_cygnoides,2000,Y,N,M,Y
Anser_fabalis,2000,Y,N,M,Y
Anser_indicus,5300,Y,N,M,Y
Anseranas_semipalmata,500,N,N,M,Y
Anthracoceros_coronatus,500,N,N,N,Y
Anthropoides_paradiseus,2000,N,N,M,Y
Anthropoides_virgo,3000,Y,N,M,Y
Anthus_hodgsoni,4000,Y,N,N,Y
Anthus_novaeseelandiae,2000,N,N,N,Y
Apaloderma_narina,3400,N,N,N,Y
Aptenodytes_forsteri,100,N,Y,Y,N
Apteryx_australis,500,N,N,N,N
Apteryx_haastii,1500,N,N,N,N
Apteryx_mantelli,500,N,N,N,N
Apteryx_owenii,1000,N,N,N,N
Apus_apus,4000,Y,N,,
Aquila_chrysaetos,,,,,
Aquila_heliaca,,,,,
Ara_ararauna,1500,M,N,N,Y
Ara_glaucogularis,300,M,N,N,Y
Ara_macao,1000,M,N,N,Y
Ara_militaris,2600,M,N,N,Y
Ara_severus,1500,N,N,N,Y
Ara_tricolor,500,N,N,N,Y
Aratinga_acuticaudata,2650,M,N,N,Y
Aratinga_brevipes,1000,N,N,N,Y
Aratinga_mitrata,4000,M,N,N,Y
Aratinga_pertinax,1200,M,N,N,Y
Aratinga_rubritorquis,1800,M,N,N,Y
Arborophila_ardens,1400,N,N,N,Y
Arborophila_brunneopectus,1800,N,N,N,Y
Arborophila_gingica,1700,N,N,N,Y
Arborophila_rufipectus,2500,N,N,N,Y
Arborophila_rufogularis,4000,N,N,N,Y
Archilochus_colubris,1900,Y,N,N,Y
Ardea_cinerea,2000,M,N,M,Y
Ardea_intermedia,1500,M,N,M,Y
Ardea_modesta,4000,M,N,M,Y
Ardea_novaehollandiae,1500,M,N,M,Y
Ardea_purpurea,2000,M,N,M,Y
Ardeola_bacchus,4000,M,N,M,Y
Arenaria_interpres,4500,Y,N,N,Y
Argusianus_argus,1500,N,N,N,Y
Arremon_aurantiirostris,3500,N,N,N,Y
Asio_flammeus,4000,Y,N,N,Y
Asio_otus,2700,M,Y,N,Y
Athene_brama,1600,N,N,N,Y
Atlantisia_rogersi,400,N,N,N,N
Attagis_gayi,5500,N,M,N,Y
Aythya_americana,500,Y,N,Y,Y
Aythya_ferina,2500,Y,N,Y,Y
Aythya_fuligula,3000,Y,N,Y,Y
Balaeniceps_rex,500,N,N,M,Y
Balearica_pavonina,1000,N,N,M,Y
Balearica_regulorum,500,N,N,M,Y
Bambusicola_fytchii,3000,N,N,N,Y
Bambusicola_thoracica,2000,N,N,N,Y
Bombycilla_cedrorum,500,M,Y,N,Y
Bonasa_bonasia,1800,N,Y,N,Y
Botaurus_stellaris,1300,Y,N,M,Y
Brachygalba_albogularis,600,N,N,N,Y
Branta_canadensis,2000,M,N,M,Y
Brotogeris_cyanoptera,1000,N,N,N,Y
Bubo_blakistoni,200,N,Y,N,Y
Bubo_bubo,4500,N,Y,N,Y
Bubo_flavipes,2500,N,N,N,Y
Bubo_scandiacus,1000,Y,Y,N,Y
Bubulcus_ibis,4500,M,N,M,Y
Bucco_macrodactylus,1000,N,N,N,Y
Buceros_bicornis,2000,N,N,N,Y
Buceros_rhinoceros,1400,N,N,N,Y
Bucorvus_leadbeateri,3000,N,N,N,Y
Burhinus_grallarius,500,N,N,N,Y
Butastur_indicus,,,,,
Butastur_liventer,,,,,
Buteo_buteo,,,,,
Buteo_hemilasius,,,,,
Buteo_lagopus,,,,,
Butorides_striata,4000,M,N,M,Y
Bycanistes_brevis,2600,N,N,N,Y
Cacatua_moluccensis,1200,N,N,N,Y
Cacatua_pastinator,500,M,N,N,Y
Cairina_moschata,500,N,N,M,Y
Callaeas_cinereus,500,N,N,N,Y
Callipepla_squamata,2100,N,N,N,Y
Calliphlox_amethystina,1500,N,N,N,Y
Caloenas_maculata,1000,N,N,N,Y
Caloenas_nicobarica,700,M,N,N,Y
Calonectris_diomedea,,,,,
Caloperdix_oculeus,1200,N,N,N,Y
Calyptorhynchus_baudinii,500,N,N,N,Y
Calyptorhynchus_lathami,500,N,N,N,Y
Calyptorhynchus_latirostris,500,N,N,N,Y
Campephilus_guatemalensis,2000,N,N,N,Y
Campephilus_imperialis,3000,N,N,N,Y
Campylorhynchus_brunneicapillus,2000,N,N,N,Y
Campylorhynchus_zonatus,3000,N,N,N,Y
Capito_niger,800,N,N,N,Y
Caprimulgus_indicus,2100,N,N,N,Y
Cardinalis_cardinalis,2000,N,N,N,Y
Carduelis_pinus,4000,M,M,N,Y
Carduelis_psaltria,3100,M,N,N,Y
Carduelis_sinica,2400,M,N,N,Y
Carduelis_spinus,2000,M,M,N,Y
Carduelis_tristis,1000,M,M,N,Y
Carpodacus_erythrinus,4500,Y,N,N,Y
Carpodacus_mexicanus,2000,M,M,N,Y
Carpodacus_roseus,2500,M,M,N,Y
Casuarius_bennetti,3300,N,N,N,N
Casuarius_casuarius,1100,N,N,N,N
Catharacta_skua,,,,,
Cathartes_aura,,,,,
Cecropis_daurica,3900,M,M,N,Y
Ceryle_rudis,2500,N,N,Y,Y
Chaetura_pelagica,3200,Y,N,N,Y
Chalcophaps_indica,2200,M,N,N,Y
Charadrius_placidus,2700,Y,N,M,Y
Charadrius_vociferus,2400,M,N,M,Y
