species_name,higher_altitude,far_migration,wintering,diving,flying,lower_altitude,only_forest
Abrornis_proregulus,1700,Y,N,N,Y,0,Y
Acanthis_flammea,2100,M,Y,N,Y,0,N
Acanthisitta_chloris,1500,N,N,N,Y,700,Y
Accipiter_gentilis,,,,,,,
Accipiter_nisus,,,,,,,
Accipiter_soloensis,,,,,,,
Accipiter_virgatus,,,,,,,
Aceros_corrugatus,200,N,N,N,Y,0,Y
Aceros_waldeni,1200,N,N,N,Y,0,Y
Acridotheres_cristatellus,200,N,N,N,Y,0,N
Acrocephalus_arundinaceus,2000,Y,N,N,Y,0,N
Acrocephalus_scirpaceus,2000,M,N,N,Y,0,N
Acryllium_vulturinum,1900,N,N,N,M,0,N
Aegithalos_bonvaloti,4000,N,N,N,Y,1500,Y
Aegithalos_caudatus,2000,M,Y,N,Y,0,Y
Aegithalos_concinnus,4000,N,N,N,Y,1000,Y
Aegithalos_fuliginosus,2500,N,N,N,Y,1000,Y
Aegithalos_glaucogularis,3000,N,N,N,Y,0,Y
Aegotheles_cristatus,1000,N,N,N,Y,0,Y
Aegypius_monachus,4500,M,M,N,Y,800,N
Aepyornis_sp.,200,N,N,N,N,0,N
Aethopyga_gouldiae,4300,N,N,N,Y,300,Y
Agapornis_roseicollis,1500,N,N,N,Y,0,Y
Agelaius_phoeniceus,3000,M,N,N,Y,0,N
Aix_galericulata,2000,Y,N,N,Y,0,Y
Akialoa_obscura,2500,N,N,N,Y,300,Y
Alauda_arvensis,3500,Y,N,N,Y,0,N
Alcedo_atthis,2000,M,N,N,Y,0,Y
Alcippe_morrisonia,3000,N,N,N,Y,200,Y
Alectoris_chukar,5000,N,M,N,Y,0,N
Alectura_lathami,500,N,N,N,Y,0,Y
Alopecoenas_salamonis,500,N,N,N,Y,0,Y
Amaurornis_akool,800,M,N,N,Y,0,M
Amaurornis_phoenicurus,2000,M,N,N,Y,0,M
Amazilia_brevirostris,500,N,N,N,Y,0,Y
Amazilia_millerii,,,,,,,
Amazilia_rondoniae,100,N,N,N,Y,0,Y
Amazilia_versicolor,1700,N,N,N,Y,50,Y
Amazona_aestiva,500,M,N,N,Y,0,N
Amazona_barbadensis,500,M,N,N,Y,0,N
Amazona_ochrocephala,500,N,N,N,Y,0,Y
Amazona_ventralis,1500,N,N,N,Y,0,N
Amblyramphus_holosericeus,600,M,N,N,Y,0,N
Anas_acuta,4000,Y,N,M,Y,0,Y
Anas_chathamica,300,N,N,M,Y,0,Y
Anas_clypeata,4000,Y,N,M,Y,0,M
Anas_crecca,3400,Y,N,M,Y,0,M
Anas_falcata,1000,Y,N,M,Y,0,M
Anas_formosa,2500,Y,N,M,Y,0,M
Anas_platyrhynchos,3300,Y,N,M,Y,0,M
Anas_poecilorhyncha,1000,N,N,M,Y,0,Y
Anhinga_rufa,500,N,N,M,Y,0,M
Anomalopteryx_didiformis,500,N,N,N,N,0,Y
Anser_albifrons,2000,Y,N,M,Y,0,M
Anser_anser,2300,Y,N,M,Y,0,M
Anser_cygnoides,2000,Y,N,M,Y,0,M
Anser_fabalis,2000,Y,N,M,Y,0,M
Anser_indicus,5300,Y,N,M,Y,0,N
Anseranas_semipalmata,500,N,N,M,Y,0,M
Anthracoceros_coronatus,500,N,N,N,Y,0,Y
Anthropoides_paradiseus,2000,N,N,M,Y,0,M
Anthropoides_virgo,3000,Y,N,M,Y,0,M
Anthus_hodgsoni,4000,Y,N,N,Y,0,Y
Anthus_novaeseelandiae,2000,N,N,N,Y,0,N
Apaloderma_narina,3400,N,N,N,Y,0,Y
Aptenodytes_forsteri,100,N,Y,Y,N,0,N
Apteryx_australis,500,N,N,N,N,0,Y
Apteryx_haastii,1500,N,N,N,N,0,Y
Apteryx_mantelli,500,N,N,N,N,0,Y
Apteryx_owenii,1000,N,N,N,N,0,Y
Apus_apus,4000,Y,N,,,0,Y
Aquila_chrysaetos,,,,,,,
Aquila_heliaca,,,,,,,
Ara_ararauna,1500,M,N,N,Y,0,M
Ara_glaucogularis,300,M,N,N,Y,0,M
Ara_macao,1000,M,N,N,Y,0,M
Ara_militaris,2600,M,N,N,Y,0,Y
Ara_severus,1500,N,N,N,Y,0,Y
Ara_tricolor,500,N,N,N,Y,0,Y
Aratinga_acuticaudata,2650,M,N,N,Y,0,N
Aratinga_brevipes,1000,N,N,N,Y,500,Y
Aratinga_mitrata,4000,M,N,N,Y,1000,Y
Aratinga_pertinax,1200,M,N,N,Y,0,N
Aratinga_rubritorquis,1800,M,N,N,Y,600,Y
Arborophila_ardens,1400,N,N,N,Y,500,Y
Arborophila_brunneopectus,1800,N,N,N,Y,0,Y
Arborophila_gingica,1700,N,N,N,Y,150,Y
Arborophila_rufipectus,2500,N,N,N,Y,1000,Y
Arborophila_rufogularis,4000,N,N,N,Y,600,Y
Archilochus_colubris,1900,Y,N,N,Y,0,Y
Ardea_cinerea,2000,M,N,M,Y,0,M
Ardea_intermedia,1500,M,N,M,Y,0,M
Ardea_modesta,4000,M,N,M,Y,0,M
Ardea_novaehollandiae,1500,M,N,M,Y,0,M
Ardea_purpurea,2000,M,N,M,Y,0,M
Ardeola_bacchus,4000,M,N,M,Y,0,M
Arenaria_interpres,4500,Y,N,N,Y,0,M
Argusianus_argus,1500,N,N,N,Y,0,Y
Arremon_aurantiirostris,3500,N,N,N,Y,200,Y
Asio_flammeus,4000,Y,N,N,Y,0,Y
Asio_otus,2700,M,Y,N,Y,0,Y
Athene_brama,1600,N,N,N,Y,0,Y
Atlantisia_rogersi,400,N,N,N,N,0,Y
Attagis_gayi,5500,N,M,N,Y,1000,M
Aythya_americana,500,Y,N,Y,Y,0,M
Aythya_ferina,2500,Y,N,Y,Y,0,M
Aythya_fuligula,3000,Y,N,Y,Y,0,M
Balaeniceps_rex,500,N,N,M,Y,0,M
Balearica_pavonina,1000,N,N,M,Y,0,M
Balearica_regulorum,500,N,N,M,Y,0,M
Bambusicola_fytchii,3000,N,N,N,Y,500,Y
Bambusicola_thoracica,2000,N,N,N,Y,0,Y
Bombycilla_cedrorum,500,M,Y,N,Y,0,Y
Bonasa_bonasia,1800,N,Y,N,Y,0,Y
Botaurus_stellaris,1300,Y,N,M,Y,0,Y
Brachygalba_albogularis,600,N,N,N,Y,0,Y
Branta_canadensis,2000,M,N,M,Y,0,M
Brotogeris_cyanoptera,1000,N,N,N,Y,0,Y
Bubo_blakistoni,200,N,Y,N,Y,0,Y
Bubo_bubo,4500,N,Y,N,Y,0,Y
Bubo_flavipes,2500,N,N,N,Y,0,Y
Bubo_scandiacus,1000,Y,Y,N,Y,0,M
Bubulcus_ibis,4500,M,N,M,Y,0,M
Bucco_macrodactylus,1000,N,N,N,Y,0,Y
Buceros_bicornis,2000,N,N,N,Y,0,Y
Buceros_rhinoceros,1400,N,N,N,Y,0,Y
Bucorvus_leadbeateri,3000,N,N,N,Y,0,N
Burhinus_grallarius,500,N,N,N,Y,0,N
Butastur_indicus,,,,,,,
Butastur_liventer,,,,,,,
Buteo_buteo,,,,,,,
Buteo_hemilasius,,,,,,,
Buteo_lagopus,,,,,,,
Butorides_striata,4000,M,N,M,Y,0,M
Bycanistes_brevis,2600,N,N,N,Y,0,Y
Cacatua_moluccensis,1200,N,N,N,Y,0,Y
Cacatua_pastinator,500,M,N,N,Y,0,Y
Cairina_moschata,500,N,N,M,Y,0,Y
Callaeas_cinereus,500,N,N,N,Y,0,Y
Callipepla_squamata,2100,N,N,N,Y,0,N
Calliphlox_amethystina,1500,N,N,N,Y,0,Y
Caloenas_maculata,1000,N,N,N,Y,0,Y
Caloenas_nicobarica,700,M,N,N,Y,0,Y
Calonectris_diomedea,,,,,,,
Caloperdix_oculeus,1200,N,N,N,Y,0,Y
Calyptorhynchus_baudinii,500,N,N,N,Y,0,Y
Calyptorhynchus_lathami,500,N,N,N,Y,0,Y
Calyptorhynchus_latirostris,500,N,N,N,Y,0,Y
Campephilus_guatemalensis,2000,N,N,N,Y,0,Y
Campephilus_imperialis,3000,N,N,N,Y,1600,Y
Campylorhynchus_brunneicapillus,2000,N,N,N,Y,0,N
Campylorhynchus_zonatus,3000,N,N,N,Y,0,Y
Capito_niger,800,N,N,N,Y,0,Y
Caprimulgus_indicus,2100,N,N,N,Y,0,Y
Cardinalis_cardinalis,2000,N,N,N,Y,0,Y
Carduelis_pinus,4000,M,M,N,Y,0,Y
Carduelis_psaltria,3100,M,N,N,Y,0,Y
Carduelis_sinica,2400,M,N,N,Y,0,Y
Carduelis_spinus,2000,M,M,N,Y,0,Y
Carduelis_tristis,1000,M,M,N,Y,0,M
Carpodacus_erythrinus,4500,Y,N,N,Y,0,Y
Carpodacus_mexicanus,2000,M,M,N,Y,0,Y
Carpodacus_roseus,2500,M,M,N,Y,0,Y
Casuarius_bennetti,3300,N,N,N,N,0,N
Casuarius_casuarius,1100,N,N,N,N,0,N
Catharacta_skua,,,,,,,
Cathartes_aura,,,,,,,
Cecropis_daurica,3900,M,M,N,Y,0,N
Ceryle_rudis,2500,N,N,Y,Y,0,Y
