ecology,p-value, r-squared, effect size
Beak_length_Culmen,0.16179309982166,0.00256713371759185,-5.47486899061296e-05
Beak_length_Nares,0.059712133086987,0.00464493768149432,-0.00010138513486561
Beak_width,0.046930738264451,0.00517091537886189,-0.000412950092099924
Beak_depth,0.0157460155927227,0.00762803102011197,-0.000327350282306589
Tarsus_length,0.26535483691786,0.00162783031906226,-3.38713582242432e-05
Wing_length,0.0020363674203856,0.0124192218550044,-3.60226786213001e-05
Kipps_distance,0.302056091905673,0.0013977016195535,-2.48691638389701e-05
Hand_wing_index,0.314826512376315,0.00132586794048822,0.000102333839573127
Tail_length,0.030450407101293,0.00613172110399139,-2.76874908901909e-05
Mass,0.0168324941705476,0.00747520589440973,-5.39131180432486e-07
Beak_length_Culmen,0.648646880912461,0.000272596177673857,2.12327842618342e-05
Beak_length_Nares,0.856232666456574,4.3102475747399e-05,1.19483953868494e-05
Beak_width,0.650524250119567,0.000269484062340075,-0.000108420301617526
Beak_depth,0.895553738381386,2.2631995077845e-05,-2.03418933028092e-05
Tarsus_length,0.738574305397679,0.000146258051441955,1.3682318972307e-05
Wing_length,0.171713731968039,0.00244993854458539,-1.95617891661725e-05
Kipps_distance,0.0147641679179564,0.00777576995402093,-6.72740978017546e-05
Hand_wing_index,0.128023348984751,0.00303715103479764,-0.000166277837662277
Tail_length,0.529743264070471,0.000518426197337447,-8.78810345395803e-06
Mass,0.788336786739189,9.46464298381053e-05,-8.81420196509242e-08

 Next Dataframe 

