species_name,higher_altitude,far_migration,wintering,diving,flying,lower_altitude,only_forest,can_not_fly,divers,high_alt,far_migrtion,wintering_num,high_alt2,reference2
Abrornis_proregulus,1700,Y,N,N,Y,0,Y,0,0,0,Abrornis_proregulus,0,0,0
Acanthis_flammea,2100,M,Y,N,Y,0,N,0,0,0,0,Acanthis_flammea,0,0
Acanthisitta_chloris,1500,N,N,N,Y,700,Y,0,0,0,0,0,0,Acanthisitta_chloris
Accipiter_gentilis,,,,,,,,0,0,0,0,0,0,0
Accipiter_nisus,,,,,,,,0,0,0,0,0,0,0
Accipiter_soloensis,,,,,,,,0,0,0,0,0,0,0
Accipiter_virgatus,,,,,,,,0,0,0,0,0,0,0
Aceros_corrugatus,200,N,N,N,Y,0,Y,0,0,0,0,0,0,Aceros_corrugatus
Aceros_waldeni,1200,N,N,N,Y,0,Y,0,0,0,0,0,0,Aceros_waldeni
Acridotheres_cristatellus,200,N,N,N,Y,0,N,0,0,0,0,0,0,0
Acrocephalus_arundinaceus,2000,Y,N,N,Y,0,N,0,0,0,Acrocephalus_arundinaceus,0,0,0
Acrocephalus_scirpaceus,2000,M,N,N,Y,0,N,0,0,0,0,0,0,0
Acryllium_vulturinum,1900,N,N,N,M,0,N,0,0,0,0,0,0,0
Aegithalos_bonvaloti,4000,N,N,N,Y,1500,Y,0,0,0,0,0,0,0
Aegithalos_caudatus,2000,M,Y,N,Y,0,Y,0,0,0,0,Aegithalos_caudatus,0,0
Aegithalos_concinnus,4000,N,N,N,Y,1000,Y,0,0,0,0,0,0,0
Aegithalos_fuliginosus,2500,N,N,N,Y,1000,Y,0,0,0,0,0,0,0
Aegithalos_glaucogularis,3000,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Aegotheles_cristatus,1000,N,N,N,Y,0,Y,0,0,0,0,0,0,Aegotheles_cristatus
Aegypius_monachus,4500,M,M,N,Y,800,N,0,0,Aegypius_monachus,0,0,0,0
Aepyornis_sp.,200,N,N,N,N,0,N,Aepyornis_sp.,0,0,0,0,0,0
Aethopyga_gouldiae,4300,N,N,N,Y,300,Y,0,0,Aethopyga_gouldiae,0,0,0,0
Agapornis_roseicollis,1500,N,N,N,Y,0,Y,0,0,0,0,0,0,Agapornis_roseicollis
Agelaius_phoeniceus,3000,M,N,N,Y,0,N,0,0,0,0,0,0,0
Aix_galericulata,2000,Y,N,N,Y,0,Y,0,0,0,Aix_galericulata,0,0,0
Akialoa_obscura,2500,N,N,N,Y,300,Y,0,0,0,0,0,0,0
Alauda_arvensis,3500,Y,N,N,Y,0,N,0,0,0,Alauda_arvensis,0,0,0
Alcedo_atthis,2000,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Alcippe_morrisonia,3000,N,N,N,Y,200,Y,0,0,0,0,0,0,0
Alectoris_chukar,5000,N,M,N,Y,0,N,0,0,Alectoris_chukar,0,0,0,0
Alectura_lathami,500,N,N,N,Y,0,Y,0,0,0,0,0,0,Alectura_lathami
Alopecoenas_salamonis,500,N,N,N,Y,0,Y,0,0,0,0,0,0,Alopecoenas_salamonis
Amaurornis_akool,800,M,N,N,Y,0,M,0,0,0,0,0,0,0
Amaurornis_phoenicurus,2000,M,N,N,Y,0,M,0,0,0,0,0,0,0
