Class,Order/Clade,Family,Species,Tb,Data,References
Amphibia,Anura,Bufonidae,Anaxyrus boreas,"21,3",Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
Amphibia,Anura,Bufonidae,Anaxyrus canorus,22,Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
Amphibia,Anura,Bufonidae,Anaxyrus cognatus,"21,8",Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
Amphibia,Anura,Bufonidae,Anaxyrus debilis,23,Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
Amphibia,Anura,Bufonidae,Anaxyrus exsul,"22,7",Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
Amphibia,Anura,Bufonidae,Anaxyrus woodhousii,"26,16",Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
Amphibia,Anura,Bufonidae,Incilius alvarius,"21,43",Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
Amphibia,Anura,Bufonidae,Incilius mazatlanensis,"28,4",Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
Amphibia,Anura,Bufonidae,Rhinella marina,"25,2",Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
Amphibia,Anura,Dicroglossidae,Paa spinosa,"23,05",Lab,"R.-Q. Zheng, C.-T. Liu, Giant spiny-frog (Paa spinosa) from different populations differ in thermal preference but not in thermal tolerance. Aquat. Ecol. 44:723–729 (2010)."
Amphibia,Anura,Hylidae,Acris crepitans,"24,9",Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
Amphibia,Anura,Hylidae,Dendropsophus labialis,"13,32",Field,"C. A. Navas, J. M. Carvajalino-Fernández, L. P. Saboyá-Acosta, L. A. Rueda-Solano, M. A. Carvajalino-Fernández, The body temperature of active amphibians along a tropical elevation gradient: patterns of mean and variance and inference from environmental data. Funct. Ecol. 27:1145–1154 (2013)."
Amphibia,Anura,Hylidae,Hyla cinerea,30,Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
Amphibia,Anura,Hylidae,Hyla squirella,"23,5",Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
Amphibia,Anura,Hylidae,Litoria gracilenta,"21,6",Field,"C. R. Johnson, Thermal relations and daily variation in the thermal tolerance in Bufo marinus. J. Herpetol. 6:35–38 (1972)."
Amphibia,Anura,Hylidae,Litoria rubella,"21,6",Lab,"C. R. Johnson, Thermal relations and daily variation in the thermal tolerance in Bufo marinus. J. Herpetol. 6:35–38 (1972)."
Amphibia,Anura,Hylidae,Pseudacris triseriata,"27,8",Field,"B. H. Brattstrom, A Preliminary Review of the Thermal Requirements of Amphibians. Ecology 44:238–255 (1963)."
