"","Value","Std.Error","t-value","p-value","lambda_value"
"ant_1_other_0",0.0460609769826325,0.0400155810333665,1.15107605070698,0.250062010335797,0.967731111389977
"ha_1_other_0",-0.0198182109070861,0.0401266019335876,-0.493892080368198,0.621524727998183,0.967904280212452
"res_1_oth_0",-0.0032437372635715,0.0066526241461016,-0.487587633441206,0.625982758620816,0.96758753879915
"sd_1_oth_0",-0.0044766800428373,0.00745720524450812,-0.600316056224169,0.548474814762816,0.96786302326461
"ld_1_oth_0",0.00854746016112044,0.00743822208605186,1.14912677548962,0.250865695231125,0.968153827791666
"TNZ",-0.00874188174266591,0.00375412158746093,-2.32860911374434,0.0268068795846883,0.469669859761701
"cath_1_other_0",-0.0666585943682888,0.0635917361468006,-1.04822730762388,0.295750369091403,0.922539130969879
"crep_1_other_0",-0.0218083516185624,0.0624920096049934,-0.348978241480969,0.7274586575592,0.921639122596364
"diu_1_other_0",0.0144828993349756,0.0441518224372116,0.328024949719159,0.743222754289037,0.92221444906711
"noc_1_other_0",0.0671015717117435,0.0677768852265549,0.99003622676737,0.323306709098277,0.923596263538958
