"Original_Name","IOС-10.1","BirdTree","NameComments","Original-1_Cited-2","Reference","Bad1Good2","Wild-1_Aviary-2_Domestic-3","Day-Night","n","Sex","Mass","Trait","CommentTrait","TraitValue","Method","Place","Latitude","Longitude","StartDate","EndDate","Mountains","Summer-Winter","Breeding-NonBreeding","Climate","World","Comments","CapturePlace","CaptureLatitude","CaptureLongitude","Passerine","Order","Elevation","ElevationLatCor","MeanSurfaceTemperature","AbsoluteMinSurfaceTemperature","AbsoluteMaxSurfaceTemperature","AbsoluteSurfaceTemperatureRange","AverageDailyMinimumSurfaceTemperature","AverageDailyMaximumSurfaceTemperature","AverageDailySurfaceTemperatureDifference","SD_DailyMeanSurfaceTemperature","SE_DailyMeanSurfaceTemperature","MeanGaussianTemperature","AbsoluteMinGaussianTemperature","AbsoluteMaxGaussianTemperature","AbsoluteGaussianTemperatureRange","AverageDailyMinimumGaussianTemperature","AverageDailyMaximumGaussianTemperature","AverageDailyGaussianTemperatureDifference","SD_DailyMeanGaussianTemperature","SE_DailyMeanGaussianTemperature","","","","","","","","","","","","","","","","","","","",""
"Abroscopus superciliaris","Abroscopus superciliaris","Abroscopus superciliaris","","1","{Bushuev, 2021 #4649}","2","1","N","13","","6.7","BMR","","26.50","flow","Cat Tien National Park, Vietnam","11.41666667","107.41666667","25.04.2016, 25.04.2016, 06.05.2017, 14.05.2017, 08.03.2018, 17.04.2018, 21.04.2018, 23.04.2018, 09.05.2018, 16.03.2019, 16.03.2019, 22.04.2020, 25.05.2020","25.04.2016, 25.04.2016, 06.05.2017, 14.05.2017, 08.03.2018, 17.04.2018, 21.04.2018, 23.04.2018, 09.05.2018, 16.03.2019, 16.03.2019, 22.04.2020, 25.05.2020","N","Spring","NA","Tropical","Old","","Cat Tien National Park, Vietnam","11.41666667","107.41666667","P","Passeriformes","140","13.252732243771","27.58835256","22.67511108","35.86732364","13.19221256","24.52333314","31.03602745","6.512694316","1.193431521","0.143672272","28.25700839","21.36767379","41.68993011","20.32225632","24.51615724","33.1511876","8.635030353","1.697481779","0.204352792","","","","","","","","","","","","","","","","","","","",""
"Acanthagenys rufogularis","Acanthagenys rufogularis","Acanthagenys rufogularis","","1","{Bech, 2016 #2143}","2","1","N","7","NA","43.40","BMR","","114.00","flow","Fowlers Gap Research Station, NSW","-34.25","153.53","01.09.2007","01.11.2007","N","Winter","NA","Sub","Old","","Fowlers Gap Research Station, NSW","-34.25","153.53","P","Passeriformes","0","-34.25","17.04887436","11.56164","24.51773224","12.95609224","15.84357679","18.15292617","2.309349384","2.323684449","0.28178813","18.04217591","13.70450582","23.04656565","9.342059835","17.20561705","18.9271879","1.721570851","1.868076083","0.2265375","","","","","","","","","","","","","","","","","","","",""
"Acanthis cannabina","Linaria cannabina","Carduelis cannabina","","1","{Gavrilov, 2017 #3482}","NA","NA","N","4","","16.9","BMR","","61","close","","","","","","","Autumn","","NA","Old","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acanthis cannabina","Linaria cannabina","Carduelis cannabina","","2","{Gelineo, 1955 #3857}","1","","D","","","15.5","BMR","","64","NA","","","","","","","","","NA","Old","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acanthis flammea","Acanthis flammea","Carduelis flammea","","1","{Pohl, 1973 #3827}","2","2","N","7","","15.60","BMR","","73.57","flow","Fairbanks","64.85791","-147.826475","1/10/1972","1/27/1972","N","Winter","N","Temperate","Old","","Fairbanks","64.85791","-147.826475","P","Passeriformes","0","64.85791","-27.20103838","-41.50800923","-5.705146029","35.8028632","-28.92439535","-25.24514691","3.679248447","6.856565789","1.399590631","-28.2213387","-44.75708773","-3.843239217","40.91384852","-30.37819385","-25.59359282","4.784601035","7.303756606","1.490873074","","","","","","","","","","","","","","","","","","","",""
"Acanthis flammea","Acanthis flammea","Carduelis flammea","","1","{Pohl, 1973 #3827}","2","2","N","8","","13.30","BMR","","47.95","flow","Fairbanks","64.85791","-147.826475","6/15/1971","6/24/1971","N","Summer","N","Temperate","Old","","Fairbanks","64.85791","-147.826475","P","Passeriformes","0","64.85791","10.33565551","1.578857805","17.60661424","16.02775644","8.003933406","12.65228096","4.648347552","3.341799937","0.835449984","9.240138174","-0.502386639","17.60801512","18.11040176","5.437858173","12.08995694","6.65209877","2.764778018","0.691194504","","","","","","","","","","","","","","","","","","","",""
"Acanthis flammea","Acanthis flammea","Carduelis flammea","","1","{Pohl, 1973 #3827}","2","2","D","15","","13.10","BMR","","52.74","flow","Fairbanks","64.85791","-147.826475","7/2/1968","7/8/1968","N","Summer","N","Temperate","Old","","Fairbanks","64.85791","-147.826475","P","Passeriformes","0","64.85791","10.82948279","6.072333706","17.22453343","11.15219973","9.046058485","12.38028168","3.334223193","2.233289305","0.619403008","10.64533472","3.679158958","18.45388654","14.77472758","7.185528524","13.15329683","5.96776831","2.242648641","0.621998821","","","","","","","","","","","","","","","","","","","",""
"Acanthis flammea","Acanthis flammea","Carduelis flammea","","1","{Pohl, 1973 #3827}","2","2","D","8","","13.8","BMR","","85.79","flow","Fairbanks","64.85791","-147.826475","16.01.1969, 21.02.1969","24.01.1969, 26.02.1969","N","Winter","N","Temperate","Old","","Fairbanks","64.85791","-147.826475","P","Passeriformes","0","64.85791","-19.78372212","-40.54760888","-3.046769865","37.50083902","-21.88281627","-17.97321022","3.909606047","12.05376969","2.319749059","-21.30141005","-45.10715763","-4.594229946","40.51292768","-23.92849941","-18.53612951","5.3923699","12.42357446","2.39091802","","","","","","","","","","","","","","","","","","","",""
"Acanthis flammea","Acanthis flammea","Carduelis flammea","","1","{Gavrilov, 2014 #1688}","NA","NA","N","16","","14","BMR","","51.5","close","","","","","","","Summer","","NA","Old","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acanthis flammea","Acanthis flammea","Carduelis flammea","","1","{Gavrilov, 2014 #1688}","NA","NA","N","16","","14.3","BMR","","61","close","","","","","","","Winter","","NA","Old","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
