scinam,longevity,origin,data_sources
accipiter cooperii,12,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
accipiter gentilis,19.75,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
accipiter nisus,20.25,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
accipiter striatus,13,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
acridotheres cristatellus,11.2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
acrocephalus arundinaceus,10,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
acrocephalus dumetorum,7.75,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
acrocephalus familiaris,5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
acrocephalus melanopogon,9.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
acrocephalus palustris,9.083,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
acrocephalus schoenobaenus,10.083,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
acrocephalus scirpaceus,12,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
acrocephalus stentoreus,10.583,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
actitis hypoleucos,14.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
actitis macularia,12,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aechmophorus occidentalis,14,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aegolius acadicus,7.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aegolius funereus,11,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aegypius monachus,25.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aeronautes saxatalis,5.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aethia cristatella,7.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aethia pusilla,4.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
agapornis fischeri,12.6,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
agapornis lilianae,19.2,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
agapornis pullarius,18,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
agapornis taranta,14.6,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
agelaius phoeniceus,15.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
agelaius tricolor,12,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ailuroedus crassirostris,4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aimophila aestivalis,3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aimophila quinquestriata,4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aimophila ruficeps,3.2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aix galericulata,8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aix sponsa,22.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
alca torda,6.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
alectoris rufa,6.25,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
alectura lathami,11,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
alle alle,16,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
