"","species_name","GhAhSkew_seq_begining","GhAhSkew_start_codon"
"1","Aerodramus bartschi","0.052790346907994","0.335291813552683"
"2","Aerodramus brevirostris","0.122084452036649","0.137198955847293"
"3","Aerodramus elaphrus","0.00726126054956485","-0.315039318479685"
"4","Aerodramus francicus","-0.0420168067226891","0.242276044092532"
"5","Aerodramus fuciphagus","0.243388988380653","0.224697589105893"
"6","Aerodramus germani","0.404693853534663","0.37407844369604"
"7","Aerodramus hirundinaceus","0.387755102040816","-0.12"
"8","Aerodramus inexpectatus","0.34020618556701","0.368421052631579"
"9","Aerodramus leucophaeus","-0.102197802197802","0.876876876876877"
"10","Aerodramus maximus","0.36433838472631","0.177111067807967"
"11","Aerodramus mearnsi","-0.327731092436975","0.906976744186046"
"12","Aerodramus ocistus","0.0853177619318772","0.187658915094168"
"13","Aerodramus papuensis","-0.34453781512605","0.675"
"14","Aerodramus salangana","0.270779533410195","0.281513414869023"
"15","Aerodramus sawtelli","0.286686310791829","-0.0293610710277377"
"16","Aerodramus sororum","-0.317056919855321","0.288484136310223"
"17","Aerodramus spodiopygius","0.289056468700432","0.213568900476188"
"18","Aerodramus terraereginae","0.39233918128655","0.410314980969187"
"19","Aerodramus vanikorensis","0.451731285032085","0.455162098564311"
"20","Aerodramus vulcanorum","0.262295081967213","0.262295081967213"
"21","Aerodramus whiteheadi","0.777777777777778","0.769230769230769"
"22","Aeronautes saxatalis","0.6","0.6"
"23","Apus acuticauda","0.120401810979061","0.146179401993355"
"24","Apus affinis","0.190176863845205","0.179803755668558"
"25","Apus alexandri","0.0528541226215645","0.349598715890851"
"26","Apus apus","0.14515865911936","0.134437914619813"
"27","Apus balstoni","0.304855786783498","0.32469342251951"
"28","Apus barbatus","0.120214190093708","0.240143369175627"
"29","Apus batesi","-0.0501893939393939","0.160033514872225"
"30","Apus berliozi","0.145193943532036","0.14791484991898"
"31","Apus bradfieldi","-0.0747904577691812","-0.352579524191393"
"32","Apus caffer","-0.173575623743628","0.109634770736147"
"33","Apus horus","0.575","0.244444444444444"
"34","Apus niansae","0.191489361702128","0.227272727272727"
"35","Apus nipalensis","-0.0609911443490236","0.192492269635127"
"36","Apus pacificus","0.402887729893245","0.145067418553955"
"37","Apus pallidus","-0.0529660908660123","0.213609904327902"
"38","Apus unicolor","0.4125","-0.0607655502392345"
"39","Chaetura chapmani","-0.302325581395349","0.267175572519084"
"40","Chaetura cinereiventris","0.241935483870968","0.724137931034483"
"41","Chaetura pelagica","-0.0662256976606435","0.024363865356584"
"42","Chaetura vauxi","0.195805789833599","0.208333333333333"
"43","Collocalia affinis","0.515176340647827","0.203690067064779"
"44","Collocalia dodgei","-0.298573975044563","0.631900853050056"
"45","Collocalia esculenta","0.188312663780512","0.0673008627040933"
"46","Collocalia linchi","0.0256832620783515","-0.019532830748033"
"47","Collocalia troglodytes","0.256096866096866","0.671175523349436"
"48","Collocalia uropygialis","-0.330218068535826","-0.0421052631578947"
"49","Cypsiurus balasiensis","0.253604804185764","0.211873332634075"
"50","Cypsiurus parvus","0.137130291014023","0.139880952380952"
"51","Hirundapus caudacutus","0.676523297491039","0.333485297469797"
"52","Hydrochous gigas","0.510380185420912","0.425031565656566"
"53","Neafrapus cassini","0.206611570247934","-0.403846153846154"
"54","Raphidura leucopygialis","0.229508196721311","0.225225225225225"
"55","Tachymarptis aequatorialis","0.0094658553076403","0.0793763288447909"
"56","Tachymarptis melba","0.0846400405893407","0.211354131569635"
"57","Cypseloides fumigatus","0.40733140504482","0.244838056680162"
"58","Cypseloides niger","0.0885593220338983","0.426834969611968"
"59","Streptoprocne zonaris","0.228991596638655","-0.0707151300236407"
"60","Hemiprocne comata","-0.100876598494674","0.332766894777372"
"61","Hemiprocne longipennis","-0.257575757575758","-0.296"
"62","Hemiprocne mystacea","0.239212038125082","0.538992042440318"
"63","Adelomyia melanogenys","0.720521019568551","0.720521019568551"
"64","Aglaeactis cupripennis","0.473684210526316","0.5"
"65","Aglaiocercus kingii","0.739837398373984","0.272727272727273"
"66","Amazilia brevirostris","0.591397849462366","0.234375"
"67","Amazilia handleyi","0.54639175257732","0.254237288135593"
"68","Amazilia millerii","0.649484536082474","0.255813953488372"
"69","Amazilia rondoniae","0.510204081632653","0.296"
"70","Amazilia rutila","-0.321428571428571","0.428571428571429"
"71","Amazilia tzacatl","0.181972789115646","0.399920492943749"
"72","Amazilia versicolor","0.628865979381443","0.25"
"73","Androdon aequatorialis","0.612903225806452","0.604395604395604"
"74","Anthracothorax prevostii","0.206818181818182","0.0395448079658606"
"75","Archilochus colubris","-0.108545612602408","0.21557012755758"
"76","Basilinna leucotis","-0.294964028776978","0.769230769230769"
"77","Basilinna xantusii","0.175043834015196","-0.044015444015444"
"78","Calliphlox amethystina","0.627450980392157","0.209677419354839"
"79","Calypte anna","-0.221230158730159","0.34297520661157"
"80","Chalcostigma herrani","-0.533333333333333","-0.739130434782609"
"81","Chalcostigma ruficeps","-0.470588235294118","0.666666666666667"
"82","Chlorostilbon lucidus","0.21875","-0.283582089552239"
"83","Chrysolampis mosquitus","0.203125","-0.27007299270073"
"84","Coeligena bonapartei","0.122619047619048","-0.259265988372093"
"85","Coeligena coeligena","0.333333333333333","-0.529411764705882"
"86","Coeligena helianthea","0.126548752834467","0.567094634463955"
"87","Coeligena iris","-0.111111111111111","0.222222222222222"
"88","Colibri coruscans","0.169811320754717","0.65"
"89","Doryfera ludovicae","0.582417582417582","-0.389473684210526"
"90","Eriocnemis nigrivestis","-0.257142857142857","-0.241379310344828"
"91","Eulampis holosericeus","0.701149425287356","-0.219047619047619"
"92","Eupetomena macroura","0.028101802757158","0.46031746031746"
"93","Eutoxeres aquila","0.163265306122449","-0.22"
"94","Florisuga fusca","0.235772357723577","-0.294964028776978"
"95","Florisuga mellivora","0.316666666666667","-0.287878787878788"
