"","species_name","order"
"1","Acanthagenys_rufogularis","Passeriformes"
"2","Acanthiza_apicalis","Passeriformes"
"3","Acanthiza_pusilla","Passeriformes"
"4","Acrocephalus_brevipennis","Passeriformes"
"5","Acrocephalus_mendanae","Passeriformes"
"6","Actitis_hypoleucos","Charadriiformes"
"7","Adelomyia_melanogenys","Apodiformes"
"11","Aegithalos_caudatus","Passeriformes"
"12","Aegithalos_concinnus","Passeriformes"
"13","Aethopyga_pulcherrima","Passeriformes"
"14","Agelaius_phoeniceus","Passeriformes"
"16","Alauda_arvensis","Passeriformes"
"17","Alcippe_morrisonia","Passeriformes"
"18","Alectoris_chukar","Galliformes"
"20","Alectoris_rufa","Galliformes"
"21","Alethe_diademata","Passeriformes"
"23","Alethe_poliocephala","Passeriformes"
"24","Alophoixus_ochraceus","Passeriformes"
"26","Alophoixus_pallidus","Passeriformes"
"27","Amazilia_cyanocephala","Apodiformes"
"29","Amazilia_cyanura","Apodiformes"
"30","Amazilia_rutila","Apodiformes"
"32","Amazilia_tzacatl","Apodiformes"
"33","Amazilia_violiceps","Apodiformes"
"34","Amazilia_yucatanensis","Apodiformes"
"35","Amazona_aestiva","Psittaciformes"
"36","Amazona_albifrons","Psittaciformes"
"38","Amazona_leucocephala","Psittaciformes"
"42","Amazona_ochrocephala","Psittaciformes"
"44","Ammodramus_humeralis","Passeriformes"
"45","Ammodramus_maritimus","Passeriformes"
"46","Amphispiza_bilineata","Passeriformes"
"47","Amytornis_merrotsyi","Passeriformes"
"48","Amytornis_textilis","Passeriformes"
"49","Anairetes_nigrocristatus","Passeriformes"
"50","Anairetes_reguloides","Passeriformes"
"51","Anas_platyrhynchos","Anseriformes"
"55","Anas_poecilorhyncha","Anseriformes"
"56","Anodorhynchus_hyacinthinus","Psittaciformes"
"58","Anser_anser","Anseriformes"
"59","Anser_cygnoides","Anseriformes"
"65","Anthus_chloris","Passeriformes"
"67","Anthus_correndera","Passeriformes"
"68","Anthus_gustavi","Passeriformes"
"69","Anthus_trivialis","Passeriformes"
"70","Antilophia_galeata","Passeriformes"
"72","Ara_macao","Psittaciformes"
"81","Arachnothera_everetti","Passeriformes"
"82","Arachnothera_longirostra","Passeriformes"
"84","Arremon_aurantiirostris","Passeriformes"
"85","Arremon_brunneinucha","Passeriformes"
"87","Arremon_taciturnus","Passeriformes"
"88","Artamus_cinereus","Passeriformes"
"89","Artamus_cyanopterus","Passeriformes"
"90","Artamus_personatus","Passeriformes"
"93","Artamus_superciliosus","Passeriformes"
"96","Artisornis_metopias","Passeriformes"
"99","Atlapetes_albinucha","Passeriformes"
"101","Atlapetes_personatus","Passeriformes"
"103","Attila_spadiceus","Passeriformes"
"104","Aulacorhynchus_derbianus","Piciformes"
"106","Aulacorhynchus_haematopygus","Piciformes"
"108","Aulacorhynchus_prasinus","Piciformes"
"110","Aulacorhynchus_sulcatus","Piciformes"
"112","Auriparus_flaviceps","Passeriformes"
"113","Automolus_infuscatus","Passeriformes"
"114","Automolus_ochrolaemus","Passeriformes"
"115","Automolus_rubiginosus","Passeriformes"
"117","Baeolophus_inornatus","Passeriformes"
"118","Bambusicola_thoracicus","Galliformes"
"119","Barnardius_zonarius","Psittaciformes"
"120","Basileuterus_belli","Passeriformes"
"122","Basileuterus_tristriatus","Passeriformes"
"123","Batis_mixta","Passeriformes"
"125","Bleda_canicapillus","Passeriformes"
"127","Bleda_eximius","Passeriformes"
"129","Bleda_notatus","Passeriformes"
"131","Bleda_syndactylus","Passeriformes"
"133","Brachypteryx_montana","Passeriformes"
"135","Brachyramphus_marmoratus","Charadriiformes"
"136","Bradypterus_graueri","Passeriformes"
"137","Brotogeris_chrysoptera","Psittaciformes"
"139","Brotogeris_cyanoptera","Psittaciformes"
"140","Bubo_bubo","Strigiformes"
