,species_name,Ability_to_fly,Ability_to_dive
,Acanthagenys_rufogularis,flying,non_diving
,Acanthiza_apicalis,flying,non_diving
,Acanthiza_pusilla,flying,non_diving
,Acrocephalus_brevipennis,flying,non_diving
,Acrocephalus_mendanae,flying,non_diving
,Actitis_hypoleucos,flying,diving
,Adelomyia_melanogenys,flying,non_diving
,Aegithalos_caudatus,flying,non_diving
,Aegithalos_concinnus,flying,non_diving
,Aethopyga_pulcherrima,flying,non_diving
,Agelaius_phoeniceus,flying,non_diving
,Alauda_arvensis,flying,non_diving
,Alcippe_morrisonia,flying,non_diving
,Alectoris_chukar,can_fly,non_diving
,Alectoris_rufa,can_fly,non_diving
,Alethe_diademata,can_fly,non_diving
,Alethe_poliocephala,flying,non_diving
,Alophoixus_ochraceus,flying,non_diving
,Alophoixus_pallidus,flying,non_diving
,Amazilia_cyanocephala,flying,non_diving
,Amazilia_cyanura,flying,non_diving
,Amazilia_rutila,flying,non_diving
,Amazilia_tzacatl,flying,non_diving
,Amazilia_violiceps,flying,non_diving
,Amazilia_yucatanensis,flying,non_diving
,Amazona_aestiva,flying,non_diving
,Amazona_albifrons,flying,non_diving
,Amazona_leucocephala,flying,non_diving
,Amazona_ochrocephala,flying,non_diving
,Ammodramus_humeralis,flying,non_diving
,Ammodramus_maritimus,flying,non_diving
,Amphispiza_bilineata,flying,non_diving
,Amytornis_merrotsyi,flying,non_diving
,Amytornis_textilis,flying,non_diving
,Anairetes_nigrocristatus,flying,non_diving
,Anairetes_reguloides,flying,non_diving
,Anas_platyrhynchos,flying,diving
,Anas_poecilorhyncha,flying,diving
,Anodorhynchus_hyacinthinus,flying,diving
,Anser_anser,flying,diving
,Anser_cygnoides,flying,diving
,Anthus_chloris,flying,non_diving
,Anthus_correndera,flying,non_diving
,Anthus_gustavi,flying,non_diving
,Anthus_trivialis,flying,non_diving
,Antilophia_galeata,flying,non_diving
,Ara_macao,flying,non_diving
,Arachnothera_everetti,flying,non_diving
,Arachnothera_longirostra,flying,non_diving
,Arremon_aurantiirostris,flying,non_diving
,Arremon_brunneinucha,flying,non_diving
,Arremon_taciturnus,flying,non_diving
,Artamus_cinereus,flying,non_diving
,Artamus_cyanopterus,flying,non_diving
,Artamus_personatus,flying,non_diving
,Artamus_superciliosus,flying,non_diving
,Artisornis_metopias,flying,non_diving
,Atlapetes_albinucha,flying,non_diving
,Atlapetes_personatus,flying,non_diving
,Attila_spadiceus,flying,non_diving
,Aulacorhynchus_derbianus,flying,non_diving
,Aulacorhynchus_haematopygus,flying,non_diving
,Aulacorhynchus_prasinus,flying,non_diving
,Aulacorhynchus_sulcatus,flying,non_diving
,Auriparus_flaviceps,flying,non_diving
,Automolus_infuscatus,flying,non_diving
,Automolus_ochrolaemus,flying,non_diving
,Automolus_rubiginosus,flying,non_diving
,Baeolophus_inornatus,flying,non_diving
,Bambusicola_thoracicus,can_fly,non_diving
,Barnardius_zonarius,flying,non_diving
,Basileuterus_belli,flying,non_diving
,Basileuterus_tristriatus,flying,non_diving
,Batis_mixta,flying,non_diving
,Bleda_canicapillus,flying,non_diving
,Bleda_eximius,flying,non_diving
,Bleda_notatus,flying,non_diving
,Bleda_syndactylus,flying,non_diving
,Brachypteryx_montana,flying,non_diving
,Brachyramphus_marmoratus,flying,diving
,Bradypterus_graueri,flying,non_diving
,Brotogeris_chrysoptera,flying,non_diving
,Brotogeris_cyanoptera,flying,non_diving
,Bubo_bubo,flying,non_diving
,Bubo_virginianus,flying,non_diving
,Bubulcus_ibis,flying,non_diving
,Buccanodon_duchaillui,flying,non_diving
,Bulweria_bulwerii,flying,diving
,Burhinus_oedicnemus,can_fly,non_diving
,Buteo_lineatus,flying,non_diving
,Buthraupis_eximia,flying,non_diving
,Cacatua_haematuropygia,flying,non_diving
,Cacicus_melanicterus,flying,non_diving
,Calamanthus_campestris,flying,non_diving
,Calamanthus_fuliginosus,flying,non_diving
,Calandrella_brachydactyla,flying,non_diving
,Calandrella_cinerea,flying,non_diving
,Calandrella_rufescens,flying,non_diving
,Calcarius_lapponicus,flying,non_diving
,Calidris_ptilocnemis,flying,non_diving
,Calocitta_formosa,flying,non_diving
,Calothorax_lucifer,flying,non_diving
,Calyptophilus_tertius,flying,non_diving
,Calyptorhynchus_banksii,flying,non_diving
,Campethera_caroli,flying,non_diving
,Campethera_nivosa,flying,non_diving
,Campylopterus_curvipennis,flying,non_diving
,Campylopterus_largipennis,flying,non_diving
,Campylorhamphus_procurvoides,flying,non_diving
,Campylorhynchus_brunneicapillus,flying,non_diving
,Campylorhynchus_rufinucha,flying,non_diving
,Capito_auratus,flying,non_diving
,Cardinalis_cardinalis,flying,non_diving
,Carpodacus_erythrinus,flying,non_diving
,Carpodacus_pulcherrimus,flying,non_diving
,Carpodacus_vinaceus,flying,non_diving
,Caryothraustes_canadensis,flying,non_diving
,Catharus_bicknelli,flying,non_diving
,Catharus_frantzii,flying,non_diving
,Catharus_fuscater,flying,non_diving
,Catharus_fuscescens,flying,non_diving
,Catharus_guttatus,flying,non_diving
,Catharus_minimus,flying,non_diving
,Catharus_ustulatus,flying,non_diving
,Celeus_elegans,flying,non_diving
,Celeus_grammicus,flying,non_diving
,Celeus_torquatus,flying,non_diving
,Celeus_undatus,flying,non_diving
,Cercococcyx_montanus,flying,non_diving
,Cercomacra_cinerascens,flying,non_diving
,Certhia_americana,flying,non_diving
,Certhia_familiaris,flying,non_diving
,Ceyx_lepidus,flying,can_dive
,Ceyx_melanurus,flying,can_dive
,Chalcophaps_indica,flying,non_diving
,Chamaea_fasciata,flying,non_diving
,Charadrius_alexandrinus,flying,non_diving
,Chiroxiphia_caudata,flying,non_diving
,Chiroxiphia_pareola,flying,non_diving
,Chlorocharis_emiliae,flying,non_diving
,Chlorophanes_spiza,flying,non_diving
,Chloropsis_cochinchinensis,flying,non_diving
,Chloropsis_hardwickii,flying,non_diving
,Chlorornis_riefferii,flying,non_diving
,Chlorospingus_ophthalmicus,flying,non_diving
,Chlorospingus_semifuscus,flying,non_diving
,Chondrohierax_uncinatus,flying,non_diving
,Chordeiles_pusillus,flying,non_diving
,Chrysolophus_pictus,can_fly,non_diving
,Cinclodes_albiventris,flying,non_diving
,Cinclosoma_castanotum,flying,non_diving
,Cinclosoma_punctatum,flying,non_diving
,Cinclus_cinclus,flying,can_dive
,Circus_pygargus,flying,non_diving
,Cistothorus_platensis,can_fly,non_diving
,Clangula_hyemalis,flying,diving
,Climacteris_picumnus,flying,non_diving
,Climacteris_rufus,flying,non_diving
,Cnemotriccus_fuscatus,flying,non_diving
,Coccothraustes_coccothraustes,flying,non_diving
,Coccyzus_americanus,flying,non_diving
,Coeligena_bonapartei,flying,non_diving
,Coeligena_coeligena,flying,non_diving
,Coeligena_helianthea,flying,non_diving
,Coeligena_torquata,flying,non_diving
,Coereba_flaveola,flying,non_diving
,Colaptes_campestris,flying,non_diving
,Colibri_thalassinus,flying,non_diving
,Collocalia_esculenta,flying,non_diving
,Colluricincla_harmonica,flying,non_diving
,Colluricincla_megarhyncha,flying,non_diving
,Columba_livia,flying,non_diving
,Columbina_passerina,can_fly,non_diving
,Conirostrum_cinereum,flying,non_diving
,Copsychus_luzoniensis,flying,non_diving
,Copsychus_malabaricus,flying,non_diving
,Copsychus_saularis,flying,non_diving
,Cormobates_leucophaea,flying,non_diving
,Corvus_brachyrhynchos,flying,can_dive
,Corvus_corax,flying,non_diving
,Corvus_corone,flying,can_dive
,Corvus_macrorhynchos,flying,non_diving
,Corvus_splendens,flying,can_dive
,Coryphospingus_cucullatus,flying,non_diving
,Cossypha_caffra,flying,non_diving
,Cracticus_nigrogularis,flying,non_diving
,Cracticus_torquatus,flying,non_diving
,Crax_rubra,can_fly,non_diving
,Criniger_calurus,flying,non_diving
,Cyanerpes_cyaneus,flying,non_diving
,Cyanocitta_stelleri,flying,non_diving
,Cyanoliseus_patagonus,flying,non_diving
,Cyanopica_cyanus,flying,non_diving
,Cyclarhis_gujanensis,flying,non_diving
,Cymbilaimus_lineatus,flying,non_diving
,Cynanthus_latirostris,flying,non_diving
,Cyornis_hainanus,flying,non_diving
,Cyornis_rufigastra,flying,non_diving
,Dacelo_leachii,flying,can_dive
,Daphoenositta_chrysoptera,flying,non_diving
,Dendrexetastes_rufigula,flying,non_diving
,Dendrocincla_fuliginosa,flying,non_diving
,Dendrocolaptes_certhia,flying,non_diving
,Dendrocolaptes_hoffmannsi,flying,non_diving
,Dendrocolaptes_picumnus,flying,non_diving
,Dendrocolaptes_platyrostris,flying,non_diving
,Dendrocolaptes_sanctithomae,flying,non_diving
,Dendrocopos_major,flying,non_diving
,Dendropicos_fuscescens,flying,non_diving
,Dicaeum_hypoleucum,flying,non_diving
,Dicaeum_trigonostigma,flying,non_diving
,Dicrurus_adsimilis,flying,non_diving
,Dicrurus_forficatus,flying,non_diving
,Dicrurus_hottentottus,flying,non_diving
,Dicrurus_leucophaeus,flying,non_diving
,Dicrurus_ludwigii,flying,non_diving
,Dicrurus_modestus,flying,non_diving
,Diglossa_caerulescens,flying,non_diving
,Diglossa_cyanea,flying,non_diving
,Drymodes_brunneopygia,flying,non_diving
,Dryolimnas_cuvieri,non_flying,can_dive
,Elaenia_chiriquensis,flying,non_diving
,Elaenia_flavogaster,flying,non_diving
,Elaenia_parvirostris,flying,non_diving
,Elaenia_ruficeps,flying,non_diving
,Eleothreptus_candicans,flying,non_diving
,Emberiza_citrinella,flying,non_diving
,Emberiza_godlewskii,flying,non_diving
,Emberiza_leucocephalos,flying,non_diving
,Emberiza_schoeniclus,flying,non_diving
,Emberiza_striolata,flying,non_diving
,Emberizoides_herbicola,flying,non_diving
,Empidonax_alnorum,flying,non_diving
,Empidonax_difficilis,flying,non_diving
,Empidonax_flaviventris,flying,non_diving
,Empidonax_minimus,flying,non_diving
,Empidonax_traillii,flying,non_diving
,Empidonax_wrightii,flying,non_diving
,Entomyzon_cyanotis,flying,non_diving
,Eopsaltria_australis,flying,non_diving
,Eopsaltria_griseogularis,flying,non_diving
,Epinecrophylla_haematonota,flying,non_diving
,Eremophila_alpestris,flying,non_diving
,Erithacus_rubecula,flying,non_diving
,Estrilda_astrild,flying,non_diving
,Eucometis_penicillata,flying,non_diving
,Eumyias_albicaudatus,flying,non_diving
,Eumyias_panayensis,flying,non_diving
,Euphonia_affinis,flying,non_diving
,Euphonia_gouldi,flying,non_diving
,Falco_cherrug,flying,non_diving
,Falco_hypoleucos,flying,non_diving
,Falco_peregrinus,flying,non_diving
,Falco_tinnunculus,flying,non_diving
,Ficedula_basilanica,flying,non_diving
,Ficedula_hyperythra,flying,non_diving
,Ficedula_nigrorufa,flying,non_diving
,Formicarius_analis,can_fly,non_diving
,Formicarius_colma,can_fly,non_diving
,Formicivora_grisea,flying,non_diving
,Formicivora_serrana,flying,non_diving
,Forpus_modestus,flying,non_diving
,Forpus_passerinus,flying,non_diving
,Foudia_madagascariensis,flying,non_diving
,Foulehaio_carunculatus,flying,non_diving
,Fringilla_coelebs,flying,can_dive
,Galbula_albirostris,flying,non_diving
,Galbula_cyanicollis,flying,non_diving
,Galbula_dea,flying,non_diving
,Galbula_leucogastra,flying,non_diving
,Galerida_cristata,flying,non_diving
,Gallus_gallus,can_fly,non_diving
,Garrulax_canorus,flying,non_diving
,Garrulax_chinensis,flying,non_diving
,Garrulax_pectoralis,flying,non_diving
,Garrulax_taewanus,flying,non_diving
,Garrulus_glandarius,flying,non_diving
,Geothlypis_aequinoctialis,flying,non_diving
,Geothlypis_trichas,flying,non_diving
,Gerygone_levigaster,flying,non_diving
,Gerygone_magnirostris,flying,non_diving
,Gerygone_olivacea,flying,non_diving
,Gerygone_palpebrosa,flying,non_diving
,Glyphorynchus_spirurus,flying,non_diving
,Grallaria_hypoleuca,non_flying,non_diving
,Grallaria_rufula,non_flying,non_diving
,Grallaria_squamigera,non_flying,non_diving
,Granatellus_pelzelni,flying,non_diving
,Gymnorhina_tibicen,flying,non_diving
,Gyps_africanus,flying,non_diving
,Gyps_bengalensis,flying,non_diving
,Habia_fuscicauda,flying,non_diving
,Halcyon_senegalensis,flying,diving
,Harpactes_ardens,flying,non_diving
,Hemispingus_frontalis,flying,non_diving
,Hemispingus_verticalis,flying,non_diving
,Hemispingus_xanthophthalmus,flying,non_diving
,Hemithraupis_flavicollis,flying,non_diving
,Hemitriccus_diops,flying,non_diving
,Hemixos_flavala,flying,non_diving
,Henicorhina_leucophrys,flying,non_diving
,Henicorhina_leucosticta,flying,non_diving
,Herpsilochmus_rufimarginatus,flying,non_diving
,Hirundo_rustica,flying,non_diving
,Hylexetastes_perrotii,flying,non_diving
,Hylexetastes_stresemanni,flying,non_diving
,Hylia_prasina,flying,non_diving
,Hylopezus_macularius,can_fly,non_diving
,Hylophilus_decurtatus,flying,non_diving
,Hylophilus_muscicapinus,flying,non_diving
,Hylophilus_ochraceiceps,flying,non_diving
,Hylophylax_naevius,flying,non_diving
,Hypocnemis_cantator,flying,non_diving
,Hypocnemis_flavescens,flying,non_diving
,Hypothymis_azurea,flying,non_diving
,Hypsipetes_leucocephalus,flying,non_diving
,Hypsipetes_madagascariensis,flying,non_diving
,Icterus_cayanensis,flying,non_diving
,Icterus_galbula,flying,non_diving
,Icterus_gularis,flying,non_diving
,Illadopsis_fulvescens,flying,non_diving
,Iole_propinqua,flying,non_diving
,Irena_cyanogastra,flying,non_diving
,Irena_puella,flying,non_diving
,Iridosornis_analis,flying,non_diving
,Iridosornis_reinhardti,flying,non_diving
,Iridosornis_rufivertex,flying,non_diving
,Junco_hyemalis,flying,non_diving
,Junco_phaeonotus,flying,non_diving
,Lalage_tricolor,flying,non_diving
,Lampornis_amethystinus,flying,non_diving
,Laniarius_atrococcineus,flying,non_diving
,Laniarius_ferrugineus,flying,non_diving
,Laniarius_poensis,flying,non_diving
,Lanius_collaris,flying,non_diving
,Lanius_collurio,flying,non_diving
,Lanius_cristatus,flying,non_diving
,Larus_argentatus,flying,diving
,Larus_cachinnans,flying,diving
,Larus_canus,flying,diving
,Larus_dominicanus,flying,diving
,Larus_fuscus,flying,diving
,Larus_hyperboreus,flying,diving
,Lepidocolaptes_affinis,flying,non_diving
,Lepidocolaptes_angustirostris,flying,non_diving
,Lepidothrix_coronata,flying,non_diving
,Lepidothrix_iris,flying,non_diving
,Lepidothrix_nattereri,flying,non_diving
,Lepidothrix_vilasboasi,flying,non_diving
,Leptopogon_superciliaris,flying,non_diving
,Leptopogon_taczanowskii,flying,non_diving
,Leucosticte_arctoa,flying,non_diving
,Leucosticte_brandti,flying,non_diving
,Leucosticte_tephrocotis,flying,non_diving
,Lichenostomus_cratitius,flying,non_diving
,Lichenostomus_melanops,flying,non_diving
,Lichmera_indistincta,flying,non_diving
,Liocichla_steerii,flying,non_diving
,Locustella_certhiola,flying,non_diving
,Locustella_luscinioides,flying,non_diving
,Locustella_ochotensis,flying,non_diving
,Locustella_pleskei,flying,non_diving
,Lonchura_castaneothorax,flying,non_diving
,Lonchura_flaviprymna,flying,non_diving
,Lophura_nycthemera,can_fly,non_diving
,Loxia_curvirostra,flying,non_diving
,Loxigilla_violacea,flying,non_diving
,Luscinia_brunnea,flying,non_diving
,Luscinia_svecica,flying,non_diving
,Macronous_striaticeps,flying,non_diving
,Malacopteron_cinereum,flying,non_diving
,Malacopteron_magnirostre,flying,non_diving
,Malacoptila_fusca,flying,non_diving
,Malacoptila_rufa,flying,non_diving
,Malurus_amabilis,flying,non_diving
,Malurus_cyaneus,flying,non_diving
,Malurus_lamberti,flying,non_diving
,Malurus_leucopterus,flying,non_diving
,Malurus_melanocephalus,flying,non_diving
,Malurus_pulcherrimus,flying,non_diving
,Malurus_splendens,flying,non_diving
,Manacus_manacus,flying,non_diving
,Manorina_melanocephala,flying,non_diving
,Margarops_fuscatus,flying,non_diving
,Megalaima_haemacephala,flying,non_diving
,Megascops_watsonii,flying,non_diving
,Melanerpes_aurifrons,flying,non_diving
,Melanerpes_carolinus,flying,non_diving
,Melanerpes_chrysogenys,flying,non_diving
,Melanerpes_uropygialis,flying,non_diving
,Meleagris_gallopavo,can_fly,non_diving
,Meliphaga_gracilis,flying,non_diving
,Meliphaga_notata,flying,non_diving
,Melithreptus_albogularis,flying,non_diving
,Melithreptus_brevirostris,flying,non_diving
,Melithreptus_lunatus,flying,non_diving
,Melospiza_lincolnii,flying,non_diving
,Melospiza_melodia,flying,non_diving
,Melozone_leucotis,flying,non_diving
,Merops_apiaster,flying,non_diving
,Metallura_tyrianthina,flying,non_diving
,Microbates_cinereiventris,flying,non_diving
,Microbates_collaris,flying,non_diving
,Microcerculus_marginatus,flying,non_diving
,Microligea_palustris,flying,non_diving
,Milvus_migrans,flying,non_diving
,Mimus_parvulus,flying,non_diving
,Mimus_saturninus,flying,non_diving
,Mionectes_oleagineus,flying,non_diving
,Momotus_mexicanus,flying,non_diving
,Momotus_momota,flying,non_diving
,Monarcha_castaneiventris,flying,non_diving
,Monarcha_cinerascens,flying,non_diving
,Monticola_solitarius,flying,non_diving
,Montifringilla_nivalis,flying,non_diving
,Motacilla_alba,flying,non_diving
,Motacilla_cinerea,flying,non_diving
,Motacilla_citreola,flying,non_diving
,Motacilla_flava,flying,non_diving
,Muscicapa_striata,flying,non_diving
,Myadestes_genibarbis,flying,non_diving
,Myadestes_occidentalis,flying,non_diving
,Mycteria_americana,flying,non_diving
,Myiagra_ruficollis,flying,non_diving
,Myiarchus_stolidus,flying,non_diving
,Myiarchus_swainsoni,flying,non_diving
,Myiarchus_tyrannulus,flying,non_diving
,Myioborus_melanocephalus,flying,non_diving
,Myioborus_miniatus,flying,non_diving
,Myioborus_ornatus,flying,non_diving
,Myiopagis_viridicata,flying,non_diving
,Myrmeciza_loricata,flying,non_diving
,Myrmecocichla_formicivora,flying,non_diving
,Myrmoborus_myotherinus,flying,non_diving
,Myrmothera_campanisona,flying,non_diving
,Myrmotherula_axillaris,flying,non_diving
,Myrmotherula_brachyura,flying,non_diving
,Myzomela_erythrocephala,flying,non_diving
,Myzomela_obscura,flying,non_diving
,Myzomela_tristrami,flying,non_diving
,Napothera_epilepidota,flying,non_diving
,Nectarinia_olivacea,flying,non_diving
,Neopelma_chrysocephalum,flying,non_diving
,Neopelma_pallescens,flying,non_diving
,Neopelma_sulphureiventer,flying,non_diving
,Nesillas_lantzii,flying,non_diving
,Nesillas_typica,flying,non_diving
,Newtonia_amphichroa,flying,non_diving
,Newtonia_archboldi,flying,non_diving
,Newtonia_brunneicauda,flying,non_diving
,Ninox_boobook,flying,non_diving
,Ninox_philippensis,flying,non_diving
,Northiella_haematogaster,flying,non_diving
,Numenius_tahitiensis,flying,non_diving
,Oceanodroma_melania,flying,diving
,Oenanthe_hispanica,flying,non_diving
,Oenanthe_oenanthe,flying,non_diving
,Oenanthe_pleschanka,flying,non_diving
,Onychorhynchus_coronatus,flying,non_diving
,Oriolus_chinensis,flying,non_diving
,Oriolus_flavocinctus,flying,non_diving
,Orthorhyncus_cristatus,flying,non_diving
,Orthotomus_sericeus,flying,non_diving
,Otus_elegans,flying,non_diving
,Otus_megalotis,flying,non_diving
,Otus_rutilus,flying,non_diving
,Pachycephala_caledonica,flying,non_diving
,Pachycephala_hypoxantha,flying,non_diving
,Pachycephala_lanioides,flying,non_diving
,Pachycephala_melanura,flying,non_diving
,Pachycephala_pectoralis,flying,non_diving
,Pachycephala_philippinensis,flying,non_diving
,Pachyptila_crassirostris,flying,diving
,Pachyptila_vittata,flying,diving
,Pandion_haliaetus,flying,non_diving
,Paradisaea_minor,flying,non_diving
,Paradisaea_raggiana,flying,non_diving
,Paradoxornis_brunneus,flying,non_diving
,Pardalotus_punctatus,flying,non_diving
,Pardalotus_striatus,flying,non_diving
,Paroaria_coronata,flying,non_diving
,Parus_major,flying,non_diving
,Parus_monticolus,flying,non_diving
,Passer_domesticus,flying,non_diving
,Passer_hispaniolensis,flying,non_diving
,Passer_iagoensis,flying,non_diving
,Passer_montanus,flying,non_diving
,Passerculus_sandwichensis,flying,non_diving
,Passerella_iliaca,flying,non_diving
,Passerina_amoena,flying,non_diving
,Passerina_cyanea,flying,non_diving
,Pelecanoides_urinatrix,flying,diving
,Pellorneum_ruficeps,flying,non_diving
,Perisoreus_canadensis,flying,non_diving
,Phacellodomus_rufifrons,flying,non_diving
,Phaenicophilus_palmarum,flying,non_diving
,Phaethornis_bourcieri,flying,non_diving
,Phaethornis_longirostris,flying,non_diving
,Phaethornis_striigularis,flying,non_diving
,Phaethornis_superciliosus,flying,non_diving
,Phapitreron_leucotis,flying,non_diving
,Phasianus_colchicus,can_fly,non_diving
,Pheucticus_melanocephalus,flying,non_diving
,Philemon_buceroides,flying,non_diving
,Philemon_citreogularis,flying,non_diving
,Philemon_corniculatus,flying,non_diving
,Phoenicircus_carnifex,flying,non_diving
,Phoenicircus_nigricollis,flying,non_diving
,Phoeniconaias_minor,flying,non_diving
,Phylidonyris_novaehollandiae,flying,non_diving
,Phyllastrephus_debilis,flying,non_diving
,Phyllastrephus_icterinus,flying,non_diving
,Phylloscartes_ventralis,flying,non_diving
,Phylloscopus_affinis,flying,non_diving
,Phylloscopus_borealis,flying,non_diving
,Phylloscopus_canariensis,flying,non_diving
,Phylloscopus_cebuensis,flying,non_diving
,Phylloscopus_claudiae,flying,non_diving
,Phylloscopus_collybita,flying,non_diving
,Phylloscopus_goodsoni,flying,non_diving
,Phylloscopus_griseolus,flying,non_diving
,Phylloscopus_olivaceus,flying,non_diving
,Phylloscopus_poliocephalus,flying,non_diving
,Phylloscopus_sibilatrix,flying,non_diving
,Phylloscopus_trivirgatus,flying,non_diving
,Phylloscopus_trochiloides,flying,non_diving
,Phytotoma_rutila,flying,non_diving
,Piaya_cayana,flying,non_diving
,Pica_hudsonia,flying,non_diving
,Pica_pica,flying,non_diving
,Picoides_villosus,flying,non_diving
,Picumnus_exilis,flying,non_diving
,Picus_viridis,flying,non_diving
,Pinicola_enucleator,flying,non_diving
,Pionus_menstruus,flying,non_diving
,Pipilo_maculatus,flying,non_diving
,Pipra_aureola,flying,non_diving
,Pipra_fasciicauda,flying,non_diving
,Pipra_filicauda,flying,non_diving
,Pipra_mentalis,flying,non_diving
,Piprites_chloris,flying,non_diving
,Piranga_flava,flying,non_diving
,Piranga_rubra,flying,non_diving
,Pithys_albifrons,flying,non_diving
,Pitohui_kirhocephalus,flying,non_diving
,Platycercus_elegans,flying,non_diving
,Platyrinchus_coronatus,flying,non_diving
,Platyrinchus_mystaceus,flying,non_diving
,Platysteira_concreta,flying,non_diving
,Plectrophenax_nivalis,flying,non_diving
,Pluvialis_fulva,flying,non_diving
,Podiceps_auritus,flying,diving
,Poephila_acuticauda,flying,non_diving
,Pogoniulus_bilineatus,flying,non_diving
,Pogoniulus_chrysoconus,flying,non_diving
,Pogoniulus_pusillus,flying,non_diving
,Pogoniulus_subsulphureus,flying,non_diving
,Pogonocichla_stellata,flying,non_diving
,Polioptila_caerulea,flying,non_diving
,Polioptila_californica,flying,non_diving
,Polioptila_dumicola,flying,non_diving
,Polioptila_melanura,flying,non_diving
,Polioptila_nigriceps,flying,non_diving
,Polioptila_plumbea,flying,non_diving
,Polytmus_guainumbi,flying,non_diving
,Pomatorhinus_ferruginosus,flying,non_diving
,Pomatorhinus_horsfieldii,flying,non_diving
,Pomatorhinus_musicus,flying,non_diving
,Pomatorhinus_ruficollis,flying,non_diving
,Pomatorhinus_schisticeps,flying,non_diving
,Pomatostomus_superciliosus,flying,non_diving
,Premnoplex_brunnescens,flying,non_diving
,Prinia_gracilis,flying,non_diving
,Prinia_subflava,flying,non_diving
,Prionochilus_maculatus,flying,non_diving
,Prionochilus_olivaceus,flying,non_diving
,Prunella_collaris,flying,non_diving
,Prunella_modularis,flying,non_diving
,Psaltriparus_minimus,flying,non_diving
,Pterodroma_arminjoniana,flying,diving
,Pterodroma_macroptera,flying,diving
,Pterodroma_magentae,flying,diving
,Pterodroma_phaeopygia,flying,diving
,Pterodroma_sandwichensis,flying,diving
,Ptilinopus_dupetithouarsii,flying,non_diving
,Ptilocichla_mindanensis,flying,non_diving
,Ptilonorhynchus_violaceus,flying,non_diving
,Ptiloris_intercedens,flying,non_diving
,Ptiloris_magnificus,flying,non_diving
,Pycnonotus_finlaysoni,flying,non_diving
,Pycnonotus_goiavier,flying,non_diving
,Pycnonotus_jocosus,flying,non_diving
,Pycnonotus_simplex,flying,non_diving
,Pycnonotus_sinensis,flying,non_diving
,Pycnonotus_taivanus,flying,non_diving
,Pycnonotus_urostictus,flying,non_diving
,Pygoscelis_adeliae,non_flying,diving
,Pygoscelis_papua,non_flying,diving
,Pyriglena_leucoptera,flying,non_diving
,Pyrocephalus_rubinus,flying,non_diving
,Pyrrhomyias_cinnamomeus,flying,non_diving
,Pyrrhula_nipalensis,flying,non_diving
,Quiscalus_lugubris,flying,non_diving
,Quiscalus_mexicanus,flying,diving
,Quiscalus_quiscula,flying,non_diving
,Ramphocaenus_melanurus,flying,non_diving
,Ramsayornis_modestus,flying,non_diving
,Regulus_calendula,flying,non_diving
,Regulus_regulus,flying,non_diving
,Regulus_satrapa,flying,non_diving
,Remiz_macronyx,flying,non_diving
,Rhegmatorhina_gymnops,flying,non_diving
,Rhegmatorhina_melanosticta,flying,non_diving
,Rhipidura_albicollis,flying,non_diving
,Rhipidura_cockerelli,flying,non_diving
,Rhipidura_cyaniceps,flying,non_diving
,Rhipidura_javanica,flying,non_diving
,Rhipidura_nigrocinnamomea,flying,non_diving
,Rhipidura_superciliaris,flying,non_diving
,Rhopocichla_atriceps,flying,non_diving
,Riparia_riparia,flying,non_diving
,Saltator_atriceps,flying,non_diving
,Saltator_coerulescens,flying,non_diving
,Saltator_grossus,flying,non_diving
,Saltator_maximus,flying,non_diving
,Saltator_striatipectus,flying,non_diving
,Sasia_abnormis,flying,non_diving
,Saxicola_torquatus,flying,non_diving
,Schetba_rufa,flying,non_diving
,Schiffornis_turdina,flying,non_diving
,Schiffornis_virescens,flying,non_diving
,Schistochlamys_melanopis,flying,non_diving
,Sclerurus_albigularis,flying,non_diving
,Sclerurus_caudacutus,flying,non_diving
,Sclerurus_mexicanus,flying,non_diving
,Sclerurus_rufigularis,flying,non_diving
,Sclerurus_scansor,flying,non_diving
,Scytalopus_acutirostris,flying,non_diving
,Scytalopus_femoralis,flying,non_diving
,Scytalopus_latrans,flying,non_diving
,Scytalopus_pachecoi,flying,non_diving
,Scytalopus_speluncae,flying,non_diving
,Scytalopus_spillmanni,flying,non_diving
,Seiurus_aurocapilla,flying,non_diving
,Selasphorus_platycercus,flying,non_diving
,Selasphorus_sasin,flying,non_diving
,Sephanoides_sephaniodes,flying,non_diving
,Sericornis_magnirostra,flying,non_diving
,Sitta_carolinensis,flying,non_diving
,Sitta_europaea,flying,non_diving
,Sitta_oenochlamys,flying,non_diving
,Sitta_pusilla,flying,non_diving
,Sitta_tephronota,flying,non_diving
,Sittasomus_griseicapillus,flying,non_diving
,Smicrornis_brevirostris,flying,non_diving
,Spheniscus_demersus,non_flying,diving
,Sphyrapicus_ruber,flying,non_diving
,Sphyrapicus_varius,flying,non_diving
,Spindalis_dominicensis,flying,non_diving
,Spizixos_semitorques,flying,non_diving
,Sporophila_plumbea,flying,non_diving
,Stachyris_nigriceps,flying,non_diving
,Stiphrornis_erythrothorax,flying,non_diving
,Stipiturus_malachurus,flying,non_diving
,Strigops_habroptila,non_flying,non_diving
,Strix_varia,flying,non_diving
