"","species_name","order"
"1","Acanthagenys_rufogularis","Passeriformes"
"2","Acanthiza_apicalis","Passeriformes"
"3","Acanthiza_pusilla","Passeriformes"
"4","Acrocephalus_brevipennis","Passeriformes"
"5","Acrocephalus_mendanae","Passeriformes"
"6","Actitis_hypoleucos","Charadriiformes"
"7","Adelomyia_melanogenys","Apodiformes"
"8","Aegithalos_caudatus","Passeriformes"
"9","Aegithalos_concinnus","Passeriformes"
"10","Aethopyga_pulcherrima","Passeriformes"
"11","Agelaius_phoeniceus","Passeriformes"
"12","Alauda_arvensis","Passeriformes"
"13","Alcippe_morrisonia","Passeriformes"
"14","Alectoris_chukar","Galliformes"
"15","Alectoris_rufa","Galliformes"
"16","Alethe_diademata","Passeriformes"
"17","Alethe_poliocephala","Passeriformes"
"18","Alophoixus_ochraceus","Passeriformes"
"19","Alophoixus_pallidus","Passeriformes"
"20","Amazilia_cyanocephala","Apodiformes"
"21","Amazilia_cyanura","Apodiformes"
"22","Amazilia_rutila","Apodiformes"
"23","Amazilia_tzacatl","Apodiformes"
"24","Amazilia_violiceps","Apodiformes"
"25","Amazilia_yucatanensis","Apodiformes"
"26","Amazona_aestiva","Psittaciformes"
"27","Amazona_albifrons","Psittaciformes"
"28","Amazona_leucocephala","Psittaciformes"
"29","Amazona_ochrocephala","Psittaciformes"
"30","Ammodramus_humeralis","Passeriformes"
"31","Amphispiza_bilineata","Passeriformes"
"32","Amytornis_merrotsyi","Passeriformes"
"33","Amytornis_textilis","Passeriformes"
"34","Anairetes_nigrocristatus","Passeriformes"
"35","Anairetes_reguloides","Passeriformes"
"36","Anas_platyrhynchos","Anseriformes"
"37","Anas_poecilorhyncha","Anseriformes"
"38","Anser_anser","Anseriformes"
"39","Anser_cygnoides","Anseriformes"
"40","Anthus_chloris","Passeriformes"
"41","Anthus_correndera","Passeriformes"
"42","Anthus_gustavi","Passeriformes"
"43","Anthus_trivialis","Passeriformes"
"44","Antilophia_galeata","Passeriformes"
"45","Ara_macao","Psittaciformes"
"46","Arachnothera_everetti","Passeriformes"
"47","Arachnothera_longirostra","Passeriformes"
"48","Arremon_aurantiirostris","Passeriformes"
"49","Arremon_brunneinucha","Passeriformes"
"50","Arremon_taciturnus","Passeriformes"
"51","Artamus_cinereus","Passeriformes"
"52","Artamus_cyanopterus","Passeriformes"
"53","Artamus_personatus","Passeriformes"
"54","Artamus_superciliosus","Passeriformes"
"55","Artisornis_metopias","Passeriformes"
"56","Atlapetes_albinucha","Passeriformes"
"57","Atlapetes_personatus","Passeriformes"
"58","Attila_spadiceus","Passeriformes"
"59","Aulacorhynchus_derbianus","Piciformes"
"60","Aulacorhynchus_haematopygus","Piciformes"
"61","Aulacorhynchus_prasinus","Piciformes"
"62","Auriparus_flaviceps","Passeriformes"
"63","Automolus_infuscatus","Passeriformes"
"64","Automolus_ochrolaemus","Passeriformes"
"65","Automolus_rubiginosus","Passeriformes"
"66","Baeolophus_inornatus","Passeriformes"
"67","Bambusicola_thoracicus","Galliformes"
"68","Barnardius_zonarius","Psittaciformes"
"69","Basileuterus_belli","Passeriformes"
"70","Basileuterus_tristriatus","Passeriformes"
"71","Batis_mixta","Passeriformes"
"72","Bleda_canicapillus","Passeriformes"
"73","Bleda_eximius","Passeriformes"
"74","Bleda_notatus","Passeriformes"
"75","Bleda_syndactylus","Passeriformes"
"76","Brachypteryx_montana","Passeriformes"
"77","Bradypterus_graueri","Passeriformes"
"78","Brotogeris_chrysoptera","Psittaciformes"
"79","Brotogeris_cyanoptera","Psittaciformes"
"80","Bubo_bubo","Strigiformes"
"81","Bubulcus_ibis","Pelecaniformes"
"82","Buccanodon_duchaillui","Piciformes"
"83","Bulweria_bulwerii","Procellariiformes"
"84","Burhinus_oedicnemus","Charadriiformes"
