"","species_name","Mutation_AG_midori","Mutation_CT_midori"
"1","Acanthagenys rufogularis","0.265484","0.2941"
"2","Acanthiza apicalis","0.189603","0.299151"
"3","Acanthiza pusilla","0.2215","0.339408"
"4","Acrocephalus brevipennis","0.337211","0.305857"
"5","Acrocephalus mendanae","0.212246","0.214951"
"6","Actitis hypoleucos","0.107593","0.3047"
"7","Adelomyia melanogenys","0.26431925","0.3708775"
"8","Aegithalos caudatus","0.198218","0.396569"
"9","Aegithalos concinnus","0.203681","0.320935"
"10","Aethopyga pulcherrima","0.23576","0.35421"
"11","Agelaius phoeniceus","0.1644185","0.3590375"
"12","Alauda arvensis","0.232901","0.287119"
"13","Alcippe morrisonia","0.234654","0.295402"
"14","Alectoris chukar","0.1702195","0.382917"
"15","Alectoris rufa","0.312156","0.420139"
"16","Alethe diademata","0.2196785","0.236509"
"17","Alethe poliocephala","0.292405","0.506407"
"18","Alophoixus ochraceus","0.260258","0.236805"
"19","Alophoixus pallidus","0.180935","0.403963"
"20","Amazilia cyanocephala","0.24744245","0.240828"
"21","Amazilia cyanura","0.254939","0.139436"
"22","Amazilia rutila","0.2757605","0.3605265"
"23","Amazilia tzacatl","0.135923","0.353174"
"24","Amazilia violiceps","0.187367","0"
"25","Amazilia yucatanensis","0.227025","0.304762"
"26","Amazona aestiva","0.22253","0"
"27","Amazona albifrons","0.17200785","0.7262025"
"28","Amazona leucocephala","0.210061","0.39631625"
"29","Amazona ochrocephala","0.4064975","0.3033335"
"30","Ammodramus humeralis","0.123165","0.368055"
"31","Ammodramus maritimus","0.271588","0.39216"
"32","Amphispiza bilineata","0.182411","0.289856"
"33","Amytornis merrotsyi","0.236747","0.45027"
"34","Amytornis textilis","0.222112","0.255635"
"35","Anairetes nigrocristatus","0.313999","0"
"36","Anairetes reguloides","0.227998","0.447961"
"37","Anas platyrhynchos","0.192521","0.3993572"
"38","Anas poecilorhyncha","0.291953","0.395158"
"39","Anodorhynchus hyacinthinus","0.2900415","0.5"
"40","Anser anser","0.365631","0.122512"
"41","Anser cygnoides","0.19041215","0.211834833333333"
"42","Anthus chloris","0.158966","0.1931735"
"43","Anthus correndera","0.156614","0.507587"
"44","Anthus gustavi","0.148296","0.517653"
"45","Anthus trivialis","0.085178","0.36121"
"46","Antilophia galeata","0.1192753","0.37435"
"47","Ara macao","0.194821711111111","0.251336388888889"
"48","Arachnothera everetti","0.285722","0.118408"
"49","Arachnothera longirostra","0.207598","0.32577"
"50","Arremon aurantiirostris","0.256634","0.166429"
"51","Arremon brunneinucha","0.4126405","0.239289"
"52","Arremon taciturnus","0.194199","0.341415"
"53","Artamus cinereus","0.20156","0.20876"
"54","Artamus cyanopterus","0.174569","0.618006"
"55","Artamus personatus","0.266164333333333","0.335018666666667"
"56","Artamus superciliosus","0.363307333333333","0.154593"
"57","Artisornis metopias","0.188766","0.270055666666667"
"58","Atlapetes albinucha","0.453734","0.1199996"
"59","Atlapetes personatus","0.2225035","0.3302765"
"60","Attila spadiceus","0.224492","0.295695"
"61","Aulacorhynchus derbianus","0.2356895","0.2689128"
"62","Aulacorhynchus haematopygus","0.2017875","0.4142905"
"63","Aulacorhynchus prasinus","0.287451","0.304835"
"64","Aulacorhynchus sulcatus","0.3872255","0"
"65","Auriparus flaviceps","0.212134","0.392401"
"66","Automolus infuscatus","0.219002","0.222269"
"67","Automolus ochrolaemus","0.281845","0.100304"
"68","Automolus rubiginosus","0.2687735","0.252261"
"69","Baeolophus inornatus","0.171658","0.336261"
"70","Bambusicola thoracicus","0.221426","0.370399"
"71","Barnardius zonarius","0.377466","0.300453"
"72","Basileuterus belli","0.217165","0.4198775"
"73","Basileuterus tristriatus","0.257334","0.34789"
"74","Batis mixta","0.140093","0.2943205"
"75","Bleda canicapillus","0.222368","0.2180455"
"76","Bleda eximius","0.27899","0.322817"
"77","Bleda notatus","0.1826455","0.269957"
"78","Bleda syndactylus","0.230737","0.358404"
"79","Brachypteryx montana","0.219752","0.3200035"
"80","Brachyramphus marmoratus","0.253289","0"
"81","Bradypterus graueri","0.249951","0.277717"
"82","Brotogeris chrysoptera","0.2243275","0.4057775"
"83","Brotogeris cyanoptera","0.0381195","0.378825"
"84","Bubo bubo","0.160902","0.344488"
"85","Bubo virginianus","0.107177","0.129511"
"86","Bubulcus ibis","0.442644","0"
"87","Buccanodon duchaillui","0.328527","0.273133"
"88","Bulweria bulwerii","0.280324","0.48276"
"89","Burhinus oedicnemus","0.09373","0.3048445"
"90","Buteo lineatus","0.209224","0.28947"
"91","Buthraupis eximia","0.287763","0.269551"
"92","Cacatua haematuropygia","0","0"
"93","Cacicus melanicterus","0.614871","0"
"94","Calamanthus campestris","0.131833","0.403169"
"95","Calamanthus fuliginosus","0.0857631","0.341203"
"96","Calandrella brachydactyla","0.279191","0.358152"
"97","Calandrella cinerea","0.486968","0.127131"
"98","Calandrella rufescens","0","0"
"99","Calcarius lapponicus","0.218765","0"
"100","Calidris ptilocnemis","0.1691155","0.384618"
"101","Calocitta formosa","0.2037425","0.433488"
"102","Calothorax lucifer","0.0703685","0.0734545"
"103","Calyptophilus tertius","0.336969","0.421688"
"104","Calyptorhynchus banksii","0.488927","0"
"105","Campethera caroli","0.391112","0.274666"
"106","Campethera nivosa","0.259827","0.303142"
"107","Campylopterus curvipennis","0.200716","0.474125"
"108","Campylopterus largipennis","0.198678","0.314622"
"109","Campylorhamphus procurvoides","0.204497","0.504956"
"110","Campylorhynchus brunneicapillus","0.1450215","0.445165"
"111","Campylorhynchus rufinucha","0.1644535","0.321924"
"112","Capito auratus","0.205321","0.402105"
"113","Cardinalis cardinalis","0.2002345","0.3832"
"114","Carpodacus erythrinus","0.190918","0.394318"
"115","Carpodacus pulcherrimus","0.272348","0.238824"
"116","Carpodacus vinaceus","0.2120855","0.590288"
"117","Caryothraustes canadensis","0.272874","0.316018"
"118","Catharus bicknelli","0.532723","0.274147"
"119","Catharus frantzii","0.185206","0.2410065"
"120","Catharus fuscater","0.198075","0.377411"
"121","Catharus fuscescens","0.2444175","0.27363495"
"122","Catharus guttatus","0.215015871428571","0.321018285714286"
"123","Catharus minimus","0.13792575","0.543744"
