"Species","Order","Family","Family","Oscine","Migration","Habitat","Foraging_environment","Daily_activity","Diet","Clutch","ClutchMin","ClutchMax","NestingPeriod","AfterFledgingPeriod","LifeSpan","комментарии, дополнения","имя по HBW"
"Accipiter badius","Accipitriformes","Accipitridae","Accipitridae","3","resident","desert","semiarboreal","diurnal","carnivore","3","2","4","65","NA","NA","частичный мигрант; обитание - также степи, широколиств.леса;",""
"Accipiter cooperii","Accipitriformes","Accipitridae","Accipitridae","3","short-distance migrant","wet forest","volant","diurnal","carnivore","4","1","8","65","49","16.3","охота на наземную добычу с подлета",""
"Accipiter nisus","Accipitriformes","Accipitridae","Accipitridae","3","long-distance migrant","wet forest","volant","diurnal","carnivore","4.5","1","7","61","28","15","охота в воздехе или на наземную добычу с подлета",""
"Accipiter striatus","Accipitriformes","Accipitridae","Accipitridae","3","long-distance migrant","wet forest","volant","diurnal","carnivore","4.5","3","8","52","25","13","",""
"Aquila chrysaetos","Accipitriformes","Accipitridae","Accipitridae","3","short-distance migrant","meadow","terrestrial","diurnal","carnivore","2","1","3","88","180","39","часть популяции редизенты; охота с присады на наземную добычу; птенцы могут оставать в гнезде до 81 дня (тут 45дней); связь с родителями от 1 до 6 мес; продолжительность жизни в неволе до 46 лет",""
"Aquila rapax","Accipitriformes","Accipitridae","Accipitridae","3","resident","meadow","terrestrial","diurnal","carnivore","2","1","3","124","42","NA","охота с присады на наземную добычу; ",""
"Buteo buteo","Accipitriformes","Accipitridae","Accipitridae","3","short-distance migrant","meadow","terrestrial","diurnal","carnivore","3.5","1","6","90","50","25","разная миграционная активность в разных популяциях; обитают также и гнездятся в лесах, у кромки-опушки; охотится с воздуха на наземную добычу; ",""
"Buteo jamaicensis","Accipitriformes","Accipitridae","Accipitridae","3","short-distance migrant","meadow","terrestrial","diurnal","carnivore","3","2","4","76","50","25","охотится с воздуха на наземную добычу; в неволе могут дожить до 29 лет",""
"Buteo lineatus","Accipitriformes","Accipitridae","Accipitridae","3","short-distance migrant","wet forest","terrestrial","diurnal","carnivore","3.5","2","5","75","50","26","мигрирует только часть популяции; охотится с воздуха на наземную добычу; ",""
"Geranoaetus melanoleucus","Accipitriformes","Accipitridae","Accipitridae","3","resident","meadow","terrestrial","diurnal","carnivore","2","1","3","NA","NA","NA","питается - с воздуха на наземную или водную добычу",""
