"","species_name","GhAhSkew_start_codon","class"
"122","Oreonympha nobilis",1,"Aves"
"4517","Macronyx grimwoodi",1,"Aves"
"11","Aerodramus mearnsi",0.906976744186046,"Aves"
"6908","Chloephaga poliocephala",0.903225806451613,"Aves"
"6399","Poicephalus rueppellii",0.888888888888889,"Aves"
"6910","Hymenolaimus malacorhynchos",0.885714285714286,"Aves"
"9","Aerodramus leucophaeus",0.876876876876877,"Aves"
"1295","Rallina fasciata",0.875,"Aves"
"1032","Coccyzus melacoryphus",0.869188337273444,"Aves"
"451","Penelopides manillae",0.868754482428879,"Aves"
"775","Attagis malouinus",0.86046511627907,"Aves"
"4057","Heteromunia pectoralis",0.842105263157895,"Aves"
"4800","Alaudala raytal",0.839221043480116,"Aves"
"2450","Aplonis metallica",0.828571428571429,"Aves"
"3937","Epthianura aurifrons",0.828571428571429,"Aves"
"2035","Oenanthe monacha",0.827956989247312,"Aves"
"6824","Mareca americana",0.827160493827161,"Aves"
"6597","Glaucidium griseiceps",0.815789473684211,"Aves"
"1461","Thryothorus albinucha",0.813953488372093,"Aves"
"6827","Mareca sibilatrix",0.8125,"Aves"
"4075","Parmoptila jamesoni",0.810810810810811,"Aves"
"4710","Passer motitensis",0.804878048780488,"Aves"
"1267","Micropygia schomburgkii",0.8,"Aves"
"4046","Estrilda atricapilla",0.8,"Aves"
"4059","Lagonosticta larvata",0.8,"Aves"
"4997","Progne tapera",0.8,"Aves"
"1110","Falco newtoni",0.79746835443038,"Aves"
"753","Ciconia abdimii",0.796610169491525,"Aves"
"764","Leptoptilos javanicus",0.79047619047619,"Aves"
"2069","Rhinomyias additus",0.789473684210526,"Aves"
"5791","Gymnobucco calvus",0.789473684210526,"Aves"
"6548","Eudyptes pachyrhynchus",0.78752332711277,"Aves"
"4699","Passer eminibey",0.787234042553192,"Aves"
"6855","Spatula platalea",0.786666666666667,"Aves"
"6239","Agapornis lilianae",0.784532671629446,"Aves"
"6240","Agapornis nigrigenis",0.784532671629446,"Aves"
"6895","Netta peposaca",0.783783783783784,"Aves"
"6543","Aptenodytes patagonicus",0.783262264920642,"Aves"
"2320","Pitta brachyura",0.783132530120482,"Aves"
"186","Eleothreptus candicans",0.777777777777778,"Aves"
"5704","Zosterops tephropleurus",0.777777777777778,"Aves"
"5810","Stactolaema whytii",0.775510204081633,"Aves"
"6959","Penelope argyrotis",0.773584905660377,"Aves"
"6573","Athene superciliaris",0.772151898734177,"Aves"
"4957","Haplochelidon andecola",0.771428571428571,"Aves"
"6823","Lophonetta specularioides",0.770243902439024,"Aves"
"21","Aerodramus whiteheadi",0.769230769230769,"Aves"
"76","Basilinna leucotis",0.769230769230769,"Aves"
"455","Rhyticeros everetti",0.769230769230769,"Aves"
"6402","Polytelis alexandrae",0.769230769230769,"Aves"
"4682","Vermivora chrysoptera",0.768976897689769,"Aves"
"978","Halcyon smyrnensis",0.767067157441489,"Aves"
"3450","Philesturnus rufusater",0.764705882352941,"Aves"
"4582","Basileuterus chlorophrys",0.764705882352941,"Aves"
"6779","Aix sponsa",0.764705882352941,"Aves"
"6036","Ramphastos ambiguus",0.763636363636364,"Aves"
"6276","Amazona vinacea",0.762376237623762,"Aves"
"331","Haliaeetus ichthyaetus",0.761904761904762,"Aves"
"2206","Melozone aberti",0.761135781216377,"Aves"
"6546","Eudyptes filholi",0.760339816677845,"Aves"
"6806","Anas smithii",0.76,"Aves"
"4498","Anthus nilghiriensis",0.758620689655172,"Aves"
"4569","Leptocoma sericea",0.757575757575758,"Aves"
"4683","Vermivora cyanoptera",0.757575757575757,"Aves"
"845","Geotrygon purpurata",0.755102040816326,"Aves"
"1288","Porzana fluminea",0.755102040816326,"Aves"
"1131","Milvago chimango",0.754716981132076,"Aves"
"4793","Alaemon hamertoni",0.754545454545455,"Aves"
"4078","Pyrenestes minor",0.753424657534247,"Aves"
"1145","Nonnula rubecula",0.75,"Aves"
"3928","Anthornis melanura",0.75,"Aves"
"6699","Strix virgata",0.75,"Aves"
