"","species_name","GhAhSkew_seq_begining","class"
"5650","Zosterops chlorocephalus",-0.826086956521739,"Aves"
"148","Aegotheles savesi",-0.733333333333333,"Aves"
"5680","Zosterops modestus",-0.733333333333333,"Aves"
"5644","Zosterops albogularis",-0.724137931034483,"Aves"
"3519","Corvus kubaryi",-0.714285714285714,"Aves"
"3671","Laniarius ruficeps",-0.714285714285714,"Aves"
"5659","Zosterops gibbsi",-0.703703703703704,"Aves"
"1194","Eupodotis vigorsii",-0.7,"Aves"
"2277","Lepidothrix coeruleocapilla",-0.692307692307692,"Aves"
"6353","Loriculus beryllinus",-0.65,"Aves"
"1724","Geositta saxicolina",-0.647058823529412,"Aves"
"112","Lesbia nuna",-0.636363636363636,"Aves"
"385","Nisaetus pinskeri",-0.6,"Aves"
"4558","Cinnyris comorensis",-0.6,"Aves"
"4577","Promerops gurneyi",-0.6,"Aves"
"659","Himantopus novaezelandiae",-0.593103448275862,"Aves"
"5732","Egretta rufescens",-0.588235294117647,"Aves"
"3839","Vireo vicinior",-0.586206896551724,"Aves"
"6642","Ninox philippensis",-0.586206896551724,"Aves"
"1696","Cranioleuca albiceps",-0.582608695652174,"Aves"
"1715","Geositta antarctica",-0.578947368421053,"Aves"
"1718","Geositta isabellina",-0.578947368421053,"Aves"
"4939","Speirops brunneus",-0.571428571428571,"Aves"
"5902","Dryocopus confusus",-0.565217391304348,"Aves"
"3432","Tyrannus tyrannus",-0.5625,"Aves"
"6600","Glaucidium minutissimum",-0.5625,"Aves"
"379","Nisaetus kelaarti",-0.555555555555556,"Aves"
"5314","Eurillas virens",-0.55,"Aves"
"1704","Cranioleuca obsoleta",-0.549342105263158,"Aves"
"7211","Pachyornis elephantopus",-0.544785413722462,"Aves"
"5588","Pomatostomus temporalis",-0.542005722363445,"Aves"
"80","Chalcostigma herrani",-0.533333333333333,"Aves"
"1699","Cranioleuca curtata",-0.526610644257703,"Aves"
"1587","Lepidocolaptes wagleri",-0.523504273504274,"Aves"
"624","Onychoprion anaethetus",-0.521494708994709,"Aves"
"5293","Arizelocichla kikuyuensis",-0.52,"Aves"
"7213","Pachyornis mappini",-0.516258363626785,"Aves"
"5288","Andropadus chlorigula",-0.51,"Aves"
"584","Ichthyaetus leucophthalmus",-0.5,"Aves"
"4815","Calendulauda barlowi",-0.5,"Aves"
"4916","Phyllolais pulchella",-0.5,"Aves"
"6131","Pterodroma baraui",-0.5,"Aves"
"6182","Puffinus olsoni",-0.5,"Aves"
"6693","Strix nebulosa",-0.493994943109987,"Aves"
"4814","Calendulauda albescens",-0.491525423728814,"Aves"
"1835","Chaetoptila angustipluma",-0.483870967741935,"Aves"
"4816","Calendulauda burra",-0.482456140350877,"Aves"
"378","Nisaetus floris",-0.481481481481481,"Aves"
"619","Leucophaeus fuliginosus",-0.481481481481481,"Aves"
"6135","Pterodroma defilippiana",-0.481481481481481,"Aves"
"5949","Picoides temminckii",-0.478260869565217,"Aves"
"5677","Zosterops melanurus",-0.473684210526316,"Aves"
"81","Chalcostigma ruficeps",-0.470588235294118,"Aves"
"6601","Glaucidium nana",-0.469344608879493,"Aves"
"5905","Dryocopus khamensis",-0.466666666666667,"Aves"
"5585","Pomatostomus halli",-0.461538461538462,"Aves"
"5710","Zosterops xanthochroa",-0.455818965517241,"Aves"
"702","Limnodromus griseus",-0.454545454545455,"Aves"
"1279","Porphyrio madagascariensis",-0.454545454545455,"Aves"
"4582","Basileuterus chlorophrys",-0.454545454545455,"Aves"
"384","Nisaetus philippensis",-0.45034965034965,"Aves"
"5944","Mulleripicus pulverulentus",-0.45,"Aves"
"508","Charadrius falklandicus",-0.446753246753247,"Aves"
"5702","Zosterops superciliosus",-0.445601851851852,"Aves"
"6684","Pulsatrix koeniswaldiana",-0.444570008399796,"Aves"
"1210","Aramidopsis plateni",-0.444444444444444,"Aves"
"1277","Porphyrio hochstetteri",-0.439097744360902,"Aves"
"1621","Cercomacra ferdinandi",-0.43859649122807,"Aves"
"1657","Hylopezus nattereri",-0.4375,"Aves"
"5928","Melanerpes herminieri",-0.435897435897436,"Aves"
"98","Heliangelus viola",-0.428571428571429,"Aves"
"1007","Merops leschenaulti",-0.428571428571429,"Aves"
