Order;Family;Genus;species_name
Apodiformes;Trochilidae;Abeillia;Abeillia abeillei
Passeriformes;Cettiidae;Abroscopus;Abroscopus albogularis
Passeriformes;Cettiidae;Abroscopus;Abroscopus schisticeps
Passeriformes;Cettiidae;Abroscopus;Abroscopus superciliaris
Galliformes;Cracidae;Aburria;Aburria aburri
Passeriformes;Meliphagidae;Acanthagenys;Acanthagenys rufogularis
Passeriformes;Thraupidae;Acanthidops;Acanthidops bairdi
Passeriformes;Fringillidae;Acanthis;Acanthis cabaret
Passeriformes;Fringillidae;Acanthis;Acanthis flammea
Passeriformes;Fringillidae;Acanthis;Acanthis hornemanni
Passeriformes;Acanthisittidae;Acanthisitta;Acanthisitta chloris
Passeriformes;Acanthizidae;Acanthiza;Acanthiza apicalis
Passeriformes;Acanthizidae;Acanthiza;Acanthiza chrysorrhoa
Passeriformes;Acanthizidae;Acanthiza;Acanthiza cinerea
Passeriformes;Acanthizidae;Acanthiza;Acanthiza ewingii
Passeriformes;Acanthizidae;Acanthiza;Acanthiza inornata
Passeriformes;Acanthizidae;Acanthiza;Acanthiza iredalei
Passeriformes;Acanthizidae;Acanthiza;Acanthiza katherina
Passeriformes;Acanthizidae;Acanthiza;Acanthiza lineata
Passeriformes;Acanthizidae;Acanthiza;Acanthiza murina
Passeriformes;Acanthizidae;Acanthiza;Acanthiza nana
Passeriformes;Acanthizidae;Acanthiza;Acanthiza pusilla
Passeriformes;Acanthizidae;Acanthiza;Acanthiza reguloides
Passeriformes;Acanthizidae;Acanthiza;Acanthiza robustirostris
Passeriformes;Acanthizidae;Acanthiza;Acanthiza uropygialis
Passeriformes;Meliphagidae;Acanthorhynchus;Acanthorhynchus superciliosus
Passeriformes;Meliphagidae;Acanthorhynchus;Acanthorhynchus tenuirostris
Passeriformes;Acanthizidae;Acanthornis;Acanthornis magna
Accipitriformes;Accipitridae;Accipiter;Accipiter albogularis
Accipitriformes;Accipitridae;Accipiter;Accipiter atricapillus
Accipitriformes;Accipitridae;Accipiter;Accipiter badius
Accipitriformes;Accipitridae;Accipiter;Accipiter bicolor
Accipitriformes;Accipitridae;Accipiter;Accipiter brachyurus
Accipitriformes;Accipitridae;Accipiter;Accipiter brevipes
Accipitriformes;Accipitridae;Accipiter;Accipiter butleri
Accipitriformes;Accipitridae;Accipiter;Accipiter castanilius
Accipitriformes;Accipitridae;Accipiter;Accipiter chilensis
Accipitriformes;Accipitridae;Accipiter;Accipiter chionogaster
Accipitriformes;Accipitridae;Accipiter;Accipiter cirrocephalus
Accipitriformes;Accipitridae;Accipiter;Accipiter cooperii
Accipitriformes;Accipitridae;Accipiter;Accipiter erythrauchen
Accipitriformes;Accipitridae;Accipiter;Accipiter erythronemius
Accipitriformes;Accipitridae;Accipiter;Accipiter erythropus
Accipitriformes;Accipitridae;Accipiter;Accipiter fasciatus
Accipitriformes;Accipitridae;Accipiter;Accipiter francesiae
