"","Species3","GhAhSkew","ThChSkew","ability_to_fly","ability_to_dive","Mutation_AG_midori","Mutation_CT_midori","GhAhSkew_seq_beg","GhAhSkew_start_codon","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"1","Acanthisitta chloris","0.52877782840357","0.729411830547479","0","0",NA,NA,0.646198830409357,0.646198830409357,"Acanthisittidae","Passeriformes",6,3,3,0,4,12.1,6.3,2.4,2.2,18,46,6.2,38.1,13.9,23.5,6.9,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-47.28,-35.38,-42.25,172.19,152503.84,"Extant"
"2","Acanthorhynchus tenuirostris","0.434836602294101","0.671940586973683","0","0",NA,NA,-0.27025462962963,-0.265625,"Meliphagidae","Passeriformes",20,6,12,2,4,26.8,18.9,2.3,2.7,18,65.6,14.2,54.6,20.6,57.1,10.4,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Omnivore","Nectarivore","Insessorial",-43.64,-15,-33.06,147.62,763502.74,"Extant"
"3","Accipiter gentilis","0.524645387858872","0.928812484215333","0","0",NA,NA,0.135927529260487,0.125925848424762,"Accipitridae","Accipitriformes",8,4,4,0,4,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Generalist",17.1,70.39,54.91,19.06,31775270.74,"Extant"
"4","Accipiter nisus","0.431311464490703","0.862151581890108","0","0",NA,NA,0.314853762413083,0.0956421832823527,"Accipitridae","Accipitriformes",19,6,13,0,10,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.8,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Insessorial",26.9,70.53,54.67,77.29,23601609.31,"Extant"
"5","Accipiter trivirgatus","0.489543878424423","0.878619365922412","0","0",NA,NA,-0.330612244897959,0.462121212121212,"Accipitridae","Accipitriformes",15,9,4,2,12,31.7,17.3,10.5,14.1,56.9,216.2,49.6,166.1,23,171.9,265,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-8.85,31.08,13.91,101.71,3366430.69,"Extant"
"6","Accipiter virgatus","0.597351499888493","0.894703202627472","0","0",NA,NA,-0.333333333333333,0.705882352941177,"Accipitridae","Accipitriformes",15,9,5,1,13,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,117,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Generalist",-8.98,35.61,22.08,101.25,4398429.71,"Extant"
"7","Aceros waldeni","0.594925443987107","0.808683386463486","0","0",NA,NA,0.142591807909605,0.662257495590829,"Bucerotidae","Bucerotiformes",6,2,4,0,4,141.5,115.1,35.2,67.7,58.5,331,68.7,271.6,20.2,265,1146,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Insessorial",9.31,11.94,11.19,122.43,11113.86,"Extant"
"8","Acridotheres cristatellus","0.657272218064666","0.769356460193163","0","0",NA,NA,0.125,-0.287878787878788,"Sturnidae","Passeriformes",11,2,8,1,9,27.1,15.7,6.1,8.1,38.1,134,32.1,101.5,24.1,81.2,116.3,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Omnivore","Omnivore","Generalist",10.91,34.72,26.65,109.29,3073262.93,"Extant"
"9","Acridotheres tristis","0.640157112190407","0.740393447035136","0","0",NA,NA,0.172790181485834,0.0583560243766637,"Sturnidae","Passeriformes",12,2,9,1,10,26.8,16,6.4,8,38.6,139.8,32.8,106.3,23.6,84.8,116.4,"Dunning",NA,"NO",NA,NA,"Human Modified",3,2,"Carnivore","Omnivore","Terrestrial",0.81,48.29,27.06,81.59,8561587.67,"Extant"
"10","Acrocephalus scirpaceus","0.661235333948303","0.683186926794285","0","0",NA,NA,0.22189735370066,0.19049039417992,"Sylviidae","Passeriformes",17,6,11,0,4,17.4,8.8,3.4,2.8,21.7,67.1,17.4,49.9,25.8,52.2,12.3,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Invertivore","Insessorial",NA,NA,NA,NA,NA,"Extant"
"11","Acryllium vulturinum","0.520076724465526","0.842561109674049","Galliformes","0",NA,NA,0.186991869918699,0.596491228070175,"Numididae","Galliformes",7,3,4,0,4,39.7,27,15.4,16.1,94.2,300.1,59.6,238,19.9,273.4,1330,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Omnivore","Terrestrial",-5.42,9.55,3.53,41.97,1226666.24,"Extant"
"12","Aegithalos fuliginosus","0.415851954102812","0.810983864102791","0","0",NA,NA,0.142072736693778,0.0683759205307833,"Aegithalidae","Passeriformes",4,2,2,0,4,7.7,4.4,2.1,3,15.6,55.4,10.3,45,18.6,57,5.7,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Carnivore","Invertivore","Insessorial",27.25,34.68,31.85,105.43,216742.87,"Extant"
"13","Aegotheles bennettii","0.39370825254329","0.874231141813698","0","0",NA,NA,0.109038911011872,0.0414598836167464,"Aegothelidae","Apodiformes",7,4,3,0,7,16.5,5.9,4.8,4,19.8,127.5,39.6,87.8,31.1,114.9,60,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-10.73,-0.79,-5.63,143.98,199259.89,"Extant"
"14","Aegotheles cristatus","0.408340401923011","0.824866322333127","0","0",NA,NA,0.0487056879544462,0.0638449824429271,"Aegothelidae","Apodiformes",5,2,3,0,4,14,5,4,3.7,23.7,135.8,47,88.8,34.6,121.2,42.8,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",-43.64,-6.65,-25.68,134.52,7702773.06,"Extant"
"15","Aethia cristatella","0.391137330176681","0.79583341879922","0","Charadriiformes",NA,NA,-0.0666666666666667,-0.0453074433656958,"Alcidae","Charadriiformes",5,2,3,0,4,21.1,7.1,6.1,10.9,27.4,139.4,61,77.2,44.1,38,259.4,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",46.33,66.24,55.91,31.33,479141.29,"Extant"
"16","Aethopyga gouldiae","0.547267581714157","0.85448073052627","0","0",NA,NA,-0.247222222222222,0.159304511278196,"Nectariniidae","Passeriformes",4,2,2,0,4,17.9,11.8,3.2,2.9,13.9,54.5,11.5,43,21.1,57.6,5,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Omnivore","Nectarivore","Insessorial",10.69,35.49,26.41,100.5,3562401.81,"Extant"
"17","Agapornis lilianae","0.67555382174425","0.806839731209772","0","0",NA,NA,0.181853281853282,0.784532671629446,"Psittacidae","Psittaciformes",7,2,5,0,6,16,14.3,9.1,14.2,13.7,89.4,32.9,55.8,37,41.7,37.3,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Herbivore","Granivore","Generalist",-17.34,-8.37,-11.77,32.72,211312.18,"Extant"
"18","Agapornis nigrigenis","0.673376837467012","0.797699903039909","0","0",NA,NA,0.181853281853282,0.784532671629446,"Psittacidae","Psittaciformes",9,3,5,1,8,16,13.9,9.7,14.7,13,92.8,39.4,53.4,42.5,39.8,40.5,"Updated_literature","BoW","NO",NA,NA,"Woodland",2,1,"Herbivore","Granivore","Generalist",-17.78,-16.02,-16.86,25.5,14343.6,"Extant"
"19","Agapornis pullarius","0.67555382174425","0.806839731209772","0","0",NA,NA,0.31441983181369,0.114301555964914,"Psittacidae","Psittaciformes",8,2,6,0,8,16.7,14.1,9.1,12.9,11.7,90.4,35.6,54.8,39.4,41.1,39.3,"Dunning",NA,"NO",NA,NA,"Woodland",3,1,"Herbivore","Granivore","Terrestrial",-9.73,12.71,4.59,17.37,2650780.74,"Extant"
"20","Agapornis roseicollis","0.668822865661875","0.745981087854112","0","0",NA,NA,0.0811710632627893,0.206997626648393,"Psittacidae","Psittaciformes",5,2,3,0,4,19.4,17.2,10.6,17.7,13.4,100.8,41.1,59.9,40.7,45.8,53.8,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Granivore","Terrestrial",-29.62,-10.74,-20.62,16.11,455619.05,"Extant"
"21","Agelaioides badius","0.467913555579975","0.802612965593776","0","0",NA,NA,-0.13876481773678,0.517660720921591,"Icteridae","Passeriformes",15,4,7,4,4,18.3,11.6,5,8.8,25.7,91.6,15.8,75.9,17.2,74.1,45.2,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Omnivore","Omnivore","Terrestrial",-43.67,-2.79,-24.2,-56.33,4752390.8,"Extant"
