#,Species,Order,Family,Mass (g),BMR (kJ/h),Time,Food,Climate,Habitat,Torpor,Migration,Islands,Mountains,Flightless,Reference,TemperatePolar1_Tropical2_Both3,Passerines1,log_Mass,log_BMR
1,Struthio camelus,Struthioniformes,Struthionidae,92400,"209,66",N,O,TR,G,O,O,O,O,+,Withers 1983,2,2,"4,965671971","3,701726823"
2,Dromaius novaehollandiae,Casuariiformes,Dromaiidae,38900,"126,04",N,O,T,G,O,O,O,O,+,Maloney & Dawson 1994,1,2,"4,589949601","3,480719636"
3,Apteryx owenii,Apterygiformes,Apterygidae,1377,"14,21",D,I,T,F,O,O,L,O,+,McNab 1996,1,2,"3,13893394","2,53280532"
4,Apteryx haastii,Apterygiformes,Apterygidae,2529,"19,02",D,I,T,F,O,O,L,O,+,McNab 1996,1,2,"3,402948829","2,659421754"
5,Apteryx australis,Apterygiformes,Apterygidae,3137,"16,6",D,I,T,F,O,O,L,O,+,McNab 1996,1,2,"3,496514519","2,60031933"
6,Nothoprocta perdicaria,Tinamiformes,Tinamidae,458,"6,35",D,S,T,G,O,O,O,+,O,Withers et al. 1987,1,2,"2,660865478","2,182984967"
7,Callipepla gambelii,Galliformes,Odontophoridae,"126,1","2,72",N,S,T,D,O,O,O,O,O,Weathers 1981,1,2,"2,100715087","1,814780146"
8,Callipepla californica,Galliformes,Odontophoridae,"137,1","2,76",N,S/L,T,G,O,O,O,O,O,Hudson & Brush 1964,1,2,"2,137037455","1,821120324"
9,Lagopus leucurus,Phasianidae,Tetraoninae,326,"8,5",N,L,T,A,O,O,O,+,O,Johnson 1968,1,2,"2,5132176","2,309630167"
10,Lagopus mutus,Phasianidae,Tetraoninae,465,"9,86",N,L,P,T,O,O,O,+,O,Mortensen & Blix 1986,1,2,"2,667452953","2,374088157"
11,Lagopus lagopus,Phasianidae,Tetraoninae,658,"10,1",N,L,P,T,O,O,O,+,O,Mortensen & Blix 1986,1,2,"2,818225894","2,384532615"
12,Dendrogapus obscurus,Phasianidae,Tetraoninae,1131,"17,85",N,L,T,F,O,O,O,+,O,Pekins et al. 1992,1,2,"3,053462605","2,631849462"
13,Tetrao urogallus,Phasianidae,Tetraoninae,3900,"42,92",N,L,T,F,O,O,O,O,O,Kendeigh et al. 1977,1,2,"3,591064607","3,012870955"
14,Coturnix chinensis,Phasianidae,Perdicinae,"44,9","1,32",N,S,TR,G,O,O,O,O,O,Roberts & Baudinette 1986,2,2,"1,652246341","1,500785173"
15,Coturnix pectoralis,Phasianidae,Perdicinae,"95,8","2,29",N,S,T,G,O,O,O,O,O,Roberts & Baudinette 1986,1,2,"1,981365509","1,740046724"
16,Coturnix coturnix,Phasianidae,Perdicinae,97,"3,21",N,S,T,G,O,+,O,O,O,Kendeigh et al. 1977,1,2,"1,986771734","1,886716274"
