"","Taxon","Mass","LTNZ","UTNZ","TNZ","Latitude","Longitude","Acclimatization","Order","Species"
"1","Anatidae",373.1,30,37,7,-38.51,175.45,"A","Anseriformes","Anas aucklandica"
"2","Anatidae",483.3,24,37,13,-41.171,175.1,"A","Anseriformes","Anas castanea"
"3","Anatidae",393.7,30,39,9,-38.52,175.45,"A","Anseriformes","Anas gracilis"
"4","Anatidae",508,22,37,15,-41.172,175.1,"A","Anseriformes","Anas rhynchotis"
"5","Anatidae",488.4,16,33,17,-41.173,175.1,"A","Anseriformes","Aythya novaeseelandiae"
"6","Anatidae",717.1,12,38,26,-38.53,176.09,"A","Anseriformes","Hymenolaimus malacorhynchos"
"7","Apodidae",6.8,31.5,34,2.5,-5.133,145.48,"W","Apodiformes","Collocalia esculenta"
"8","Apodidae",11.6,30,34,4,-5.134,145.48,"W","Apodiformes","Collocalia vanikorensis"
"9","Aegothelidae",45.56,31,35,4,-30.351,151.45,"W","Caprimulgiformes","Aegotheles cristatus"
"10","Podargidae",380.3,30,38,8,37.2,174.47,"A","Caprimulgiformes","Podargus strigoides"
"11","Coliidae",40.2,29,35,6,-33.07,22.16,"W","Coliiformes","Colius colius"
"12","Coliidae",51,25,38,13,-29.371,30.23,"W","Coliiformes","Colius striatus"
"13","Coliidae",51.3,29,33,4,-1.17,36.49,"W","Coliiformes","Urocolius macrourus"
"14","Columbidae",613,25,37,12,-5.131,144.28,"A","Columbiformes","Caloenas nicobarica"
"15","Columbidae",467,23,36.5,13.5,38.65,-78.56,"W","Columbiformes","Columba livia"
"16","Columbidae",467.9,22,34,12,-6.59,144.28,"A","Columbiformes","Columba vitiensis"
"17","Columbidae",41.5,32,35,3,32.13,-110.55,"W","Columbiformes","Columbina inca"
"18","Columbidae",198,27,33,6,-21.28,165.3,"A","Columbiformes","Drepanoptila holosericea"
"19","Columbidae",453,26,36,10,-9.12,145.48,"A","Columbiformes","Ducula bicolor"
"20","Columbidae",333.4,27.5,36,8.5,-5.135,145.48,"A","Columbiformes","Ducula pacifica"
"21","Columbidae",583.8,23,37,14,-9.13,145.48,"A","Columbiformes","Ducula pinon"
"22","Columbidae",394.2,27,35,8,-9.14,145.48,"A","Columbiformes","Ducula pistrinaria"
"23","Columbidae",333.6,22,37,15,-9.15,145.48,"A","Columbiformes","Ducula radiata"
"24","Columbidae",418.8,24,36,12,-9.16,145.48,"A","Columbiformes","Ducula rubricera"
"25","Columbidae",376.7,26,35,9,-9.17,145.48,"A","Columbiformes","Ducula rufigaster"
"26","Columbidae",456.2,19,32,13,-9.18,145.48,"A","Columbiformes","Ducula zoeae"
"27","Columbidae",39,34,45,11,-21.53,116.46,"A","Columbiformes","Geopelia cuneata"
"28","Columbidae",89,33,39,6,-21.4,118,"W","Columbiformes","Geophaps plumifera"
"29","Columbidae",2313.4,19,35,16,-5.137,145.48,"A","Columbiformes","Goura cristata"
"30","Columbidae",241.6,22,36,14,-9.11,147,"A","Columbiformes","Gymnophaps albertisii"
"31","Columbidae",435.6,20,30,10,-40.543,174.53,"A","Columbiformes","Hemiphaga novaeseelandiae"
"32","Columbidae",468,24,36,12,-41.175,151.12,"A","Columbiformes","Leucosarcia melanoleuca"
"33","Columbidae",98,30,35,5,-7.29,110,"A","Columbiformes","Ptilinopus melanospilus"
"34","Columbidae",196,24,32,8,-5.138,145.48,"A","Columbiformes","Ptilinopus perlatus"
"35","Columbidae",120.4,26,30,4,-5.139,145.48,"A","Columbiformes","Ptilinopus superbus"
"36","Alcedinidae",336,20,35,15,-42.54,147.19,"W","Coraciiformes","Dacelo novaeguineae"
"37","Bucerotidae",1965,16,35,19,-9.1,144.28,"A","Coraciiformes","Aceros plicatus"
"38","Bucerotidae",721,24,30,6,-10.48,28.39,"W","Coraciiformes","Bycanistes bucinator"
"39","Phoeniculidae",72.19,23.1,35,11.9,-29.373,30.23,"W","Coraciiformes","Phoeniculus purpureus"
"40","Todidae",6.3,29,32,3,18.192,-65.45,"W","Coraciiformes","Todus mexicanus"
"41","Cuculidae",140,27,33,6,-11.4,145.48,"W","Cuculiformes","Guira guira"
"42","Falconidae",362,19.5,35,15.5,29.68,-82.43,"A","Falconiformes","Daptrius ater"
"43","Falconidae",214,15,33,18,29.3,30,"A","Falconiformes","Falco rupicoloides"
"44","Megapodiidae",1390,22,37,15,-34.55,138.36,"W","Galliformes","Leipoa ocellata"
"45","Odontophoridae",125.5,34,42,8,42.07,-104.03,"W","Galliformes","Callipepla gambelii"
"46","Phasianidae",475,24,39,15,35.47,34.51,"A","Galliformes","Alectoris chukar"
"47","Phasianidae",44.9,27,35,8,-35.171,139.02,"W","Galliformes","Coturnix chinensis"
"48","Phasianidae",95.8,27,35,8,-35.172,139.02,"W","Galliformes","Coturnix pectoralis"
"49","Phasianidae",326,6,38,32,48.41,-113.43,"W","Galliformes","Lagopus leucura"
"50","Phasianidae",465,-8.7,22,30.7,69.2,18.57,"A","Galliformes","Lagopus muta"
"51","Phasianidae",398.83,23,29.2,6.2,25.152,110.19,"A","Galliformes","Syrmaticus humiae"
"52","Phasianidae",388.25,24.5,31.6,7.1,25.151,110.19,"A","Galliformes","Syrmaticus ellioti"
"53","Rallidae",374.3,30,38,8,27.56,-104.1,"A","Gruiformes","Aramides cajanea"
"54","Rallidae",954.4,15,35,20,-41.21,146.37,"A","Gruiformes","Gallinula mortierii"
"55","Rallidae",512.4,17,36,19,-40.542,174.53,"A","Gruiformes","Gallinula tenebrosa"
"56","Rallidae",309.2,20,40,20,-37.181,146.13,"A","Gruiformes","Gallinula ventralis"
"57","Rallidae",813.5,30,38,8,-35.52,175.3,"A","Gruiformes","Gallirallus australis"
"58","Rallidae",198.8,29,38,9,13.26,144.47,"A","Gruiformes","Gallirallus owstoni"
"59","Rallidae",856.6,18,35,17,-6.7,147,"W","Gruiformes","Megacrex inepta"
"60","Rallidae",2758.3,9,31,22,-40.544,174.53,"W","Gruiformes","Porphyrio hochstetteri"
"61","Rallidae",919.3,14,38,24,-40.54,174.53,"W","Gruiformes","Porphyrio porphyrio"
"62","Rallidae",47.9,28,37,9,-31.15,146.55,"W","Gruiformes","Porzana cinerea"
"63","Alaudidae",37.7,32.7,37.5,4.8,22.151,41.5,"W","Passeriformes","Alaemon alaudipes"
"64","Alaudidae",20.6,31.5,41,9.5,22.152,41.5,"W","Passeriformes","Eremalauda dunni"
"65","Alaudidae",27.3,27.9,35.1,7.2,-23.33,19.28,"W","Passeriformes","Mirafra erythrocephala"
"66","Cardinalidae",41,29,42.6,13.6,37.521,110.58,"W","Passeriformes","Cardinalis cardinalis"
"67","Cardinalidae",32,30,42.8,12.8,37.522,110.58,"W","Passeriformes","Cardinalis sinuatus"
"68","Cnemophilidae",78.1,20,32,12,-6.444,144.28,"W","Passeriformes","Cnemophilus loriae"
"69","Coerebidae",10,25,35,10,18.191,-65.45,"W","Passeriformes","Coereba flaveola"
"70","Corvidae",78.72,12.4,24,11.6,33.421,-117.37,"W","Passeriformes","Aphelocoma coerulescens"
"71","Corvidae",99.96,28,31.8,3.8,33.42,-117.38,"W","Passeriformes","Cyanocitta stelleri"
"72","Corvidae",151.9,13.5,33.5,20,42.521,-112.26,"W","Passeriformes","Pica nuttalli"
"73","Corvidae",158.9,21,32.5,11.5,42.522,-112.26,"W","Passeriformes","Pica pica"
"74","Estrildidae",17.2,31,38,7,-20.7,28.43,"W","Passeriformes","Amadina fasciata"
"75","Estrildidae",15.5,31.7,38,6.3,36.49,-120.38,"A","Passeriformes","Erythrura gouldiae"
"76","Estrildidae",7.5,35,43,8,-10.42,24.4,"W","Passeriformes","Estrilda melpoda"
"77","Estrildidae",6.4,36,38,2,3.33,34.5,"A","Passeriformes","Estrilda troglodytes"
"78","Estrildidae",10.6,33,38,5,-29.45,31.03,"W","Passeriformes","Lonchura cucullata"
"79","Estrildidae",9.5,30,39,9,4.53,114.56,"W","Passeriformes","Lonchura fuscans"
"80","Estrildidae",24.9,31,42,11,-7.34,34.38,"W","Passeriformes","Padda oryzivora"
"81","Estrildidae",11.7,30,38,8,-27,133,"A","Passeriformes","Taeniopygia guttata"
"82","Fringillidae",20.4,25,33,8,37.523,-121.3,"W","Passeriformes","Carpodacus mexicanus"
"83","Laniidae",43.8,25,35,10,-29.53,30.59,"W","Passeriformes","Lanius collaris"
"84","Maluridae",8.2,26,35,9,-37.48,145,"W","Passeriformes","Malurus cyaneus"
"85","Maluridae",15.5,26,32,6,9.091,-79,"W","Passeriformes","Manacus vitellinus"
"86","Megaluridae",12.3,30,39,9,-37.46,144.34,"W","Passeriformes","Eremiornis carteri"
"87","Meliphagidae",25,33,39,6,-31.57,115.51,"W","Passeriformes","Lichenostomus virescens"
"88","Meliphagidae",10.1,30,39,9,-34.12,119.24,"W","Passeriformes","Lichmera indistincta"
"89","Nectariniidae",5.2,25,32,7,35.512,104.11,"W","Passeriformes","Aethopyga christinae"
"90","Nectariniidae",8.3,25,28,3,-9.6,14.45,"W","Passeriformes","Anthreptes collaris"
"91","Nectariniidae",11.8,25,32,7,10.5,14.45,"W","Passeriformes","Anthreptes orientalis"
"92","Nectariniidae",10,25,30,5,-15.17,27.12,"W","Passeriformes","Nectarinia amethystina"
"93","Nectariniidae",6.2,24,27,3,-11.2,25.34,"W","Passeriformes","Nectarinia bifasciata"
"94","Nectariniidae",7.1,31,35,4,-1.499,15.78,"W","Passeriformes","Nectarinia cuprea"
"95","Nectariniidae",16.2,25,32,7,-8.976,22.9,"W","Passeriformes","Nectarinia kilimensis"
"96","Nectariniidae",13.7,30,35,5,14.5,13.19,"W","Passeriformes","Nectarinia senegalensis"
"97","Nectariniidae",13.5,25,31,6,5.623,34.5,"W","Passeriformes","Nectarinia tacazze"
"98","Paradisaeidae",148.2,23,31,8,-6.441,144.37,"W","Passeriformes","Astrapia stephaniae"
"99","Paradisaeidae",82.3,20,33,13,-6.442,144.28,"W","Passeriformes","Cicinnurus magnificus"
"100","Paradisaeidae",54,20,33,13,-6.443,144.28,"W","Passeriformes","Cicinnurus regius"
"101","Paradisaeidae",202.7,18,33,15,-9.19,145.48,"W","Passeriformes","Epimachus meyeri"
"102","Paradisaeidae",74.6,19,32,13,-9.34,147,"W","Passeriformes","Lophorina superba"
"103","Paradisaeidae",177.2,20,30,10,-8.5,147,"W","Passeriformes","Manucodia chalybatus"
"104","Paradisaeidae",170.7,25,29,4,-9.3,147,"W","Passeriformes","Manucodia keraudrenii"
"105","Paradisaeidae",215.7,16,33,17,-9.9,147,"W","Passeriformes","Paradisaea raggiana"
"106","Paradisaeidae",156.1,17,33,16,-9.21,147,"W","Passeriformes","Paradisaea rudolphi"
"107","Paradisaeidae",144.9,17,30,13,-8.2,147,"W","Passeriformes","Parotia lawesii"
"108","Paradisaeidae",164.2,22,30,8,-8.66,147,"W","Passeriformes","Parotia wahnesi"
"109","Paradisaeidae",179.4,22,31,9,-5.13,145.48,"A","Passeriformes","Ptiloris magnificus"
"110","Paridae",10.3,25,32,7,38.26,-75.33,"W","Passeriformes","Parus atricapillus"
"111","Passeridae",23,20,35,15,42.45,-89.23,"W","Passeriformes","Passer domesticus"
