"","species_name","Beak_length_Culmen","Beak_length_Nares","Beak_width","Beak_depth","Tarsus_length","Wing_length","Kipps_distance","Hand_wing_index","Tail_length","Mass","Latitude","AnnualTemp","TempRange","AnnualPrecip","PrecipRange"
"1","Acanthisitta_chloris",12.1,6.3,2.4,2.2,18,46,6.2,13.9,23.5,6.9,"-42,1","10,63659469","19,32490816","1724,190388","75,58959796"
"2","Acanthorhynchus_tenuirostris",26.8,18.9,2.3,2.7,18,65.6,14.2,20.6,57.1,10.4,"-32,35","16,376635","22,38089157","922,0013976","96,55991084"
"3","Accipiter_gentilis",33.7,19.6,11.6,18,67.3,337.6,122.6,36.3,241.1,866,"52,69","0,842544426","41,90226024","626,3911779","70,41970018"
"4","Accipiter_nisus",19.6,11.4,8.4,10,53.6,207.4,74.2,35.5,155.5,220.8,"51,28","2,17539302","41,23247693","601,8293773","75,738106"
"5","Accipiter_trivirgatus",31.7,17.3,10.5,14.1,56.9,216.2,49.6,23,171.9,265,"13,36","23,30793459","16,63828367","2097,142886","309,2067794"
"6","Accipiter_virgatus",21.2,11.7,7.6,10.2,49.8,167.7,46.7,27.4,123.9,117,"26,61","14,85167221","28,13663795","1500,143502","262,5569775"
"7","Aceros_waldeni",141.5,115.1,35.2,67.7,58.5,331,68.7,20.2,265,1146,"10,47","26,84314667","9,935736","2419,466","322,0962733"
"8","Acridotheres_cristatellus",27.1,15.7,6.1,8.1,38.1,134,32.1,24.1,81.2,116.3,"26,17","25,46762674","23,36865618","1545,906665","386,0519001"
"9","Acridotheres_tristis",26.8,16,6.4,8,38.6,139.8,32.8,23.6,84.8,116.4,"20,31","21,64368685","25,53634735","1240,405441","277,6398995"
"10","Acrocephalus_scirpaceus",17.4,8.8,3.4,2.8,21.7,67.1,17.4,25.8,52.2,12.3,"45,37","9,796092999","33,55395958","530,4687584","51,07193543"
"11","Acryllium_vulturinum",39.7,27,15.4,16.1,94.2,300.1,59.6,19.9,273.4,1330,"2,95","24,96728684","17,28218375","480,6023487","113,9391996"
"12","Aegithalos_fuliginosus",7.7,4.4,2.1,3,15.6,55.4,10.3,18.6,57,5.7,"31,74","9,07652866","30,71553","897,15446","169,4512296"
"13","Aegotheles_bennettii",16.5,5.9,4.8,4,19.8,127.5,39.6,31.1,114.9,60,"-6,91","24,38163725","10,63889314","2682,629804","197,2361059"
"14","Aegotheles_cristatus",14,5,4,3.7,23.7,135.8,47,34.6,121.2,42.8,"-25,72","21,35946432","26,79131301","545,1220382","89,66015762"
"15","Aethia_cristatella",21.1,7.1,6.1,10.9,27.4,139.4,61,44.1,38,259.4,"53,67","0,224585084","28,85053494","885,6716265","76,92138795"
"16","Aethopyga_gouldiae",17.9,11.8,3.2,2.9,13.9,54.5,11.5,21.1,57.6,5,"26,04","14,88894048","25,91428668","1332,888905","266,9580195"
"17","Agapornis_lilianae",16,14.3,9.1,14.2,13.7,89.4,32.9,37,41.7,37.3,"-15,61","22,13997805","24,79926829","825,2842927","205,520601"
"18","Agapornis_nigrigenis",16,13.9,9.7,14.7,13,92.8,39.4,42.5,39.8,40.5,"-16,83","21,2901","28,27916667","754,6992222","190,1074444"
"19","Agapornis_roseicollis",19.4,17.2,10.6,17.7,13.4,100.8,41.1,40.7,45.8,53.8,"-20,87","20,45731573","25,06381461","352,5998663","88,58431202"
"20","Agelaioides_badius",18.3,11.6,5,8.8,25.7,91.6,15.8,17.2,74.1,45.2,"-22,84","20,46312065","21,8778306","930,9999772","124,9438622"
"21","Agelaius_phoeniceus",22.7,15.4,5.6,8.8,28,118,27.8,24,88.9,50.8,"42,27","8,341984686","37,66570363","787,7721385","82,99459675"
"22","Agelasticus_cyanopus",24.2,16.5,5.1,7.8,24.9,87.8,13.4,15.3,80.8,37.2,"-18,59","23,21889593","19,22398931","1472,751573","208,25367"
"23","Agelasticus_thilius",23,15.5,4.6,7.1,26.4,93.4,16.8,18.3,75.4,31.5,"-32,8","14,65261458","25,16363472","769,1527767","81,70423729"
"24","Agelasticus_xanthophthalmus",23.4,16.8,5.7,7.7,28.8,91.2,14.8,16.1,80.8,45.1,"-8,28","22,723975","14,1748125","2364,375","212,5969625"
"25","Aix_galericulata",33,20.9,13.5,10.6,34.8,222.2,111.1,50.1,94.6,567,"44,4","3,98283005","43,97897475","979,1056578","147,8361005"
"26","Alauda_arvensis",14.8,8.7,4.5,4.8,23.9,108,37.5,34.7,67.7,37.3,"51,57","2,395555963","42,47183119","519,1395704","63,17414416"
"27","Alcedo_atthis",42.2,32.5,5.7,7.4,9.9,73.3,19.3,26.9,32.3,31.1,"34,94","12,65180642","31,73275842","990,5930147","155,5348587"
"28","Aleadryas_rufinucha",20.3,11.2,4.9,7.3,30.2,84.8,12.2,14.7,70.2,40.5,"-5,34","22,91040175","10,61544667","3151,436842","173,4508088"
"29","Alectoris_chukar",21.8,14.1,8,8.6,39.8,153.8,44.9,29,81.7,502.1,"39,1","8,615125209","40,46271428","346,582943","68,08623338"
"30","Alectura_lathami",37.8,20.9,12,17.4,80.6,289.8,61.7,21.4,218.5,2333.1,"-22,8","21,53782479","21,1885265","1113,620889","196,5624018"
"31","Amaurornis_akool",31.8,17,4,8,47.6,119.2,17.4,14.8,54,131.4,"23,69","22,88749524","26,25488145","1368,389646","314,276857"
"32","Amaurornis_phoenicurus",37.1,18.6,4.4,8.8,50.8,147,33.7,23.2,57.6,180,"16,6","22,38449057","20,46742059","1727,931443","276,389238"
"33","Amazilia_brevirostris",19.6,15.2,2.1,1.8,5.1,48.8,30.3,62.2,28.5,4.3,"6,57","25,96317843","11,54385402","2005,286931","276,5080425"
"34","Amazilia_versicolor",19.1,13.5,1.8,2,4.3,48.2,30.5,63.4,29,4.1,"-10,33","24,15148531","15,58565919","1883,308261","253,6937335"
"35","Amazona_aestiva",37.2,29,16.9,30,18.4,204.2,54,26.5,111.4,451,"-18,62","22,84035323","19,50450779","1226,228342","186,6963789"
"36","Amazona_guildingii",41.1,33.5,22.2,34.2,27.7,262.5,82.5,31.4,153.2,646,"13,35","25,0333","10,15","2314,33","197,6663"
"37","Amazona_ochrocephala",38.3,32.6,19.7,32.9,22,212.9,60.8,28.3,116.5,476.9,"-1,3","25,66890906","12,82165953","2229,24659","261,6124378"
"38","Amazona_ventralis",30.9,24.8,14.8,26.4,19.3,183.6,68.1,37,97.8,214,"18,7","24,825325","14,030755","1389,1693","155,099705"
"39","Amblyramphus_holosericeus",30.7,21.6,6.8,9.7,31.1,102.6,12.7,12.2,96.3,56.8,"-26,15","20,97651005","21,75879447","1274,730035","114,0062328"
"40","Anas_acuta",48.1,31.9,14.5,14.8,36.9,256.7,148.4,57.8,124.7,944.6,"57,08","-2,138291006","45,17550885","512,8260834","55,63341189"
"41","Anas_crecca",36.2,29.2,11.8,11.4,26.4,178.8,95.1,53.1,61.5,341.9,"55,64","-0,692053388","43,74490064","554,8217177","56,76108283"
"42","Anas_platyrhynchos",58.5,41,20.8,17.8,40.6,263.4,133.5,50.7,86.9,843.4,"49,28","3,379222817","40,49843354","542,2088177","63,94782641"
"43","Anas_poecilorhyncha",61,41.1,21,15.7,41.8,270.3,130.1,47.9,94.1,1000,"31,21","15,47617763","32,8775595","1116,433092","233,9183277"
"44","Anhinga_melanogaster",88,75.2,10.4,13.8,41.9,342.2,135.7,39.2,237.8,1480.1,"2,29","24,4477915","19,15467683","1335,685647","225,7987106"
"45","Anser_albifrons",48.7,27.6,18.4,17.5,65,408.2,213.8,52.6,123.5,2506.4,"68,13","-10,25971358","46,85572914","311,3745297","38,37206005"
"46","Anser_anser",61.2,31.8,22.5,21.6,76.2,435.7,204.7,47.2,136.1,3302.4,"51,12","3,338558302","42,51928625","480,2647423","57,72472304"
"47","Anser_cygnoides",92.7,42.5,24.2,19.9,76.1,422.2,195,46.1,122.8,3511.9,"48,76","-0,880312092","51,52603853","520,6646141","113,8141604"
"48","Anser_indicus",49.9,25.2,19.8,14,70.8,437.8,215.2,50.3,132.6,2212.6,"39,58","-0,262414792","41,89026023","269,3036096","56,91184656"
"49","Anseranas_semipalmata",85.6,42.4,22.8,20.4,87,405.6,144,34.9,148.1,2393.4,"-21,95","22,71062705","23,0107241","921,4431429","171,0632138"
"50","Anthoscopus_minutus",8.6,6.7,2.5,3.7,13.4,49.8,7.4,14.9,34.8,6.6,"-24,81","19,0867554","27,09781882","387,5744383","75,92207011"
"51","Anthracoceros_coronatus",202.6,160.8,35,89.1,60.2,306.2,54.1,17,317.7,806.7,"17,28","25,98478169","22,34058218","1461,686845","409,399545"
