,x,Flightless,Diving
1,Acanthisitta chloris,0,0
2,Acanthorhynchus tenuirostris,0,0
3,Accipiter gentilis,0,0
4,Accipiter nisus,0,0
5,Accipiter trivirgatus,0,0
6,Accipiter virgatus,0,0
7,Aceros waldeni,0,0
8,Acridotheres cristatellus,0,0
9,Acridotheres tristis,0,0
10,Acrocephalus scirpaceus,0,0
11,Acryllium vulturinum,Galliformes,0
12,Aegithalos fuliginosus,0,0
13,Aegotheles bennettii,0,0
14,Aegotheles cristatus,0,0
15,Aethia cristatella,0,Charadriiformes
16,Aethopyga gouldiae,0,0
17,Agapornis lilianae,0,0
18,Agapornis nigrigenis,0,0
19,Agapornis pullarius,0,0
20,Agapornis roseicollis,0,0
21,Agelaioides badius,0,0
22,Agelaius phoeniceus,0,0
23,Agelasticus cyanopus,0,0
24,Agelasticus thilius,0,0
25,Agelasticus xanthophthalmus,0,0
26,Aix galericulata,0,Anseriformes
27,Alauda arvensis,0,0
28,Alcedo atthis,0,Coraciiformes
29,Aleadryas rufinucha,0,0
30,Alectoris chukar,0,0
31,Alectura lathami,NA,0
32,Amaurornis akool,0,waterbird
33,Amaurornis phoenicurus,0,waterbird
34,Amazilia brevirostris,0,0
35,Amazilia versicolor,0,0
36,Amazona aestiva,0,0
37,Amazona guildingii,0,0
38,Amazona ochrocephala,0,0
39,Amazona ventralis,0,0
40,Amblyramphus holosericeus,0,0
41,Anas acuta,0,Anseriformes
42,Anas crecca,0,Anseriformes
43,Anas platyrhynchos,0,Anseriformes
44,Anas poecilorhyncha,0,Anseriformes
45,Anhinga melanogaster,0,Suliformes
46,Anser albifrons,0,Anseriformes
47,Anser anser,0,Anseriformes
48,Anser cygnoides,0,Anseriformes
49,Anser indicus,0,Anseriformes
50,Anseranas semipalmata,0,Anseriformes
51,Anthoscopus minutus,0,0
52,Anthracoceros coronatus,0,0
53,Anthus novaeseelandiae,0,0
54,Aphelocoma coerulescens,0,0
55,Aptenodytes forsteri,Sphenisciformes,Sphenisciformes
56,Aptenodytes patagonicus,Sphenisciformes,Sphenisciformes
57,Apteryx haastii,Apterygiformes,0
58,Apus apus,0,0
59,Aquila chrysaetos,0,0
60,Aquila heliaca,0,0
61,Aquila nipalensis,0,0
62,Ara ararauna,0,0
63,Ara chloropterus,0,0
64,Ara glaucogularis,0,0
65,Ara macao,0,0
66,Ara militaris,0,0
67,Aramus guarauna,0,waterbird
68,Aratinga solstitialis,0,0
69,Arborophila ardens,NA,0
70,Arborophila brunneopectus,NA,0
71,Arborophila rufipectus,NA,0
72,Arborophila rufogularis,NA,0
73,Archilochus colubris,0,0
74,Ardea cinerea,0,waterbird
75,Ardea insignis,0,waterbird
76,Ardea purpurea,0,waterbird
77,Ardeola bacchus,0,waterbird
78,Ardeotis kori,0,0
79,Arenaria interpres,0,0
80,Arremon aurantiirostris,0,0
81,Artamus cinereus,0,0
82,Asio flammeus,0,0
83,Asio otus,0,0
84,Atlantisia rogersi,Gruiformes,0
85,Atrichornis clamosus,0,0
86,Aythya americana,0,Anseriformes
87,Aythya baeri,0,Anseriformes
88,Aythya ferina,0,Anseriformes
89,Aythya fuligula,0,Anseriformes
90,Balearica pavonina,0,0
91,Balearica regulorum,0,0
92,Bambusicola fytchii,NA,0
93,Bambusicola thoracicus,NA,0
94,Bombycilla garrulus,0,0
95,Botaurus stellaris,0,waterbird
96,Brachypteracias leptosomus,0,0
97,Branta canadensis,0,Anseriformes
98,Brotogeris cyanoptera,0,0
99,Bubo bubo,0,0
100,Bubulcus ibis,0,0
101,Bucco capensis,0,0
102,Buceros bicornis,0,0
103,Buphagus erythrorhynchus,0,0
104,Burhinus bistriatus,0,0
105,Buteo buteo,0,0
106,Butorides striata,0,waterbird
107,Bycanistes brevis,0,0
108,Cacatua moluccensis,0,0
109,Cacatua pastinator,0,0
110,Cairina moschata,0,Anseriformes
111,Calandrella cinerea,0,0
112,Calcarius ornatus,0,0
113,Calidris ruficollis,0,waterbird
114,Calidris tenuirostris,0,waterbird
115,Callaeas cinereus,0,0
116,Callipepla squamata,NA,0
117,Calliphlox amethystina,0,0
118,Caloenas nicobarica,0,0
119,Caloperdix oculeus,NA,0
120,Calyptorhynchus lathami,0,0
121,Campephilus guatemalensis,0,0
122,Campephilus imperialis,0,0
123,Campylorhamphus procurvoides,0,0
124,Campylorhynchus brunneicapillus,0,0
125,Campylorhynchus zonatus,0,0
126,Caracara cheriway,0,0
127,Caracara plancus,0,0
128,Cardinalis cardinalis,0,0
129,Carpodacus erythrinus,0,0
130,Carpodacus pulcherrimus,0,0
131,Carpodacus roseus,0,0
132,Carpodacus rubicilloides,0,0
133,Casuarius casuarius,Casuariiformes,0
134,Cathartes aura,0,0
135,Catharus fuscescens,0,0
136,Centropus bengalensis,0,0
137,Centropus unirufus,0,0
138,Cephalopterus ornatus,0,0
139,Certhia brachydactyla,0,0
140,Certhia himalayana,0,0
141,Ceryle rudis,0,Coraciiformes
142,Ceuthmochares aereus,0,0
143,Chaetops frenatus,0,0
144,Chaetorhynchus papuensis,0,0
145,Chaetura pelagica,0,0
146,Charadrius alexandrinus,0,waterbird
147,Charadrius vociferus,0,waterbird
148,Chauna torquata,0,Anseriformes
149,Chloroceryle aenea,0,Coraciiformes
150,Chlorophanes spiza,0,0
151,Chloropsis cyanopogon,0,0
152,Chloropsis hardwickii,0,0
153,Chrysolampis mosquitus,0,0
154,Chrysolophus amherstiae,Galliformes,0
155,Chrysolophus pictus,Galliformes,0
156,Chrysomus icterocephalus,0,0
157,Chrysomus ruficapillus,0,0
158,Ciconia boyciana,0,waterbird
159,Ciconia ciconia,0,waterbird
160,Ciconia nigra,0,waterbird
161,Cinclosoma castanotum,0,0
162,Cinclosoma punctatum,0,0
163,Cinclus mexicanus,0,Passeriformes
164,Circaetus pectoralis,0,0
165,Circus melanoleucos,0,0
166,Climacteris rufus,0,0
167,Cnemophilus loriae,0,0
168,Cnemotriccus fuscatus,0,0
169,Coccothraustes coccothraustes,0,0
170,Colinus virginianus,Galliformes,0
171,Colius striatus,0,0
172,Columba hodgsonii,0,0
173,Columba livia,0,0
174,Columba rupestris,0,0
175,Copsychus saularis,0,0
176,Coracopsis vasa,0,0
177,Corvus brachyrhynchos,0,0
178,Corvus corax,0,0
179,Corvus coronoides,0,0
180,Corvus cryptoleucus,0,0
181,Corvus dauuricus,0,0
182,Corvus frugilegus,0,0
183,Corvus hawaiiensis,0,0
184,Corvus macrorhynchos,0,0
185,Corvus moneduloides,0,0
186,Corvus splendens,0,0
187,Corythaixoides concolor,0,0
188,Cossypha semirufa,0,0
189,Coturnicops exquisitus,0,0
190,Coturnix chinensis,Galliformes,0
191,Coturnix japonica,Galliformes,0
192,Crax daubentoni,0,0
193,Crax rubra,0,0
194,Crossoptilon auritum,Galliformes,0
195,Crossoptilon crossoptilon,Galliformes,0
196,Crossoptilon harmani,Galliformes,0
197,Crossoptilon mantchuricum,Galliformes,0
198,Crotophaga sulcirostris,0,0
199,Crypturellus cinnamomeus,Almost_flightless,0
200,Crypturellus soui,Almost_flightless,0
201,Crypturellus undulatus,Almost_flightless,0
202,Cuculus poliocephalus,0,0
203,Culicicapa ceylonensis,0,0
204,Curaeus curaeus,0,0
205,Cyanopica cyanus,0,0
206,Cyanoptila cyanomelana,0,0
207,Cygnus atratus,0,Anseriformes
208,Cygnus columbianus,0,Anseriformes
209,Cygnus cygnus,0,Anseriformes
210,Cygnus olor,0,Anseriformes
211,Cypseloides fumigatus,0,0
212,Daphoenositta chrysoptera,0,0
213,Daption capense,0,Procellariiformes
214,Dasyornis broadbenti,0,0
215,Delichon urbicum,0,0
216,Dendrocitta formosae,0,0
217,Dendrocopos darjellensis,0,0
218,Dendrocopos leucotos,0,0
219,Dendrocopos major,0,0
220,Dendrocygna javanica,0,Anseriformes
221,Dicaeum agile,0,0
222,Dicaeum concolor,0,0
223,Dicaeum eximium,0,0
224,Dicrurus hottentottus,0,0
225,Dicrurus macrocercus,0,0
226,Dicrurus megarhynchus,0,0
227,Didunculus strigirostris,0,0
228,Diopsittaca nobilis,0,0
229,Dives dives,0,0
230,Dromaius novaehollandiae,Flightless,0
231,Drymodes brunneopygia,0,0
232,Dryocopus pileatus,0,0
233,Dryoscopus gambensis,0,0
234,Eclectus roratus,0,0
235,Egretta eulophotes,0,waterbird
236,Egretta garzetta,0,waterbird
237,Egretta sacra,0,waterbird
238,Emberiza aureola,0,0
239,Emberiza chrysophrys,0,0
240,Emberiza cioides,0,0
241,Emberiza elegans,0,0
242,Emberiza fucata,0,0
243,Emberiza jankowskii,0,0
244,Emberiza leucocephalos,0,0
245,Emberiza pusilla,0,0
246,Emberiza rustica,0,0
247,Emberiza rutila,0,0
248,Emberiza spodocephala,0,0
249,Emberiza tristrami,0,0
250,Eophona migratoria,0,0
251,Eopsaltria australis,0,0
252,Eopsaltria georgiana,0,0
253,Epthianura albifrons,0,0
254,Eremophila alpestris,0,0
255,Erpornis zantholeuca,0,0
256,Erythrocercus mccallii,0,0
257,Eudocimus ruber,0,waterbird
258,Eudromia elegans,Almost_flightless,0
259,Eudyptes chrysocome,Sphenisciformes,Sphenisciformes
260,Eudyptes chrysolophus,Sphenisciformes,Sphenisciformes
261,Eudyptula minor,Sphenisciformes,Sphenisciformes
262,Eulacestoma nigropectus,0,0
263,Euphagus cyanocephalus,0,0
264,Eurystomus gularis,0,0
265,Eurystomus orientalis,0,0
266,Falco amurensis,0,0
267,Falco cherrug,0,0
268,Falco columbarius,0,0
269,Falco naumanni,0,0
270,Falco peregrinus,0,0
271,Falco rusticolus,0,0
272,Falco sparverius,0,0
273,Falco subbuteo,0,0
274,Falco tinnunculus,0,0
275,Falcunculus frontatus,0,0
276,Ficedula albicollis,0,0
277,Ficedula zanthopygia,0,0
278,Florisuga fusca,0,0
279,Florisuga mellivora,0,0
280,Formicarius rufipectus,0,0
281,Forpus passerinus,0,0
282,Francolinus pintadeanus,NA,0
283,Fregata magnificens,0,waterbird
284,Fringilla coelebs,0,0
285,Fringilla montifringilla,0,0
286,Furnarius figulus,0,0
287,Gallicrex cinerea,0,waterbird
288,Gallinago stenura,0,waterbird
289,Gallinula chloropus,0,Gruiformes
290,Gallirallus striatus,Gruiformes,0
291,Gallus gallus,NA,0
292,Gallus sonneratii,NA,0
293,Gallus varius,NA,0
294,Garrulax albogularis,0,0
295,Garrulax canorus,0,0
296,Garrulax formosus,0,0
297,Garrulax perspicillatus,0,0
298,Garrulax poecilorhynchus,0,0
299,Garrulax sannio,0,0
300,Garrulus glandarius,0,0
301,Gavia pacifica,0,Gaviiformes
302,Gavia stellata,0,Gaviiformes
303,Geococcyx californianus,0,0
304,Geopelia cuneata,0,0
305,Geospiza magnirostris,0,0
306,Geotrygon violacea,0,0
307,Gerygone igata,0,0
308,Glaucidium cuculoides,0,0
309,Glaucis hirsutus,0,0
310,Gnorimopsar chopi,0,0
311,Goura cristata,0,0
312,Goura scheepmakeri,0,0
313,Goura victoria,0,0
314,Gracula religiosa,0,0
315,Grallaria varia,0,0
316,Grantiella picta,0,0
317,Grus americana,0,0
318,Grus carunculatus,0,0
319,Grus grus,0,0
320,Grus japonensis,0,0
321,Grus leucogeranus,0,0
322,Grus monacha,0,0
323,Grus nigricollis,0,0
324,Grus paradisea,0,0
325,Grus virgo,0,0
326,Guaruba guarouba,0,0
327,Gymnomystax mexicanus,0,0
328,Gymnorhina tibicen,0,0
329,Haematopus ater,0,waterbird
330,Haematopus ostralegus,0,waterbird
331,Haematortyx sanguiniceps,NA,0
332,Halcyon coromanda,0,Coraciiformes
333,Halcyon senegalensis,0,Coraciiformes
334,Halcyon smyrnensis,0,Coraciiformes
335,Haliaeetus albicilla,0,0
336,Heliodoxa aurescens,0,0
337,Heliornis fulica,0,Gruiformes
338,Hemignathus flavus,0,0
339,Hemiphaga novaeseelandiae,0,0
340,Henicorhina leucosticta,0,0
341,Herpetotheres cachinnans,0,0
342,Himantopus himantopus,0,waterbird
343,Himatione sanguinea,0,0
344,Hirundo aethiopica,0,0
345,Hirundo albigularis,0,0
346,Hirundo angolensis,0,0
347,Hirundo atrocaerulea,0,0
348,Hirundo dimidiata,0,0
349,Hirundo neoxena,0,0
350,Hirundo nigrita,0,0
351,Hirundo smithii,0,0
352,Hirundo tahitica,0,0
353,Hydrophasianus chirurgus,0,waterbird
354,Hylia prasina,0,0
355,Hyliota flavigaster,0,0
356,Hylocharis cyanus,0,0
357,Hypocryptadius cinnamomeus,0,0
358,Ifrita kowaldi,0,0
359,Indicator maculatus,0,0
360,Indicator xanthonotus,0,0
361,Irena cyanogastra,0,0
362,Ithaginis cruentus,NA,0
363,Ixobrychus cinnamomeus,0,0
364,Ixobrychus eurhythmus,0,0
365,Ixobrychus flavicollis,0,0
366,Ixobrychus sinensis,0,0
367,Jacana jacana,0,waterbird
368,Jacana spinosa,0,waterbird
369,Jynx ruficollis,0,0
370,Jynx torquilla,0,0
371,Lagopus lagopus,NA,0
372,Lagopus muta,NA,0
373,Lanius cristatus,0,0
374,Lanius ludovicianus,0,0
375,Lanius schach,0,0
376,Lanius tephronotus,0,0
377,Lanius tigrinus,0,0
378,Larus crassirostris,0,0
379,Larus dominicanus,0,0
380,Leiothrix argentauris,0,0
381,Leiothrix lutea,0,0
382,Lepidocolaptes angustirostris,0,0
383,Lepidothrix coronata,0,0
384,Leptotila verreauxi,0,0
385,Leucopsar rothschildi,0,0
386,Leucosticte arctoa,0,0
387,Leucosticte brandti,0,0
388,Limosa haemastica,0,waterbird
389,Limosa lapponica,0,waterbird
390,Locustella pryeri,0,0
391,Lonchura caniceps,0,0
392,Lonchura castaneothorax,0,0
393,Lonchura flaviprymna,0,0
394,Lonchura forbesi,0,0
395,Lonchura grandis,0,0
396,Lonchura hunsteini,0,0
397,Lonchura leucosticta,0,0
398,Lonchura melaena,0,0
399,Lonchura nevermanni,0,0
400,Lonchura nigerrima,0,0
401,Lonchura punctulata,0,0
402,Lonchura spectabilis,0,0
403,Lonchura striata,0,0
404,Lonchura stygia,0,0
405,Lophophorus impejanus,NA,0
406,Lophophorus lhuysii,NA,0
407,Lophophorus sclateri,NA,0
408,Lophornis magnificus,0,0
409,Lophura ignita,NA,0
410,Lophura nycthemera,NA,0
411,Lophura swinhoii,NA,0
412,Loxia curvirostra,0,0
413,Loxia leucoptera,0,0
414,Loxops caeruleirostris,0,0
415,Loxops coccineus,0,0
416,Machaerirhynchus nigripectus,0,0
417,Macroagelaius imthurni,0,0
418,Malurus elegans,0,0
419,Malurus melanocephalus,0,0
420,Megaceryle lugubris,0,Coraciiformes
421,Megalaima virens,0,0
422,Melamprosops phaeosoma,0,0
423,Melanocharis versteri,0,0
424,Melanocorypha mongolica,0,0
425,Meleagris gallopavo,NA,0
426,Melophus lathami,0,0
427,Melopsittacus undulatus,0,0
428,Menura novaehollandiae,0,0
429,Mergus merganser,0,Anseriformes
430,Mergus squamatus,0,Anseriformes
431,Merops viridis,0,0
432,Mesembrinibis cayennensis,0,waterbird
433,Micrastur gilvicollis,0,0
434,Milvus migrans,0,0
435,Minla ignotincta,0,0
436,Mionectes oleagineus,0,0
437,Molothrus aeneus,0,0
438,Molothrus ater,0,0
439,Monticola gularis,0,0
440,Montifringilla adamsi,0,0
441,Montifringilla nivalis,0,0
442,Motacilla cinerea,0,0
443,Muscicapa griseisticta,0,0
444,Muscicapa sibirica,0,0
445,Mycerobas carnipes,0,0
446,Myiagra hebetior,0,0
447,Myiopsitta monachus,0,0
448,Mystacornis crossleyi,0,0
449,Myzornis pyrrhoura,0,0
450,Napothera epilepidota,0,0
451,Neodrepanis coruscans,0,0
452,Neophema chrysogaster,0,0
453,Neopipo cinnamomea,0,0
454,Nesopsar nigerrimus,0,0
455,Nesospiza acunhae,0,0
456,Nestor notabilis,0,0
457,Netta rufina,0,Anseriformes
458,Nicator chloris,0,0
459,Niltava davidi,0,0
460,Ninox novaeseelandiae,0,0
461,Ninox scutulata,0,0
462,Ninox strenua,0,0
463,Nipponia nippon,0,waterbird
464,Nisaetus alboniger,0,0
465,Nisaetus nipalensis,0,0
466,Nothocercus julius,Tinamiformes,0
467,Nothocercus nigrocapillus,Tinamiformes,0
468,Nothoprocta ornata,Tinamiformes,0
469,Nothoprocta pentlandii,Tinamiformes,0
470,Nothoprocta perdicaria,Tinamiformes,0
471,Notiomystis cincta,0,0
472,Nucifraga caryocatactes,0,0
473,Nucifraga columbiana,0,0
474,Numenius phaeopus,0,waterbird
475,Numenius tenuirostris,0,waterbird
476,Numida meleagris,Galliformes,0
477,Nycticorax nycticorax,0,waterbird
478,Nymphicus hollandicus,0,0
479,Oceanites oceanicus,0,waterbird
480,Oceanodroma castro,0,waterbird
481,Oceanodroma tethys,0,waterbird
482,Odontophorus gujanensis,NA,0
483,Oenanthe oenanthe,0,0
484,Onychorhynchus coronatus,0,0
485,Oreocharis arfaki,0,0
