Species	Gene	NeutralA	NeutralT	NeutralG	NeutralC	GenerationLength_d	ECO.Maximum.longevity..yrs.	ECO.Body.mass..g.	ECO.Metabolic.rate..W.	ECO.Temperature..K.
Cervus_elaphus	ATP6	60	32	2	25	5209.4516	31.5	67000	112.43	308.35
Grampus_griseus	ATP6	49	33	5	25	7300	42.5	NA	NA	NA
Ceratotherium_simum	ATP6	43	24	7	37	6865.34583343	45	NA	NA	NA
Trichechus_manatus	ATP6	47	25	11	35	7300	65	450000	70.0056	NA
Peponocephala_electra	ATP6	49	31	3	26	8245.925	47	NA	NA	NA
Lobodon_carcinophaga	ATP6	48	28	9	24	5475	NA	NA	NA	NA
Mesoplodon_ginkgodens	ATP6	54	31	1	28	6460.5	NA	NA	NA	NA
Macaca_fuscata	ATP6	47	20	9	43	5118.76	38.5	NA	NA	NA
Camelus_ferus	ATP6	52	23	8	27	5840	NA	NA	NA	NA
Balaenoptera_bonaerensis	ATP6	52	26	2	38	8030	NA	NA	NA	NA
Balaenoptera_edeni	ATP6	49	32	3	33	10042.4483	72	NA	NA	NA
Pan_troglodytes	ATP6	42	23	7	42	7300	59.4	NA	NA	308.85
Eubalaena_japonica	ATP6	55	27	2	31	9704.4375	NA	NA	NA	NA
Dicerorhinus_sumatrensis	ATP6	49	25	10	33	7300	32.8	NA	NA	NA
Rhinoceros_sondaicus	ATP6	53	15	6	37	5400.53	NA	NA	NA	NA
Neophocaena_phocaenoides	ATP6	51	21	2	41	5840	33	NA	NA	NA
Orcaella_heinsohni	ATP6	47	37	6	24	5475	NA	NA	NA	NA
Ursus_maritimus	ATP6	47	28	13	26	5475	43.8	NA	NA	309.95
Papio_hamadryas	ATP6	37	22	11	44	5332.504	37.5	12670.8	21.095	311.15
Papio_ursinus	ATP6	39	22	9	47	5714.3305	NA	NA	NA	NA
Papio_cynocephalus	ATP6	39	22	8	46	6188.575	NA	NA	NA	NA
Monachus_schauinslandi	ATP6	48	30	2	31	5475	NA	NA	NA	NA
Nomascus_siki	ATP6	49	11	8	53	5475	NA	NA	NA	NA
Lagenorhynchus_albirostris	ATP6	48	26	3	34	5667.52995	NA	NA	NA	NA
Erignathus_barbatus	ATP6	46	24	11	33	6935	NA	NA	NA	NA
Balaenoptera_physalus	ATP6	51	29	3	31	9490	114	NA	NA	NA
Balaenoptera_omurai	ATP6	54	30	1	32	9016.737075	NA	NA	NA	NA
Eschrichtius_robustus	ATP6	51	27	2	37	10444.3345	77	NA	NA	NA
Neophocaena_asiaeorientalis	ATP6	51	21	2	41	6095.5	NA	NA	NA	NA
Tachyglossus_aculeatus	ATP6	54	31	4	29	5687.0204	49.5	2909	2.327	303.85
Mesoplodon_grayi	ATP6	51	35	0	24	6460.5	NA	NA	NA	NA
Gorilla_gorilla	ATP6	44	22	6	47	8030	55.4	NA	NA	308.65
Pusa_hispida	ATP6	53	24	5	31	6803.8094	46	NA	NA	NA
Balaena_mysticetus	ATP6	52	22	0	39	18980	211	NA	NA	NA
Balaenoptera_acutorostrata	ATP6	52	31	3	31	8030	50	NA	NA	NA
Lagothrix_lagotricha	ATP6	52	24	6	25	5475	32	NA	NA	NA
Globicephala_macrorhynchus	ATP6	48	31	6	27	8650.5	63	NA	NA	NA
Pusa_caspica	ATP6	50	24	7	32	5840	NA	NA	NA	NA
Ziphius_cavirostris	ATP6	49	27	5	37	6460.5	62	NA	NA	NA
Pan_paniscus	ATP6	43	25	7	40	9125	55	NA	NA	NA
Pongo_pygmaeus	ATP6	39	14	6	55	7300	59	NA	NA	NA
Nomascus_leucogenys	ATP6	49	10	6	54	5475	NA	NA	NA	NA
Monodon_monoceros	ATP6	49	24	3	34	8760	50	NA	NA	NA
Rhinoceros_unicornis	ATP6	53	20	4	35	6851.98936657	43.5	NA	NA	310.55
Tursiops_aduncus	ATP6	47	31	3	27	6427.88	NA	NA	NA	NA
Pusa_sibirica	ATP6	51	22	5	35	7898.81575	56	NA	NA	NA
Ateles_belzebuth	ATP6	49	21	5	35	5475	37	NA	NA	NA
Berardius_bairdii	ATP6	50	29	6	29	9855	84	NA	NA	NA
Loxodonta_africana	ATP6	53	28	6	27	9125	65	NA	NA	309.35
Feresa_attenuata	ATP6	48	28	5	29	7142.099015	NA	NA	NA	NA
Hyperoodon_ampullatus	ATP6	46	28	4	31	6460.5	37	NA	NA	NA
Macaca_silenus	ATP6	44	22	7	36	5509.018	40	NA	NA	NA
Balaenoptera_musculus	ATP6	54	33	1	29	11315	110	NA	NA	NA
Balaenoptera_borealis	ATP6	49	34	3	33	8504.5	74	NA	NA	NA
Pseudorca_crassidens	ATP6	45	31	7	29	7242.6075	62.5	NA	NA	309.75
Hylobates_agilis	ATP6	48	17	9	50	5475	49	NA	NA	NA
Tursiops_truncatus	ATP6	48	29	5	29	6427.88	51.6	NA	NA	NA
Ailuropoda_melanoleuca	ATP6	50	34	11	18	5246.699416657	36.8	NA	NA	NA
Elephas_maximus	ATP6	46	31	10	24	8030	65.5	3672000	2336.5	308.95
Diceros_bicornis	ATP6	47	22	4	38	6205	49	NA	NA	312.15
Ursus_arctos	ATP6	47	28	13	26	5976.26666657	40	NA	NA	310.45
Hylobates_pileatus	ATP6	46	13	11	56	5475	38	NA	NA	NA
